DHT_00004_DHT_REF.spu,DHT_00003_DHT_REF.spu,DHT_00002_DHT_REF.spu,
Wavelength,DHT_00005_B1_NP.spu,DHT_00006_B1_NP.spu,DHT_00007_B1_NP.spu,DHT_00008_B1_NP.spu,DHT_00009_B1_NP.spu,DHT_00010_B1_P.spu,DHT_00011_B1_P.spu,DHT_00012_B1_P.spu,DHT_00013_B1_P.spu,DHT_00014_B1_P.spu,DHT_00015_B1_CT2.spu,DHT_00016_B1_CT2.spu,DHT_00017_B1_CT2.spu,DHT_00018_B1_CT2.spu,DHT_00019_B1_CT2.spu,DHT_00020_B1_CT1.spu,DHT_00021_B1_CT1.spu,DHT_00022_B1_CT1.spu,DHT_00023_B1_CT1.spu,DHT_00024_B1_CT1.spu,DHT_00025_B1_N.spu,DHT_00026_B1_N.spu,DHT_00027_B1_N.spu,DHT_00028_B1_N.spu,DHT_00029_B1_N.spu,DHT_00030_B2_EX3.spu,DHT_00031_B2_EX3.spu,DHT_00032_B2_EX3.spu,DHT_00033_B2_EX3.spu,DHT_00034_B2_EX3.spu,DHT_00035_B2_NP.spu,DHT_00036_B2_NP.spu,DHT_00037_B2_NP.spu,DHT_00038_B2_NP.spu,DHT_00039_B2_NP.spu,DHT_00040_B2_CT2.spu,DHT_00041_B2_CT2.spu,DHT_00042_B2_CT2.spu,DHT_00043_B2_CT2.spu,DHT_00044_B2_CT2.spu,DHT_00045_B2_CT1.spu,DHT_00046_B2_CT1.spu,DHT_00047_B2_CT1.spu,DHT_00048_B2_CT1.spu,DHT_00049_B2_CT1.spu,DHT_00050_B2_N.spu,DHT_00051_B2_N.spu,DHT_00052_B2_N.spu,DHT_00053_B2_N.spu,DHT_00054_B2_N.spu,DHT_00055_B2_P.spu,DHT_00056_B2_P.spu,DHT_00057_B2_P.spu,DHT_00058_B2_P.spu,DHT_00059_B2_P.spu,DHT_00060_B3_NP.spu,DHT_00061_B3_NP.spu,DHT_00062_B3_NP.spu,DHT_00063_B3_NP.spu,DHT_00064_B3_NP.spu,DHT_00065_B3_CT2.spu,DHT_00066_B3_CT2.spu,DHT_00067_B3_CT2.spu,DHT_00068_B3_CT2.spu,DHT_00069_B3_CT2.spu,DHT_00070_B3_CT1.spu,DHT_00071_B3_CT1.spu,DHT_00072_B3_CT1.spu,DHT_00073_B3_CT1.spu,DHT_00074_B3_CT1.spu,DHT_00075_B3_N.spu,DHT_00076_B3_N.spu,DHT_00077_B3_N.spu,DHT_00078_B3_N.spu,DHT_00079_B3_N.spu,DHT_00080_B3_P.spu,DHT_00081_B3_P.spu,DHT_00082_B3_P.spu,DHT_00083_B3_P.spu,DHT_00084_B3_P.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,:59:51 P,:00:09 P,:00:22 P,:00:38 P,:00:49 P,:01:38 P,:02:03 P,:02:15 P,:02:30 P,:02:40 P,:03:17 P,:03:30 P,:03:44 P,:03:58 P,:04:08 P,:04:48 P,:05:02 P,:05:16 P,:05:31 P,:05:44 P,:06:39 P,:06:53 P,:07:07 P,:07:18 P,:07:36 P,:09:15 P,:09:27 P,:09:49 P,:10:02 P,:10:13 P,:10:55 P,:11:05 P,:11:15 P,:11:24 P,:11:35 P,:12:50 P,:13:02 P,:13:11 P,:13:20 P,:13:28 P,:14:19 P,:14:31 P,:14:42 P,:14:52 P,:15:01 P,:15:52 P,:16:03 P,:16:11 P,:16:22 P,:16:30 P,:17:46 P,:17:59 P,:18:10 P,:18:21 P,:18:29 P,:19:44 P,:19:57 P,:20:09 P,:20:22 P,:20:32 P,:21:18 P,:21:29 P,:21:40 P,:21:50 P,:22:01 P,:23:24 P,:23:35 P,:23:47 P,:23:55 P,:24:07 P,:24:58 P,:25:09 P,:25:17 P,:25:30 P,:25:41 P,:26:25 P,:26:35 P,:26:48 P,:26:57 P,:27:06 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.069361 , 0.133766 , 0.061163 , 0.11179 , 0.117405 , 0.07652 , 0.082844 , 0.057471 , 0.069564 , 0.090958 , 0.087652 , 0.075053 , 0.071719 , 0.08556 , 0.065451 , 0.065451 , 0.046156 , 0.067494 , 0.058404 , 0.048592 , 0.056242 , 0.083434 , 0.08735 , 0.048234 , 0.068792 , 0.045833 , 0.064546 , 0.076562 , 0.041531 , 0.043552 , 0.083855 , 0.076443 , 0.079019 , 0.09027 , 0.061282 , 0.058629 , 0.054291 , 0.046156 , 0.068539 , 0.075011 , 0.065535 , 0.050466 , 0.050571 , 0.064405 , 0.07393 , 0.038021 , 0.042773 , 0.0287 , 0.064146 , 0.079335 , 0.061275 , 0.073677 , 0.054663 , 0.069122 , 0.070849 , 0.060538 , 0.044928 , 0.058032 , 0.090958 , 0.051463 , 0.065142 , 0.097633 , 0.092081 , 0.041776 , 0.095036 , 0.102462 , 0.09034 , 0.068666 , 0.061907 , 0.082977 , 0.017498 , 0.068371 , 0.07014 , 0.070568 , 0.069361 , 0.103009 , 0.087799 , 0.095471 , 0.086227 , 0.086101 
 311 , 0.066182 , 0.131783 , 0.058203 , 0.110922 , 0.115838 , 0.072762 , 0.081458 , 0.059494 , 0.073465 , 0.088917 , 0.087666 , 0.07402 , 0.066473 , 0.082608 , 0.06105 , 0.060428 , 0.04411 , 0.066602 , 0.051501 , 0.044408 , 0.057635 , 0.081499 , 0.087646 , 0.043934 , 0.072661 , 0.04409 , 0.072877 , 0.073506 , 0.044462 , 0.050629 , 0.085752 , 0.07849 , 0.079443 , 0.08797 , 0.064593 , 0.057919 , 0.058467 , 0.04411 , 0.071917 , 0.080701 , 0.064492 , 0.044218 , 0.051116 , 0.066263 , 0.072478 , 0.036733 , 0.043312 , 0.023147 , 0.065574 , 0.080268 , 0.056634 , 0.072444 , 0.049649 , 0.066169 , 0.072126 , 0.058169 , 0.042744 , 0.063599 , 0.092981 , 0.051177 , 0.060894 , 0.098161 , 0.096822 , 0.03133 , 0.094043 , 0.102333 , 0.092934 , 0.063085 , 0.060062 , 0.084826 , 0.014674 , 0.065452 , 0.064411 , 0.071389 , 0.066182 , 0.095903 , 0.082053 , 0.096004 , 0.080295 , 0.086679 
 312 , 0.060538 , 0.123148 , 0.051848 , 0.09795 , 0.103384 , 0.071662 , 0.074575 , 0.054997 , 0.068232 , 0.085313 , 0.07775 , 0.071033 , 0.065499 , 0.072564 , 0.053678 , 0.056404 , 0.043911 , 0.059286 , 0.04988 , 0.049326 , 0.055253 , 0.074793 , 0.079001 , 0.044969 , 0.06769 , 0.040475 , 0.064347 , 0.067261 , 0.039261 , 0.045585 , 0.078117 , 0.078067 , 0.073629 , 0.084385 , 0.059679 , 0.055253 , 0.050989 , 0.038763 , 0.065244 , 0.07488 , 0.054717 , 0.046258 , 0.047222 , 0.057052 , 0.065231 , 0.035339 , 0.040045 , 0.022173 , 0.062063 , 0.075702 , 0.056821 , 0.065038 , 0.047173 , 0.065113 , 0.071662 , 0.052769 , 0.039205 , 0.057867 , 0.081099 , 0.045374 , 0.064279 , 0.0886 , 0.089851 , 0.034281 , 0.08779 , 0.093885 , 0.08601 , 0.06431 , 0.056068 , 0.082344 , 0.014927 , 0.058714 , 0.058975 , 0.068107 , 0.056946 , 0.091133 , 0.077787 , 0.088133 , 0.078565 , 0.082026 
 313 , 0.055386 , 0.114859 , 0.045911 , 0.085409 , 0.091267 , 0.071034 , 0.068007 , 0.050313 , 0.062608 , 0.082004 , 0.067904 , 0.068214 , 0.065205 , 0.063044 , 0.047075 , 0.053111 , 0.043968 , 0.052239 , 0.049247 , 0.054859 , 0.052698 , 0.068432 , 0.070461 , 0.04653 , 0.062316 , 0.037153 , 0.054996 , 0.061542 , 0.033852 , 0.039784 , 0.070289 , 0.077356 , 0.067795 , 0.081116 , 0.054446 , 0.052698 , 0.043109 , 0.033743 , 0.058235 , 0.068472 , 0.045149 , 0.049007 , 0.043344 , 0.047958 , 0.05824 , 0.034156 , 0.036752 , 0.021918 , 0.058418 , 0.07108 , 0.057633 , 0.057885 , 0.04535 , 0.064419 , 0.071034 , 0.047843 , 0.035984 , 0.051483 , 0.069159 , 0.039692 , 0.068019 , 0.079167 , 0.082377 , 0.038569 , 0.08162 , 0.085633 , 0.078881 , 0.066253 , 0.052463 , 0.079608 , 0.01555 , 0.0524 , 0.054303 , 0.064723 , 0.048319 , 0.087306 , 0.074358 , 0.080377 , 0.077631 , 0.07735 
 314 , 0.05097 , 0.107725 , 0.040831 , 0.074788 , 0.080914 , 0.07043 , 0.062388 , 0.046293 , 0.05778 , 0.079119 , 0.059474 , 0.065705 , 0.064867 , 0.054898 , 0.041457 , 0.050242 , 0.043968 , 0.046245 , 0.048873 , 0.059665 , 0.050492 , 0.062972 , 0.063168 , 0.047806 , 0.057695 , 0.034297 , 0.0471 , 0.056634 , 0.029275 , 0.034865 , 0.063577 , 0.076704 , 0.062786 , 0.078265 , 0.049961 , 0.050492 , 0.036415 , 0.029461 , 0.052238 , 0.062972 , 0.036967 , 0.051182 , 0.040014 , 0.040327 , 0.052249 , 0.033107 , 0.03393 , 0.021647 , 0.055253 , 0.067091 , 0.058327 , 0.051766 , 0.043777 , 0.063694 , 0.07043 , 0.043634 , 0.033224 , 0.046022 , 0.059012 , 0.034854 , 0.071061 , 0.071109 , 0.075966 , 0.042211 , 0.076327 , 0.078562 , 0.07276 , 0.067914 , 0.049335 , 0.077235 , 0.016073 , 0.046978 , 0.05029 , 0.06182 , 0.041006 , 0.083982 , 0.071327 , 0.073731 , 0.076794 , 0.073323 
 315 , 0.04858 , 0.100599 , 0.040217 , 0.068735 , 0.078453 , 0.070986 , 0.062256 , 0.045257 , 0.056595 , 0.077626 , 0.057148 , 0.064228 , 0.060969 , 0.05225 , 0.040579 , 0.048912 , 0.043364 , 0.044225 , 0.047728 , 0.059477 , 0.050493 , 0.06345 , 0.063548 , 0.046985 , 0.054902 , 0.032838 , 0.043564 , 0.053174 , 0.026722 , 0.034502 , 0.061649 , 0.074734 , 0.060275 , 0.076182 , 0.046441 , 0.048433 , 0.035994 , 0.027519 , 0.049837 , 0.061327 , 0.035799 , 0.05246 , 0.035774 , 0.036743 , 0.049436 , 0.034502 , 0.031126 , 0.024104 , 0.055543 , 0.067732 , 0.056565 , 0.052421 , 0.043691 , 0.062516 , 0.068784 , 0.045399 , 0.033132 , 0.043417 , 0.054437 , 0.034003 , 0.072674 , 0.066391 , 0.071181 , 0.043153 , 0.073423 , 0.075664 , 0.069347 , 0.06781 , 0.047895 , 0.07398 , 0.018408 , 0.045854 , 0.051061 , 0.060808 , 0.039307 , 0.080537 , 0.071764 , 0.069958 , 0.076955 , 0.070203 
