HST_00004_HST_REF.spu,HST_00003_HST_REF.spu,HST_00002_HST_REF.spu,
Wavelength,HST_00005_B4_NP.spu,HST_00006_B4_NP.spu,HST_00007_B4_NP.spu,HST_00008_B4_NP.spu,HST_00009_B4_NP.spu,HST_00010_B4_CT.spu,HST_00011_B4_CT.spu,HST_00012_B4_CT.spu,HST_00013_B4_CT.spu,HST_00014_B4_CT.spu,HST_00015_B3_NP.spu,HST_00016_B3_NP.spu,HST_00017_B3_NP.spu,HST_00018_B3_NP.spu,HST_00019_B3_NP.spu,HST_00020_B3_CT.spu,HST_00021_B3_CT.spu,HST_00022_B3_CT.spu,HST_00023_B3_CT.spu,HST_00024_B3_CT.spu,HST_00025_B2_NP.spu,HST_00026_B2_NP.spu,HST_00027_B2_NP.spu,HST_00028_B2_NP.spu,HST_00029_B2_NP.spu,HST_00030_B2_CT.spu,HST_00031_B2_CT.spu,HST_00032_B2_CT.spu,HST_00033_B2_CT.spu,HST_00034_B2_CT.spu,HST_00035_B1_NP.spu,HST_00036_B1_NP.spu,HST_00037_B1_NP.spu,HST_00038_B1_NP.spu,HST_00039_B1_NP.spu,HST_00040_B1_CT.spu,HST_00041_B1_CT.spu,HST_00042_B1_CT.spu,HST_00043_B1_CT.spu,HST_00044_B1_CT.spu
  (nm),6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 
  time  ,:00:35 A,:00:44 A,:00:52 A,:00:58 A,:01:06 A,:02:13 A,:02:18 A,:02:25 A,:02:32 A,:02:40 A,:03:39 A,:03:48 A,:03:54 A,:04:01 A,:04:08 A,:04:23 A,:04:31 A,:04:41 A,:04:49 A,:04:57 A,:05:32 A,:05:42 A,:05:48 A,:05:55 A,:06:01 A,:06:13 A,:06:20 A,:06:28 A,:06:39 A,:06:52 A,:11:10 A,:11:17 A,:11:23 A,:11:30 A,:11:36 A,:11:47 A,:11:52 A,:11:58 A,:12:04 A,:12:15 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.053764 , 0.064039 , 0.050724 , 0.060168 , 0.059547 , 0.054487 , 0.047928 , 0.03768 , 0.052454 , 0.050907 , 0.043679 , 0.020157 , 0.031249 , 0.028993 , 0.013409 , 0.049407 , 0.029223 , 0.061343 , 0.061803 , 0.034458 , 0.038315 , 0.024589 , 0.024886 , 0.033235 , 0.036789 , 0.044422 , 0.067058 , 0.063194 , 0.043976 , 0.027061 , 0.030344 , 0.006877 , 0.015976 , 0.013328 , 0.031601 , 0.011038 , 0.002222 , 0.038498 , 0.025035 , 0.018516 
 311 , 0.043786 , 0.06729 , 0.049839 , 0.056415 , 0.055854 , 0.049865 , 0.043277 , 0.03184 , 0.051838 , 0.05031 , 0.043161 , 0.024407 , 0.025819 , 0.025561 , 0.012648 , 0.045385 , 0.025587 , 0.058039 , 0.058633 , 0.032594 , 0.043496 , 0.02551 , 0.02529 , 0.036585 , 0.033162 , 0.040169 , 0.063255 , 0.063945 , 0.045539 , 0.030867 , 0.032395 , 0.000799 , 0.019185 , 0.012648 , 0.031976 , 0.012268 , 0.000258 , 0.038429 , 0.025316 , 0.019301 
 312 , 0.048514 , 0.062817 , 0.056805 , 0.059748 , 0.049415 , 0.053683 , 0.046162 , 0.037088 , 0.054107 , 0.053116 , 0.048412 , 0.028803 , 0.028904 , 0.028677 , 0.017419 , 0.046938 , 0.033327 , 0.055844 , 0.057916 , 0.033668 , 0.045004 , 0.029161 , 0.032163 , 0.035972 , 0.034277 , 0.043368 , 0.065121 , 0.063061 , 0.043105 , 0.033172 , 0.032641 , 0.002997 , 0.022147 , 0.017371 , 0.036587 , 0.01293 , 0.00422 , 0.039357 , 0.026152 , 0.023872 
 313 , 0.054393 , 0.057955 , 0.06365 , 0.063411 , 0.043574 , 0.057999 , 0.049546 , 0.042932 , 0.056293 , 0.055905 , 0.053695 , 0.032501 , 0.03265 , 0.032124 , 0.022269 , 0.048992 , 0.041419 , 0.054105 , 0.057634 , 0.034899 , 0.045801 , 0.032562 , 0.038871 , 0.034938 , 0.035824 , 0.046909 , 0.06745 , 0.062115 , 0.040561 , 0.034899 , 0.032589 , 0.005927 , 0.024551 , 0.022147 , 0.040998 , 0.013417 , 0.008354 , 0.040245 , 0.026911 , 0.028307 
 314 , 0.059341 , 0.053877 , 0.069336 , 0.066451 , 0.038676 , 0.061624 , 0.05239 , 0.047833 , 0.057973 , 0.058217 , 0.058268 , 0.035574 , 0.035849 , 0.034989 , 0.026459 , 0.050712 , 0.048315 , 0.052644 , 0.057414 , 0.035864 , 0.046471 , 0.035362 , 0.044586 , 0.034103 , 0.037102 , 0.049739 , 0.069471 , 0.061319 , 0.038418 , 0.036325 , 0.032498 , 0.0084 , 0.026485 , 0.026242 , 0.044663 , 0.013849 , 0.011839 , 0.04095 , 0.027537 , 0.032115 
 315 , 0.061526 , 0.051961 , 0.067979 , 0.065656 , 0.037511 , 0.059934 , 0.052146 , 0.049229 , 0.057568 , 0.055515 , 0.058267 , 0.03801 , 0.038423 , 0.036351 , 0.029927 , 0.050122 , 0.048777 , 0.052037 , 0.057264 , 0.037534 , 0.046715 , 0.039131 , 0.049566 , 0.033709 , 0.039084 , 0.051329 , 0.067395 , 0.059649 , 0.038561 , 0.035562 , 0.033286 , 0.01149 , 0.02775 , 0.029052 , 0.046211 , 0.017648 , 0.015862 , 0.041659 , 0.028791 , 0.034465 
