NANT_00004_NANT_REF.spu,NANT_00003_NANT_REF.spu,NANT_00002_NANT_REF.spu,
Wavelength,NANT_00005_B3_CT.spu,NANT_00006_B3_CT.spu,NANT_00007_B3_CT.spu,NANT_00008_B3_CT.spu,NANT_00009_B3_CT.spu,NANT_00010_B3_N.spu,NANT_00011_B3_N.spu,NANT_00012_B3_N.spu,NANT_00013_B3_N.spu,NANT_00014_B3_N.spu,NANT_00015_B3_NP.spu,NANT_00016_B3_NP.spu,NANT_00017_B3_NP.spu,NANT_00018_B3_NP.spu,NANT_00019_B3_NP.spu,NANT_00021_B3_P.spu,NANT_00022_B3_P.spu,NANT_00023_B3_P.spu,NANT_00024_B3_P.spu,NANT_00025_B3_P.spu,NANT_00026_B2_P.spu,NANT_00027_B2_P.spu,NANT_00028_B2_P.spu,NANT_00029_B2_P.spu,NANT_00030_B2_P.spu,NANT_00031_B2_NP.spu,NANT_00032_B2_NP.spu,NANT_00033_B2_NP.spu,NANT_00034_B2_NP.spu,NANT_00035_B2_NP.spu,NANT_00041_B2_CT.spu,NANT_00042_B2_CT.spu,NANT_00043_B2_CT.spu,NANT_00044_B2_CT.spu,NANT_00045_B2_CT.spu,NANT_00046_B2_N.spu,NANT_00047_B2_N.spu,NANT_00048_B2_N.spu,NANT_00049_B2_N.spu,NANT_00050_B2_N.spu,NANT_00051_B1_P.spu,NANT_00052_B1_P.spu,NANT_00053_B1_P.spu,NANT_00054_B1_P.spu,NANT_00055_B1_P.spu,NANT_00056_B1_CT.spu,NANT_00057_B1_CT.spu,NANT_00058_B1_CT.spu,NANT_00059_B1_CT.spu,NANT_00060_B1_CT.spu,NANT_00061_B1_NP.spu,NANT_00062_B1_NP.spu,NANT_00063_B1_NP.spu,NANT_00064_B1_NP.spu,NANT_00065_B1_NP.spu,NANT_00066_B1_N.spu,NANT_00067_B1_N.spu,NANT_00068_B1_N.spu,NANT_00069_B1_N.spu,NANT_00070_B1_N.spu,NANT_00071_B1_N-Int60.spu,NANT_00072_B1_N-Int60.spu,NANT_00073_B1_N-Int60.spu,NANT_00074_B1_N-Int60.spu,NANT_00075_B1_N-Int60.spu
  (nm),6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 
  time  ,56:51 AM,59:56 AM,00:08 AM,00:20 AM,00:29 AM,00:36 AM,01:00 AM,01:07 AM,01:16 AM,01:24 AM,01:31 AM,02:01 AM,02:18 AM,02:26 AM,02:33 AM,03:42 AM,03:50 AM,03:57 AM,04:05 AM,04:14 AM,06:34 AM,06:46 AM,06:54 AM,07:02 AM,07:11 AM,07:44 AM,07:54 AM,08:02 AM,08:10 AM,08:16 AM,10:33 AM,10:41 AM,10:49 AM,10:59 AM,11:06 AM,11:40 AM,11:48 AM,11:55 AM,12:01 AM,12:10 AM,13:25 AM,13:33 AM,13:40 AM,13:47 AM,13:55 AM,14:39 AM,14:48 AM,14:55 AM,15:03 AM,15:12 AM,15:49 AM,15:58 AM,16:06 AM,16:14 AM,16:21 AM,17:13 AM,17:45 AM,17:53 AM,18:00 AM,18:07 AM,18:45 AM,18:57 AM,19:04 AM,19:12 AM,19:19 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 1.036726 , 0.114856 , 0.090751 , 0.070703 , 0.09648 , 0.076583 , 0.092078 , 0.08157 , 0.088865 , 0.069043 , 0.066251 , 0.076294 , 0.074149 , 0.074998 , 0.07125 , 0.071546 , 0.062484 , 0.066785 , 0.078998 , 0.062547 , 0.061704 , 0.062075 , 0.065282 , 0.066892 , 0.056598 , 0.067678 , 0.046731 , 0.065741 , 0.069433 , 0.054384 , 0.017426 , 0.019476 , 0.016652 , 0.026425 , 0.016432 , 0.041996 , 0.016545 , 0.029714 , 0 , 0.014954 , 0 , 0.022117 , 0.010584 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.021331 , 0.012162 , 0.039046 , 0.004264 , 0.008672 , 0 , 0 , 0 , 0 , 0 , 0 , 0.019061 , 0 , 0 , 0.067873 
 311 , 1.042421 , 0.110284 , 0.107707 , 0.085687 , 0.096511 , 0.079288 , 0.102892 , 0.083217 , 0.095602 , 0.075723 , 0.074731 , 0.081231 , 0.076136 , 0.086925 , 0.076423 , 0.077793 , 0.068457 , 0.072841 , 0.086626 , 0.067315 , 0.068679 , 0.0718 , 0.070826 , 0.071023 , 0.064385 , 0.076148 , 0.055869 , 0.072117 , 0.081315 , 0.060773 , 0.023766 , 0.026415 , 0.02251 , 0.035434 , 0.022086 , 0.051467 , 0.022486 , 0.040176 , 0 , 0.020142 , 0 , 0.030189 , 0.014347 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.028712 , 0.016631 , 0.047263 , 0.005795 , 0.011716 , 0 , 0 , 0 , 0 , 0 , 0 , 0.025524 , 0 , 0 , 0.09208 
 312 , 1.044041 , 0.102049 , 0.10186 , 0.080603 , 0.086502 , 0.077579 , 0.09708 , 0.082531 , 0.093087 , 0.077014 , 0.06993 , 0.078354 , 0.072168 , 0.083079 , 0.073768 , 0.076156 , 0.068031 , 0.07373 , 0.080116 , 0.066563 , 0.060908 , 0.070407 , 0.068834 , 0.068834 , 0.064126 , 0.071448 , 0.055369 , 0.065804 , 0.070717 , 0.061046 , 0.02843 , 0.031792 , 0.024093 , 0.038238 , 0.023639 , 0.048424 , 0.023367 , 0.040354 , 0 , 0.024032 , 0 , 0.025079 , 0.013658 , 0.003451 , 0.003606 , 0.009942 , 0.002991 , 0 , 0.003163 , 0 , 0.030207 , 0.018765 , 0.047355 , 0.00694 , 0.012567 , 0 , 0 , 0 , 0 , 0 , 0.00298 , 0.033292 , 0.003019 , 0 , 0.084314 
 313 , 1.045428 , 0.094571 , 0.093918 , 0.073706 , 0.076894 , 0.075505 , 0.089912 , 0.081634 , 0.089748 , 0.077392 , 0.064142 , 0.074857 , 0.067983 , 0.077757 , 0.070472 , 0.073752 , 0.066816 , 0.07385 , 0.072647 , 0.065212 , 0.052286 , 0.067783 , 0.066132 , 0.066132 , 0.062857 , 0.06571 , 0.053705 , 0.058831 , 0.058615 , 0.060476 , 0.03212 , 0.036161 , 0.02488 , 0.039575 , 0.024413 , 0.044259 , 0.023451 , 0.039164 , 0 , 0.027153 , 0 , 0.019045 , 0.012499 , 0.006782 , 0.007024 , 0.01941 , 0.005861 , 0 , 0.006268 , 0 , 0.030701 , 0.020274 , 0.046368 , 0.007872 , 0.013003 , 0 , 0 , 0 , 0 , 0 , 0.005949 , 0.040074 , 0.006093 , 0 , 0.073659 
 314 , 1.047095 , 0.088239 , 0.087191 , 0.067879 , 0.068845 , 0.07377 , 0.083833 , 0.080911 , 0.086922 , 0.077619 , 0.059244 , 0.071901 , 0.064439 , 0.073242 , 0.067672 , 0.07169 , 0.065789 , 0.074011 , 0.066308 , 0.064049 , 0.044944 , 0.065563 , 0.063847 , 0.063847 , 0.061772 , 0.060844 , 0.052281 , 0.052935 , 0.048278 , 0.060018 , 0.03516 , 0.03984 , 0.025521 , 0.040388 , 0.02505 , 0.040739 , 0.023503 , 0.038144 , 0 , 0.029773 , 0 , 0.013954 , 0.011513 , 0.009548 , 0.009808 , 0.027135 , 0.008222 , 0 , 0.00889 , 0 , 0.031095 , 0.021542 , 0.045506 , 0.008659 , 0.013368 , 0 , 0 , 0 , 0 , 0 , 0.008496 , 0.045799 , 0.008813 , 0 , 0.064698 
 315 , 1.043448 , 0.078411 , 0.078256 , 0.059699 , 0.061773 , 0.067434 , 0.075911 , 0.075046 , 0.078207 , 0.071244 , 0.051906 , 0.065112 , 0.056977 , 0.063722 , 0.061893 , 0.06517 , 0.059619 , 0.068411 , 0.059321 , 0.058824 , 0.037856 , 0.060552 , 0.059184 , 0.058536 , 0.05675 , 0.053638 , 0.046137 , 0.046604 , 0.038846 , 0.05477 , 0.030964 , 0.034237 , 0.021106 , 0.033993 , 0.02072 , 0.035409 , 0.01925 , 0.03183 , 0 , 0.025267 , 0 , 0.009414 , 0.00897 , 0.008894 , 0.009108 , 0.024929 , 0.007598 , 0 , 0.008224 , 0 , 0.028588 , 0.01806 , 0.038646 , 0.007376 , 0.011079 , 0 , 0 , 0 , 0 , 0 , 0.00786 , 0.039055 , 0.008197 , 0 , 0.049148 
