MAT_00009.ref_MAT_DARK.spu,MAT_00008.ref_MAT_DARK.spu,MAT_00007.ref_MAT_DARK.spu,MAT_00006.ref_MAT_DARK.spu,MAT_00005.ref_MAT_DARK.spu,
Wavelength,WSG1_00000_XXX_XXX.spu,WSG1_00002_XXX_XXX.spu,WSG1_00003_XXX_XXX.spu,WSG1_00004_XXX_XXX.spu,WSG1_00005_XXX_XXX.spu,WSG1_00006_XXX_XXX.spu,WSG1_00007_XXX_XXX.spu,WSG1_00008_XXX_XXX.spu,WSG1_00009_XXX_XXX.spu,WSG1_00010_XXX_XXX.spu,WSG1_00011_XXX_XXX.spu,WSG1_00012_XXX_XXX.spu,WSG1_00013_XXX_XXX.spu,WSG1_00014_XXX_XXX.spu,WSG1_00015_XXX_XXX.spu,WSG1_00016_XXX_XXX.spu,WSG1_00017_XXX_XXX.spu,WSG1_00018_XXX_XXX.spu,WSG1_00019_XXX_XXX.spu,WSG1_00020_XXX_XXX.spu,WSG1_00021_XXX_XXX.spu,WSG1_00022_XXX_XXX.spu,WSG1_00023_XXX_XXX.spu,WSG1_00024_XXX_XXX.spu,WSG1_00001_XXX_XXX.spu
  (nm),7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1
  time  ,28:56 PM,29:20 PM,29:30 PM,29:40 PM,30:07 PM,30:18 PM,30:28 PM,30:38 PM,30:48 PM,31:39 PM,31:48 PM,31:56 PM,32:05 PM,32:15 PM,32:44 PM,32:53 PM,33:00 PM,33:08 PM,33:16 PM,33:39 PM,33:49 PM,34:00 PM,34:09 PM,34:20 PM,29:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.003676 , 0 , 0.010287 , 0 , 0 , 0.006429 , 0.006122 , 0.006358 , 0.006556 , 0.011155 , 0 , 0 , 0.003077 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.000427 , 0 , 0.009912 , 0 , 0 , 0.000755 , 0.008416 , 0.000748 , 0.008935 , 0.001312 , 0 , 0 , 0.000359 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0.006804 , 0 , 0 , 0 , 0.00611 , 0 , 0.006439 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0.003779 , 0 , 0 , 0 , 0.00345 , 0 , 0.003605 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0.001196 , 0 , 0 , 0 , 0.001107 , 0 , 0.001152 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0.001009 , 0 , 0 , 0.001907 , 0.001861 , 0.005564 , 0.002805 , 0 , 0.003348 , 0.000904 , 0.002642 , 0 , 0.003085 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000968 
 316 , 0 , 0 , 0.002801 , 0 , 0 , 0.005233 , 0.005065 , 0.015267 , 0.007718 , 0 , 0.009253 , 0.002501 , 0.007222 , 0 , 0.008705 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002648 
 317 , 0 , 0 , 0.004279 , 0 , 0 , 0.007887 , 0.007593 , 0.02301 , 0.011664 , 0 , 0.014047 , 0.003796 , 0.010859 , 0 , 0.013483 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003989 
 318 , 0 , 0 , 0.005929 , 0.000168 , 0.000601 , 0.009974 , 0.009713 , 0.027897 , 0.014682 , 0.000256 , 0.017255 , 0.004691 , 0.013484 , 0.000345 , 0.017207 , 0 , 0 , 0.000274 , 0 , 0 , 0 , 0.000522 , 0.000477 , 0.000942 , 0.005199 
 319 , 0 , 0 , 0.010461 , 0.00161 , 0.005736 , 0.01108 , 0.012099 , 0.020721 , 0.01542 , 0.002473 , 0.01393 , 0.004064 , 0.013059 , 0.003286 , 0.017053 , 0 , 0 , 0.002598 , 0 , 0 , 0 , 0.004994 , 0.004593 , 0.009108 , 0.007078 
 320 , 0 , 0 , 0.013893 , 0.002722 , 0.009681 , 0.011876 , 0.013935 , 0.015154 , 0.015949 , 0.004167 , 0.011352 , 0.003573 , 0.012709 , 0.005539 , 0.016883 , 0 , 0 , 0.004379 , 0 , 0 , 0 , 0.008414 , 0.007771 , 0.015522 , 0.008532 
 321 , 0 , 0 , 0.016556 , 0.003602 , 0.012782 , 0.012456 , 0.015389 , 0.010724 , 0.016327 , 0.005494 , 0.009306 , 0.003181 , 0.012412 , 0.007304 , 0.016704 , 0 , 0 , 0.00577 , 0 , 0 , 0 , 0.011097 , 0.010294 , 0.020704 , 0.009679 
 322 , 0.003541 , 0.002457 , 0.01828 , 0.007812 , 0.012991 , 0.014969 , 0.012389 , 0.011109 , 0.016224 , 0.007454 , 0.009736 , 0.005703 , 0.01414 , 0.009199 , 0.022391 , 0.002252 , 0.003798 , 0.011347 , 0.003314 , 0.004639 , 0.001493 , 0.01277 , 0.013305 , 0.022501 , 0.013509 
 323 , 0.007409 , 0.005225 , 0.019469 , 0.012264 , 0.01238 , 0.01759 , 0.008679 , 0.012709 , 0.016007 , 0.00927 , 0.010787 , 0.008604 , 0.016158 , 0.0108 , 0.028689 , 0.00483 , 0.007899 , 0.017217 , 0.007112 , 0.009796 , 0.003157 , 0.013857 , 0.015955 , 0.023021 , 0.017507 
 324 , 0.010406 , 0.007449 , 0.020401 , 0.0158 , 0.011894 , 0.019648 , 0.005762 , 0.01395 , 0.01585 , 0.010702 , 0.011643 , 0.010889 , 0.017778 , 0.012041 , 0.033596 , 0.006952 , 0.011031 , 0.021914 , 0.010235 , 0.013884 , 0.004478 , 0.014657 , 0.018041 , 0.023356 , 0.020726 
 325 , 0.010693 , 0.008616 , 0.01942 , 0.017107 , 0.011414 , 0.020689 , 0.005792 , 0.015522 , 0.015794 , 0.011221 , 0.011837 , 0.011298 , 0.017586 , 0.011987 , 0.035252 , 0.007439 , 0.011053 , 0.024337 , 0.01067 , 0.015551 , 0.00527 , 0.014833 , 0.019033 , 0.023815 , 0.021412 
 326 , 0.007251 , 0.008421 , 0.015649 , 0.015448 , 0.010875 , 0.020453 , 0.009948 , 0.017811 , 0.015865 , 0.010544 , 0.011111 , 0.009139 , 0.014796 , 0.01013 , 0.03265 , 0.00562 , 0.006747 , 0.023859 , 0.007381 , 0.014038 , 0.005423 , 0.014179 , 0.018624 , 0.02457 , 0.018599 
 327 , 0.004422 , 0.008267 , 0.012585 , 0.014095 , 0.01044 , 0.020286 , 0.013348 , 0.019704 , 0.015919 , 0.009988 , 0.010516 , 0.007382 , 0.01252 , 0.008613 , 0.030527 , 0.004146 , 0.00316 , 0.023443 , 0.004794 , 0.012803 , 0.005553 , 0.013663 , 0.018316 , 0.025209 , 0.016315 
 328 , 0.002052 , 0.008144 , 0.010052 , 0.01297 , 0.010078 , 0.02017 , 0.016185 , 0.021297 , 0.015955 , 0.009524 , 0.010022 , 0.005923 , 0.010626 , 0.007352 , 0.028765 , 0.002928 , 0.000112 , 0.023078 , 0.002723 , 0.011777 , 0.005664 , 0.013245 , 0.018078 , 0.025763 , 0.014428 
 329 , 0.004489 , 0.009503 , 0.011707 , 0.015709 , 0.013217 , 0.020926 , 0.015806 , 0.020079 , 0.017544 , 0.009898 , 0.012536 , 0.006571 , 0.012035 , 0.00957 , 0.031381 , 0.007877 , 0.002442 , 0.026642 , 0.007282 , 0.014678 , 0.007164 , 0.013859 , 0.019349 , 0.028543 , 0.014411 
 330 , 0.006696 , 0.01069 , 0.013246 , 0.018171 , 0.016036 , 0.021604 , 0.015378 , 0.018952 , 0.018942 , 0.010254 , 0.014779 , 0.007194 , 0.013344 , 0.011592 , 0.033817 , 0.012322 , 0.004537 , 0.029873 , 0.011454 , 0.017207 , 0.008477 , 0.014377 , 0.020476 , 0.030951 , 0.014449 
 331 , 0.008562 , 0.011687 , 0.014559 , 0.02028 , 0.01848 , 0.022184 , 0.015012 , 0.017987 , 0.020137 , 0.010574 , 0.016704 , 0.007734 , 0.014464 , 0.013342 , 0.035975 , 0.016159 , 0.006278 , 0.032714 , 0.015103 , 0.01931 , 0.009591 , 0.014772 , 0.021432 , 0.032977 , 0.014474 
