DHT_00005.ref_DHT_DARK.spu,DHT_00004.ref_DHT_DARK.spu,DHT_00003.ref_DHT_DARK.spu,
Wavelength,DHT_00010_B1_NP.spu,DHT_00011_B1_NP.spu,DHT_00012_B1_NP.spu,DHT_00013_B1_NP.spu,DHT_00014_B1_NP.spu,DHT_00015_B1_P.spu,DHT_00016_B1_P.spu,DHT_00017_B1_P.spu,DHT_00018_B1_P.spu,DHT_00019_B1_P.spu,DHT_00020_B1_CT2.spu,DHT_00021_B1_CT2.spu,DHT_00022_B1_CT2.spu,DHT_00023_B1_CT2.spu,DHT_00024_B1_CT2.spu,DHT_00025_B1_CT1.spu,DHT_00026_B1_CT1.spu,DHT_00027_B1_CT1.spu,DHT_00028_B1_CT1.spu,DHT_00029_B1_CT1.spu,DHT_00030_B1_N.spu,DHT_00031_B1_N.spu,DHT_00032_B1_N.spu,DHT_00033_B1_N.spu,DHT_00034_B1_N.spu,DHT_00035_B1_EXNP-SF.spu,DHT_00036_B1_EXNP-SF.spu,DHT_00037_B1_EXNP-SF.spu,DHT_00038_B1_EXNP-SF.spu,DHT_00039_B1_EXNP-SF.spu,DHT_00040_B1_EXNP-LF.spu,DHT_00041_B1_EXNP-LF.spu,DHT_00042_B1_EXNP-LF.spu,DHT_00043_B1_EXNP-LF.spu,DHT_00044_B1_EXNP-LF.spu,DHT_00045_B1_EXCT-SF.spu,DHT_00046_B1_EXCT-SF.spu,DHT_00047_B1_EXCT-SF.spu,DHT_00048_B1_EXCT-SF.spu,DHT_00049_B1_EXCT-SF.spu,DHT_00050_B1_EXCT-LF.spu,DHT_00051_B1_EXCT-LF.spu,DHT_00052_B1_EXCT-LF.spu,DHT_00053_B1_EXCT-LF.spu,DHT_00054_B1_EXCT-LF.spu,DHT_00055_B2_NP.spu,DHT_00056_B2_NP.spu,DHT_00057_B2_NP.spu,DHT_00058_B2_NP.spu,DHT_00059_B2_NP.spu,DHT_00060_B2_CT2.spu,DHT_00061_B2_CT2.spu,DHT_00062_B2_CT2.spu,DHT_00063_B2_CT2.spu,DHT_00064_B2_CT2.spu,DHT_00065_B2_EXCT-LF.spu,DHT_00066_B2_EXCT-LF.spu,DHT_00067_B2_EXCT-LF.spu,DHT_00068_B2_EXCT-LF.spu,DHT_00069_B2_EXCT-LF.spu,DHT_00070_B2_EXCT-SF.spu,DHT_00071_B2_EXCT-SF.spu,DHT_00072_B2_EXCT-SF.spu,DHT_00073_B2_EXCT-SF.spu,DHT_00074_B2_EXCT-SF.spu,DHT_00075_B2_CT1.spu,DHT_00076_B2_CT1.spu,DHT_00077_B2_CT1.spu,DHT_00078_B2_CT1.spu,DHT_00079_B2_CT1.spu,DHT_00080_B2_N.spu,DHT_00081_B2_N.spu,DHT_00082_B2_N.spu,DHT_00083_B2_N.spu,DHT_00084_B2_N.spu,DHT_00085_B2_P.spu,DHT_00086_B2_P.spu,DHT_00087_B2_P.spu,DHT_00088_B2_P.spu,DHT_00089_B2_P.spu,DHT_00090_B2_EXNP-LF.spu,DHT_00091_B2_EXNP-LF.spu,DHT_00092_B2_EXNP-LF.spu,DHT_00093_B2_EXNP-LF.spu,DHT_00094_B2_EXNP-LF.spu,DHT_00095_B2_EXNP-SF.spu,DHT_00096_B2_EXNP-SF.spu,DHT_00097_B2_EXNP-SF.spu,DHT_00098_B2_EXNP-SF.spu,DHT_00099_B2_EXNP-SF.spu,DHT_00100_B3_NP.spu,DHT_00101_B3_NP.spu,DHT_00102_B3_NP.spu,DHT_00103_B3_NP.spu,DHT_00104_B3_NP.spu,DHT_00105_B3_CT2.spu,DHT_00106_B3_CT2.spu,DHT_00107_B3_CT2.spu,DHT_00108_B3_CT2.spu,DHT_00109_B3_CT2.spu,DHT_00110_B3_EXCT-L.spu,DHT_00111_B3_EXCT-L.spu,DHT_00112_B3_EXCT-L.spu,DHT_00113_B3_EXCT-L.spu,DHT_00114_B3_EXCT-L.spu,DHT_00115_B3_EXCT-S.spu,DHT_00116_B3_EXCT-S.spu,DHT_00117_B3_EXCT-S.spu,DHT_00118_B3_EXCT-S.spu,DHT_00119_B3_EXCT-S.spu,DHT_00120_B3_CT1.spu,DHT_00121_B3_CT1.spu,DHT_00122_B3_CT1.spu,DHT_00123_B3_CT1.spu,DHT_00124_B3_CT1.spu,DHT_00125_B3_N.spu,DHT_00126_B3_N.spu,DHT_00127_B3_N.spu,DHT_00128_B3_N.spu,DHT_00129_B3_N.spu,DHT_00130_B3_EXNP-L.spu,DHT_00131_B3_EXNP-L.spu,DHT_00132_B3_EXNP-L.spu,DHT_00133_B3_EXNP-L.spu,DHT_00134_B3_EXNP-L.spu,DHT_00135_B3_EXNP-S.spu,DHT_00136_B3_EXNP-S.spu,DHT_00137_B3_EXNP-S.spu,DHT_00138_B3_EXNP-S.spu,DHT_00139_B3_EXNP-S.spu,DHT_00140_B3_P.spu,DHT_00141_B3_P.spu,DHT_00142_B3_P.spu,DHT_00143_B3_P.spu,DHT_00144_B3_P.spu
  (nm),7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 9,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1
  time  ,7:31 PM",7:40 PM",7:49 PM",8:00 PM",8:10 PM",8:51 PM",9:05 PM",9:19 PM",9:28 PM",9:44 PM",0:30 PM",0:47 PM",1:01 PM",1:15 PM",1:28 PM",2:00 PM",2:13 PM",2:23 PM",2:32 PM",2:50 PM",3:35 PM",3:50 PM",4:05 PM",4:28 PM",4:39 PM",6:28 PM",6:57 PM",7:25 PM",7:46 PM",7:59 PM",8:24 PM",8:36 PM",8:56 PM",9:05 PM",9:16 PM",00:29 PM,00:42 PM,01:13 PM,01:24 PM,01:43 PM,02:11 PM,02:22 PM,02:37 PM,02:49 PM,03:10 PM,09:04 PM,09:18 PM,09:29 PM,09:41 PM,09:50 PM,10:55 PM,11:13 PM,11:28 PM,11:40 PM,11:50 PM,13:06 PM,13:34 PM,13:55 PM,14:11 PM,14:27 PM,15:13 PM,15:29 PM,16:01 PM,16:13 PM,16:25 PM,17:14 PM,17:36 PM,17:47 PM,17:58 PM,18:08 PM,18:53 PM,19:04 PM,19:15 PM,19:28 PM,19:37 PM,21:12 PM,21:31 PM,21:47 PM,21:56 PM,22:09 PM,23:15 PM,23:33 PM,23:48 PM,24:02 PM,24:15 PM,24:40 PM,24:59 PM,25:31 PM,25:53 PM,26:07 PM,27:15 PM,27:31 PM,27:44 PM,28:10 PM,28:24 PM,28:59 PM,29:17 PM,29:34 PM,29:47 PM,29:58 PM,30:45 PM,30:54 PM,31:05 PM,31:39 PM,31:58 PM,32:46 PM,32:57 PM,33:12 PM,33:26 PM,33:40 PM,34:49 PM,34:59 PM,35:09 PM,35:20 PM,35:34 PM,36:07 PM,36:22 PM,36:33 PM,36:49 PM,37:05 PM,37:55 PM,38:05 PM,38:20 PM,38:33 PM,38:44 PM,39:15 PM,39:27 PM,39:42 PM,39:58 PM,40:15 PM,41:03 PM,41:51 PM,42:04 PM,42:14 PM,42:25 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.075169 , 0.13975 , 0.073312 , 0.119209 , 0.112827 , 0.103078 , 0.089764 , 0.059111 , 0.083267 , 0.111389 , 0.108096 , 0.121303 , 0.101755 , 0.10909 , 0.084368 , 0.100318 , 0.110519 , 0.090799 , 0.101262 , 0.11056 , 0.089443 , 0.112778 , 0.133434 , 0.092121 , 0.084819 , 0.122001 , 0.113081 , 0.116851 , 0.09415 , 0.093796 , 0.120399 , 0.101583 , 0.12435 , 0.116046 , 0.107488 , 0.114371 , 0.137171 , 0.11226 , 0.140366 , 0.116761 , 0.118658 , 0.134732 , 0.140736 , 0.116736 , 0.149672 , 0.186361 , 0.182952 , 0.146411 , 0.154395 , 0.158756 , 0.126116 , 0.135019 , 0.133993 , 0.14044 , 0.180037 , 0.159232 , 0.132695 , 0.101312 , 0.115504 , 0.118338 , 0.148859 , 0.12867 , 0.152128 , 0.147142 , 0.172825 , 0.150304 , 0.14214 , 0.152325 , 0.134847 , 0.170172 , 0.146715 , 0.130617 , 0.140867 , 0.183741 , 0.150181 , 0.153105 , 0.172751 , 0.138107 , 0.156908 , 0.159709 , 0.135923 , 0.094347 , 0.126206 , 0.139873 , 0.147027 , 0.079719 , 0.111866 , 0.108745 , 0.117697 , 0.087801 , 0.116408 , 0.095291 , 0.107143 , 0.096466 , 0.090347 , 0.128178 , 0.13888 , 0.100219 , 0.112646 , 0.11796 , 0.112654 , 0.107086 , 0.110437 , 0.111472 , 0.1044 , 0.107275 , 0.118757 , 0.114749 , 0.107529 , 0.118174 , 0.133253 , 0.117295 , 0.116777 , 0.101977 , 0.124022 , 0.069937 , 0.073592 , 0.087415 , 0.108301 , 0.101977 , 0.081082 , 0.106437 , 0.113919 , 0.131348 , 0.103447 , 0.109082 , 0.102453 , 0.079776 , 0.072458 , 0.054381 , 0.126412 , 0.094322 , 0.087333 , 0.07608 , 0.107061 
 311 , 0.066211 , 0.134962 , 0.069898 , 0.111343 , 0.108655 , 0.095136 , 0.082717 , 0.05428 , 0.07929 , 0.108403 , 0.107743 , 0.121679 , 0.093556 , 0.097887 , 0.085539 , 0.095623 , 0.113096 , 0.086183 , 0.105361 , 0.101581 , 0.088156 , 0.104505 , 0.132431 , 0.09196 , 0.074653 , 0.118708 , 0.107248 , 0.104984 , 0.085507 , 0.088636 , 0.124642 , 0.087276 , 0.117419 , 0.118102 , 0.092353 , 0.100803 , 0.127613 , 0.104473 , 0.133099 , 0.107704 , 0.110966 , 0.132509 , 0.13504 , 0.117238 , 0.146862 , 0.177185 , 0.179134 , 0.129869 , 0.150336 , 0.154572 , 0.122787 , 0.124634 , 0.133429 , 0.131417 , 0.186067 , 0.156679 , 0.125318 , 0.101935 , 0.11271 , 0.10812 , 0.150909 , 0.118951 , 0.147703 , 0.143498 , 0.168012 , 0.133618 , 0.142059 , 0.137257 , 0.129043 , 0.170866 , 0.147145 , 0.12678 , 0.138224 , 0.173538 , 0.137595 , 0.154934 , 0.166008 , 0.131071 , 0.145337 , 0.147317 , 0.129672 , 0.088526 , 0.12487 , 0.138098 , 0.144959 , 0.073018 , 0.112836 , 0.105912 , 0.114495 , 0.083464 , 0.113819 , 0.095505 , 0.106886 , 0.095175 , 0.088958 , 0.121655 , 0.131802 , 0.097934 , 0.11073 , 0.117026 , 0.111304 , 0.101762 , 0.105141 , 0.105519 , 0.102972 , 0.101628 , 0.117151 , 0.110801 , 0.103192 , 0.121309 , 0.129028 , 0.111634 , 0.113976 , 0.098115 , 0.122111 , 0.066329 , 0.066738 , 0.078292 , 0.105739 , 0.098688 , 0.075801 , 0.102587 , 0.112655 , 0.128147 , 0.099875 , 0.105283 , 0.096189 , 0.078284 , 0.071155 , 0.051828 , 0.125357 , 0.085594 , 0.08546 , 0.07279 , 0.099474 
 312 , 0.070314 , 0.131844 , 0.066575 , 0.109531 , 0.103405 , 0.100248 , 0.084003 , 0.059222 , 0.080243 , 0.106084 , 0.108058 , 0.115106 , 0.096473 , 0.098506 , 0.083611 , 0.092583 , 0.102157 , 0.091254 , 0.102977 , 0.097076 , 0.090877 , 0.115854 , 0.123083 , 0.09831 , 0.080802 , 0.124208 , 0.107543 , 0.105387 , 0.088206 , 0.088641 , 0.11838 , 0.086152 , 0.121131 , 0.12039 , 0.104305 , 0.101097 , 0.121864 , 0.102701 , 0.128367 , 0.108987 , 0.114257 , 0.135052 , 0.12656 , 0.118184 , 0.136069 , 0.169806 , 0.174154 , 0.130182 , 0.151036 , 0.155275 , 0.124179 , 0.124085 , 0.125341 , 0.125631 , 0.169197 , 0.151203 , 0.123032 , 0.097439 , 0.104233 , 0.108065 , 0.139705 , 0.121769 , 0.141549 , 0.143044 , 0.166511 , 0.135488 , 0.1358 , 0.12828 , 0.128346 , 0.160428 , 0.14099 , 0.122851 , 0.124375 , 0.176136 , 0.144808 , 0.145846 , 0.157939 , 0.126966 , 0.145091 , 0.144387 , 0.126792 , 0.087277 , 0.119904 , 0.133325 , 0.139023 , 0.073224 , 0.107833 , 0.100937 , 0.107601 , 0.082755 , 0.106839 , 0.088503 , 0.09982 , 0.092873 , 0.082631 , 0.115389 , 0.125936 , 0.095283 , 0.105351 , 0.11099 , 0.110061 , 0.097228 , 0.099696 , 0.100299 , 0.100045 , 0.098121 , 0.107078 , 0.101489 , 0.09979 , 0.112718 , 0.122198 , 0.106773 , 0.110148 , 0.094405 , 0.115636 , 0.06381 , 0.067555 , 0.075365 , 0.099565 , 0.093381 , 0.071533 , 0.100436 , 0.111709 , 0.121958 , 0.095791 , 0.100916 , 0.094506 , 0.07824 , 0.0708 , 0.05065 , 0.116275 , 0.086994 , 0.083633 , 0.083125 , 0.097555 
 313 , 0.075688 , 0.129387 , 0.063767 , 0.108794 , 0.098893 , 0.106397 , 0.086153 , 0.064727 , 0.081723 , 0.104229 , 0.108431 , 0.108599 , 0.100296 , 0.100652 , 0.081548 , 0.090234 , 0.091046 , 0.096846 , 0.100094 , 0.093805 , 0.093671 , 0.127998 , 0.114271 , 0.104706 , 0.088073 , 0.130246 , 0.1087 , 0.10733 , 0.092033 , 0.089288 , 0.1117 , 0.086945 , 0.125259 , 0.122473 , 0.118305 , 0.103209 , 0.117479 , 0.102028 , 0.124615 , 0.111438 , 0.118459 , 0.137818 , 0.119023 , 0.119043 , 0.126024 , 0.163727 , 0.169862 , 0.132696 , 0.152337 , 0.156592 , 0.126078 , 0.124937 , 0.117473 , 0.121185 , 0.151994 , 0.146309 , 0.121715 , 0.092952 , 0.096188 , 0.109357 , 0.128467 , 0.125937 , 0.136046 , 0.143194 , 0.165647 , 0.139341 , 0.129716 , 0.121272 , 0.128427 , 0.15035 , 0.134945 , 0.119446 , 0.111156 , 0.180112 , 0.153431 , 0.136697 , 0.151001 , 0.123816 , 0.146369 , 0.142919 , 0.124836 , 0.086831 , 0.115204 , 0.128823 , 0.133455 , 0.074259 , 0.10282 , 0.096416 , 0.101222 , 0.082636 , 0.100349 , 0.081548 , 0.092906 , 0.090778 , 0.076642 , 0.110062 , 0.12107 , 0.092986 , 0.100289 , 0.105169 , 0.109035 , 0.093463 , 0.09504 , 0.095913 , 0.097362 , 0.095376 , 0.097497 , 0.092899 , 0.096987 , 0.10384 , 0.115983 , 0.102746 , 0.10676 , 0.091241 , 0.109525 , 0.061794 , 0.069265 , 0.073628 , 0.093818 , 0.08863 , 0.068036 , 0.098839 , 0.110948 , 0.116325 , 0.092248 , 0.097141 , 0.093691 , 0.078367 , 0.070621 , 0.049832 , 0.107505 , 0.089449 , 0.082112 , 0.093691 , 0.096644 
 314 , 0.080488 , 0.127279 , 0.061403 , 0.108051 , 0.095025 , 0.11168 , 0.087941 , 0.069387 , 0.082956 , 0.102703 , 0.108782 , 0.103065 , 0.103359 , 0.102578 , 0.079776 , 0.088204 , 0.081625 , 0.101541 , 0.097618 , 0.090934 , 0.095925 , 0.138056 , 0.106758 , 0.110187 , 0.093963 , 0.135676 , 0.109856 , 0.10885 , 0.095394 , 0.089797 , 0.105995 , 0.087516 , 0.12821 , 0.124262 , 0.130434 , 0.10479 , 0.113711 , 0.10136 , 0.121245 , 0.113454 , 0.121744 , 0.139986 , 0.112592 , 0.119464 , 0.117459 , 0.158515 , 0.166093 , 0.134863 , 0.153474 , 0.157747 , 0.127723 , 0.125768 , 0.110768 , 0.117278 , 0.137419 , 0.14211 , 0.120589 , 0.089109 , 0.089334 , 0.110456 , 0.118902 , 0.129616 , 0.131378 , 0.143422 , 0.164769 , 0.14221 , 0.124518 , 0.115335 , 0.128366 , 0.141692 , 0.129772 , 0.116603 , 0.099929 , 0.183666 , 0.160364 , 0.128891 , 0.145109 , 0.121051 , 0.147483 , 0.141373 , 0.1232 , 0.086454 , 0.111162 , 0.124993 , 0.128685 , 0.075072 , 0.098511 , 0.092539 , 0.095794 , 0.082537 , 0.094813 , 0.075634 , 0.08701 , 0.088984 , 0.071536 , 0.105514 , 0.116915 , 0.091021 , 0.095981 , 0.100192 , 0.108119 , 0.090221 , 0.091077 , 0.092177 , 0.09505 , 0.093014 , 0.089365 , 0.085586 , 0.094569 , 0.096275 , 0.110687 , 0.099298 , 0.103846 , 0.088541 , 0.104309 , 0.060048 , 0.070736 , 0.072117 , 0.088916 , 0.084543 , 0.065045 , 0.097487 , 0.11025 , 0.111487 , 0.089203 , 0.093901 , 0.093001 , 0.078427 , 0.070468 , 0.049146 , 0.100036 , 0.091365 , 0.080819 , 0.102528 , 0.095875 
 315 , 0.080092 , 0.122556 , 0.056655 , 0.105566 , 0.090096 , 0.110975 , 0.086568 , 0.069389 , 0.079364 , 0.099664 , 0.104631 , 0.098069 , 0.101906 , 0.095826 , 0.078303 , 0.084457 , 0.074861 , 0.097725 , 0.092861 , 0.088266 , 0.093945 , 0.137734 , 0.110143 , 0.106862 , 0.094868 , 0.132812 , 0.108956 , 0.107838 , 0.094146 , 0.089138 , 0.101247 , 0.086092 , 0.122786 , 0.115971 , 0.12547 , 0.105136 , 0.110815 , 0.097886 , 0.115031 , 0.112289 , 0.119206 , 0.134493 , 0.108577 , 0.116453 , 0.110218 , 0.149544 , 0.157644 , 0.129893 , 0.145047 , 0.150812 , 0.12118 , 0.118616 , 0.102423 , 0.11218 , 0.126027 , 0.135393 , 0.115226 , 0.084566 , 0.083545 , 0.106472 , 0.109862 , 0.126623 , 0.127455 , 0.132227 , 0.158016 , 0.13459 , 0.118988 , 0.108096 , 0.122539 , 0.130191 , 0.121243 , 0.11156 , 0.094243 , 0.178987 , 0.159525 , 0.122051 , 0.136891 , 0.112862 , 0.141841 , 0.137866 , 0.119464 , 0.084113 , 0.10692 , 0.120428 , 0.123721 , 0.073117 , 0.094742 , 0.088444 , 0.090302 , 0.077976 , 0.09005 , 0.071477 , 0.083 , 0.085553 , 0.067089 , 0.101098 , 0.112862 , 0.087067 , 0.091484 , 0.096423 , 0.103943 , 0.08526 , 0.087434 , 0.086322 , 0.088737 , 0.08861 , 0.083901 , 0.080677 , 0.09032 , 0.090016 , 0.106621 , 0.094008 , 0.099733 , 0.083339 , 0.100811 , 0.057303 , 0.06881 , 0.069423 , 0.085473 , 0.078739 , 0.061984 , 0.09305 , 0.106518 , 0.10957 , 0.084716 , 0.090033 , 0.090062 , 0.074735 , 0.067857 , 0.047328 , 0.095109 , 0.089476 , 0.080976 , 0.102492 , 0.092826 
