WSG23_00009.ref_WSG23_DARK.spu,WSG23_00008.ref_WSG23_DARK.spu,
Wavelength,WSG23_00010_B3_NP.spu,WSG23_00011_B3_NP.spu,WSG23_00012_B3_NP.spu,WSG23_00013_B3_NP.spu,WSG23_00014_B3_NP.spu,WSG23_00015_B3_P.spu,WSG23_00016_B3_P.spu,WSG23_00017_B3_P.spu,WSG23_00018_B3_P.spu,WSG23_00019_B3_P.spu,WSG23_00020_B3_N.spu,WSG23_00021_B3_N.spu,WSG23_00022_B3_N.spu,WSG23_00023_B3_N.spu,WSG23_00024_B3_N.spu,WSG23_00025_B3_CT.spu,WSG23_00026_B3_CT.spu,WSG23_00027_B3_CT.spu,WSG23_00028_B3_CT.spu,WSG23_00029_B3_CT.spu,WSG23_00030_B2_NP.spu,WSG23_00031_B2_NP.spu,WSG23_00032_B2_NP.spu,WSG23_00033_B2_NP.spu,WSG23_00034_B2_NP.spu,WSG23_00035_B2_N.spu,WSG23_00036_B2_N.spu,WSG23_00037_B2_N.spu,WSG23_00038_B2_N.spu,WSG23_00039_B2_N.spu,WSG23_00040_B2_CT.spu,WSG23_00041_B2_CT.spu,WSG23_00042_B2_CT.spu,WSG23_00043_B2_CT.spu,WSG23_00044_B2_CT.spu,WSG23_00045_B2_P.spu,WSG23_00046_B2_P.spu,WSG23_00047_B2_P.spu,WSG23_00048_B2_P.spu,WSG23_00049_B2_P.spu
  (nm),7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1
  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.030659 , 0.024966 , 0.004802 , 0.028095 , 0.030786 , 0.04684 , 0.041427 , 0.011125 , 0.035143 , 0.043323 , 0.01566 , 0.01919 , 0.012849 , 0.040747 , 0.015876 , 0.034214 , 0.033425 , 0.020857 , 0.024381 , 0.050275 , 0.012728 , 0.01456 , 0.009745 , 0.02461 , 0.015088 , 0.000254 , 0.012314 , 0.007696 , 0.023541 , 0.013491 , 0.021086 , 0.021181 , 0.005254 , 0 , 0.002741 , 0.006024 , 0.012117 , 0.021461 , 0.003524 , 0.003269 
 311 , 0.030326 , 0.025487 , 0.000557 , 0.026344 , 0.023212 , 0.042579 , 0.033608 , 0.012115 , 0.036554 , 0.037171 , 0.012756 , 0.020343 , 0.007995 , 0.038866 , 0.008899 , 0.034141 , 0.035902 , 0.015409 , 0.026979 , 0.052969 , 0.007576 , 0.013618 , 0.007168 , 0.021409 , 0.00815 , 0.00003 , 0.013941 , 0.0073 , 0.016367 , 0.008306 , 0.02214 , 0.022409 , 0.007258 , 0 , 0.000323 , 0.008312 , 0.009151 , 0.017954 , 0.000413 , 0.000383 
 312 , 0.029253 , 0.030859 , 0.009138 , 0.019487 , 0.016571 , 0.043931 , 0.031068 , 0.019746 , 0.033368 , 0.038501 , 0.012808 , 0.021776 , 0.008324 , 0.038138 , 0.01552 , 0.02796 , 0.029539 , 0.021688 , 0.028246 , 0.048938 , 0.009529 , 0.009237 , 0.012439 , 0.015867 , 0.011113 , 0 , 0.009578 , 0.00828 , 0.013903 , 0.011922 , 0.015223 , 0.016995 , 0.0068 , 0 , 0.001794 , 0.009848 , 0.00987 , 0.017952 , 0 , 0.002118 
 313 , 0.028219 , 0.036056 , 0.017919 , 0.013063 , 0.011258 , 0.045779 , 0.029593 , 0.027099 , 0.030115 , 0.040492 , 0.01323 , 0.022988 , 0.009246 , 0.037658 , 0.022968 , 0.022 , 0.02314 , 0.028392 , 0.029147 , 0.044668 , 0.012064 , 0.005084 , 0.017863 , 0.010959 , 0.014969 , 0 , 0.005216 , 0.009261 , 0.01245 , 0.015937 , 0.008369 , 0.011684 , 0.006108 , 0 , 0.003518 , 0.011025 , 0.010919 , 0.018396 , 0 , 0.004146 
 314 , 0.027344 , 0.040456 , 0.02517 , 0.007702 , 0.006921 , 0.047297 , 0.028337 , 0.033319 , 0.027391 , 0.042051 , 0.013583 , 0.023947 , 0.009979 , 0.037139 , 0.029306 , 0.017041 , 0.01785 , 0.033893 , 0.029894 , 0.041072 , 0.014161 , 0.0016 , 0.022366 , 0.006888 , 0.018311 , 0 , 0.001623 , 0.010063 , 0.011226 , 0.019134 , 0.00263 , 0.007306 , 0.005533 , 0 , 0.004949 , 0.011988 , 0.011729 , 0.018739 , 0 , 0.005815 
 315 , 0.028232 , 0.043055 , 0.033189 , 0.004269 , 0.011238 , 0.049336 , 0.029754 , 0.035923 , 0.027596 , 0.043373 , 0.015894 , 0.02493 , 0.015141 , 0.036211 , 0.032514 , 0.017841 , 0.019956 , 0.037127 , 0.033107 , 0.041671 , 0.016857 , 0.003263 , 0.022351 , 0.007382 , 0.021427 , 0.003904 , 0.006599 , 0.01392 , 0.014191 , 0.022295 , 0.003585 , 0.009957 , 0.006431 , 0.005189 , 0.008168 , 0.017549 , 0.016302 , 0.021031 , 0.004187 , 0.009639 
