HST_00005.ref_HST_DARK.spu,HST_00004.ref_HST_DARK.spu,HST_00003.ref_HST_DARK.spu,
Wavelength,HST_00006_B4_NP.spu,HST_00007_B4_NP.spu,HST_00008_B4_NP.spu,HST_00009_B4_NP.spu,HST_00010_B4_NP.spu,HST_00011_B4_CT.spu,HST_00012_B4_CT.spu,HST_00013_B4_CT.spu,HST_00014_B4_CT.spu,HST_00015_B4_CT.spu,HST_00016_B3_NP.spu,HST_00017_B3_NP.spu,HST_00018_B3_NP.spu,HST_00019_B3_NP.spu,HST_00020_B3_NP.spu,HST_00021_B3_CT.spu,HST_00022_B3_CT.spu,HST_00023_B3_CT.spu,HST_00024_B3_CT.spu,HST_00025_B3_CT.spu,HST_00026_B2_NP.spu,HST_00027_B2_NP.spu,HST_00028_B2_NP.spu,HST_00029_B2_NP.spu,HST_00030_B2_NP.spu,HST_00031_B2_CT.spu,HST_00032_B2_CT.spu,HST_00033_B2_CT.spu,HST_00034_B2_CT.spu,HST_00035_B2_CT.spu,HST_00036_B1_NP.spu,HST_00037_B1_NP.spu,HST_00038_B1_NP.spu,HST_00039_B1_NP.spu,HST_00040_B1_NP.spu,HST_00041_B1_CT.spu,HST_00042_B1_CT.spu,HST_00043_B1_CT.spu,HST_00044_B1_CT.spu,HST_00045_B1_CT.spu
  (nm),7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9,7/7/2017 9
  time  ,6:43 AM",6:58 AM",7:07 AM",7:20 AM",7:28 AM",7:41 AM",7:50 AM",8:01 AM",8:08 AM",8:16 AM",9:12 AM",9:20 AM",9:27 AM",9:34 AM",9:41 AM",9:55 AM",0:02 AM",0:10 AM",0:18 AM",0:27 AM",0:58 AM",1:10 AM",1:19 AM",1:27 AM",1:38 AM",1:53 AM",2:03 AM",2:11 AM",2:29 AM",2:39 AM",3:15 AM",3:24 AM",3:34 AM",3:43 AM",3:53 AM",4:33 AM",4:40 AM",4:49 AM",4:57 AM",5:05 AM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.069754 , 0.06664 , 0.053964 , 0.02204 , 0.068776 , 0.057449 , 0.082617 , 0.08096 , 0.067497 , 0.0514 , 0.065783 , 0.084331 , 0.043629 , 0.043608 , 0.058249 , 0.067812 , 0.056999 , 0.037016 , 0.065248 , 0.066083 , 0.054235 , 0.021333 , 0.051307 , 0.045836 , 0.039023 , 0.054564 , 0.051771 , 0.059727 , 0.068112 , 0.05195 , 0.016398 , 0.046893 , 0.046986 , 0.051007 , 0.031331 , 0.055713 , 0.050436 , 0.071954 , 0.079896 , 0.043108 
 311 , 0.061032 , 0.063159 , 0.053669 , 0.009916 , 0.056071 , 0.061409 , 0.078085 , 0.06552 , 0.055968 , 0.046615 , 0.04892 , 0.090334 , 0.039334 , 0.038915 , 0.049051 , 0.069555 , 0.047973 , 0.033021 , 0.055117 , 0.060058 , 0.053703 , 0.015865 , 0.053374 , 0.038799 , 0.026035 , 0.047459 , 0.046635 , 0.054341 , 0.062075 , 0.040576 , 0.009278 , 0.039684 , 0.040096 , 0.046107 , 0.029837 , 0.046436 , 0.045599 , 0.063118 , 0.068848 , 0.038483 
 312 , 0.054215 , 0.055323 , 0.04934 , 0.019912 , 0.064446 , 0.051657 , 0.073779 , 0.061882 , 0.05721 , 0.050923 , 0.046687 , 0.075501 , 0.037456 , 0.037494 , 0.047168 , 0.063952 , 0.048612 , 0.031353 , 0.056747 , 0.058729 , 0.05488 , 0.01926 , 0.047548 , 0.038634 , 0.029225 , 0.04404 , 0.044629 , 0.053417 , 0.061971 , 0.033974 , 0.01441 , 0.037456 , 0.048403 , 0.045649 , 0.023882 , 0.042913 , 0.043382 , 0.058837 , 0.064586 , 0.034961 
 313 , 0.048472 , 0.048174 , 0.045122 , 0.031457 , 0.074486 , 0.041649 , 0.070101 , 0.060284 , 0.059997 , 0.055711 , 0.046648 , 0.060056 , 0.036176 , 0.036696 , 0.046502 , 0.05829 , 0.050519 , 0.030241 , 0.059711 , 0.058202 , 0.056115 , 0.023359 , 0.041573 , 0.039386 , 0.034001 , 0.041637 , 0.043309 , 0.05322 , 0.06264 , 0.028972 , 0.020348 , 0.036176 , 0.057249 , 0.045841 , 0.018202 , 0.040661 , 0.041824 , 0.055729 , 0.061745 , 0.032077 
 314 , 0.043581 , 0.0422 , 0.041563 , 0.041411 , 0.083192 , 0.033249 , 0.067025 , 0.058922 , 0.062424 , 0.059678 , 0.046643 , 0.04698 , 0.035092 , 0.036071 , 0.045898 , 0.053516 , 0.052255 , 0.029268 , 0.062332 , 0.057834 , 0.057209 , 0.026913 , 0.036539 , 0.040052 , 0.037969 , 0.039584 , 0.042243 , 0.053114 , 0.063261 , 0.024754 , 0.025347 , 0.035092 , 0.064539 , 0.046039 , 0.013389 , 0.038741 , 0.040525 , 0.053103 , 0.059406 , 0.029643 
 315 , 0.045978 , 0.039668 , 0.040726 , 0.049626 , 0.08264 , 0.033123 , 0.063832 , 0.058947 , 0.060046 , 0.056115 , 0.048363 , 0.043886 , 0.038182 , 0.037606 , 0.045278 , 0.051872 , 0.051752 , 0.030435 , 0.060473 , 0.053054 , 0.056205 , 0.029352 , 0.033287 , 0.041874 , 0.03762 , 0.03842 , 0.043862 , 0.051742 , 0.061715 , 0.025317 , 0.026967 , 0.034887 , 0.064239 , 0.047315 , 0.012055 , 0.038758 , 0.043176 , 0.051757 , 0.058739 , 0.029282 
