SHB1_00005.ref_SHB1_DARK.spu,SHB1_00004.ref_SHB1_DARK.spu,SHB1_00003.ref_SHB1_DARK.spu,
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2,7/7/2017 2
  time  ,4:06 PM",4:33 PM",5:04 PM",5:27 PM",5:47 PM",6:34 PM",6:59 PM",8:21 PM",8:41 PM",9:11 PM",0:17 PM",1:06 PM",1:25 PM",1:47 PM",2:17 PM",3:39 PM",4:03 PM",4:26 PM",4:48 PM",5:04 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0.01771 , 0 , 0.006909 , 0 , 0 , 0.004246 , 0 , 0 , 0.017343 , 0 , 0.004519 , 0.008893 , 0.013092 , 0 , 0 , 0 , 0 , 0.004531 
 311 , 0 , 0 , 0.02383 , 0 , 0.006319 , 0 , 0 , 0.005711 , 0 , 0 , 0.023535 , 0 , 0.006171 , 0.012069 , 0.017709 , 0 , 0 , 0 , 0 , 0.006105 
 312 , 0.002912 , 0 , 0.022868 , 0.002968 , 0.011401 , 0.003572 , 0 , 0.004074 , 0 , 0.00169 , 0.020945 , 0.005662 , 0.008833 , 0.014313 , 0.020945 , 0.003004 , 0.001451 , 0.00583 , 0.001487 , 0.008762 
 313 , 0.005744 , 0 , 0.021144 , 0.005838 , 0.016424 , 0.00716 , 0 , 0.002265 , 0 , 0.003337 , 0.017661 , 0.011134 , 0.011214 , 0.016085 , 0.023424 , 0.005904 , 0.002893 , 0.01153 , 0.002917 , 0.011157 
 314 , 0.008119 , 0 , 0.019695 , 0.00822 , 0.020624 , 0.010272 , 0 , 0.000721 , 0 , 0.004718 , 0.014915 , 0.01568 , 0.0132 , 0.017546 , 0.025409 , 0.008309 , 0.00413 , 0.016339 , 0.004108 , 0.013182 
 315 , 0.007424 , 0.001822 , 0.018451 , 0.010024 , 0.02195 , 0.009391 , 0 , 0.004143 , 0.000806 , 0.00501 , 0.014155 , 0.016202 , 0.012704 , 0.017758 , 0.025553 , 0.009488 , 0.003789 , 0.016863 , 0.003752 , 0.01268 
 316 , 0.004322 , 0.004986 , 0.017449 , 0.011284 , 0.02089 , 0.005399 , 0 , 0.011316 , 0.002202 , 0.004415 , 0.015031 , 0.013465 , 0.010217 , 0.01696 , 0.024228 , 0.009624 , 0.002199 , 0.013924 , 0.002184 , 0.010167 
 317 , 0.001839 , 0.007509 , 0.016615 , 0.012305 , 0.020035 , 0.00227 , 0 , 0.016988 , 0.003313 , 0.003938 , 0.015767 , 0.01125 , 0.008199 , 0.016308 , 0.02317 , 0.009728 , 0.000933 , 0.011561 , 0.000929 , 0.008131 
 318 , 0.000637 , 0.009809 , 0.016322 , 0.013066 , 0.019397 , 0.000778 , 0 , 0.021585 , 0.00454 , 0.00405 , 0.01656 , 0.009932 , 0.006966 , 0.016343 , 0.02254 , 0.010235 , 0.000279 , 0.010129 , 0.000552 , 0.00689 
 319 , 0.006155 , 0.013586 , 0.019241 , 0.013068 , 0.019463 , 0.007562 , 0 , 0.025342 , 0.008093 , 0.008109 , 0.018528 , 0.01287 , 0.009424 , 0.020903 , 0.023896 , 0.013977 , 0.002714 , 0.012956 , 0.005358 , 0.00932 
 320 , 0.010481 , 0.016549 , 0.021553 , 0.013051 , 0.019501 , 0.012948 , 0 , 0.028322 , 0.010858 , 0.011339 , 0.020026 , 0.015238 , 0.011327 , 0.024549 , 0.024981 , 0.016938 , 0.004635 , 0.015149 , 0.00918 , 0.011205 
 321 , 0.013962 , 0.018929 , 0.023438 , 0.013025 , 0.019523 , 0.017341 , 0 , 0.030754 , 0.013067 , 0.013979 , 0.021195 , 0.017208 , 0.012843 , 0.027546 , 0.025874 , 0.019344 , 0.006193 , 0.016894 , 0.012303 , 0.012707 
 322 , 0.015128 , 0.018576 , 0.024799 , 0.013984 , 0.021062 , 0.018392 , 0.004325 , 0.029353 , 0.013481 , 0.014752 , 0.021567 , 0.018019 , 0.014531 , 0.027264 , 0.024423 , 0.019401 , 0.008035 , 0.017132 , 0.01226 , 0.014053 
 323 , 0.015477 , 0.017524 , 0.025835 , 0.015099 , 0.022779 , 0.018358 , 0.008785 , 0.027117 , 0.013338 , 0.014884 , 0.021657 , 0.018342 , 0.015978 , 0.026118 , 0.022559 , 0.0188 , 0.009658 , 0.01693 , 0.01135 , 0.015159 
 324 , 0.015758 , 0.016684 , 0.0267 , 0.016028 , 0.024152 , 0.018345 , 0.012005 , 0.025338 , 0.013222 , 0.014984 , 0.021721 , 0.01855 , 0.017103 , 0.02519 , 0.021069 , 0.018315 , 0.010938 , 0.016787 , 0.010622 , 0.016055 
