SHB2_00005.ref_SHB2_DARK.spu,SHB2_00004.ref_SHB2_DARK.spu,
Wavelength,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_NP.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_CT1.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_N.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu,SHB2_00025_B2_P.spu
  (nm),7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1,7/7/2017 1
  time  ,11:19 AM,12:14 AM,12:44 AM,13:16 AM,13:47 AM,15:23 AM,15:59 AM,16:23 AM,16:56 AM,17:22 AM,18:17 AM,19:20 AM,20:04 AM,20:44 AM,21:10 AM,23:21 AM,23:38 AM,23:56 AM,24:17 AM,24:34 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.012406 , 0.017075 , 0.023038 , 0.006012 , 0.035924 , 0.028243 , 0.034985 , 0.035416 , 0.029154 , 0.023073 , 0.059018 , 0.036488 , 0.038248 , 0.026315 , 0.048831 , 0.054488 , 0.090572 , 0.085229 , 0.083127 , 0.087692 
 311 , 0.009088 , 0.023313 , 0.030988 , 0.008146 , 0.048111 , 0.038414 , 0.040096 , 0.040129 , 0.032054 , 0.03174 , 0.065725 , 0.046017 , 0.040737 , 0.024837 , 0.048144 , 0.066373 , 0.094796 , 0.087075 , 0.084032 , 0.09772 
 312 , 0.013767 , 0.028424 , 0.03191 , 0.005777 , 0.040624 , 0.033189 , 0.039771 , 0.043635 , 0.030575 , 0.030209 , 0.055501 , 0.039942 , 0.04149 , 0.026516 , 0.046274 , 0.065398 , 0.088824 , 0.081627 , 0.080847 , 0.09125 
 313 , 0.018724 , 0.03276 , 0.031797 , 0.003184 , 0.031547 , 0.026688 , 0.038793 , 0.046483 , 0.028687 , 0.027628 , 0.044728 , 0.03276 , 0.041874 , 0.02834 , 0.044501 , 0.06286 , 0.082342 , 0.076099 , 0.0775 , 0.083646 
 314 , 0.022824 , 0.036537 , 0.031716 , 0.001002 , 0.023761 , 0.021131 , 0.03794 , 0.048915 , 0.027077 , 0.025433 , 0.035674 , 0.026675 , 0.04215 , 0.029857 , 0.04298 , 0.060716 , 0.076796 , 0.07138 , 0.074675 , 0.077171 
 315 , 0.028546 , 0.037708 , 0.029688 , 0.000841 , 0.02054 , 0.019151 , 0.037688 , 0.047924 , 0.02546 , 0.026291 , 0.033011 , 0.024259 , 0.041723 , 0.033644 , 0.043761 , 0.057116 , 0.072237 , 0.066358 , 0.071134 , 0.07107 
 316 , 0.035405 , 0.036664 , 0.026254 , 0.002334 , 0.021257 , 0.020201 , 0.037932 , 0.044246 , 0.024014 , 0.029563 , 0.03563 , 0.02494 , 0.040752 , 0.039075 , 0.046351 , 0.052575 , 0.0688 , 0.061218 , 0.06732 , 0.065522 
 317 , 0.041117 , 0.035774 , 0.023492 , 0.00356 , 0.021797 , 0.021053 , 0.038082 , 0.041262 , 0.022827 , 0.032243 , 0.037817 , 0.025548 , 0.040017 , 0.043466 , 0.048407 , 0.048908 , 0.066007 , 0.057079 , 0.064192 , 0.061049 
 318 , 0.044465 , 0.034658 , 0.021945 , 0.004821 , 0.022418 , 0.02167 , 0.038003 , 0.039068 , 0.021941 , 0.033743 , 0.03882 , 0.025885 , 0.039033 , 0.04606 , 0.049649 , 0.046136 , 0.063221 , 0.054009 , 0.061367 , 0.057476 
 319 , 0.035613 , 0.030742 , 0.0262 , 0.007709 , 0.024367 , 0.021471 , 0.036285 , 0.039167 , 0.021885 , 0.029014 , 0.033064 , 0.024794 , 0.035287 , 0.039856 , 0.046778 , 0.04596 , 0.057115 , 0.05426 , 0.056881 , 0.055849 
 320 , 0.02867 , 0.027655 , 0.029711 , 0.009982 , 0.025952 , 0.021338 , 0.034988 , 0.039326 , 0.021895 , 0.025272 , 0.028538 , 0.023908 , 0.032328 , 0.034957 , 0.044596 , 0.045822 , 0.052311 , 0.054533 , 0.053387 , 0.054508 
 321 , 0.023082 , 0.02516 , 0.032691 , 0.011816 , 0.02728 , 0.021253 , 0.033995 , 0.039521 , 0.021952 , 0.022232 , 0.024891 , 0.023163 , 0.029934 , 0.030985 , 0.0429 , 0.045713 , 0.048434 , 0.054819 , 0.050602 , 0.053379 
 322 , 0.021353 , 0.021634 , 0.029159 , 0.009337 , 0.025134 , 0.018108 , 0.030047 , 0.035216 , 0.020941 , 0.018904 , 0.02179 , 0.018189 , 0.026017 , 0.027679 , 0.037781 , 0.039177 , 0.042785 , 0.049644 , 0.0461 , 0.047018 
 323 , 0.020919 , 0.018388 , 0.024382 , 0.006072 , 0.022356 , 0.014605 , 0.025905 , 0.030361 , 0.019776 , 0.016028 , 0.019316 , 0.0128 , 0.022289 , 0.02508 , 0.032555 , 0.031927 , 0.037556 , 0.043785 , 0.041839 , 0.040202 
 324 , 0.020519 , 0.015797 , 0.020573 , 0.003481 , 0.020132 , 0.011811 , 0.022593 , 0.026486 , 0.018804 , 0.01373 , 0.017331 , 0.008487 , 0.019311 , 0.022986 , 0.028383 , 0.02617 , 0.033372 , 0.039091 , 0.0384 , 0.03476 
