NANT_00004_NANT_REF.spu,NANT_00003_NANT_REF.spu,
Wavelength,NANT_00005_B3_CT.spu,NANT_00006_B3_CT.spu,NANT_00007_B3_CT.spu,NANT_00008_B3_CT.spu,NANT_00009_B3_CT.spu,NANT_00010_B3_N.spu,NANT_00011_B3_N.spu,NANT_00012_B3_N.spu,NANT_00013_B3_N.spu,NANT_00014_B3_N.spu,NANT_00015_B3_NP.spu,NANT_00016_B3_NP.spu,NANT_00017_B3_NP.spu,NANT_00018_B3_NP.spu,NANT_00019_B3_NP.spu,NANT_00020_B3_P.spu,NANT_00021_B3_P.spu,NANT_00022_B3_P.spu,NANT_00023_B3_P.spu,NANT_00024_B3_P.spu,NANT_00025_B2_P.spu,NANT_00026_B2_P.spu,NANT_00027_B2_P.spu,NANT_00028_B2_P.spu,NANT_00029_B2_P.spu,NANT_00030_B2_NP.spu,NANT_00031_B2_NP.spu,NANT_00032_B2_NP.spu,NANT_00033_B2_NP.spu,NANT_00034_B2_NP.spu,NANT_00035_B2_CT.spu,NANT_00036_B2_CT.spu,NANT_00037_B2_CT.spu,NANT_00038_B2_CT.spu,NANT_00039_B2_CT.spu,NANT_00040_B2_N.spu,NANT_00041_B2_N.spu,NANT_00042_B2_N.spu,NANT_00043_B2_N.spu,NANT_00044_B2_N.spu,NANT_00045_XXX_XXX.spu,NANT_00046_B1_P.spu,NANT_00047_B1_P.spu,NANT_00048_B1_P.spu,NANT_00049_B1_P.spu,NANT_00050_B1_P.spu,NANT_00051_B1_CT.spu,NANT_00052_B1_CT.spu,NANT_00053_B1_CT.spu,NANT_00054_B1_CT.spu,NANT_00055_B1_CT.spu,NANT_00056_B1_NP.spu,NANT_00057_B1_NP.spu,NANT_00058_B1_NP.spu,NANT_00059_B1_NP.spu,NANT_00060_B1_NP.spu,NANT_00061_B1_N.spu,NANT_00062_B1_N.spu,NANT_00063_B1_N.spu,NANT_00064_B1_N.spu,NANT_00065_B1_N.spu
  (nm),7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 
  time  ,36:42 PM,36:53 PM,37:04 PM,37:12 PM,37:24 PM,37:50 PM,37:55 PM,38:01 PM,38:10 PM,38:19 PM,38:40 PM,38:48 PM,39:08 PM,39:18 PM,39:28 PM,40:06 PM,40:15 PM,40:24 PM,40:36 PM,40:44 PM,41:49 PM,41:56 PM,42:05 PM,42:12 PM,42:21 PM,42:49 PM,42:57 PM,43:03 PM,43:10 PM,43:19 PM,44:01 PM,44:10 PM,44:17 PM,44:24 PM,44:31 PM,44:57 PM,45:06 PM,45:13 PM,45:21 PM,45:29 PM,46:49 PM,47:14 PM,47:26 PM,47:33 PM,47:40 PM,47:47 PM,48:34 PM,48:42 PM,48:50 PM,49:00 PM,49:07 PM,49:45 PM,49:53 PM,50:00 PM,50:08 PM,50:16 PM,50:51 PM,50:59 PM,51:08 PM,51:17 PM,51:24 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.009528 , 0 , 0.025032 , 0.019334 , 0.021363 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004892 , 0 , 0 , 0 , 0.014012 , 0.001653 , 0.010756 , 0 , 0.016534 , 0 , 0 , 0 , 0 , 0 , 0.015432 , 0.014223 , 0.00284 , 0 , 0 , 0.001519 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001586 , 0 , 0.003077 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.001535 , 0 , 0.01734 , 0.016795 , 0.016825 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006686 , 0 , 0 , 0 , 0.012091 , 0.000191 , 0.008706 , 0 , 0.018326 , 0 , 0 , 0 , 0 , 0 , 0.01443 , 0.01452 , 0.000332 , 0 , 0 , 0.000174 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000183 , 0 , 0.004164 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.003706 , 0 , 0.018414 , 0.021078 , 0.014756 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004642 , 0 , 0 , 0.004967 , 0.011645 , 0.006259 , 0.01519 , 0 , 0.019856 , 0 , 0 , 0 , 0 , 0 , 0.013835 , 0.014807 , 0.005112 , 0.002828 , 0.002856 , 0.001947 , 0 , 0 , 0.000846 , 0.001727 , 0.001712 , 0 , 0 , 0 , 0.001015 , 0 , 0.002938 , 0.002973 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.006751 , 0 , 0.020417 , 0.025464 , 0.01334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002505 , 0 , 0 , 0.009539 , 0.011461 , 0.012247 , 0.02155 , 0 , 0.021076 , 0 , 0 , 0 , 0 , 0 , 0.01338 , 0.01503 , 0.009937 , 0.005524 , 0.005579 , 0.00379 , 0 , 0 , 0.001651 , 0.003374 , 0.003403 , 0 , 0 , 0 , 0.00198 , 0 , 0.001615 , 0.005803 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.009253 , 0 , 0.022114 , 0.029039 , 0.012169 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000773 , 0 , 0 , 0.013161 , 0.011308 , 0.017184 , 0.026714 , 0 , 0.02205 , 0 , 0 , 0 , 0 , 0 , 0.013003 , 0.015199 , 0.013866 , 0.007745 , 0.007819 , 0.005298 , 0 , 0 , 0.002308 , 0.004728 , 0.004849 , 0 , 0 , 0 , 0.002774 , 0 , 0.000506 , 0.008126 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.01088 , 0.001956 , 0.021593 , 0.030044 , 0.012011 , 0 , 0 , 0 , 0.001329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.011983 , 0.011751 , 0.016677 , 0.026568 , 0.00212 , 0.020892 , 0 , 0 , 0 , 0 , 0 , 0.012839 , 0.014106 , 0.01482 , 0.009109 , 0.010379 , 0.005268 , 0.000726 , 0.000698 , 0.00317 , 0.005763 , 0.005958 , 0 , 0.00043 , 0.000819 , 0.004168 , 0.000856 , 0.000847 , 0.009536 , 0.000828 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0.011765 , 0.005392 , 0.019318 , 0.028971 , 0.012663 , 0 , 0 , 0 , 0.003701 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007054 , 0.012671 , 0.011826 , 0.022127 , 0.005846 , 0.018063 , 0 , 0 , 0 , 0 , 0 , 0.012858 , 0.012035 , 0.01338 , 0.00974 , 0.013098 , 0.003997 , 0.002005 , 0.001947 , 0.00417 , 0.006502 , 0.006719 , 0 , 0.001185 , 0.002301 , 0.005983 , 0.002351 , 0.002329 , 0.010164 , 0.002304 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.012522 , 0.008158 , 0.017468 , 0.028097 , 0.013178 , 0 , 0 , 0 , 0.005657 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003036 , 0.013443 , 0.007878 , 0.018466 , 0.00886 , 0.015758 , 0 , 0 , 0 , 0 , 0 , 0.012883 , 0.010349 , 0.012209 , 0.010249 , 0.015298 , 0.002957 , 0.003036 , 0.002982 , 0.004992 , 0.007102 , 0.007336 , 0 , 0.001804 , 0.003557 , 0.007438 , 0.003555 , 0.003522 , 0.010659 , 0.003522 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.013387 , 0.010235 , 0.015868 , 0.027257 , 0.013383 , 0 , 0 , 0.000382 , 0.006941 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000326 , 0.000517 , 0.000624 , 0 , 0.000212 , 0.013841 , 0.005298 , 0.016099 , 0.011297 , 0.01434 , 0 , 0 , 0 , 0 , 0 , 0.012977 , 0.009312 , 0.011547 , 0.010771 , 0.016835 , 0.002439 , 0.003695 , 0.003826 , 0.005594 , 0.007609 , 0.007747 , 0.000133 , 0.002367 , 0.004858 , 0.008658 , 0.004643 , 0.00473 , 0.011381 , 0.004841 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0.015812 , 0.010354 , 0.013967 , 0.025833 , 0.011818 , 0 , 0 , 0.003732 , 0.005157 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003132 , 0.00496 , 0.006003 , 0 , 0.002066 , 0.012194 , 0.008697 , 0.019968 , 0.012871 , 0.017169 , 0 , 0 , 0 , 0 , 0 , 0.013643 , 0.011385 , 0.013469 , 0.012041 , 0.015909 , 0.004808 , 0.00275 , 0.004273 , 0.00539 , 0.008129 , 0.007297 , 0.001292 , 0.003224 , 0.00763 , 0.009849 , 0.006306 , 0.007491 , 0.014467 , 0.008216 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0.017739 , 0.010435 , 0.01247 , 0.02468 , 0.010585 , 0 , 0 , 0.006405 , 0.003766 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005277 , 0.008362 , 0.010164 , 0 , 0.003548 , 0.010897 , 0.011333 , 0.022884 , 0.01411 , 0.019307 , 0 , 0 , 0 , 0 , 0 , 0.014138 , 0.012999 , 0.014964 , 0.012999 , 0.015173 , 0.006614 , 0.002011 , 0.004601 , 0.005227 , 0.008529 , 0.006939 , 0.002217 , 0.003881 , 0.00975 , 0.010778 , 0.007605 , 0.009652 , 0.01688 , 0.010874 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0.019312 , 0.010485 , 0.011262 , 0.023724 , 0.009591 , 0 , 0 , 0.008594 , 0.002655 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006954 , 0.01103 , 0.013464 , 0 , 0.00476 , 0.009851 , 0.013427 , 0.025131 , 0.015113 , 0.02096 , 0 , 0 , 0 , 0 , 0 , 0.014513 , 0.014289 , 0.016154 , 0.013735 , 0.014574 , 0.008022 , 0.00142 , 0.004849 , 0.005094 , 0.008847 , 0.006649 , 0.002975 , 0.004399 , 0.011408 , 0.011522 , 0.008646 , 0.011386 , 0.018812 , 0.013023 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.01955 , 0.009247 , 0.013849 , 0.024291 , 0.010566 , 0.001387 , 0.001613 , 0.008385 , 0.003584 , 0.001414 , 0.000693 , 0.001355 , 0 , 0 , 0 , 0.010408 , 0.013557 , 0.014787 , 0.002268 , 0.007431 , 0.010326 , 0.0142 , 0.024671 , 0.015113 , 0.020193 , 0.002474 , 0.001295 , 0.001654 , 0.001319 , 0.003695 , 0.014217 , 0.014818 , 0.017466 , 0.014694 , 0.015593 , 0.008974 , 0.002369 , 0.00589 , 0.005549 , 0.009576 , 0.007714 , 0.004654 , 0.005008 , 0.013619 , 0.013212 , 0.010463 , 0.012199 , 0.018886 , 0.013138 , 0.002261 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00072 
 323 , 0.019375 , 0.007837 , 0.017129 , 0.025229 , 0.011912 , 0.003004 , 0.003483 , 0.007538 , 0.004968 , 0.003023 , 0.001468 , 0.002873 , 0 , 0 , 0 , 0.013784 , 0.015758 , 0.015359 , 0.00483 , 0.010037 , 0.011163 , 0.014497 , 0.023557 , 0.014837 , 0.018886 , 0.00525 , 0.002759 , 0.003567 , 0.002776 , 0.007873 , 0.013785 , 0.015081 , 0.018638 , 0.01561 , 0.016903 , 0.009658 , 0.003601 , 0.007007 , 0.006098 , 0.010311 , 0.008974 , 0.006303 , 0.005554 , 0.015659 , 0.014902 , 0.012234 , 0.01264 , 0.018434 , 0.01267 , 0.004793 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001543 
 324 , 0.019222 , 0.006711 , 0.019806 , 0.026045 , 0.012961 , 0.004364 , 0.005039 , 0.006864 , 0.006113 , 0.004334 , 0.002087 , 0.004088 , 0 , 0 , 0 , 0.01645 , 0.017628 , 0.015805 , 0.006896 , 0.012065 , 0.011851 , 0.014746 , 0.022702 , 0.014613 , 0.017863 , 0.007477 , 0.003943 , 0.005158 , 0.00392 , 0.011252 , 0.013445 , 0.015329 , 0.01961 , 0.016402 , 0.017953 , 0.010208 , 0.004588 , 0.00792 , 0.006537 , 0.010905 , 0.009972 , 0.007597 , 0.006002 , 0.017305 , 0.016253 , 0.013675 , 0.013004 , 0.018066 , 0.012289 , 0.006817 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002214 
