HST_00004.spu,HST_00003.spu,
Wavelength,HST_00005.spu,HST_00006.spu,HST_00007.spu,HST_00008.spu,HST_00009.spu,HST_00010.spu,HST_00011.spu,HST_00012.spu,HST_00013.spu,HST_00014.spu,HST_00015.spu,HST_00016.spu,HST_00017.spu,HST_00018.spu,HST_00019.spu,HST_00020.spu,HST_00021.spu,HST_00022.spu,HST_00023.spu,HST_00024.spu,HST_00025.spu,HST_00026.spu,HST_00027.spu,HST_00028.spu,HST_00029.spu,HST_00030.spu,HST_00031.spu,HST_00032.spu,HST_00033.spu,HST_00034.spu,HST_00035.spu,HST_00036.spu,HST_00037.spu,HST_00038.spu,HST_00039.spu,HST_00040.spu,HST_00041.spu,HST_00042.spu,HST_00043.spu,HST_00044.spu
  (nm),7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 
  time  ,:04:29 A,:04:39 A,:04:46 A,:04:54 A,:05:01 A,:05:27 A,:05:34 A,:05:40 A,:05:46 A,:05:52 A,:06:43 A,:06:48 A,:06:54 A,:07:05 A,:07:12 A,:07:23 A,:07:30 A,:07:35 A,:07:41 A,:07:47 A,:08:08 A,:08:14 A,:08:21 A,:08:27 A,:08:34 A,:08:48 A,:08:54 A,:09:00 A,:09:07 A,:09:14 A,:09:44 A,:09:52 A,:09:59 A,:10:06 A,:10:14 A,:10:27 A,:10:36 A,:10:43 A,:10:50 A,:10:57 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.004417 , 0.00436 , 0.008834 , 0.021355 , 0.03682 , 0.004417 , 0.008829 , 0.008952 , 0.017848 , 0.008793 , 0 , 0 , 0 , 0 , 0 , 0.004515 , 0.009034 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.00588 , 0.005807 , 0.011905 , 0.028455 , 0.046689 , 0.005952 , 0.011764 , 0.012059 , 0.024133 , 0.011759 , 0 , 0 , 0 , 0 , 0 , 0.006035 , 0.012214 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.008323 , 0.005467 , 0.009683 , 0.024306 , 0.040904 , 0.009705 , 0.009661 , 0.016988 , 0.0241 , 0.015154 , 0.002843 , 0.001487 , 0 , 0.002935 , 0.004256 , 0.011311 , 0.009968 , 0 , 0.002878 , 0.005541 , 0 , 0.001448 , 0 , 0.001457 , 0 , 0 , 0 , 0 , 0.001479 , 0.001492 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.010467 , 0.004956 , 0.007212 , 0.019381 , 0.034157 , 0.013099 , 0.007276 , 0.021345 , 0.023282 , 0.018047 , 0.005555 , 0.002879 , 0 , 0.005687 , 0.008247 , 0.016198 , 0.007452 , 0 , 0.005627 , 0.01083 , 0 , 0.002855 , 0 , 0.002847 , 0 , 0 , 0 , 0 , 0.002887 , 0.002903 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.012232 , 0.004537 , 0.005197 , 0.015257 , 0.028586 , 0.015888 , 0.0053 , 0.024966 , 0.022582 , 0.020454 , 0.007786 , 0.004005 , 0 , 0.007911 , 0.011472 , 0.020253 , 0.005384 , 0 , 0.007885 , 0.01518 , 0 , 0.004031 , 0 , 0.003994 , 0 , 0 , 0 , 0 , 0.004045 , 0.004053 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.015716 , 0.003514 , 0.00462 , 0.013188 , 0.024664 , 0.014462 , 0.004129 , 0.023339 , 0.021069 , 0.020958 , 0.007112 , 0.003638 , 0 , 0.007798 , 0.010484 , 0.017831 , 0.00651 , 0 , 0.008971 , 0.013924 , 0 , 0.003692 , 0 , 0.003655 , 0 , 0 , 0 , 0.000612 , 0.003692 , 0.003692 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
