DHT_00020.spu,DHT_00019.spu,DHT_00018.spu,DHT_00017.spu,
Wavelength,DHT_00005.spu,DHT_00006.spu,DHT_00007.spu,DHT_00008.spu,DHT_00009.spu,DHT_00010.spu,DHT_00011.spu,DHT_00012.spu,DHT_00013.spu,DHT_00014.spu,DHT_00026.spu,DHT_00027.spu,DHT_00028.spu,DHT_00029.spu,DHT_00030.spu,DHT_00031.spu,DHT_00032.spu,DHT_00033.spu,DHT_00034.spu,DHT_00035.spu,DHT_00036.spu,DHT_00037.spu,DHT_00038.spu,DHT_00039.spu,DHT_00040.spu,DHT_00041.spu,DHT_00042.spu,DHT_00043.spu,DHT_00044.spu,DHT_00045.spu,DHT_00046.spu,DHT_00047.spu,DHT_00048.spu,DHT_00049.spu,DHT_00050.spu,DHT_00051.spu,DHT_00052.spu,DHT_00053.spu,DHT_00054.spu,DHT_00055.spu,DHT_00056.spu,DHT_00057.spu,DHT_00058.spu,DHT_00059.spu,DHT_00060.spu,DHT_00061.spu,DHT_00062.spu,DHT_00063.spu,DHT_00064.spu,DHT_00065.spu,DHT_00066.spu,DHT_00067.spu,DHT_00068.spu,DHT_00069.spu,DHT_00070.spu,DHT_00071.spu,DHT_00072.spu,DHT_00073.spu,DHT_00074.spu,DHT_00075.spu,DHT_00076.spu,DHT_00077.spu,DHT_00078.spu,DHT_00079.spu,DHT_00080.spu,DHT_00081.spu,DHT_00082.spu,DHT_00083.spu,DHT_00084.spu,DHT_00085.spu,DHT_00086.spu,DHT_00087.spu,DHT_00088.spu,DHT_00089.spu,DHT_00090.spu,DHT_00091.spu,DHT_00092.spu,DHT_00093.spu,DHT_00094.spu,DHT_00095.spu,DHT_00096.spu,DHT_00097.spu,DHT_00098.spu,DHT_00099.spu,DHT_00100.spu,DHT_00101.spu,DHT_00102.spu,DHT_00103.spu,DHT_00104.spu,DHT_00105.spu,DHT_00111.spu,DHT_00112.spu,DHT_00113.spu,DHT_00114.spu,DHT_00115.spu,DHT_00116.spu,DHT_00117.spu,DHT_00118.spu,DHT_00119.spu,DHT_00120.spu,DHT_00121.spu,DHT_00122.spu,DHT_00123.spu,DHT_00124.spu,DHT_00125.spu,DHT_00126.spu,DHT_00127.spu,DHT_00128.spu,DHT_00129.spu,DHT_00130.spu,DHT_00136.spu,DHT_00137.spu,DHT_00138.spu,DHT_00139.spu,DHT_00140.spu,DHT_00141.spu,DHT_00142.spu,DHT_00143.spu,DHT_00144.spu,DHT_00145.spu,DHT_00146.spu,DHT_00147.spu,DHT_00148.spu,DHT_00149.spu,DHT_00150.spu,DHT_00151.spu,DHT_00152.spu,DHT_00153.spu,DHT_00154.spu,DHT_00155.spu,DHT_00156.spu,DHT_00157.spu,DHT_00158.spu,DHT_00159.spu,DHT_00160.spu,DHT_00161.spu,DHT_00162.spu,DHT_00163.spu,DHT_00164.spu,DHT_00165.spu,DHT_00166.spu,DHT_00167.spu,DHT_00168.spu,DHT_00169.spu,DHT_00170.spu,DHT_00171.spu,DHT_00172.spu,DHT_00173.spu,DHT_00174.spu,DHT_00175.spu,DHT_00176.spu,DHT_00177.spu,DHT_00178.spu,DHT_00179.spu,DHT_00180.spu,DHT_00181.spu,DHT_00182.spu,DHT_00183.spu,DHT_00184.spu,DHT_00185.spu,DHT_00186.spu,DHT_00187.spu,DHT_00188.spu,DHT_00189.spu,DHT_00190.spu
  (nm),7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 ,7/25/2017 
  time  ,30:30 PM,30:40 PM,30:53 PM,31:01 PM,31:09 PM,31:43 PM,31:49 PM,31:56 PM,32:03 PM,32:10 PM,43:57 PM,44:14 PM,44:27 PM,44:35 PM,44:42 PM,45:10 PM,45:17 PM,45:25 PM,45:32 PM,45:41 PM,46:05 PM,46:12 PM,46:39 PM,46:56 PM,47:07 PM,47:36 PM,47:44 PM,47:54 PM,48:04 PM,48:15 PM,48:25 PM,48:34 PM,48:43 PM,48:53 PM,49:01 PM,50:05 PM,50:18 PM,50:27 PM,50:35 PM,50:43 PM,51:38 PM,51:47 PM,52:01 PM,52:11 PM,52:18 PM,52:40 PM,52:53 PM,53:02 PM,53:15 PM,53:25 PM,53:35 PM,53:43 PM,53:51 PM,54:03 PM,54:12 PM,54:55 PM,55:11 PM,55:19 PM,55:37 PM,55:50 PM,59:55 PM,00:03 PM,00:12 PM,00:19 PM,00:29 PM,00:48 PM,00:56 PM,01:03 PM,01:09 PM,01:14 PM,01:27 PM,01:42 PM,01:53 PM,02:02 PM,02:11 PM,02:28 PM,02:55 PM,03:06 PM,03:14 PM,03:23 PM,03:54 PM,04:02 PM,04:09 PM,04:16 PM,04:25 PM,05:42 PM,05:53 PM,06:01 PM,06:08 PM,06:17 PM,07:30 PM,07:37 PM,08:06 PM,08:16 PM,08:25 PM,09:01 PM,09:09 PM,09:16 PM,09:23 PM,09:29 PM,09:45 PM,10:14 PM,10:26 PM,10:35 PM,10:46 PM,10:59 PM,11:12 PM,11:26 PM,11:38 PM,11:50 PM,14:43 PM,14:52 PM,15:01 PM,15:12 PM,15:20 PM,15:43 PM,15:53 PM,16:02 PM,16:12 PM,16:28 PM,16:41 PM,16:52 PM,17:03 PM,17:14 PM,17:24 PM,17:47 PM,17:55 PM,18:02 PM,18:10 PM,18:17 PM,19:04 PM,19:13 PM,19:24 PM,19:30 PM,19:37 PM,20:21 PM,20:28 PM,20:37 PM,20:44 PM,20:53 PM,21:22 PM,21:30 PM,21:39 PM,21:46 PM,21:55 PM,22:15 PM,22:22 PM,22:31 PM,22:40 PM,22:47 PM,23:04 PM,23:14 PM,23:32 PM,23:42 PM,23:53 PM,24:06 PM,24:16 PM,24:24 PM,24:36 PM,24:46 PM,25:15 PM,25:23 PM,25:32 PM,25:41 PM,25:50 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.020074 , 0.050667 , 0.027337 , 0.044199 , 0.043609 , 0.05285 , 0.042509 , 0.020078 , 0.034373 , 0.056128 , 0.04292 , 0.039226 , 0.051562 , 0.044575 , 0.036578 , 0.035147 , 0.031716 , 0.037696 , 0.035496 , 0.032584 , 0.061223 , 0.017099 , 0.021541 , 0.021983 , 0.019761 , 0.011128 , 0.032637 , 0.036587 , 0.027834 , 0.033586 , 0.047809 , 0.033259 , 0.02409 , 0.031935 , 0.015543 , 0.011799 , 0.04576 , 0.055976 , 0.011924 , 0.019094 , 0.019671 , 0.02625 , 0.019801 , 0.006414 , 0.008261 , 0.024681 , 0.009827 , 0.004553 , 0.028795 , 0.023522 , 0.021134 , 0.025423 , 0.024426 , 0.006655 , 0.014957 , 0.009719 , 0.013575 , 0.00356 , 0 , 0 , 0 , 0 , 0.010717 , 0 , 0.002295 , 0 , 0.001883 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005779 , 0.014246 , 0.004267 , 0 , 0 , 0 , 0.002218 , 0 , 0 , 0.001771 , 0.006535 , 0.009715 , 0 , 0 , 0 , 0 , 0 , 0.013445 , 0 , 0 , 0.004017 , 0.006414 , 0.002165 , 0.002151 , 0 , 0.003095 , 0.00165 , 0.007885 , 0.00331 , 0.00174 , 0 , 0.010515 , 0.007022 , 0.003677 , 0.017148 , 0.022212 , 0.005564 , 0.00187 , 0.011477 , 0.005488 , 0.001905 , 0 , 0.003833 , 0.005488 , 0.005604 , 0.005582 , 0.003914 , 0.005676 , 0.003932 , 0 , 0.007796 , 0.005676 , 0.019523 , 0.003949 , 0.002044 , 0.002026 , 0.002035 , 0.018132 , 0.009916 , 0.007809 , 0.005855 , 0.00199 , 0 , 0.012081 , 0 , 0.003766 , 0.003596 , 0.007349 , 0 , 0.001789 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003372 , 0.004652 , 0.021599 , 0.009473 , 0.013906 , 0.004719 , 0.011839 , 0.003006 , 0.02053 , 0.01188 , 0.017377 , 0.015449 , 0.015999 
 311 , 0.018812 , 0.047561 , 0.020047 , 0.043093 , 0.045857 , 0.051422 , 0.038268 , 0.022757 , 0.028963 , 0.064698 , 0.034947 , 0.030295 , 0.046719 , 0.03883 , 0.030538 , 0.029352 , 0.027862 , 0.030395 , 0.029637 , 0.027007 , 0.05757 , 0.014201 , 0.019955 , 0.020525 , 0.01364 , 0.005432 , 0.030822 , 0.035957 , 0.021567 , 0.033356 , 0.044906 , 0.029135 , 0.019595 , 0.02101 , 0.012074 , 0.001851 , 0.046594 , 0.052331 , 0.009707 , 0.014042 , 0.01436 , 0.023192 , 0.014645 , 0.000729 , 0.001332 , 0.023247 , 0.005419 , 0.000519 , 0.02323 , 0.015193 , 0.014523 , 0.026099 , 0.018992 , 0.004653 , 0.010093 , 0.009012 , 0.013933 , 0.000402 , 0 , 0 , 0 , 0 , 0.001717 , 0 , 0.000264 , 0 , 0.000214 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000653 , 0.006851 , 0.000482 , 0 , 0 , 0 , 0.000255 , 0 , 0 , 0.000201 , 0.000745 , 0.01132 , 0 , 0 , 0 , 0 , 0 , 0.015671 , 0 , 0 , 0.000452 , 0.005905 , 0.000243 , 0.000243 , 0 , 0.000348 , 0.000188 , 0.004808 , 0.000373 , 0.000197 , 0 , 0.014042 , 0.000787 , 0.000415 , 0.016094 , 0.029637 , 0.005113 , 0.000214 , 0.006365 , 0.00062 , 0.000214 , 0 , 0.00044 , 0.00062 , 0.000637 , 0.000637 , 0.000444 , 0.000645 , 0.000444 , 0 , 0.005599 , 0.000645 , 0.016743 , 0.000444 , 0.00023 , 0.00023 , 0.00023 , 0.012074 , 0.006106 , 0.0009 , 0.000662 , 0.000226 , 0 , 0.006701 , 0 , 0.000423 , 0.004787 , 0.000838 , 0 , 0.000201 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000381 , 0.000532 , 0.017451 , 0.001441 , 0.012949 , 0.00054 , 0.008547 , 0.000339 , 0.016605 , 0.008627 , 0.012723 , 0.012061 , 0.012413 
 312 , 0.020065 , 0.039908 , 0.021458 , 0.040077 , 0.036751 , 0.0447 , 0.036326 , 0.024175 , 0.031225 , 0.054585 , 0.037689 , 0.032319 , 0.045726 , 0.037608 , 0.030119 , 0.030593 , 0.028929 , 0.030371 , 0.030727 , 0.028366 , 0.056296 , 0.013953 , 0.02124 , 0.020505 , 0.013678 , 0.006196 , 0.025702 , 0.032097 , 0.019679 , 0.035194 , 0.039419 , 0.029518 , 0.017337 , 0.022851 , 0.014998 , 0.007669 , 0.04186 , 0.053912 , 0.009774 , 0.016165 , 0.012407 , 0.028071 , 0.016671 , 0.006123 , 0.007386 , 0.023073 , 0.007336 , 0.003881 , 0.02566 , 0.01695 , 0.01734 , 0.024838 , 0.013571 , 0.010065 , 0.011493 , 0.009196 , 0.013781 , 0.00225 , 0.001148 , 0.002331 , 0 , 0 , 0.001718 , 0 , 0.002866 , 0.00124 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001393 , 0.001251 , 0 , 0 , 0.002522 , 0.007815 , 0.003892 , 0 , 0.001408 , 0 , 0.004087 , 0 , 0 , 0 , 0.002109 , 0.009656 , 0.003257 , 0.004899 , 0 , 0 , 0.005871 , 0.023008 , 0.001179 , 0 , 0.006196 , 0.009261 , 0 , 0 , 0 , 0.001952 , 0.001037 , 0.006074 , 0.010291 , 0.007539 , 0 , 0.011068 , 0.003222 , 0.002289 , 0.016919 , 0.029663 , 0.010417 , 0.004569 , 0.013402 , 0.003441 , 0.00238 , 0.003536 , 0.00243 , 0.005813 , 0.004757 , 0.004742 , 0.002438 , 0.003571 , 0.003609 , 0.003582 , 0.004891 , 0.003571 , 0.021079 , 0.004834 , 0 , 0.001271 , 0.002568 , 0.015243 , 0.008825 , 0.008798 , 0.003674 , 0.00364 , 0 , 0.011523 , 0 , 0 , 0.003398 , 0.005852 , 0.001179 , 0 , 0.00114 , 0 , 0 , 0 , 0 , 0 , 0.004137 , 0.002947 , 0.018297 , 0.007134 , 0.013804 , 0.00716 , 0.011229 , 0.001894 , 0.019288 , 0.014114 , 0.013659 , 0.012423 , 0.014577 
 313 , 0.021427 , 0.032943 , 0.023705 , 0.037381 , 0.027792 , 0.038376 , 0.035008 , 0.0252 , 0.03409 , 0.043891 , 0.041352 , 0.035433 , 0.045392 , 0.03716 , 0.030517 , 0.032539 , 0.030506 , 0.031255 , 0.032497 , 0.030433 , 0.055544 , 0.014087 , 0.022657 , 0.020685 , 0.014495 , 0.007645 , 0.021078 , 0.028414 , 0.018666 , 0.036949 , 0.03442 , 0.030433 , 0.015716 , 0.025981 , 0.018237 , 0.014393 , 0.037146 , 0.055843 , 0.010124 , 0.018905 , 0.01119 , 0.033165 , 0.019246 , 0.012055 , 0.014116 , 0.023107 , 0.009762 , 0.007645 , 0.028787 , 0.019689 , 0.020846 , 0.02354 , 0.009041 , 0.015512 , 0.013419 , 0.00947 , 0.013592 , 0.004441 , 0.002258 , 0.0046 , 0 , 0 , 0.002845 , 0 , 0.005532 , 0.002444 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002736 , 0.002458 , 0 , 0 , 0.00499 , 0.009657 , 0.007673 , 0 , 0.002753 , 0 , 0.007986 , 0 , 0 , 0 , 0.004125 , 0.007853 , 0.006372 , 0.009593 , 0 , 0 , 0.011626 , 0.029775 , 0.002328 , 0 , 0.012315 , 0.012554 , 0 , 0 , 0 , 0.003893 , 0.002043 , 0.007673 , 0.020519 , 0.014791 , 0 , 0.007751 , 0.006277 , 0.004487 , 0.017836 , 0.028801 , 0.015635 , 0.008957 , 0.020839 , 0.006738 , 0.004681 , 0.006952 , 0.004761 , 0.011387 , 0.009351 , 0.009287 , 0.004719 , 0.006991 , 0.007142 , 0.00704 , 0.004477 , 0.006991 , 0.02559 , 0.009537 , 0 , 0.002507 , 0.005046 , 0.019141 , 0.011879 , 0.017154 , 0.007223 , 0.007181 , 0 , 0.016809 , 0 , 0 , 0.001881 , 0.011545 , 0.002328 , 0 , 0.00223 , 0 , 0 , 0 , 0 , 0 , 0.008141 , 0.005802 , 0.019623 , 0.013887 , 0.01478 , 0.014098 , 0.014295 , 0.003731 , 0.022369 , 0.019848 , 0.015153 , 0.013194 , 0.017119 
 314 , 0.022565 , 0.027178 , 0.025576 , 0.035178 , 0.020411 , 0.033155 , 0.033935 , 0.026043 , 0.036542 , 0.035097 , 0.044493 , 0.038137 , 0.045155 , 0.036832 , 0.030937 , 0.034209 , 0.031964 , 0.031997 , 0.033974 , 0.032265 , 0.055002 , 0.014229 , 0.02384 , 0.020875 , 0.015227 , 0.008871 , 0.017286 , 0.025371 , 0.017844 , 0.038392 , 0.030274 , 0.031273 , 0.014382 , 0.028604 , 0.020943 , 0.019879 , 0.033247 , 0.057423 , 0.01045 , 0.021273 , 0.010186 , 0.037436 , 0.021393 , 0.017038 , 0.019772 , 0.023149 , 0.011824 , 0.010809 , 0.031511 , 0.022017 , 0.023765 , 0.02249 , 0.005282 , 0.020062 , 0.015005 , 0.009713 , 0.013445 , 0.006294 , 0.003188 , 0.006516 , 0 , 0 , 0.003804 , 0 , 0.007664 , 0.003462 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003856 , 0.003468 , 0 , 0 , 0.00709 , 0.01122 , 0.010858 , 0 , 0.003863 , 0 , 0.011204 , 0 , 0 , 0 , 0.005791 , 0.006356 , 0.008959 , 0.013485 , 0 , 0 , 0.016525 , 0.0354 , 0.003299 , 0 , 0.01757 , 0.015312 , 0 , 0 , 0 , 0.005569 , 0.002887 , 0.009015 , 0.029364 , 0.020829 , 0 , 0.004976 , 0.00878 , 0.006313 , 0.018597 , 0.028163 , 0.020052 , 0.0126 , 0.027074 , 0.009478 , 0.006604 , 0.009811 , 0.006695 , 0.016016 , 0.013194 , 0.013057 , 0.006568 , 0.009827 , 0.01015 , 0.009935 , 0.004137 , 0.009827 , 0.029345 , 0.013504 , 0 , 0.003553 , 0.007116 , 0.022522 , 0.014388 , 0.024017 , 0.010186 , 0.01017 , 0 , 0.021194 , 0 , 0 , 0.000597 , 0.016353 , 0.003299 , 0 , 0.003126 , 0 , 0 , 0 , 0 , 0 , 0.011504 , 0.008202 , 0.020754 , 0.019811 , 0.015645 , 0.019928 , 0.016953 , 0.005279 , 0.024966 , 0.024689 , 0.016431 , 0.01386 , 0.019282 
 315 , 0.022154 , 0.024146 , 0.023069 , 0.033342 , 0.019076 , 0.03014 , 0.030845 , 0.023069 , 0.03521 , 0.031267 , 0.04329 , 0.038754 , 0.043824 , 0.035127 , 0.030279 , 0.033395 , 0.030839 , 0.031037 , 0.033534 , 0.031264 , 0.053696 , 0.013873 , 0.022803 , 0.019188 , 0.014906 , 0.010037 , 0.016178 , 0.023464 , 0.018161 , 0.038288 , 0.028036 , 0.03011 , 0.014275 , 0.028139 , 0.020392 , 0.023459 , 0.029857 , 0.056024 , 0.012681 , 0.021328 , 0.009497 , 0.036263 , 0.022216 , 0.019318 , 0.021756 , 0.023866 , 0.013144 , 0.012746 , 0.031258 , 0.021561 , 0.023937 , 0.021393 , 0.004931 , 0.022417 , 0.01596 , 0.012132 , 0.014694 , 0.007095 , 0.005702 , 0.007856 , 0.00162 , 0 , 0.005584 , 0.000549 , 0.009771 , 0.004707 , 0.002455 , 0.001585 , 0.001157 , 0 , 0 , 0.000634 , 0.005229 , 0.005197 , 0.00144 , 0.000682 , 0.009033 , 0.014776 , 0.013684 , 0.000564 , 0.00468 , 0 , 0.010063 , 0 , 0.000534 , 0.00095 , 0.005693 , 0.00528 , 0.01225 , 0.015092 , 0.00062 , 0 , 0.015662 , 0.033935 , 0.00399 , 0 , 0.018719 , 0.016072 , 0.002821 , 0 , 0.002175 , 0.00754 , 0.004745 , 0.011058 , 0.029842 , 0.020785 , 0 , 0.005336 , 0.011126 , 0.009039 , 0.019094 , 0.029916 , 0.020699 , 0.014735 , 0.027475 , 0.010571 , 0.008425 , 0.011377 , 0.007573 , 0.017981 , 0.014992 , 0.013811 , 0.008372 , 0.011923 , 0.010273 , 0.010022 , 0.006283 , 0.011946 , 0.031052 , 0.014354 , 0 , 0.006912 , 0.008605 , 0.024636 , 0.016063 , 0.026395 , 0.011828 , 0.011347 , 0.002579 , 0.021688 , 0.000992 , 0.000986 , 0.001927 , 0.019256 , 0.003966 , 0.003736 , 0.003733 , 0 , 0 , 0 , 0.000475 , 0 , 0.013071 , 0.009157 , 0.020696 , 0.021874 , 0.016987 , 0.021514 , 0.019035 , 0.006371 , 0.025607 , 0.025026 , 0.017716 , 0.015476 , 0.020537 
