HST_00004.spu,HST_00003.spu,HST_00002.spu,
Wavelength,HST_00005.spu,HST_00006.spu,HST_00007.spu,HST_00008.spu,HST_00009.spu,HST_00010.spu,HST_00011.spu,HST_00012.spu,HST_00013.spu,HST_00014.spu,HST_00015.spu,HST_00016.spu,HST_00017.spu,HST_00018.spu,HST_00019.spu,HST_00020.spu,HST_00021.spu,HST_00022.spu,HST_00023.spu,HST_00024.spu,HST_00025.spu,HST_00026.spu,HST_00027.spu,HST_00028.spu,HST_00029.spu,HST_00030.spu,HST_00031.spu,HST_00032.spu,HST_00033.spu,HST_00034.spu,HST_00035.spu,HST_00036.spu,HST_00037.spu,HST_00038.spu,HST_00039.spu,HST_00040.spu,HST_00041.spu,HST_00042.spu,HST_00043.spu,HST_00044.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,:11:40 A,:11:51 A,:12:02 A,:12:17 A,:12:26 A,:12:47 A,:12:55 A,:13:03 A,:13:09 A,:13:17 A,:14:59 A,:15:07 A,:15:15 A,:15:24 A,:15:35 A,:15:49 A,:15:56 A,:16:04 A,:16:12 A,:16:19 A,:16:45 A,:16:52 A,:16:59 A,:17:07 A,:17:15 A,:17:30 A,:17:39 A,:17:48 A,:17:56 A,:18:04 A,:18:45 A,:18:56 A,:19:05 A,:19:15 A,:19:26 A,:19:57 A,:20:04 A,:20:12 A,:20:21 A,:20:28 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.017238 , 0.022929 , 0 , 0.003769 , 0.031486 , 0.002185 , 0.003854 , 0 , 0.027672 , 0.007752 , 0.007648 , 0.017124 , 0 , 0.003923 , 0 , 0.01405 , 0.010057 , 0.005999 , 0.015793 , 0.003794 , 0 , 0 , 0.009769 , 0.004082 , 0.004018 , 0.00593 , 0 , 0.00591 , 0.002061 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002011 , 0 , 0.011914 , 0 , 0 
 311 , 0.002982 , 0.031754 , 0 , 0.005201 , 0.03361 , 0.000258 , 0.00532 , 0 , 0.028176 , 0.000897 , 0.010521 , 0.02099 , 0 , 0.000453 , 0 , 0.007005 , 0.010908 , 0.000697 , 0.011814 , 0.005201 , 0 , 0 , 0.006065 , 0.005716 , 0.000472 , 0.005621 , 0 , 0.000692 , 0.000243 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000234 , 0 , 0.011366 , 0 , 0 
 312 , 0.001972 , 0.023706 , 0.003713 , 0.003686 , 0.028152 , 0 , 0.003756 , 0.004904 , 0.02433 , 0.002513 , 0.01003 , 0.016015 , 0 , 0.001283 , 0.002556 , 0.005436 , 0.01129 , 0 , 0.009009 , 0.003686 , 0 , 0 , 0.007717 , 0.003983 , 0 , 0.003826 , 0 , 0.002574 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001313 , 0 , 0.010322 , 0 , 0 
 313 , 0.002856 , 0.014913 , 0.007372 , 0.002029 , 0.022681 , 0 , 0.002061 , 0.009677 , 0.020596 , 0.004964 , 0.009182 , 0.010743 , 0 , 0.00256 , 0.005012 , 0.00482 , 0.011538 , 0 , 0.006801 , 0.002029 , 0 , 0 , 0.009805 , 0.002153 , 0 , 0.002113 , 0 , 0.005076 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00258 , 0 , 0.009381 , 0 , 0 
 314 , 0.003597 , 0.007658 , 0.010499 , 0.000638 , 0.01815 , 0 , 0.000645 , 0.013687 , 0.017505 , 0.007017 , 0.008472 , 0.006368 , 0 , 0.003656 , 0.007039 , 0.004308 , 0.011726 , 0 , 0.00496 , 0.000638 , 0 , 0 , 0.011557 , 0.000667 , 0 , 0.000667 , 0 , 0.007179 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003637 , 0 , 0.008598 , 0 , 0 
 315 , 0.007269 , 0.006685 , 0.012324 , 0.00417 , 0.017216 , 0.000528 , 0.001556 , 0.015109 , 0.015686 , 0.008999 , 0.010271 , 0.007216 , 0.001536 , 0.006638 , 0.009616 , 0.007002 , 0.012184 , 0.001593 , 0.008237 , 0.001058 , 0.000544 , 0.00217 , 0.011095 , 0.002144 , 0.000554 , 0.001609 , 0.001089 , 0.0098 , 0.002718 , 0.002651 , 0.001089 , 0 , 0.00208 , 0.002698 , 0.002718 , 0.004975 , 0.000568 , 0.009897 , 0.000551 , 0 
