HST_00004.spu,HST_00003.spu,HST_00002.spu,
Wavelength,SHB2_00005.spu,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,:49:13 A,:49:43 A,:50:11 A,:50:40 A,:51:06 A,:52:25 A,:52:45 A,:53:08 A,:53:25 A,:53:44 A,:54:29 A,:54:48 A,:55:08 A,:55:26 A,:55:50 A,:57:07 A,:57:20 A,:57:35 A,:57:51 A,:58:07 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.038027 , 0.023257 , 0.010474 , 0.015713 , 0.009352 , 0.029887 , 0.035072 , 0.031342 , 0.044742 , 0.045049 , 0.038851 , 0.023138 , 0.025706 , 0.038921 , 0.033989 , 0.039005 , 0.049916 , 0.034243 , 0.038027 , 0.025716 
 311 , 0.035953 , 0.025241 , 0.014143 , 0.019029 , 0.010192 , 0.029655 , 0.036316 , 0.031272 , 0.045315 , 0.045334 , 0.032613 , 0.020326 , 0.025761 , 0.039417 , 0.035151 , 0.035404 , 0.049886 , 0.035519 , 0.035953 , 0.026019 
 312 , 0.031459 , 0.02064 , 0.011181 , 0.015465 , 0.00811 , 0.023776 , 0.034159 , 0.02478 , 0.041288 , 0.040236 , 0.028689 , 0.015941 , 0.022171 , 0.035097 , 0.029692 , 0.032746 , 0.039626 , 0.032078 , 0.032266 , 0.023475 
 313 , 0.027361 , 0.016059 , 0.007832 , 0.01165 , 0.006031 , 0.018108 , 0.031938 , 0.018631 , 0.037334 , 0.035261 , 0.025724 , 0.012045 , 0.018735 , 0.030808 , 0.024326 , 0.03064 , 0.029809 , 0.028655 , 0.028995 , 0.021023 
 314 , 0.023939 , 0.012305 , 0.005019 , 0.008505 , 0.004337 , 0.013374 , 0.03006 , 0.013587 , 0.034033 , 0.031107 , 0.023257 , 0.008793 , 0.015891 , 0.027215 , 0.019893 , 0.028862 , 0.021721 , 0.025819 , 0.026272 , 0.018986 
 315 , 0.023834 , 0.011773 , 0.005406 , 0.009416 , 0.005656 , 0.014221 , 0.030124 , 0.012888 , 0.033303 , 0.031042 , 0.022044 , 0.010174 , 0.016491 , 0.025834 , 0.019974 , 0.028612 , 0.022398 , 0.025283 , 0.026698 , 0.019279 
 316 , 0.026318 , 0.013729 , 0.008262 , 0.013424 , 0.00918 , 0.019378 , 0.031651 , 0.015557 , 0.034609 , 0.034114 , 0.021859 , 0.015086 , 0.019688 , 0.026279 , 0.023517 , 0.02956 , 0.029811 , 0.02653 , 0.029512 , 0.021349 
 317 , 0.02822 , 0.015242 , 0.010471 , 0.016577 , 0.011891 , 0.023395 , 0.032771 , 0.0176 , 0.035604 , 0.0364 , 0.021658 , 0.018914 , 0.022138 , 0.026606 , 0.026231 , 0.0303 , 0.035585 , 0.027486 , 0.031673 , 0.022961 
 318 , 0.029515 , 0.016538 , 0.012394 , 0.019075 , 0.013945 , 0.026125 , 0.033479 , 0.019119 , 0.036142 , 0.037658 , 0.021796 , 0.021486 , 0.024028 , 0.026909 , 0.028217 , 0.031078 , 0.039615 , 0.028249 , 0.033243 , 0.024171 
 319 , 0.02882 , 0.018294 , 0.015309 , 0.020688 , 0.014839 , 0.024475 , 0.032808 , 0.019507 , 0.034566 , 0.034362 , 0.024468 , 0.019685 , 0.025126 , 0.027596 , 0.028409 , 0.033126 , 0.037962 , 0.028812 , 0.033285 , 0.024512 
 320 , 0.028296 , 0.019686 , 0.017578 , 0.022003 , 0.015572 , 0.023174 , 0.032292 , 0.019841 , 0.03333 , 0.031766 , 0.026662 , 0.018259 , 0.026035 , 0.028142 , 0.028644 , 0.034782 , 0.036706 , 0.029294 , 0.033358 , 0.024784 
 321 , 0.027893 , 0.020817 , 0.019381 , 0.023106 , 0.016189 , 0.022124 , 0.031888 , 0.020133 , 0.032337 , 0.029672 , 0.028511 , 0.017104 , 0.026805 , 0.028583 , 0.028909 , 0.036149 , 0.035735 , 0.02972 , 0.033448 , 0.025004 
 322 , 0.025904 , 0.020494 , 0.018741 , 0.021887 , 0.016525 , 0.021055 , 0.030326 , 0.019383 , 0.031525 , 0.029576 , 0.027083 , 0.016127 , 0.026452 , 0.02832 , 0.027537 , 0.035503 , 0.033933 , 0.029247 , 0.033576 , 0.024081 
 323 , 0.023819 , 0.019842 , 0.017545 , 0.020242 , 0.016762 , 0.020167 , 0.028724 , 0.018483 , 0.030901 , 0.030064 , 0.024996 , 0.015366 , 0.025867 , 0.027927 , 0.025957 , 0.034446 , 0.032223 , 0.028623 , 0.033723 , 0.023012 
 324 , 0.022186 , 0.019359 , 0.016618 , 0.018953 , 0.016998 , 0.019476 , 0.027501 , 0.017792 , 0.030405 , 0.030453 , 0.023368 , 0.014766 , 0.02543 , 0.027644 , 0.024723 , 0.033668 , 0.030874 , 0.028149 , 0.03388 , 0.022192 
 325 , 0.021061 , 0.018605 , 0.015686 , 0.017846 , 0.016674 , 0.018813 , 0.026465 , 0.017037 , 0.029721 , 0.029889 , 0.021988 , 0.014254 , 0.024347 , 0.026688 , 0.023568 , 0.031867 , 0.029751 , 0.027243 , 0.033295 , 0.021565 
 326 , 0.020507 , 0.017351 , 0.014626 , 0.016846 , 0.015499 , 0.018089 , 0.02556 , 0.016092 , 0.028682 , 0.027918 , 0.020793 , 0.013792 , 0.022233 , 0.024665 , 0.02238 , 0.028406 , 0.028784 , 0.025599 , 0.031575 , 0.021116 
 327 , 0.020047 , 0.016344 , 0.013771 , 0.01604 , 0.014547 , 0.017515 , 0.024808 , 0.015324 , 0.027854 , 0.026325 , 0.019822 , 0.013439 , 0.02052 , 0.023027 , 0.021406 , 0.025611 , 0.028024 , 0.024277 , 0.030187 , 0.020764 
