REF_00014.spu,REF_00013.spu,REF_00012.spu,REF_00011.spu,REF_00010.spu,
Wavelength,DHT_00005.spu,DHT_00006.spu,DHT_00007.spu,DHT_00008.spu,DHT_00009.spu,DHT_00010.spu,DHT_00011.spu,DHT_00012.spu,DHT_00013.spu,DHT_00014.spu,DHT_00015.spu,DHT_00016.spu,DHT_00017.spu,DHT_00018.spu,DHT_00019.spu,DHT_00020.spu,DHT_00021.spu,DHT_00022.spu,DHT_00023.spu,DHT_00024.spu,DHT_00025.spu,DHT_00026.spu,DHT_00027.spu,DHT_00028.spu,DHT_00029.spu,DHT_00030.spu,DHT_00031.spu,DHT_00032.spu,DHT_00033.spu,DHT_00034.spu,DHT_00035.spu,DHT_00036.spu,DHT_00037.spu,DHT_00038.spu,DHT_00039.spu,DHT_00040.spu,DHT_00041.spu,DHT_00042.spu,DHT_00043.spu,DHT_00044.spu,DHT_00045.spu,DHT_00046.spu,DHT_00047.spu,DHT_00048.spu,DHT_00049.spu,DHT_00050.spu,DHT_00051.spu,DHT_00052.spu,DHT_00053.spu,DHT_00054.spu,DHT_00055.spu,DHT_00056.spu,DHT_00057.spu,DHT_00058.spu,DHT_00059.spu,DHT_00060.spu,DHT_00061.spu,DHT_00062.spu,DHT_00063.spu,DHT_00064.spu,DHT_00065.spu,DHT_00066.spu,DHT_00067.spu,DHT_00068.spu,DHT_00069.spu,DHT_00070.spu,DHT_00071.spu,DHT_00072.spu,DHT_00073.spu,DHT_00074.spu,DHT_00075.spu,DHT_00076.spu,DHT_00077.spu,DHT_00078.spu,DHT_00079.spu,DHT_00080.spu,DHT_00081.spu,DHT_00082.spu,DHT_00083.spu,DHT_00084.spu,DHT_00085.spu,DHT_00086.spu,DHT_00087.spu,DHT_00088.spu,DHT_00089.spu,DHT_00090.spu,DHT_00091.spu,DHT_00092.spu,DHT_00093.spu,DHT_00094.spu,DHT_00095.spu,DHT_00096.spu,DHT_00097.spu,DHT_00098.spu,DHT_00099.spu,DHT_00100.spu,DHT_00101.spu,DHT_00102.spu,DHT_00103.spu,DHT_00104.spu,DHT_00105.spu,DHT_00106.spu,DHT_00107.spu,DHT_00108.spu,DHT_00109.spu,DHT_00110.spu,DHT_00111.spu,DHT_00112.spu,DHT_00113.spu,DHT_00114.spu,DHT_00115.spu,DHT_00116.spu,DHT_00117.spu,DHT_00118.spu,DHT_00119.spu,DHT_00120.spu,DHT_00121.spu,DHT_00122.spu,DHT_00123.spu,DHT_00124.spu,DHT_00125.spu,DHT_00126.spu,DHT_00127.spu,DHT_00128.spu,DHT_00129.spu,DHT_00130.spu,DHT_00131.spu,DHT_00132.spu,DHT_00133.spu,DHT_00134.spu,DHT_00135.spu,DHT_00136.spu,DHT_00137.spu,DHT_00138.spu,DHT_00139.spu,DHT_00140.spu,DHT_00141.spu,DHT_00142.spu,DHT_00143.spu,DHT_00144.spu,DHT_00145.spu,DHT_00146.spu,DHT_00147.spu,DHT_00148.spu,DHT_00149.spu,DHT_00150.spu,DHT_00151.spu,DHT_00152.spu,DHT_00153.spu,DHT_00154.spu,DHT_00155.spu,DHT_00156.spu,DHT_00157.spu,DHT_00158.spu,DHT_00159.spu,DHT_00160.spu,DHT_00161.spu,DHT_00162.spu,DHT_00163.spu,DHT_00164.spu,DHT_00165.spu,DHT_00166.spu,DHT_00167.spu,DHT_00168.spu,DHT_00169.spu
  (nm),8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2,8/4/2017 2
  time  ,8:38 PM",8:53 PM",9:03 PM",9:12 PM",9:21 PM",9:59 PM",0:11 PM",0:21 PM",0:32 PM",0:43 PM",1:27 PM",1:38 PM",1:47 PM",1:58 PM",2:08 PM",2:45 PM",3:03 PM",3:19 PM",3:27 PM",3:38 PM",4:05 PM",4:15 PM",4:25 PM",4:36 PM",4:45 PM",4:59 PM",5:10 PM",5:22 PM",5:35 PM",5:47 PM",6:01 PM",6:15 PM",6:27 PM",6:39 PM",6:45 PM",7:20 PM",7:51 PM",8:02 PM",8:10 PM",8:19 PM",8:50 PM",9:00 PM",9:10 PM",9:21 PM",9:37 PM",9:54 PM",0:03 PM",0:15 PM",0:27 PM",0:37 PM",0:49 PM",0:58 PM",1:08 PM",1:18 PM",1:28 PM",2:28 PM",2:38 PM",2:47 PM",2:58 PM",3:07 PM",3:36 PM",3:49 PM",4:01 PM",4:13 PM",4:23 PM",4:56 PM",5:01 PM",5:09 PM",5:15 PM",5:23 PM",5:34 PM",5:42 PM",5:57 PM",6:15 PM",6:25 PM",6:36 PM",6:46 PM",6:54 PM",7:06 PM",7:15 PM",7:49 PM",7:59 PM",8:07 PM",8:16 PM",8:25 PM",8:51 PM",9:00 PM",9:07 PM",9:17 PM",9:25 PM",0:11 PM",0:20 PM",0:29 PM",0:40 PM",0:49 PM",1:24 PM",1:30 PM",1:42 PM",1:51 PM",2:00 PM",2:17 PM",2:25 PM",2:34 PM",2:43 PM",2:53 PM",3:13 PM",3:26 PM",3:38 PM",3:53 PM",4:04 PM",5:04 PM",5:24 PM",5:32 PM",5:41 PM",5:51 PM",6:30 PM",6:40 PM",6:47 PM",6:55 PM",7:02 PM",7:35 PM",7:47 PM",7:59 PM",8:10 PM",8:20 PM",8:32 PM",8:43 PM",8:55 PM",9:07 PM",9:20 PM",9:34 PM",9:41 PM",9:52 PM",0:02 PM",0:13 PM",0:54 PM",1:01 PM",1:10 PM",1:19 PM",1:30 PM",1:59 PM",2:08 PM",2:18 PM",2:27 PM",2:35 PM",3:05 PM",3:14 PM",3:30 PM",3:42 PM",3:53 PM",4:23 PM",4:34 PM",4:45 PM",4:57 PM",5:06 PM",5:20 PM",5:30 PM",5:40 PM",5:50 PM",6:00 PM",6:33 PM",6:41 PM",6:48 PM",6:56 PM",7:08 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.015459 , 0.014989 , 0.012044 , 0.023055 , 0.02583 , 0.023562 , 0.022598 , 0.017142 , 0.017966 , 0.022269 , 0.02197 , 0.018422 , 0.019516 , 0.021523 , 0.018045 , 0.02085 , 0.014694 , 0.022628 , 0.013952 , 0.017483 , 0.006002 , 0.005976 , 0.008378 , 0.008351 , 0.017778 , 0.003777 , 0.012123 , 0.008977 , 0.015447 , 0.014433 , 0.01584 , 0.008481 , 0.001524 , 0.019232 , 0.027428 , 0.011351 , 0.016026 , 0.017778 , 0.00765 , 0.009011 , 0.013897 , 0.010947 , 0.010505 , 0.010997 , 0.008383 , 0.016032 , 0.01373 , 0.010997 , 0.012978 , 0.014543 , 0.007739 , 0.010721 , 0.007047 , 0.015075 , 0.011495 , 0.009787 , 0.011997 , 0.00625 , 0.003995 , 0.006929 , 0.007711 , 0.004659 , 0.008242 , 0.005333 , 0.006987 , 0.0046 , 0.006938 , 0.007758 , 0.003153 , 0.004717 , 0.009293 , 0.01086 , 0.011638 , 0.017276 , 0.010853 , 0.013346 , 0.008492 , 0.010909 , 0.009171 , 0.011708 , 0.00697 , 0.008524 , 0.005576 , 0.006871 , 0.009979 , 0.001513 , 0.001556 , 0.001539 , 0.006173 , 0.010637 , 0.00464 , 0.007769 , 0.007043 , 0.008972 , 0.005465 , 0.008592 , 0.009058 , 0.019069 , 0.016186 , 0.012461 , 0.003807 , 0.004736 , 0.005444 , 0.007664 , 0.01008 , 0.008643 , 0.006814 , 0.010242 , 0.005529 , 0.011871 , 0.010768 , 0 , 0.006079 , 0.006102 , 0.002338 , 0.014151 , 0.017374 , 0.015921 , 0.012431 , 0.009896 , 0.008338 , 0.014222 , 0.017847 , 0.013189 , 0.018182 , 0.016443 , 0.014818 , 0.012897 , 0.013029 , 0.017024 , 0.013681 , 0.015045 , 0.018046 , 0.018975 , 0.019328 , 0.028437 , 0.022331 , 0.020925 , 0.020006 , 0.031009 , 0.009255 , 0.014617 , 0.019574 , 0.010567 , 0.007 , 0.009424 , 0.001526 , 0.004659 , 0.005401 , 0.017887 , 0 , 0 , 0.011548 , 0.014459 , 0.021042 , 0.008603 , 0.01367 , 0.00464 , 0.016113 , 0.009238 , 0.021867 , 0.015972 , 0.018518 , 0.017806 , 0.010638 
 311 , 0.013786 , 0.012393 , 0.006817 , 0.019616 , 0.020918 , 0.023384 , 0.019975 , 0.016211 , 0.0163 , 0.018358 , 0.019113 , 0.016011 , 0.018055 , 0.020057 , 0.016488 , 0.019979 , 0.010855 , 0.020386 , 0.012025 , 0.016414 , 0.00603 , 0.004149 , 0.006288 , 0.008073 , 0.016811 , 0.003994 , 0.01028 , 0.008059 , 0.014532 , 0.014267 , 0.01427 , 0.006363 , 0.001978 , 0.01862 , 0.026674 , 0.011933 , 0.012823 , 0.016811 , 0.008176 , 0.008063 , 0.010764 , 0.010482 , 0.009994 , 0.007051 , 0.006358 , 0.014441 , 0.014157 , 0.010609 , 0.012434 , 0.014274 , 0.006352 , 0.010232 , 0.006417 , 0.013085 , 0.010318 , 0.010023 , 0.010966 , 0.006254 , 0.002298 , 0.006263 , 0.008181 , 0.004226 , 0.009779 , 0.004211 , 0.00634 , 0.004175 , 0.004524 , 0.008186 , 0.002228 , 0.004279 , 0.006562 , 0.010477 , 0.010444 , 0.016938 , 0.010357 , 0.0126 , 0.008266 , 0.010604 , 0.009991 , 0.012518 , 0.008095 , 0.006512 , 0.006322 , 0.006189 , 0.00843 , 0.001976 , 0.00205 , 0.002048 , 0.006179 , 0.012123 , 0.004225 , 0.006353 , 0.006343 , 0.007972 , 0.004315 , 0.006516 , 0.009979 , 0.018397 , 0.016443 , 0.012653 , 0.004042 , 0.004279 , 0.004314 , 0.006417 , 0.006798 , 0.008569 , 0.006117 , 0.010523 , 0.006244 , 0.010706 , 0.010352 , 0 , 0.006172 , 0.004297 , 0.00026 , 0.014091 , 0.014898 , 0.015879 , 0.010653 , 0.008336 , 0.009902 , 0.012173 , 0.016816 , 0.01259 , 0.016496 , 0.014972 , 0.012768 , 0.01048 , 0.012436 , 0.014708 , 0.012238 , 0.012397 , 0.019915 , 0.02024 , 0.016787 , 0.026404 , 0.021031 , 0.021806 , 0.018704 , 0.032204 , 0.004827 , 0.010847 , 0.01684 , 0.011717 , 0.00463 , 0.0068 , 0.000168 , 0.004226 , 0.004312 , 0.016117 , 0 , 0 , 0.008802 , 0.01246 , 0.019662 , 0.008466 , 0.013995 , 0.004134 , 0.01625 , 0.008352 , 0.022148 , 0.014438 , 0.018348 , 0.014962 , 0.010227 
 312 , 0.014742 , 0.014517 , 0.011139 , 0.020449 , 0.021556 , 0.023327 , 0.021052 , 0.016183 , 0.015087 , 0.020253 , 0.018886 , 0.016295 , 0.017437 , 0.019065 , 0.017278 , 0.017946 , 0.012378 , 0.020103 , 0.012904 , 0.016269 , 0.007305 , 0.005786 , 0.008739 , 0.009349 , 0.018095 , 0.005385 , 0.011709 , 0.008763 , 0.01401 , 0.01565 , 0.014673 , 0.008929 , 0.003424 , 0.018521 , 0.024767 , 0.012765 , 0.014525 , 0.019055 , 0.007953 , 0.008793 , 0.011493 , 0.013081 , 0.012115 , 0.007766 , 0.006938 , 0.014848 , 0.014369 , 0.01126 , 0.013529 , 0.014298 , 0.00753 , 0.011384 , 0.007588 , 0.013895 , 0.011384 , 0.010801 , 0.011941 , 0.005599 , 0.002533 , 0.007069 , 0.009513 , 0.004598 , 0.010817 , 0.005917 , 0.008087 , 0.005021 , 0.007033 , 0.00752 , 0.00354 , 0.005578 , 0.008051 , 0.010752 , 0.011952 , 0.016241 , 0.011483 , 0.013275 , 0.010025 , 0.011727 , 0.009891 , 0.012221 , 0.008543 , 0.007108 , 0.006667 , 0.008425 , 0.008006 , 0.002994 , 0.003105 , 0.003073 , 0.008042 , 0.01299 , 0.005491 , 0.007505 , 0.007108 , 0.009191 , 0.006062 , 0.007547 , 0.009924 , 0.019319 , 0.01657 , 0.012826 , 0.004978 , 0.004562 , 0.004038 , 0.007132 , 0.007172 , 0.009236 , 0.005919 , 0.012854 , 0.00722 , 0.014795 , 0.00994 , 0 , 0.006557 , 0.004913 , 0.002985 , 0.01458 , 0.015675 , 0.016481 , 0.011546 , 0.012297 , 0.012776 , 0.013635 , 0.015796 , 0.013469 , 0.01643 , 0.015869 , 0.014165 , 0.01093 , 0.012983 , 0.015486 , 0.012844 , 0.01276 , 0.019062 , 0.021705 , 0.018505 , 0.022819 , 0.023144 , 0.019037 , 0.019932 , 0.029217 , 0.007573 , 0.011077 , 0.015801 , 0.014702 , 0.007156 , 0.009208 , 0.00099 , 0.00299 , 0.004567 , 0.014207 , 0.001013 , 0 , 0.010615 , 0.013368 , 0.018926 , 0.009683 , 0.015253 , 0.005432 , 0.015455 , 0.009053 , 0.021747 , 0.015402 , 0.018042 , 0.01511 , 0.012393 
 313 , 0.015928 , 0.017053 , 0.016389 , 0.021689 , 0.022779 , 0.023136 , 0.022471 , 0.016191 , 0.013921 , 0.022741 , 0.018899 , 0.016837 , 0.016843 , 0.018043 , 0.018262 , 0.015729 , 0.014441 , 0.019977 , 0.014053 , 0.016163 , 0.008644 , 0.007824 , 0.011596 , 0.01074 , 0.019508 , 0.006855 , 0.013442 , 0.00961 , 0.013481 , 0.017063 , 0.015236 , 0.011968 , 0.004907 , 0.018393 , 0.022676 , 0.013519 , 0.016748 , 0.021478 , 0.0076 , 0.009674 , 0.012639 , 0.015857 , 0.014632 , 0.009031 , 0.007804 , 0.015417 , 0.014454 , 0.011954 , 0.014728 , 0.014274 , 0.008973 , 0.012637 , 0.008883 , 0.014962 , 0.012637 , 0.011551 , 0.01306 , 0.004841 , 0.003002 , 0.008006 , 0.010851 , 0.005041 , 0.011681 , 0.007891 , 0.010031 , 0.005971 , 0.010087 , 0.006689 , 0.005051 , 0.006997 , 0.010031 , 0.011046 , 0.013669 , 0.01546 , 0.012704 , 0.014034 , 0.011918 , 0.012924 , 0.009608 , 0.01173 , 0.008828 , 0.007993 , 0.006897 , 0.010914 , 0.007704 , 0.004025 , 0.004174 , 0.004088 , 0.010048 , 0.013658 , 0.006868 , 0.008912 , 0.007993 , 0.01063 , 0.008082 , 0.008897 , 0.009674 , 0.020301 , 0.016579 , 0.012924 , 0.005941 , 0.004896 , 0.003872 , 0.008048 , 0.007983 , 0.009908 , 0.005757 , 0.015293 , 0.008148 , 0.019286 , 0.0095 , 0 , 0.006932 , 0.005784 , 0.00617 , 0.015036 , 0.016755 , 0.017034 , 0.012683 , 0.016716 , 0.015584 , 0.015451 , 0.014723 , 0.014409 , 0.016494 , 0.01696 , 0.015878 , 0.011689 , 0.013582 , 0.016555 , 0.013627 , 0.013445 , 0.017778 , 0.022992 , 0.0206 , 0.019126 , 0.02547 , 0.015742 , 0.021322 , 0.025576 , 0.011119 , 0.011775 , 0.014999 , 0.01778 , 0.010192 , 0.012097 , 0.002073 , 0.001717 , 0.00497 , 0.012228 , 0.002123 , 0 , 0.012895 , 0.014554 , 0.018202 , 0.010964 , 0.016495 , 0.00689 , 0.014457 , 0.00989 , 0.021133 , 0.016582 , 0.017606 , 0.015575 , 0.014746 
 314 , 0.017112 , 0.01941 , 0.021223 , 0.022902 , 0.023977 , 0.023034 , 0.023875 , 0.016251 , 0.012882 , 0.025146 , 0.018979 , 0.017399 , 0.016342 , 0.017135 , 0.019234 , 0.013703 , 0.016361 , 0.019925 , 0.015175 , 0.016114 , 0.009918 , 0.009804 , 0.014251 , 0.0121 , 0.020858 , 0.008265 , 0.015095 , 0.01044 , 0.013032 , 0.018394 , 0.015808 , 0.014856 , 0.006292 , 0.01833 , 0.02081 , 0.01427 , 0.018887 , 0.023741 , 0.007298 , 0.010547 , 0.013742 , 0.018443 , 0.017314 , 0.010215 , 0.008633 , 0.015993 , 0.014579 , 0.012629 , 0.015901 , 0.014292 , 0.010366 , 0.013854 , 0.010082 , 0.015979 , 0.013854 , 0.012293 , 0.014111 , 0.004143 , 0.003443 , 0.008918 , 0.012139 , 0.005476 , 0.012539 , 0.009752 , 0.01187 , 0.006874 , 0.013005 , 0.005933 , 0.006451 , 0.008318 , 0.011963 , 0.011366 , 0.015295 , 0.01479 , 0.013876 , 0.014797 , 0.013731 , 0.014065 , 0.009375 , 0.011312 , 0.009115 , 0.00884 , 0.007122 , 0.013282 , 0.007448 , 0.005005 , 0.005188 , 0.005029 , 0.011974 , 0.014316 , 0.008139 , 0.010259 , 0.00884 , 0.01206 , 0.009985 , 0.01017 , 0.009473 , 0.021289 , 0.016637 , 0.013054 , 0.006863 , 0.00521 , 0.003729 , 0.008933 , 0.008764 , 0.010541 , 0.005624 , 0.017624 , 0.009041 , 0.023486 , 0.009122 , 0 , 0.007311 , 0.006594 , 0.009107 , 0.0155 , 0.01781 , 0.017599 , 0.013758 , 0.02085 , 0.018202 , 0.017231 , 0.013763 , 0.015294 , 0.016612 , 0.018026 , 0.01752 , 0.01244 , 0.014175 , 0.017601 , 0.014423 , 0.014131 , 0.016646 , 0.024237 , 0.022612 , 0.015788 , 0.027674 , 0.01269 , 0.022667 , 0.022231 , 0.014451 , 0.012468 , 0.014309 , 0.020795 , 0.013046 , 0.01478 , 0.003104 , 0.000562 , 0.005362 , 0.010382 , 0.003178 , 0 , 0.01504 , 0.015714 , 0.017587 , 0.012178 , 0.017724 , 0.008279 , 0.013567 , 0.010708 , 0.020628 , 0.017753 , 0.017256 , 0.016045 , 0.017001 
 315 , 0.015534 , 0.018351 , 0.019936 , 0.01957 , 0.021365 , 0.02105 , 0.022611 , 0.01462 , 0.011585 , 0.023963 , 0.017931 , 0.016392 , 0.014793 , 0.014724 , 0.017578 , 0.011604 , 0.014558 , 0.018425 , 0.014255 , 0.014713 , 0.008778 , 0.009435 , 0.013459 , 0.010486 , 0.0197 , 0.007746 , 0.014653 , 0.009504 , 0.012207 , 0.017766 , 0.014534 , 0.013748 , 0.005757 , 0.016491 , 0.018054 , 0.014097 , 0.017569 , 0.023824 , 0.006119 , 0.010552 , 0.013159 , 0.017463 , 0.016247 , 0.009968 , 0.007827 , 0.014937 , 0.013194 , 0.011151 , 0.015357 , 0.013802 , 0.009662 , 0.013049 , 0.009634 , 0.014875 , 0.012836 , 0.011403 , 0.013446 , 0.004435 , 0.003597 , 0.008078 , 0.011528 , 0.004926 , 0.011367 , 0.009816 , 0.012207 , 0.007179 , 0.012573 , 0.005807 , 0.006596 , 0.008043 , 0.011179 , 0.010528 , 0.01385 , 0.012805 , 0.012668 , 0.013204 , 0.012747 , 0.012505 , 0.008703 , 0.00973 , 0.008495 , 0.008238 , 0.006213 , 0.012313 , 0.006981 , 0.004306 , 0.004708 , 0.00433 , 0.012376 , 0.013697 , 0.007415 , 0.009529 , 0.008495 , 0.012033 , 0.010067 , 0.01015 , 0.008062 , 0.020243 , 0.015743 , 0.011746 , 0.00649 , 0.005398 , 0.003604 , 0.008564 , 0.008856 , 0.009487 , 0.004614 , 0.016163 , 0.008965 , 0.021871 , 0.008482 , 0.000466 , 0.007351 , 0.007115 , 0.008762 , 0.015123 , 0.01654 , 0.016437 , 0.012711 , 0.019673 , 0.016533 , 0.0156 , 0.012111 , 0.014512 , 0.015204 , 0.016338 , 0.016114 , 0.011494 , 0.012617 , 0.015867 , 0.014505 , 0.012805 , 0.015027 , 0.022895 , 0.021246 , 0.013222 , 0.0254 , 0.011669 , 0.020279 , 0.020662 , 0.013665 , 0.012185 , 0.013084 , 0.019069 , 0.01186 , 0.014297 , 0.002832 , 0 , 0.004365 , 0.008625 , 0.002915 , 0 , 0.014137 , 0.014277 , 0.015512 , 0.010786 , 0.016844 , 0.007732 , 0.012572 , 0.010193 , 0.018824 , 0.01678 , 0.015847 , 0.014466 , 0.016854 
