WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,LMAT_00000.spu,LMAT_00001.spu,LMAT_00002.spu,LMAT_00003.spu,LMAT_00004.spu,LMAT_00005.spu,LMAT_00006.spu,LMAT_00007.spu,LMAT_00008.spu,LMAT_00009.spu,LMAT_00010.spu,LMAT_00011.spu,LMAT_00012.spu,LMAT_00013.spu,LMAT_00014.spu,LMAT_00015.spu,LMAT_00016.spu,LMAT_00017.spu,LMAT_00018.spu,LMAT_00019.spu,LMAT_00020.spu,LMAT_00021.spu,LMAT_00022.spu,LMAT_00023.spu,LMAT_00024.spu,LMAT_00025.spu,LMAT_00026.spu,LMAT_00027.spu,LMAT_00028.spu,LMAT_00029.spu,LMAT_00030.spu,LMAT_00031.spu,LMAT_00032.spu,LMAT_00033.spu,LMAT_00034.spu,LMAT_00035.spu,LMAT_00036.spu,LMAT_00037.spu,LMAT_00038.spu,LMAT_00039.spu,LMAT_00040.spu,LMAT_00041.spu,LMAT_00042.spu,LMAT_00043.spu,LMAT_00044.spu,LMAT_00045.spu,LMAT_00046.spu,LMAT_00047.spu,LMAT_00048.spu,LMAT_00049.spu,LMAT_00050.spu,LMAT_00051.spu,LMAT_00052.spu,LMAT_00053.spu,LMAT_00054.spu,LMAT_00055.spu,LMAT_00056.spu,LMAT_00057.spu,LMAT_00058.spu,LMAT_00059.spu,LMAT_00060.spu,LMAT_00061.spu,LMAT_00062.spu,LMAT_00063.spu,LMAT_00064.spu,LMAT_00065.spu,LMAT_00066.spu,LMAT_00067.spu,LMAT_00068.spu,LMAT_00069.spu,LMAT_00070.spu,LMAT_00071.spu,LMAT_00072.spu,LMAT_00073.spu,LMAT_00074.spu,LMAT_00075.spu,LMAT_00076.spu,LMAT_00077.spu,LMAT_00078.spu,LMAT_00079.spu,LMAT_00080.spu,LMAT_00081.spu,LMAT_00082.spu,LMAT_00083.spu,LMAT_00084.spu,LMAT_00085.spu,LMAT_00086.spu,LMAT_00087.spu,LMAT_00088.spu,LMAT_00089.spu,LMAT_00090.spu,LMAT_00091.spu,LMAT_00092.spu,LMAT_00093.spu,LMAT_00094.spu,LMAT_00095.spu,LMAT_00096.spu,LMAT_00097.spu,LMAT_00098.spu,LMAT_00099.spu,LMAT_00100.spu,LMAT_00101.spu,LMAT_00102.spu,LMAT_00103.spu,LMAT_00104.spu,LMAT_00105.spu,LMAT_00106.spu,LMAT_00107.spu,LMAT_00108.spu,LMAT_00109.spu,LMAT_00110.spu,LMAT_00111.spu,LMAT_00112.spu,LMAT_00113.spu,LMAT_00114.spu,LMAT_00115.spu,LMAT_00116.spu,LMAT_00117.spu,LMAT_00118.spu,LMAT_00119.spu,LMAT_00120.spu,LMAT_00121.spu,LMAT_00122.spu,LMAT_00123.spu,LMAT_00124.spu,LMAT_00125.spu,LMAT_00126.spu,LMAT_00127.spu,LMAT_00128.spu,LMAT_00129.spu,LMAT_00130.spu,LMAT_00131.spu,LMAT_00132.spu,LMAT_00133.spu,LMAT_00134.spu,LMAT_00135.spu,LMAT_00136.spu,LMAT_00137.spu,LMAT_00138.spu,LMAT_00139.spu,LMAT_00140.spu,LMAT_00141.spu,LMAT_00142.spu,LMAT_00143.spu,LMAT_00144.spu,LMAT_00145.spu,LMAT_00146.spu,LMAT_00147.spu,LMAT_00148.spu,LMAT_00149.spu,LMAT_00150.spu,LMAT_00151.spu,LMAT_00152.spu,LMAT_00153.spu,LMAT_00154.spu,LMAT_00155.spu,LMAT_00156.spu,LMAT_00157.spu,LMAT_00158.spu,LMAT_00159.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,:17:58 A,:18:05 A,:18:12 A,:18:22 A,:18:31 A,:21:13 A,:21:22 A,:21:30 A,:21:36 A,:21:46 A,:22:21 A,:22:32 A,:22:40 A,:22:52 A,:23:00 A,:23:27 A,:23:34 A,:23:43 A,:23:50 A,:23:57 A,:24:18 A,:24:26 A,:24:37 A,:24:46 A,:24:55 A,:25:15 A,:25:25 A,:25:35 A,:25:45 A,:25:56 A,:26:16 A,:26:25 A,:26:35 A,:26:47 A,:26:58 A,:27:30 A,:27:41 A,:27:49 A,:27:58 A,:28:08 A,:28:54 A,:29:01 A,:29:08 A,:29:16 A,:29:25 A,:29:47 A,:29:55 A,:30:03 A,:30:13 A,:30:24 A,:31:03 A,:31:11 A,:31:21 A,:31:32 A,:31:41 A,:32:05 A,:32:21 A,:32:30 A,:32:39 A,:32:49 A,:33:20 A,:33:29 A,:33:38 A,:33:48 A,:33:57 A,:34:18 A,:34:27 A,:34:37 A,:34:46 A,:34:54 A,:35:17 A,:35:28 A,:35:36 A,:35:46 A,:35:54 A,:36:22 A,:36:32 A,:36:39 A,:36:48 A,:36:58 A,:38:40 A,:38:53 A,:39:01 A,:39:09 A,:39:17 A,:39:36 A,:39:44 A,:39:53 A,:40:01 A,:40:10 A,:40:31 A,:40:43 A,:40:52 A,:41:01 A,:41:09 A,:41:34 A,:41:43 A,:41:53 A,:42:01 A,:42:11 A,:42:33 A,:42:42 A,:42:51 A,:42:59 A,:43:08 A,:43:29 A,:43:37 A,:43:46 A,:43:54 A,:44:04 A,:44:24 A,:44:33 A,:44:42 A,:44:50 A,:45:00 A,:45:18 A,:45:26 A,:45:33 A,:45:42 A,:45:52 A,:51:48 A,:52:06 A,:52:18 A,:52:25 A,:52:32 A,:52:51 A,:53:01 A,:53:10 A,:53:19 A,:53:28 A,:53:47 A,:53:55 A,:54:04 A,:54:13 A,:54:22 A,:54:42 A,:54:49 A,:54:58 A,:55:07 A,:55:15 A,:55:36 A,:55:45 A,:55:53 A,:56:02 A,:56:11 A,:56:35 A,:56:44 A,:56:51 A,:56:59 A,:57:08 A,:57:34 A,:57:42 A,:57:51 A,:58:01 A,:58:10 A,:58:32 A,:58:40 A,:58:49 A,:58:58 A,:59:07 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00239 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002302 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000284 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000268 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0.001518 , 0.001498 , 0 , 0.001518 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002956 , 0 , 0 , 0 , 0 , 0.004339 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003121 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001543 , 0.003086 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001508 , 0 , 0 , 0 , 0 , 0 , 0.001558 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001558 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001533 , 0 , 0 , 0 , 0 , 0.003036 , 0 , 0 , 0.001543 , 0 , 0 , 0 , 0 , 0.001548 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003096 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0.002994 , 0.002984 , 0 , 0.002994 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005815 , 0 , 0 , 0 , 0 , 0.00853 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00608 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003049 , 0.006103 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00298 , 0 , 0 , 0 , 0 , 0 , 0.003068 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00304 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003012 , 0 , 0 , 0 , 0 , 0.005992 , 0 , 0 , 0.003049 , 0 , 0 , 0 , 0 , 0.003026 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006145 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0.004232 , 0.004259 , 0 , 0.004232 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00819 , 0 , 0 , 0 , 0 , 0.012013 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0085 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004324 , 0.008644 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004224 , 0 , 0 , 0 , 0 , 0 , 0.004328 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00425 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004237 , 0 , 0 , 0 , 0 , 0.00846 , 0 , 0 , 0.004324 , 0 , 0 , 0 , 0 , 0.004245 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.008735 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.005118 , 0.000636 , 0.000656 , 0.002531 , 0.003855 , 0.007737 , 0 , 0.008321 , 0 , 0.003047 , 0.005238 , 0.000644 , 0.000628 , 0.002503 , 0 , 0.004378 , 0.003143 , 0.001284 , 0.001859 , 0.001783 , 0.001875 , 0.001835 , 0 , 0.001256 , 0 , 0.003179 , 0.00064 , 0.00128 , 0.010504 , 0.001895 , 0.001284 , 0 , 0.001248 , 0.013555 , 0.00128 , 0.001839 , 0.003687 , 0.00064 , 0.00128 , 0.000664 , 0.011604 , 0.000656 , 0.001823 , 0 , 0.000656 , 0.002575 , 0.000648 , 0.003207 , 0.001312 , 0.001887 , 0.002527 , 0 , 0.001923 , 0.000644 , 0.003283 , 0.003175 , 0 , 0.00529 , 0.01054 , 0.001308 , 0.001288 , 0.000648 , 0.001308 , 0.001312 , 0.00064 , 0.002559 , 0.0013 , 0.002511 , 0.003143 , 0.006997 , 0 , 0.000648 , 0.001276 , 0.000648 , 0.001288 , 0.005926 , 0.001883 , 0 , 0.000652 , 0.001272 , 0.001879 , 0.002511 , 0.007021 , 0.003743 , 0.001843 , 0.001327 , 0.000644 , 0.001859 , 0.000644 , 0.001288 , 0.001312 , 0.002495 , 0 , 0 , 0 , 0.006382 , 0.00064 , 0 , 0.000644 , 0.002535 , 0.012139 , 0.001807 , 0.000652 , 0.006494 , 0.003787 , 0.000644 , 0.003143 , 0.002499 , 0.00637 , 0 , 0.000644 , 0.000648 , 0.000656 , 0 , 0 , 0.001863 , 0.001915 , 0 , 0 , 0.009356 , 0.001268 , 0 , 0 , 0 , 0 , 0.000644 , 0 , 0.002535 , 0 , 0 , 0.000664 , 0 , 0 , 0 , 0.00064 , 0.001895 , 0.001899 , 0.001296 , 0.000644 , 0 , 0.000652 , 0.000652 , 0.001292 , 0 , 0.002503 , 0.001883 , 0 , 0 , 0.0013 , 0 , 0.001867 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003807 , 0 , 0 
