WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,MAT_00000.spu,MAT_00001.spu,MAT_00002.spu,MAT_00003.spu,MAT_00004.spu,MAT_00005.spu,MAT_00006.spu,MAT_00007.spu,MAT_00008.spu,MAT_00009.spu,MAT_00010.spu,MAT_00011.spu,MAT_00012.spu,MAT_00013.spu,MAT_00014.spu,MAT_00015.spu,MAT_00016.spu,MAT_00017.spu,MAT_00018.spu,MAT_00019.spu,MAT_00020.spu,MAT_00021.spu,MAT_00022.spu,MAT_00023.spu,MAT_00024.spu,MAT_00025.spu,MAT_00026.spu,MAT_00027.spu,MAT_00028.spu,MAT_00029.spu,MAT_00030.spu,MAT_00031.spu,MAT_00032.spu,MAT_00033.spu,MAT_00034.spu,MAT_00035.spu,MAT_00036.spu,MAT_00037.spu,MAT_00038.spu,MAT_00039.spu,MAT_00040.spu,MAT_00041.spu,MAT_00042.spu,MAT_00043.spu,MAT_00044.spu,MAT_00045.spu,MAT_00046.spu,MAT_00047.spu,MAT_00048.spu,MAT_00049.spu,MAT_00050.spu,MAT_00051.spu,MAT_00052.spu,MAT_00053.spu,MAT_00054.spu,MAT_00055.spu,MAT_00056.spu,MAT_00057.spu,MAT_00058.spu,MAT_00059.spu,MAT_00060.spu,MAT_00061.spu,MAT_00062.spu,MAT_00063.spu,MAT_00064.spu,MAT_00065.spu,MAT_00066.spu,MAT_00067.spu,MAT_00068.spu,MAT_00069.spu,MAT_00070.spu,MAT_00071.spu,MAT_00072.spu,MAT_00073.spu,MAT_00074.spu,MAT_00075.spu,MAT_00076.spu,MAT_00077.spu,MAT_00078.spu,MAT_00079.spu,MAT_00080.spu,MAT_00081.spu,MAT_00082.spu,MAT_00083.spu,MAT_00084.spu,MAT_00085.spu,MAT_00086.spu,MAT_00087.spu,MAT_00088.spu,MAT_00089.spu,MAT_00090.spu,MAT_00091.spu,MAT_00092.spu,MAT_00093.spu,MAT_00094.spu,MAT_00095.spu,MAT_00096.spu,MAT_00097.spu,MAT_00098.spu,MAT_00099.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,:44:01 A,:44:09 A,:44:22 A,:44:34 A,:44:41 A,:45:11 A,:45:19 A,:45:29 A,:45:36 A,:45:44 A,:46:12 A,:46:26 A,:46:38 A,:46:48 A,:46:57 A,:47:43 A,:47:52 A,:48:01 A,:48:11 A,:48:22 A,:48:54 A,:49:03 A,:49:16 A,:49:25 A,:49:36 A,:50:51 A,:50:59 A,:51:07 A,:51:17 A,:51:28 A,:51:52 A,:52:00 A,:52:11 A,:52:21 A,:52:29 A,:53:00 A,:53:10 A,:53:19 A,:53:27 A,:53:35 A,:54:10 A,:54:23 A,:54:34 A,:54:44 A,:54:55 A,:56:07 A,:56:20 A,:56:29 A,:56:42 A,:56:51 A,:58:14 A,:58:22 A,:58:33 A,:58:43 A,:58:53 A,:59:46 A,:59:55 A,:00:03 A,:00:12 A,:00:22 A,:01:05 A,:01:14 A,:01:23 A,:01:31 A,:01:42 A,:02:21 A,:02:30 A,:02:39 A,:02:50 A,:03:01 A,:03:45 A,:03:54 A,:04:12 A,:04:20 A,:04:28 A,:05:52 A,:05:59 A,:06:11 A,:06:21 A,:06:28 A,:07:37 A,:07:46 A,:07:57 A,:08:08 A,:08:17 A,:09:19 A,:09:29 A,:09:38 A,:09:49 A,:09:59 A,:10:12 A,:10:19 A,:10:28 A,:10:38 A,:10:46 A,:11:14 A,:11:26 A,:11:37 A,:11:50 A,:12:00 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.002302 , 0.014214 , 0.004642 , 0.004698 , 0 , 0.002219 , 0 , 0.006568 , 0.002213 , 0 , 0.011343 , 0.004626 , 0 , 0.002252 , 0.013561 , 0 , 0.025994 , 0.015426 , 0.027997 , 0.008764 , 0.013003 , 0.00446 , 0.043202 , 0.019808 , 0.030304 , 0.006756 , 0.023919 , 0.026254 , 0.006878 , 0.004664 , 0.014131 , 0.004642 , 0.009445 , 0.009401 , 0.021208 , 0.004587 , 0.006783 , 0.011381 , 0.004659 , 0.01666 , 0.004366 , 0.004642 , 0.018779 , 0.008903 , 0.004642 , 0.014253 , 0.014314 , 0.002318 , 0 , 0.014259 , 0.008941 , 0.0069 , 0.007259 , 0.022364 , 0 , 0.01401 , 0.006756 , 0.0137 , 0.002352 , 0.004703 , 0.02476 , 0.020572 , 0.006756 , 0.022348 , 0.017944 , 0.002274 , 0.006756 , 0.004626 , 0 , 0.002401 , 0.006844 , 0.006817 , 0 , 0 , 0.014303 , 0.017584 , 0.004659 , 0.010883 , 0.006579 , 0 , 0 , 0 , 0.004603 , 0.002318 , 0 , 0 , 0 , 0 , 0 , 0.006623 , 0.002235 , 0 , 0 , 0 , 0.006568 , 0.015786 , 0 , 0 , 0.002302 , 0 
 311 , 0.000268 , 0.002254 , 0.000542 , 0.000547 , 0 , 0.000263 , 0 , 0.000768 , 0.000258 , 0 , 0.012683 , 0.000542 , 0 , 0.000263 , 0.007686 , 0 , 0.024969 , 0.007767 , 0.025216 , 0.001031 , 0.012356 , 0.000526 , 0.037964 , 0.008346 , 0.025479 , 0.000789 , 0.020927 , 0.021207 , 0.000816 , 0.000547 , 0.008062 , 0.000542 , 0.001111 , 0.0011 , 0.014701 , 0.000537 , 0.000789 , 0.007074 , 0.000542 , 0.008346 , 0.000499 , 0.000547 , 0.008513 , 0.001047 , 0.000542 , 0.008164 , 0.002233 , 0.000274 , 0 , 0.002233 , 0.001047 , 0.000805 , 0.000848 , 0.019661 , 0 , 0.007965 , 0.000789 , 0.012957 , 0.000274 , 0.000558 , 0.02016 , 0.019645 , 0.000789 , 0.019441 , 0.018931 , 0.000263 , 0.000789 , 0.000542 , 0 , 0.000284 , 0.000805 , 0.000805 , 0 , 0 , 0.008073 , 0.013145 , 0.000542 , 0.006822 , 0.006248 , 0 , 0 , 0 , 0.000537 , 0.000274 , 0 , 0 , 0 , 0 , 0 , 0.000778 , 0.000263 , 0 , 0 , 0 , 0.000768 , 0.013349 , 0 , 0 , 0.000268 , 0 
 312 , 0.008883 , 0.004878 , 0.003016 , 0.006017 , 0 , 0.002971 , 0 , 0 , 0 , 0.003016 , 0.016148 , 0.00737 , 0.008853 , 0 , 0.014845 , 0.004299 , 0.025685 , 0.018724 , 0.029799 , 0.010236 , 0.016647 , 0.007115 , 0.038507 , 0.017371 , 0.028441 , 0.005922 , 0.023433 , 0.024856 , 0.007744 , 0.004459 , 0.012528 , 0.005902 , 0.007844 , 0.006142 , 0.021745 , 0.007355 , 0.008963 , 0.013457 , 0.008963 , 0.012488 , 0.006995 , 0.003066 , 0.015479 , 0.007355 , 0.004389 , 0.0109 , 0.01096 , 0.006042 , 0 , 0.009467 , 0.00733 , 0.004484 , 0.010905 , 0.02212 , 0.00756 , 0.013811 , 0.007395 , 0.017711 , 0.001528 , 0.006027 , 0.020811 , 0.023752 , 0.005902 , 0.022005 , 0.019034 , 0.002996 , 0.004404 , 0.003036 , 0.001498 , 0.003181 , 0.006027 , 0.001553 , 0.003036 , 0 , 0.014026 , 0.015728 , 0.003036 , 0.011554 , 0.00717 , 0 , 0 , 0 , 0.008913 , 0.001528 , 0.001538 , 0 , 0 , 0.002961 , 0.002941 , 0.001508 , 0.004264 , 0.001493 , 0 , 0.004304 , 0.00722 , 0.015074 , 0 , 0.001513 , 0.004354 , 0 
 313 , 0.01758 , 0.008916 , 0.005913 , 0.0119 , 0 , 0.005941 , 0 , 0 , 0 , 0.005913 , 0.019342 , 0.014387 , 0.017464 , 0 , 0.022564 , 0.008363 , 0.026515 , 0.030461 , 0.034594 , 0.020193 , 0.020792 , 0.013908 , 0.03974 , 0.02757 , 0.031953 , 0.011682 , 0.02624 , 0.028978 , 0.015317 , 0.008786 , 0.017692 , 0.011603 , 0.015503 , 0.012105 , 0.029536 , 0.014503 , 0.017669 , 0.020253 , 0.017669 , 0.017571 , 0.014085 , 0.00602 , 0.02367 , 0.014503 , 0.008628 , 0.014229 , 0.021048 , 0.012165 , 0 , 0.018157 , 0.01441 , 0.008772 , 0.021564 , 0.024888 , 0.014949 , 0.020225 , 0.01448 , 0.022452 , 0.002989 , 0.011798 , 0.022024 , 0.027821 , 0.011603 , 0.024925 , 0.019003 , 0.005969 , 0.008683 , 0.005992 , 0.002942 , 0.006238 , 0.011798 , 0.003045 , 0.005992 , 0 , 0.020602 , 0.018784 , 0.005992 , 0.016758 , 0.008112 , 0 , 0 , 0 , 0.017697 , 0.003035 , 0.003031 , 0 , 0 , 0.005769 , 0.005824 , 0.00298 , 0.008446 , 0.002924 , 0 , 0.008488 , 0.014154 , 0.017102 , 0 , 0.002975 , 0.008586 , 0 
 314 , 0.024919 , 0.012244 , 0.008295 , 0.01686 , 0 , 0.008504 , 0 , 0 , 0 , 0.008295 , 0.022016 , 0.020129 , 0.024675 , 0 , 0.029034 , 0.011673 , 0.027212 , 0.040389 , 0.038575 , 0.028533 , 0.024152 , 0.01948 , 0.040798 , 0.03606 , 0.034897 , 0.016498 , 0.028576 , 0.032338 , 0.021689 , 0.01241 , 0.022047 , 0.016337 , 0.021955 , 0.017087 , 0.036165 , 0.020495 , 0.024959 , 0.025987 , 0.024959 , 0.021825 , 0.020308 , 0.008474 , 0.030642 , 0.020495 , 0.012148 , 0.016895 , 0.029557 , 0.01754 , 0 , 0.025543 , 0.020295 , 0.012305 , 0.030542 , 0.027225 , 0.021179 , 0.025551 , 0.020325 , 0.026458 , 0.004193 , 0.01655 , 0.023001 , 0.031187 , 0.016337 , 0.027452 , 0.018983 , 0.008517 , 0.01227 , 0.00846 , 0.004141 , 0.008774 , 0.01655 , 0.004285 , 0.00846 , 0 , 0.026105 , 0.021323 , 0.00846 , 0.021188 , 0.008909 , 0 , 0 , 0 , 0.025168 , 0.004315 , 0.00428 , 0 , 0 , 0.008051 , 0.00826 , 0.004224 , 0.011974 , 0.004102 , 0 , 0.011991 , 0.019881 , 0.018834 , 0 , 0.004189 , 0.012131 , 0 
 315 , 0.027418 , 0.018037 , 0.01066 , 0.019964 , 0.00128 , 0.012255 , 0.001835 , 0.003695 , 0.003703 , 0.011852 , 0.025614 , 0.02086 , 0.023827 , 0.005442 , 0.029549 , 0.013751 , 0.027122 , 0.044351 , 0.039961 , 0.03226 , 0.026078 , 0.022036 , 0.04186 , 0.040269 , 0.035874 , 0.019517 , 0.029281 , 0.035974 , 0.025162 , 0.015794 , 0.024579 , 0.018829 , 0.027394 , 0.020084 , 0.038729 , 0.023063 , 0.028641 , 0.028861 , 0.028061 , 0.023111 , 0.022675 , 0.01086 , 0.033811 , 0.025114 , 0.016162 , 0.019009 , 0.033487 , 0.019437 , 0.001899 , 0.029141 , 0.024163 , 0.017018 , 0.034007 , 0.028537 , 0.022723 , 0.028749 , 0.023579 , 0.028693 , 0.007605 , 0.020908 , 0.023391 , 0.032916 , 0.018793 , 0.029509 , 0.019717 , 0.012123 , 0.016314 , 0.011564 , 0.006841 , 0.01188 , 0.019549 , 0.007101 , 0.01152 , 0.001863 , 0.029565 , 0.024339 , 0.012803 , 0.024391 , 0.011764 , 0.001216 , 0.003703 , 0.000636 , 0.029457 , 0.008497 , 0.00525 , 0.000612 , 0.001216 , 0.009768 , 0.008825 , 0.006346 , 0.014059 , 0.006793 , 0.003047 , 0.014698 , 0.022475 , 0.021592 , 0.002559 , 0.00631 , 0.01489 , 0.002531 
