WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,NANT_00001.spu,NANT_00002.spu,NANT_00003.spu,NANT_00004.spu,NANT_00005.spu,NANT_00006.spu,NANT_00007.spu,NANT_00008.spu,NANT_00009.spu,NANT_00010.spu,NANT_00011.spu,NANT_00012.spu,NANT_00013.spu,NANT_00014.spu,NANT_00015.spu,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu,NANT_00031.spu,NANT_00032.spu,NANT_00033.spu,NANT_00034.spu,NANT_00035.spu,NANT_00036.spu,NANT_00037.spu,NANT_00038.spu,NANT_00039.spu,NANT_00040.spu,NANT_00041.spu,NANT_00042.spu,NANT_00043.spu,NANT_00044.spu,NANT_00045.spu,NANT_00046.spu,NANT_00047.spu,NANT_00048.spu,NANT_00049.spu,NANT_00050.spu,NANT_00051.spu,NANT_00052.spu,NANT_00053.spu,NANT_00054.spu,NANT_00055.spu,NANT_00056.spu,NANT_00057.spu,NANT_00058.spu,NANT_00059.spu,NANT_00060.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,27:10 PM,27:28 PM,27:48 PM,27:58 PM,28:19 PM,28:46 PM,28:56 PM,29:05 PM,29:14 PM,29:27 PM,30:06 PM,30:15 PM,30:37 PM,30:47 PM,30:58 PM,31:25 PM,31:34 PM,31:45 PM,31:55 PM,32:04 PM,33:22 PM,33:35 PM,33:45 PM,33:57 PM,34:07 PM,34:47 PM,34:57 PM,35:06 PM,35:25 PM,35:36 PM,36:18 PM,36:27 PM,36:37 PM,36:46 PM,36:56 PM,37:26 PM,37:36 PM,37:47 PM,37:58 PM,38:08 PM,39:21 PM,39:32 PM,39:43 PM,39:52 PM,40:02 PM,40:42 PM,40:52 PM,41:19 PM,41:28 PM,41:36 PM,42:10 PM,42:18 PM,42:26 PM,42:35 PM,42:43 PM,43:28 PM,43:35 PM,43:42 PM,43:49 PM,43:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001737 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002617 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000151 , 0.00031 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000136 , 0 , 0 , 0 , 0 , 0.000117 , 0.000211 , 0.000208 , 0 , 0.000897 , 0.000581 , 0.003794 , 0.000843 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001459 , 0.003017 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001321 , 0 , 0 , 0 , 0 , 0.001164 , 0.002057 , 0.002024 , 0 , 0.008671 , 0.005667 , 0.008373 , 0.008219 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002487 , 0.005144 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002245 , 0 , 0 , 0 , 0 , 0.002009 , 0.003549 , 0.003483 , 0 , 0.014741 , 0.009696 , 0.012035 , 0.014115 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003317 , 0.006853 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002988 , 0 , 0 , 0 , 0 , 0.002706 , 0.004791 , 0.004687 , 0 , 0.019591 , 0.012967 , 0.015036 , 0.018947 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0.000936 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002651 , 0.003492 , 0 , 0.002639 , 0.006066 , 0.004011 , 0 , 0 , 0.005282 , 0.009198 , 0.012635 , 0.005431 , 0.006066 , 0 , 0 , 0 , 0.000706 , 0 , 0.003181 , 0.006854 , 0.005759 , 0.006628 , 0.008872 , 0.000566 , 0 , 0 , 0 , 0.002044 , 0.006992 , 0.007854 , 0.002749 , 0.023413 , 0.018305 , 0.021182 , 0.023308 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
