TEST_00013.spu,TEST_00012.spu,TEST_00011.spu,
Wavelength,SHB2_00001.spu,SHB2_00002.spu,SHB2_00003.spu,SHB2_00004.spu,SHB2_00005.spu,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu
  (nm),8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4
  time  ,5:56 PM",6:37 PM",7:07 PM",7:39 PM",8:12 PM",9:10 PM",9:29 PM",9:44 PM",0:01 PM",0:18 PM",0:56 PM",1:15 PM",1:34 PM",1:56 PM",2:17 PM",3:42 PM",4:01 PM",4:19 PM",4:37 PM",4:56 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.024048 , 0.046794 , 0.046632 , 0.052457 , 0.042286 , 0.043287 , 0.052182 , 0.05174 , 0.05816 , 0.05295 , 0.064997 , 0.053362 , 0.064676 , 0.056335 , 0.054861 , 0.06949 , 0.067894 , 0.06305 , 0.056889 , 0.063543 
 311 , 0.025038 , 0.036218 , 0.039103 , 0.052518 , 0.03352 , 0.024927 , 0.044031 , 0.034758 , 0.049401 , 0.04891 , 0.049729 , 0.044214 , 0.058525 , 0.043708 , 0.043958 , 0.060726 , 0.062397 , 0.054642 , 0.044609 , 0.058043 
 312 , 0.020745 , 0.037203 , 0.038892 , 0.044087 , 0.032162 , 0.028815 , 0.043761 , 0.035205 , 0.04257 , 0.04571 , 0.046985 , 0.042407 , 0.049498 , 0.042826 , 0.041701 , 0.055271 , 0.056607 , 0.053163 , 0.043135 , 0.051783 
 313 , 0.016581 , 0.039376 , 0.039558 , 0.036058 , 0.031963 , 0.034786 , 0.044464 , 0.037699 , 0.037063 , 0.043212 , 0.046214 , 0.041807 , 0.041722 , 0.043528 , 0.040871 , 0.051104 , 0.051813 , 0.052765 , 0.043184 , 0.046494 
 314 , 0.013178 , 0.041027 , 0.039996 , 0.029437 , 0.031831 , 0.039684 , 0.045016 , 0.039699 , 0.032499 , 0.041088 , 0.04556 , 0.041271 , 0.035358 , 0.044082 , 0.040119 , 0.047631 , 0.04783 , 0.052427 , 0.043166 , 0.042116 
 315 , 0.01278 , 0.039236 , 0.038435 , 0.028648 , 0.032807 , 0.040975 , 0.045655 , 0.037821 , 0.030971 , 0.039909 , 0.045579 , 0.039171 , 0.03155 , 0.04218 , 0.039547 , 0.045572 , 0.045086 , 0.05029 , 0.041659 , 0.03857 
 316 , 0.014858 , 0.034666 , 0.03525 , 0.032643 , 0.034672 , 0.039309 , 0.046371 , 0.032763 , 0.031951 , 0.039486 , 0.046153 , 0.035815 , 0.029792 , 0.038328 , 0.039123 , 0.044717 , 0.043328 , 0.046727 , 0.038946 , 0.035749 
 317 , 0.016722 , 0.030914 , 0.032664 , 0.036077 , 0.036273 , 0.038003 , 0.047064 , 0.028589 , 0.032833 , 0.039281 , 0.046699 , 0.033087 , 0.028396 , 0.035191 , 0.038901 , 0.044065 , 0.041996 , 0.043846 , 0.036769 , 0.033464 
 318 , 0.01819 , 0.028304 , 0.030949 , 0.038537 , 0.037354 , 0.036599 , 0.047109 , 0.02523 , 0.033575 , 0.038952 , 0.046362 , 0.030782 , 0.027545 , 0.032609 , 0.03838 , 0.043096 , 0.040707 , 0.041209 , 0.034936 , 0.031594 
 319 , 0.017952 , 0.030614 , 0.033196 , 0.036438 , 0.036024 , 0.032827 , 0.042576 , 0.024074 , 0.033778 , 0.036938 , 0.03967 , 0.028899 , 0.02934 , 0.030969 , 0.035173 , 0.038884 , 0.038346 , 0.037286 , 0.033449 , 0.030255 
 320 , 0.017732 , 0.032344 , 0.034913 , 0.034828 , 0.034971 , 0.029927 , 0.039083 , 0.023176 , 0.033986 , 0.035405 , 0.034514 , 0.027442 , 0.030688 , 0.02969 , 0.032678 , 0.035634 , 0.036473 , 0.034264 , 0.032287 , 0.029265 
 321 , 0.017529 , 0.033676 , 0.036263 , 0.033551 , 0.034109 , 0.027628 , 0.03631 , 0.022458 , 0.034198 , 0.0342 , 0.03042 , 0.02628 , 0.031729 , 0.028659 , 0.030676 , 0.03305 , 0.03494 , 0.031867 , 0.031354 , 0.028518 
 322 , 0.016942 , 0.029732 , 0.033924 , 0.030477 , 0.030805 , 0.027723 , 0.035149 , 0.024447 , 0.032462 , 0.032215 , 0.028888 , 0.025473 , 0.028403 , 0.027896 , 0.028534 , 0.03183 , 0.033518 , 0.030111 , 0.029409 , 0.026788 
 323 , 0.016342 , 0.025031 , 0.03097 , 0.027414 , 0.027389 , 0.028364 , 0.034577 , 0.026874 , 0.030473 , 0.030333 , 0.028273 , 0.024873 , 0.024464 , 0.027297 , 0.026685 , 0.031163 , 0.032331 , 0.028806 , 0.0275 , 0.025077 
 324 , 0.015869 , 0.021335 , 0.028621 , 0.024991 , 0.02469 , 0.028746 , 0.034063 , 0.028824 , 0.028864 , 0.028814 , 0.027754 , 0.024369 , 0.021363 , 0.026781 , 0.025208 , 0.030617 , 0.031374 , 0.027751 , 0.025989 , 0.023711 
 325 , 0.0155 , 0.019174 , 0.026945 , 0.023899 , 0.022931 , 0.028356 , 0.033059 , 0.029228 , 0.02759 , 0.028066 , 0.027261 , 0.023466 , 0.020462 , 0.026047 , 0.0242 , 0.030529 , 0.030412 , 0.026781 , 0.025224 , 0.022826 
 326 , 0.015238 , 0.018827 , 0.025945 , 0.024529 , 0.022216 , 0.026892 , 0.031229 , 0.027435 , 0.026594 , 0.028293 , 0.02673 , 0.021876 , 0.022524 , 0.024895 , 0.023705 , 0.031081 , 0.029302 , 0.025805 , 0.025399 , 0.02249 
 327 , 0.015013 , 0.018567 , 0.025164 , 0.025096 , 0.021652 , 0.02572 , 0.029766 , 0.026004 , 0.025817 , 0.028582 , 0.026355 , 0.020595 , 0.024318 , 0.023989 , 0.023331 , 0.031631 , 0.02843 , 0.025022 , 0.025587 , 0.022231 
 328 , 0.014821 , 0.01837 , 0.024541 , 0.025614 , 0.0212 , 0.024767 , 0.028573 , 0.024836 , 0.025195 , 0.02891 , 0.02609 , 0.01954 , 0.025908 , 0.023266 , 0.023046 , 0.032173 , 0.027731 , 0.024385 , 0.025783 , 0.02203 
 329 , 0.015633 , 0.018476 , 0.024542 , 0.024588 , 0.021294 , 0.024647 , 0.026423 , 0.024506 , 0.024522 , 0.026474 , 0.024797 , 0.019707 , 0.024932 , 0.023277 , 0.022347 , 0.031 , 0.02803 , 0.024139 , 0.025237 , 0.022343 
 330 , 0.0164 , 0.018595 , 0.024583 , 0.023671 , 0.021411 , 0.024598 , 0.024558 , 0.024265 , 0.023953 , 0.024339 , 0.023672 , 0.019911 , 0.02403 , 0.023346 , 0.021746 , 0.029963 , 0.028338 , 0.023957 , 0.024764 , 0.02265 
