WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,WSG1_00004.spu,WSG1_00003.spu,
Wavelength,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu,WSG1_00025.spu,WSG1_00026.spu,WSG1_00027.spu,WSG1_00028.spu,WSG1_00029.spu,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu,WSG1_00035.spu,WSG1_00036.spu,WSG1_00037.spu,WSG1_00038.spu,WSG1_00039.spu
  (nm),8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 ,8/10/2017 
  time  ,:31:21 A,:31:32 A,:31:43 A,:31:53 A,:32:01 A,:32:25 A,:32:32 A,:32:41 A,:32:49 A,:32:59 A,:33:22 A,:33:30 A,:33:38 A,:33:47 A,:33:55 A,:34:35 A,:34:45 A,:34:56 A,:35:06 A,:35:14 A,:35:44 A,:35:55 A,:36:12 A,:36:22 A,:36:32 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.004675 , 0.002401 , 0 , 0 , 0.004664 , 0.009052 , 0.009201 , 0.009157 , 0.004642 , 0.002318 , 0.026127 , 0 , 0.004681 , 0.004803 , 0.006966 , 0.006623 , 0.00228 , 0.008975 , 0.002368 , 0 , 0.007171 , 0 , 0.002158 , 0.006872 , 0.00462 
 311 , 0.000542 , 0.000279 , 0 , 0 , 0.000547 , 0.001057 , 0.001073 , 0.006747 , 0.000542 , 0.000274 , 0.020949 , 0 , 0.000547 , 0.000564 , 0.000827 , 0.000778 , 0.000263 , 0.001047 , 0.000279 , 0 , 0.000843 , 0 , 0.000252 , 0.000805 , 0.000537 
 312 , 0.007445 , 0 , 0.001513 , 0 , 0.001538 , 0.010446 , 0.005997 , 0.008928 , 0.007465 , 0.003036 , 0.024716 , 0.003086 , 0.001538 , 0.004524 , 0.001588 , 0.005837 , 0.004329 , 0.003001 , 0 , 0 , 0.007694 , 0.003056 , 0.004099 , 0.006027 , 0.003001 
 313 , 0.014675 , 0 , 0.002998 , 0 , 0.003031 , 0.020528 , 0.011816 , 0.011375 , 0.014773 , 0.005992 , 0.029025 , 0.006103 , 0.003031 , 0.008818 , 0.003119 , 0.011468 , 0.0086 , 0.005922 , 0 , 0 , 0.015103 , 0.005978 , 0.008065 , 0.011798 , 0.005922 
 314 , 0.020731 , 0 , 0.004267 , 0 , 0.00428 , 0.028903 , 0.01669 , 0.013438 , 0.020935 , 0.00846 , 0.032617 , 0.008644 , 0.00428 , 0.012327 , 0.004389 , 0.016154 , 0.012231 , 0.008365 , 0 , 0 , 0.021249 , 0.008391 , 0.011372 , 0.01655 , 0.008365 
 315 , 0.022851 , 0.001895 , 0.007725 , 0.002551 , 0.005846 , 0.033551 , 0.020348 , 0.016118 , 0.023067 , 0.0115 , 0.034271 , 0.009264 , 0.006466 , 0.013811 , 0.008581 , 0.020444 , 0.01503 , 0.012067 , 0.003175 , 0.001871 , 0.023379 , 0.008953 , 0.015194 , 0.019005 , 0.01074 
 316 , 0.021702 , 0.005287 , 0.012696 , 0.00697 , 0.007572 , 0.035033 , 0.022812 , 0.01918 , 0.021836 , 0.014801 , 0.034273 , 0.008292 , 0.009305 , 0.013637 , 0.014873 , 0.024261 , 0.016992 , 0.016617 , 0.008707 , 0.005099 , 0.0222 , 0.008015 , 0.019306 , 0.019536 , 0.012909 
 317 , 0.020766 , 0.008102 , 0.016628 , 0.01047 , 0.00893 , 0.03629 , 0.024733 , 0.021689 , 0.020825 , 0.0174 , 0.034257 , 0.007508 , 0.011606 , 0.013488 , 0.019886 , 0.02739 , 0.018562 , 0.020303 , 0.013117 , 0.007636 , 0.021239 , 0.007258 , 0.022707 , 0.019965 , 0.014615 
 318 , 0.019335 , 0.009822 , 0.018729 , 0.012496 , 0.0096 , 0.035983 , 0.025366 , 0.022704 , 0.019217 , 0.01851 , 0.033198 , 0.006625 , 0.012785 , 0.01302 , 0.022641 , 0.029018 , 0.019178 , 0.022096 , 0.015799 , 0.009103 , 0.019958 , 0.00642 , 0.024294 , 0.019539 , 0.015215 
 319 , 0.012906 , 0.006013 , 0.011664 , 0.007707 , 0.006784 , 0.024851 , 0.018505 , 0.014955 , 0.011815 , 0.011455 , 0.024169 , 0.00407 , 0.007908 , 0.009848 , 0.014143 , 0.022451 , 0.014413 , 0.013631 , 0.010692 , 0.005651 , 0.015044 , 0.003997 , 0.015691 , 0.012998 , 0.009447 
 320 , 0.007786 , 0.003014 , 0.005945 , 0.003892 , 0.00455 , 0.016075 , 0.012994 , 0.008814 , 0.005945 , 0.005802 , 0.017019 , 0.002048 , 0.004005 , 0.007315 , 0.007303 , 0.017228 , 0.010652 , 0.006953 , 0.006645 , 0.002871 , 0.011135 , 0.002038 , 0.008991 , 0.007818 , 0.004801 
 321 , 0.003607 , 0.000594 , 0.001193 , 0.000774 , 0.002736 , 0.008984 , 0.008453 , 0.003827 , 0.00118 , 0.001157 , 0.011214 , 0.000406 , 0.000799 , 0.005238 , 0.001656 , 0.012967 , 0.007611 , 0.001559 , 0.003355 , 0.000574 , 0.007947 , 0.000408 , 0.00365 , 0.003609 , 0.00096 
