
Wavelength,SHB2_00005_B2_NP.spu,SHB2_00006_B2_NP.spu,SHB2_00007_B2_NP.spu,SHB2_00008_B2_NP.spu,SHB2_00009_B2_NP.spu,SHB2_00010_B2_CT1.spu,SHB2_00011_B2_CT1.spu,SHB2_00012_B2_CT1.spu,SHB2_00013_B2_CT1.spu,SHB2_00014_B2_CT1.spu,SHB2_00015_B2_N.spu,SHB2_00016_B2_N.spu,SHB2_00017_B2_N.spu,SHB2_00018_B2_N.spu,SHB2_00019_B2_N.spu,SHB2_00020_B2_P.spu,SHB2_00021_B2_P.spu,SHB2_00022_B2_P.spu,SHB2_00023_B2_P.spu,SHB2_00024_B2_P.spu
  (nm),6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 ,6/15/2017 
  time  ,52:04 PM,52:45 PM,53:04 PM,53:28 PM,53:43 PM,54:25 PM,54:41 PM,54:56 PM,55:11 PM,55:31 PM,56:42 PM,56:56 PM,57:10 PM,57:26 PM,57:42 PM,58:29 PM,58:41 PM,58:52 PM,59:02 PM,59:15 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.10004 , 0.07051 , 0.09756 , 0.06745 , 0.15238 , 0.05132 , 0.07301 , 0.04329 , 0.0561 , 0.08617 , 0.0826 , 0.06031 , 0.07023 , 0.06534 , 0.05266 , 0.09255 , 0.16807 , 0.15605 , 0.13404 , 0.15135 
 311 , 0.10116 , 0.06348 , 0.09073 , 0.06455 , 0.15725 , 0.05191 , 0.06675 , 0.03995 , 0.05247 , 0.09035 , 0.07942 , 0.05362 , 0.05599 , 0.05471 , 0.05326 , 0.09328 , 0.17895 , 0.15583 , 0.12286 , 0.1472 
 312 , 0.0751 , 0.06568 , 0.09236 , 0.06736 , 0.15565 , 0.05122 , 0.06462 , 0.03919 , 0.05506 , 0.07693 , 0.07148 , 0.04561 , 0.04675 , 0.04979 , 0.05652 , 0.09832 , 0.16737 , 0.16029 , 0.13422 , 0.14275 
 313 , 0.04562 , 0.06938 , 0.09541 , 0.07116 , 0.1533 , 0.05046 , 0.06341 , 0.03889 , 0.05866 , 0.06123 , 0.06305 , 0.03759 , 0.03845 , 0.04572 , 0.06021 , 0.10406 , 0.15224 , 0.16544 , 0.14921 , 0.13828 
 314 , 0.01698 , 0.07308 , 0.09841 , 0.07495 , 0.15102 , 0.04972 , 0.06225 , 0.0386 , 0.06224 , 0.04599 , 0.05481 , 0.02969 , 0.03022 , 0.04163 , 0.06388 , 0.10958 , 0.13722 , 0.17066 , 0.16421 , 0.13384 
 315 , 0.01552 , 0.07793 , 0.0994 , 0.07795 , 0.15392 , 0.05237 , 0.06816 , 0.04176 , 0.06579 , 0.03969 , 0.05379 , 0.02928 , 0.03296 , 0.04083 , 0.06524 , 0.12248 , 0.13585 , 0.17657 , 0.17073 , 0.13586 
 316 , 0.04256 , 0.08403 , 0.09832 , 0.08019 , 0.16218 , 0.05855 , 0.08144 , 0.04855 , 0.06931 , 0.04266 , 0.06033 , 0.03687 , 0.04731 , 0.04366 , 0.06425 , 0.14316 , 0.14908 , 0.18357 , 0.16849 , 0.14481 
 317 , 0.06922 , 0.08996 , 0.09726 , 0.08236 , 0.1702 , 0.06451 , 0.09443 , 0.05515 , 0.07281 , 0.04558 , 0.06667 , 0.04445 , 0.06134 , 0.04638 , 0.06329 , 0.16354 , 0.16211 , 0.19027 , 0.16631 , 0.15351 
 318 , 0.09322 , 0.09645 , 0.09785 , 0.08526 , 0.17919 , 0.07088 , 0.10689 , 0.06339 , 0.0768 , 0.05021 , 0.07328 , 0.05182 , 0.07533 , 0.04942 , 0.06353 , 0.18112 , 0.17629 , 0.19887 , 0.16739 , 0.16336 
 319 , 0.09638 , 0.10902 , 0.11326 , 0.09493 , 0.1982 , 0.08177 , 0.11663 , 0.08763 , 0.08607 , 0.07046 , 0.08336 , 0.05785 , 0.09174 , 0.05602 , 0.07407 , 0.17766 , 0.20282 , 0.22558 , 0.19696 , 0.18575 
 320 , 0.09949 , 0.12132 , 0.12815 , 0.10439 , 0.21683 , 0.09282 , 0.12623 , 0.11152 , 0.09495 , 0.09028 , 0.09331 , 0.06358 , 0.10745 , 0.06248 , 0.08445 , 0.17434 , 0.2286 , 0.25172 , 0.22546 , 0.20736 
 321 , 0.10256 , 0.13338 , 0.14253 , 0.11366 , 0.23507 , 0.10402 , 0.1357 , 0.13508 , 0.10345 , 0.10969 , 0.10312 , 0.06902 , 0.12251 , 0.0688 , 0.09469 , 0.17115 , 0.25364 , 0.27731 , 0.25296 , 0.22821 
 322 , 0.12362 , 0.15555 , 0.16269 , 0.13759 , 0.26622 , 0.11765 , 0.15368 , 0.14291 , 0.12435 , 0.13176 , 0.12468 , 0.08287 , 0.13557 , 0.08243 , 0.1068 , 0.19902 , 0.282 , 0.30235 , 0.28603 , 0.25349 
