
Wavelength,SHB1_00005_B1_NP.spu,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP-tall.spu,SHB1_00011_B1_NP-tall.spu,SHB1_00012_B1_NP-tall.spu,SHB1_00013_B1_NP-tall.spu,SHB1_00014_B1_NP-tall.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_P.spu,SHB1_00017_B1_P.spu,SHB1_00018_B1_P.spu,SHB1_00019_B1_P.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_N.spu,SHB1_00022_B1_N.spu,SHB1_00023_B1_N.spu,SHB1_00024_B1_N.spu,SHB1_00026_B1_CT2.spu,SHB1_00027_B1_CT2.spu,SHB1_00028_B1_CT2.spu,SHB1_00029_B1_CT2.spu,SHB1_00030_B1_CT2.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,15:08 AM,15:48 AM,16:08 AM,16:27 AM,16:50 AM,17:32 AM,17:50 AM,18:06 AM,18:20 AM,18:36 AM,19:53 AM,20:15 AM,20:32 AM,20:46 AM,21:03 AM,21:40 AM,22:06 AM,22:15 AM,22:29 AM,22:43 AM,24:50 AM,25:07 AM,25:19 AM,25:29 AM,25:41 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.01978 , 0.03612 , 0.03782 , 0.10467 , 0.04626 , 0.02636 , 0.08057 , 0.07922 , 0.03957 , 0.03337 , 0.05108 , 0.05373 , 0.08822 , 0.05413 , 0.08117 , 0.07832 , 0.02699 , 0.06095 , 0.06249 , 0.05796 , 0.07227 , 0.07766 , 0.0755 , 0.06654 , 0.05688 
 311 , 0.00231 , 0.00426 , 0.00438 , 0.08354 , 0.02851 , 0.00309 , 0.0556 , 0.03274 , 0.02461 , 0.00395 , 0.04346 , 0.04012 , 0.07939 , 0.04087 , 0.05637 , 0.05535 , 0.01716 , 0.05054 , 0.0607 , 0.04476 , 0.05786 , 0.06215 , 0.0639 , 0.05116 , 0.04413 
 312 , 0.0205 , 0 , 0.00693 , 0.07532 , 0.0267 , 0.01323 , 0.04614 , 0.03285 , 0.02331 , 0.01241 , 0.04797 , 0.03411 , 0.07972 , 0.03922 , 0.04487 , 0.06189 , 0.02416 , 0.06128 , 0.0529 , 0.04606 , 0.06117 , 0.07636 , 0.0625 , 0.04902 , 0.0456 
 313 , 0.04433 , 0 , 0.01511 , 0.06831 , 0.02713 , 0.02907 , 0.03846 , 0.04002 , 0.02397 , 0.02684 , 0.05426 , 0.02883 , 0.08115 , 0.03922 , 0.03454 , 0.07308 , 0.03396 , 0.07534 , 0.04393 , 0.04954 , 0.06711 , 0.09586 , 0.0625 , 0.04877 , 0.04925 
 314 , 0.06816 , 0 , 0.02342 , 0.06106 , 0.02757 , 0.04541 , 0.03055 , 0.0474 , 0.02467 , 0.04128 , 0.06056 , 0.02335 , 0.08263 , 0.03922 , 0.02388 , 0.08476 , 0.04394 , 0.08941 , 0.03497 , 0.053 , 0.07302 , 0.11646 , 0.0625 , 0.04853 , 0.0529 
 315 , 0.10401 , 0.03892 , 0.06308 , 0.09308 , 0.05288 , 0.07752 , 0.0498 , 0.0734 , 0.05101 , 0.07301 , 0.09037 , 0.04475 , 0.09468 , 0.05935 , 0.04728 , 0.10756 , 0.06342 , 0.11042 , 0.05041 , 0.06676 , 0.08526 , 0.12929 , 0.08062 , 0.06649 , 0.07022 
 316 , 0.14875 , 0.11 , 0.1276 , 0.1609 , 0.10028 , 0.12217 , 0.09349 , 0.11528 , 0.10008 , 0.11865 , 0.14142 , 0.09219 , 0.11693 , 0.09826 , 0.10355 , 0.1399 , 0.09122 , 0.13771 , 0.09033 , 0.09053 , 0.10379 , 0.13385 , 0.11688 , 0.10158 , 0.10067 
 317 , 0.18792 , 0.17012 , 0.18194 , 0.22006 , 0.14177 , 0.16138 , 0.13104 , 0.15184 , 0.14304 , 0.15825 , 0.18693 , 0.13555 , 0.13682 , 0.13324 , 0.15449 , 0.16865 , 0.1164 , 0.16286 , 0.12763 , 0.11256 , 0.12122 , 0.13786 , 0.15098 , 0.13316 , 0.12867 
 318 , 0.21466 , 0.21294 , 0.22109 , 0.26272 , 0.17091 , 0.18872 , 0.15817 , 0.1777 , 0.17296 , 0.18571 , 0.2202 , 0.16855 , 0.15126 , 0.15778 , 0.19238 , 0.18786 , 0.13471 , 0.18189 , 0.15688 , 0.12904 , 0.13399 , 0.13886 , 0.17584 , 0.15708 , 0.14898 
 319 , 0.15877 , 0.16333 , 0.18086 , 0.2096 , 0.12542 , 0.14324 , 0.12845 , 0.13743 , 0.12155 , 0.13711 , 0.17846 , 0.13692 , 0.13059 , 0.11407 , 0.14538 , 0.14323 , 0.10676 , 0.15963 , 0.13255 , 0.10726 , 0.11269 , 0.11232 , 0.13582 , 0.13377 , 0.11677 
