
Wavelength,WSG23_00005_XXX_XXX.spu,WSG23_00006_XXX_XXX.spu,WSG23_00007_XXX_XXX.spu,WSG23_00008_XXX_XXX.spu,WSG23_00009_XXX_XXX.spu,WSG23_00010_XXX_XXX.spu,WSG23_00011_XXX_XXX.spu,WSG23_00012_XXX_XXX.spu,WSG23_00013_XXX_XXX.spu,WSG23_00014_XXX_XXX.spu,WSG23_00015_XXX_XXX.spu,WSG23_00016_XXX_XXX.spu,WSG23_00017_XXX_XXX.spu,WSG23_00018_XXX_XXX.spu,WSG23_00019_XXX_XXX.spu,WSG23_00020_XXX_XXX.spu,WSG23_00021_XXX_XXX.spu,WSG23_00022_XXX_XXX.spu,WSG23_00023_XXX_XXX.spu,WSG23_00024_XXX_XXX.spu,WSG23_00025_XXX_XXX.spu,WSG23_00026_XXX_XXX.spu,WSG23_00027_XXX_XXX.spu,WSG23_00028_XXX_XXX.spu,WSG23_00029_XXX_XXX.spu,WSG23_00030_XXX_XXX.spu,WSG23_00031_XXX_XXX.spu,WSG23_00032_XXX_XXX.spu,WSG23_00033_XXX_XXX.spu,WSG23_00034_XXX_XXX.spu,WSG23_00035_XXX_XXX.spu,WSG23_00036_XXX_XXX.spu,WSG23_00037_XXX_XXX.spu,WSG23_00038_XXX_XXX.spu,WSG23_00039_XXX_XXX.spu,WSG23_00040_XXX_XXX.spu,WSG23_00041_XXX_XXX.spu,WSG23_00042_XXX_XXX.spu,WSG23_00043_XXX_XXX.spu,WSG23_00044_XXX_XXX.spu
  (nm),6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 ,6/27/2017 
  time  ,18:10 AM,18:29 AM,18:41 AM,18:56 AM,19:08 AM,20:19 AM,20:34 AM,20:46 AM,20:56 AM,21:06 AM,22:13 AM,22:24 AM,22:33 AM,22:44 AM,22:52 AM,23:42 AM,23:49 AM,24:04 AM,24:14 AM,24:24 AM,26:12 AM,26:21 AM,26:30 AM,26:41 AM,26:53 AM,27:16 AM,27:24 AM,27:33 AM,27:43 AM,27:52 AM,28:53 AM,29:00 AM,29:09 AM,29:21 AM,29:31 AM,30:13 AM,30:22 AM,30:32 AM,30:41 AM,30:50 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.1037 , 0.10351 , 0.08063 , 0.08615 , 0.10193 , 0.10906 , 0.11369 , 0.12622 , 0.11956 , 0.12457 , 0.08571 , 0.08084 , 0.07899 , 0.13093 , 0.0677 , 0.12679 , 0.09694 , 0.12667 , 0.12921 , 0.13434 , 0.11639 , 0.08366 , 0.09708 , 0.10707 , 0.10507 , 0.06517 , 0.07548 , 0.05157 , 0.11093 , 0.07319 , 0.09388 , 0.08528 , 0.06722 , 0.04837 , 0.05053 , 0.10874 , 0.10594 , 0.10196 , 0.10501 , 0.10222 
 311 , 0.09364 , 0.10712 , 0.0884 , 0.08904 , 0.1055 , 0.09982 , 0.11274 , 0.13779 , 0.12916 , 0.11548 , 0.08571 , 0.084 , 0.08588 , 0.15457 , 0.05838 , 0.13783 , 0.09953 , 0.12511 , 0.13984 , 0.13988 , 0.11442 , 0.08765 , 0.10227 , 0.11327 , 0.09153 , 0.05599 , 0.0834 , 0.05505 , 0.11743 , 0.07643 , 0.08305 , 0.07494 , 0.0568 , 0.04802 , 0.04761 , 0.10597 , 0.10853 , 0.10284 , 0.10411 , 0.10271 
 312 , 0.09192 , 0.09553 , 0.08955 , 0.08506 , 0.10053 , 0.10375 , 0.10662 , 0.13061 , 0.12066 , 0.1134 , 0.08505 , 0.08354 , 0.08958 , 0.13916 , 0.0669 , 0.12792 , 0.09922 , 0.12055 , 0.13762 , 0.1403 , 0.10979 , 0.09052 , 0.09394 , 0.09856 , 0.0982 , 0.06839 , 0.07969 , 0.05755 , 0.11384 , 0.07165 , 0.08345 , 0.07501 , 0.05499 , 0.05332 , 0.04684 , 0.10146 , 0.11002 , 0.10388 , 0.10031 , 0.10061 
 313 , 0.09151 , 0.08171 , 0.08955 , 0.07998 , 0.09446 , 0.10969 , 0.10011 , 0.12083 , 0.10995 , 0.11246 , 0.08434 , 0.08252 , 0.09264 , 0.11775 , 0.07804 , 0.11497 , 0.0984 , 0.11553 , 0.13327 , 0.13972 , 0.10472 , 0.09321 , 0.08394 , 0.08099 , 0.10785 , 0.08419 , 0.07437 , 0.05988 , 0.10874 , 0.06601 , 0.08562 , 0.07683 , 0.0545 , 0.05941 , 0.04641 , 0.09672 , 0.11128 , 0.10492 , 0.0961 , 0.09812 
 314 , 0.0911 , 0.06813 , 0.08955 , 0.07499 , 0.0886 , 0.1154 , 0.0939 , 0.11137 , 0.09967 , 0.11153 , 0.08365 , 0.08153 , 0.09563 , 0.09669 , 0.0889 , 0.10233 , 0.09759 , 0.11059 , 0.12896 , 0.13915 , 0.09973 , 0.09581 , 0.07428 , 0.06398 , 0.11711 , 0.1 , 0.06922 , 0.06209 , 0.10375 , 0.06069 , 0.08775 , 0.07858 , 0.05401 , 0.06537 , 0.04599 , 0.09204 , 0.11253 , 0.10594 , 0.09197 , 0.09566 
 315 , 0.08598 , 0.06084 , 0.08491 , 0.07623 , 0.08591 , 0.11892 , 0.09353 , 0.11045 , 0.09439 , 0.10941 , 0.0826 , 0.08492 , 0.09722 , 0.08931 , 0.09472 , 0.09959 , 0.09701 , 0.11027 , 0.13366 , 0.14055 , 0.09722 , 0.09348 , 0.07306 , 0.05701 , 0.12043 , 0.10188 , 0.06105 , 0.06149 , 0.10265 , 0.06046 , 0.087 , 0.08116 , 0.05367 , 0.06707 , 0.04683 , 0.09414 , 0.11533 , 0.10758 , 0.09283 , 0.09709 
 316 , 0.07606 , 0.06013 , 0.07546 , 0.08405 , 0.08628 , 0.11986 , 0.09894 , 0.11834 , 0.09402 , 0.1064 , 0.08128 , 0.09292 , 0.09722 , 0.0964 , 0.09512 , 0.10719 , 0.09661 , 0.11473 , 0.14796 , 0.14406 , 0.09722 , 0.0856 , 0.08059 , 0.06036 , 0.11725 , 0.0892 , 0.04944 , 0.05775 , 0.10559 , 0.06531 , 0.08318 , 0.08452 , 0.0535 , 0.0643 , 0.04897 , 0.10348 , 0.11982 , 0.10991 , 0.09897 , 0.10263 
 317 , 0.06641 , 0.05943 , 0.06617 , 0.09173 , 0.08664 , 0.12081 , 0.10452 , 0.12623 , 0.09364 , 0.10355 , 0.07999 , 0.10091 , 0.09722 , 0.10336 , 0.09553 , 0.11478 , 0.09622 , 0.11923 , 0.16192 , 0.14754 , 0.09722 , 0.07765 , 0.08799 , 0.06368 , 0.11405 , 0.07691 , 0.03792 , 0.054 , 0.10849 , 0.07036 , 0.07941 , 0.08788 , 0.05333 , 0.0616 , 0.05111 , 0.1127 , 0.12424 , 0.1122 , 0.10508 , 0.10809 
 318 , 0.0582 , 0.05949 , 0.05906 , 0.09846 , 0.08703 , 0.12271 , 0.11074 , 0.13409 , 0.09536 , 0.10267 , 0.07977 , 0.10776 , 0.09766 , 0.11052 , 0.09673 , 0.12334 , 0.09796 , 0.12535 , 0.17565 , 0.15299 , 0.09813 , 0.07134 , 0.09481 , 0.06812 , 0.11183 , 0.06757 , 0.03019 , 0.0516 , 0.11214 , 0.07668 , 0.07682 , 0.09231 , 0.0542 , 0.05999 , 0.05355 , 0.12132 , 0.12854 , 0.1147 , 0.11092 , 0.11289 
 319 , 0.06117 , 0.06672 , 0.07038 , 0.09765 , 0.08902 , 0.13503 , 0.1235 , 0.14309 , 0.11628 , 0.11683 , 0.08899 , 0.10567 , 0.10332 , 0.1207 , 0.10628 , 0.14121 , 0.1194 , 0.14684 , 0.19101 , 0.17729 , 0.10821 , 0.08143 , 0.09764 , 0.08283 , 0.12066 , 0.08121 , 0.0555 , 0.06166 , 0.12365 , 0.09455 , 0.08481 , 0.10695 , 0.06481 , 0.06763 , 0.0592 , 0.12652 , 0.13313 , 0.11967 , 0.11559 , 0.11303 
 320 , 0.06402 , 0.07365 , 0.08123 , 0.09685 , 0.09092 , 0.14678 , 0.13568 , 0.15174 , 0.13641 , 0.13088 , 0.09774 , 0.10365 , 0.10871 , 0.13056 , 0.11538 , 0.15866 , 0.14 , 0.16765 , 0.20568 , 0.20065 , 0.11789 , 0.09096 , 0.1004 , 0.09732 , 0.12901 , 0.09455 , 0.07987 , 0.07135 , 0.13467 , 0.11109 , 0.0925 , 0.12112 , 0.07491 , 0.07508 , 0.06465 , 0.13151 , 0.13755 , 0.12451 , 0.12011 , 0.11316 
 321 , 0.06675 , 0.0803 , 0.09166 , 0.09607 , 0.09273 , 0.15802 , 0.1473 , 0.16007 , 0.1558 , 0.14483 , 0.10605 , 0.1017 , 0.11385 , 0.14012 , 0.12408 , 0.17571 , 0.15981 , 0.18782 , 0.21969 , 0.22313 , 0.1272 , 0.09999 , 0.10309 , 0.11159 , 0.13692 , 0.10759 , 0.10335 , 0.0807 , 0.14524 , 0.12644 , 0.09992 , 0.13484 , 0.08454 , 0.08234 , 0.06992 , 0.13629 , 0.14181 , 0.12922 , 0.12449 , 0.11329 
 322 , 0.08403 , 0.0927 , 0.10738 , 0.10628 , 0.10093 , 0.18417 , 0.16757 , 0.18673 , 0.17456 , 0.17174 , 0.1246 , 0.12222 , 0.1253 , 0.15732 , 0.13939 , 0.19208 , 0.17528 , 0.21162 , 0.24842 , 0.24516 , 0.13109 , 0.11289 , 0.11711 , 0.11997 , 0.14648 , 0.12615 , 0.12793 , 0.09576 , 0.16297 , 0.13803 , 0.11894 , 0.1444 , 0.0929 , 0.09227 , 0.07649 , 0.1474 , 0.1519 , 0.14205 , 0.13443 , 0.11985 
 323 , 0.10663 , 0.10707 , 0.12476 , 0.12048 , 0.11136 , 0.21567 , 0.19067 , 0.22056 , 0.19305 , 0.20334 , 0.1474 , 0.15115 , 0.13896 , 0.17703 , 0.1571 , 0.20791 , 0.18894 , 0.23655 , 0.28285 , 0.26684 , 0.13286 , 0.12715 , 0.13536 , 0.12603 , 0.15649 , 0.14654 , 0.15287 , 0.11302 , 0.18337 , 0.1481 , 0.1423 , 0.15224 , 0.10065 , 0.10299 , 0.08342 , 0.16069 , 0.16403 , 0.15775 , 0.14627 , 0.12872 
 324 , 0.12887 , 0.12111 , 0.14161 , 0.13436 , 0.12154 , 0.24673 , 0.2131 , 0.25464 , 0.21155 , 0.23448 , 0.17069 , 0.17987 , 0.15242 , 0.19617 , 0.17468 , 0.22327 , 0.2024 , 0.26111 , 0.31754 , 0.28836 , 0.13459 , 0.14132 , 0.15347 , 0.13192 , 0.16635 , 0.16649 , 0.17762 , 0.13028 , 0.20377 , 0.15818 , 0.16553 , 0.1599 , 0.10823 , 0.11337 , 0.09015 , 0.17375 , 0.17596 , 0.17311 , 0.15778 , 0.13738 
 325 , 0.15022 , 0.13494 , 0.15703 , 0.15085 , 0.13482 , 0.27373 , 0.23456 , 0.28157 , 0.23554 , 0.26443 , 0.19116 , 0.2029 , 0.16932 , 0.21426 , 0.19338 , 0.24066 , 0.21879 , 0.28153 , 0.35561 , 0.31584 , 0.14396 , 0.15631 , 0.17185 , 0.14355 , 0.17593 , 0.1855 , 0.19892 , 0.15099 , 0.2253 , 0.17401 , 0.18597 , 0.17088 , 0.12288 , 0.12534 , 0.0982 , 0.18787 , 0.19106 , 0.18812 , 0.17055 , 0.14589 
 326 , 0.17012 , 0.14871 , 0.1702 , 0.17247 , 0.15413 , 0.29356 , 0.25483 , 0.29504 , 0.26994 , 0.29252 , 0.20574 , 0.21525 , 0.19296 , 0.23097 , 0.21433 , 0.26227 , 0.24098 , 0.29464 , 0.39985 , 0.35486 , 0.16787 , 0.17302 , 0.19085 , 0.1662 , 0.18534 , 0.20314 , 0.21379 , 0.17804 , 0.24899 , 0.20089 , 0.20131 , 0.18836 , 0.15104 , 0.14064 , 0.10891 , 0.2043 , 0.21241 , 0.20281 , 0.18596 , 0.15429 
 327 , 0.18927 , 0.16217 , 0.18309 , 0.19283 , 0.17274 , 0.31269 , 0.27441 , 0.30776 , 0.30288 , 0.31983 , 0.21981 , 0.22734 , 0.2161 , 0.24699 , 0.2344 , 0.28327 , 0.26254 , 0.30728 , 0.44251 , 0.39275 , 0.19143 , 0.18937 , 0.20916 , 0.1882 , 0.1943 , 0.22019 , 0.22824 , 0.20383 , 0.27206 , 0.22725 , 0.21588 , 0.20522 , 0.17845 , 0.15583 , 0.11937 , 0.22021 , 0.23314 , 0.21714 , 0.20101 , 0.16251 
 328 , 0.20774 , 0.17533 , 0.1957 , 0.21209 , 0.19071 , 0.33121 , 0.29333 , 0.31984 , 0.33451 , 0.34635 , 0.23341 , 0.23913 , 0.23872 , 0.26239 , 0.25366 , 0.3037 , 0.28349 , 0.3195 , 0.48367 , 0.42957 , 0.21464 , 0.20533 , 0.22682 , 0.2096 , 0.20288 , 0.23666 , 0.24228 , 0.22847 , 0.29452 , 0.2531 , 0.22976 , 0.22149 , 0.20512 , 0.17086 , 0.12958 , 0.23564 , 0.25328 , 0.23113 , 0.21572 , 0.17053 
 329 , 0.22371 , 0.18856 , 0.20913 , 0.222 , 0.20413 , 0.35586 , 0.31164 , 0.35297 , 0.35997 , 0.36201 , 0.24609 , 0.25725 , 0.24931 , 0.28184 , 0.26543 , 0.31807 , 0.2995 , 0.34698 , 0.49752 , 0.45255 , 0.22564 , 0.20882 , 0.23157 , 0.21789 , 0.22277 , 0.25343 , 0.25049 , 0.24211 , 0.30927 , 0.27111 , 0.24885 , 0.23413 , 0.20635 , 0.17175 , 0.14033 , 0.24333 , 0.26275 , 0.24323 , 0.22598 , 0.1779 
 330 , 0.23918 , 0.20151 , 0.22239 , 0.23123 , 0.21711 , 0.38032 , 0.32935 , 0.38611 , 0.38468 , 0.37669 , 0.25848 , 0.27492 , 0.25915 , 0.30116 , 0.27658 , 0.33187 , 0.31483 , 0.37444 , 0.50983 , 0.47436 , 0.23588 , 0.21176 , 0.23565 , 0.22545 , 0.24295 , 0.26977 , 0.25821 , 0.25489 , 0.32331 , 0.28834 , 0.26763 , 0.24619 , 0.20654 , 0.17215 , 0.15075 , 0.25052 , 0.27153 , 0.255 , 0.23584 , 0.18506 
 331 , 0.25434 , 0.21418 , 0.23546 , 0.24033 , 0.22991 , 0.40446 , 0.3465 , 0.4186 , 0.40906 , 0.39072 , 0.2707 , 0.29177 , 0.26865 , 0.32034 , 0.2875 , 0.3454 , 0.32965 , 0.40134 , 0.52174 , 0.49558 , 0.24578 , 0.21458 , 0.23961 , 0.2328 , 0.26312 , 0.28568 , 0.26558 , 0.26735 , 0.33691 , 0.30506 , 0.28602 , 0.25779 , 0.20672 , 0.17254 , 0.1608 , 0.25754 , 0.28008 , 0.26649 , 0.24545 , 0.19202 
 332 , 0.26742 , 0.21819 , 0.24544 , 0.25003 , 0.2313 , 0.41841 , 0.36381 , 0.4373 , 0.4203 , 0.41154 , 0.27323 , 0.30546 , 0.2757 , 0.3284 , 0.29729 , 0.34869 , 0.33654 , 0.41918 , 0.54338 , 0.51456 , 0.2464 , 0.2246 , 0.24421 , 0.24118 , 0.2687 , 0.29815 , 0.27037 , 0.27378 , 0.34365 , 0.31839 , 0.29218 , 0.26646 , 0.21439 , 0.17813 , 0.16452 , 0.26898 , 0.28751 , 0.27271 , 0.25231 , 0.19831 
 333 , 0.27899 , 0.21636 , 0.25325 , 0.26013 , 0.22514 , 0.4255 , 0.38109 , 0.44631 , 0.42268 , 0.43699 , 0.26936 , 0.31681 , 0.28101 , 0.32882 , 0.30632 , 0.34536 , 0.33789 , 0.43065 , 0.57153 , 0.53195 , 0.24082 , 0.23943 , 0.24926 , 0.25023 , 0.26447 , 0.30816 , 0.27324 , 0.276 , 0.34572 , 0.32929 , 0.2901 , 0.27301 , 0.22719 , 0.18721 , 0.16385 , 0.28342 , 0.29415 , 0.27536 , 0.25726 , 0.20409 
