
Wavelength,HST_00005_B4_NP.spu,HST_00006_B4_NP.spu,HST_00007_B4_NP.spu,HST_00008_B4_NP.spu,HST_00009_B4_NP.spu,HST_00010_B4_CT.spu,HST_00011_B4_CT.spu,HST_00012_B4_CT.spu,HST_00013_B4_CT.spu,HST_00014_B4_CT.spu,HST_00015_B3_NP.spu,HST_00016_B3_NP.spu,HST_00017_B3_NP.spu,HST_00018_B3_NP.spu,HST_00019_B3_NP.spu,HST_00020_B3_CT.spu,HST_00021_B3_CT.spu,HST_00022_B3_CT.spu,HST_00023_B3_CT.spu,HST_00024_B3_CT.spu,HST_00025_B2_NP.spu,HST_00026_B2_NP.spu,HST_00027_B2_NP.spu,HST_00028_B2_NP.spu,HST_00029_B2_NP.spu,HST_00030_B2_CT.spu,HST_00031_B2_CT.spu,HST_00032_B2_CT.spu,HST_00033_B2_CT.spu,HST_00034_B2_CT.spu,HST_00035_B1_NP.spu,HST_00036_B1_NP.spu,HST_00037_B1_NP.spu,HST_00038_B1_NP.spu,HST_00039_B1_NP.spu,HST_00040_B1_CT.spu,HST_00041_B1_CT.spu,HST_00042_B1_CT.spu,HST_00043_B1_CT.spu,HST_00044_B1_CT.spu
  (nm),6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 ,6/28/2017 
  time  ,:00:35 A,:00:44 A,:00:52 A,:00:58 A,:01:06 A,:02:13 A,:02:18 A,:02:25 A,:02:32 A,:02:40 A,:03:39 A,:03:48 A,:03:54 A,:04:01 A,:04:08 A,:04:23 A,:04:31 A,:04:41 A,:04:49 A,:04:57 A,:05:32 A,:05:42 A,:05:48 A,:05:55 A,:06:01 A,:06:13 A,:06:20 A,:06:28 A,:06:39 A,:06:52 A,:11:10 A,:11:17 A,:11:23 A,:11:30 A,:11:36 A,:11:47 A,:11:52 A,:11:58 A,:12:04 A,:12:15 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.07959 , 0.0948 , 0.07509 , 0.08907 , 0.08815 , 0.08066 , 0.07095 , 0.05578 , 0.07765 , 0.07536 , 0.06466 , 0.02984 , 0.04626 , 0.04292 , 0.01985 , 0.07314 , 0.04326 , 0.09081 , 0.09149 , 0.05101 , 0.05672 , 0.0364 , 0.03684 , 0.0492 , 0.05446 , 0.06576 , 0.09927 , 0.09355 , 0.0651 , 0.04006 , 0.04492 , 0.01018 , 0.02365 , 0.01973 , 0.04678 , 0.01634 , 0.00329 , 0.05699 , 0.03706 , 0.02741 
 311 , 0.06792 , 0.10438 , 0.07731 , 0.08751 , 0.08664 , 0.07735 , 0.06713 , 0.04939 , 0.08041 , 0.07804 , 0.06695 , 0.03786 , 0.04005 , 0.03965 , 0.01962 , 0.0704 , 0.03969 , 0.09003 , 0.09095 , 0.05056 , 0.06747 , 0.03957 , 0.03923 , 0.05675 , 0.05144 , 0.06231 , 0.09812 , 0.09919 , 0.07064 , 0.04788 , 0.05025 , 0.00124 , 0.02976 , 0.01962 , 0.0496 , 0.01903 , 0.0004 , 0.05961 , 0.03927 , 0.02994 
 312 , 0.08127 , 0.10523 , 0.09516 , 0.10009 , 0.08278 , 0.08993 , 0.07733 , 0.06213 , 0.09064 , 0.08898 , 0.0811 , 0.04825 , 0.04842 , 0.04804 , 0.02918 , 0.07863 , 0.05583 , 0.09355 , 0.09702 , 0.0564 , 0.07539 , 0.04885 , 0.05388 , 0.06026 , 0.05742 , 0.07265 , 0.10909 , 0.10564 , 0.07221 , 0.05557 , 0.05468 , 0.00502 , 0.0371 , 0.0291 , 0.06129 , 0.02166 , 0.00707 , 0.06593 , 0.04381 , 0.03999 
 313 , 0.09819 , 0.10462 , 0.1149 , 0.11447 , 0.07866 , 0.1047 , 0.08944 , 0.0775 , 0.10162 , 0.10092 , 0.09693 , 0.05867 , 0.05894 , 0.05799 , 0.0402 , 0.08844 , 0.07477 , 0.09767 , 0.10404 , 0.063 , 0.08268 , 0.05878 , 0.07017 , 0.06307 , 0.06467 , 0.08468 , 0.12176 , 0.11213 , 0.07322 , 0.063 , 0.05883 , 0.0107 , 0.04432 , 0.03998 , 0.07401 , 0.02422 , 0.01508 , 0.07265 , 0.04858 , 0.0511 
 314 , 0.11458 , 0.10403 , 0.13388 , 0.12831 , 0.07468 , 0.11899 , 0.10116 , 0.09236 , 0.11194 , 0.11241 , 0.11251 , 0.06869 , 0.06922 , 0.06756 , 0.05109 , 0.09792 , 0.09329 , 0.10165 , 0.11086 , 0.06925 , 0.08973 , 0.06828 , 0.08609 , 0.06585 , 0.07164 , 0.09604 , 0.13414 , 0.1184 , 0.07418 , 0.07014 , 0.06275 , 0.01622 , 0.05114 , 0.05067 , 0.08624 , 0.02674 , 0.02286 , 0.07907 , 0.05317 , 0.06201 
 315 , 0.12948 , 0.10935 , 0.14306 , 0.13817 , 0.07894 , 0.12613 , 0.10974 , 0.1036 , 0.12115 , 0.11683 , 0.12262 , 0.07999 , 0.08086 , 0.0765 , 0.06298 , 0.10548 , 0.10265 , 0.10951 , 0.12051 , 0.07899 , 0.09831 , 0.08235 , 0.10431 , 0.07094 , 0.08225 , 0.10802 , 0.14183 , 0.12553 , 0.08115 , 0.07484 , 0.07005 , 0.02418 , 0.0584 , 0.06114 , 0.09725 , 0.03714 , 0.03338 , 0.08767 , 0.06059 , 0.07253 
