
Wavelength,WSG1_00000_XXX_XXX.spu,WSG1_00002_XXX_XXX.spu,WSG1_00003_XXX_XXX.spu,WSG1_00004_XXX_XXX.spu,WSG1_00005_XXX_XXX.spu,WSG1_00006_XXX_XXX.spu,WSG1_00007_XXX_XXX.spu,WSG1_00008_XXX_XXX.spu,WSG1_00009_XXX_XXX.spu,WSG1_00010_XXX_XXX.spu,WSG1_00011_XXX_XXX.spu,WSG1_00012_XXX_XXX.spu,WSG1_00013_XXX_XXX.spu,WSG1_00014_XXX_XXX.spu,WSG1_00015_XXX_XXX.spu,WSG1_00016_XXX_XXX.spu,WSG1_00017_XXX_XXX.spu,WSG1_00018_XXX_XXX.spu,WSG1_00019_XXX_XXX.spu,WSG1_00020_XXX_XXX.spu,WSG1_00021_XXX_XXX.spu,WSG1_00022_XXX_XXX.spu,WSG1_00023_XXX_XXX.spu,WSG1_00024_XXX_XXX.spu,WSG1_00001_XXX_XXX.spu
  (nm),7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1,7/4/2017 1
  time  ,28:56 PM,29:20 PM,29:30 PM,29:40 PM,30:07 PM,30:18 PM,30:28 PM,30:38 PM,30:48 PM,31:39 PM,31:48 PM,31:56 PM,32:05 PM,32:15 PM,32:44 PM,32:53 PM,33:00 PM,33:08 PM,33:16 PM,33:39 PM,33:49 PM,34:00 PM,34:09 PM,34:20 PM,29:07 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.00466 , 0 , 0.01304 , 0 , 0 , 0.00815 , 0.00776 , 0.00806 , 0.00831 , 0.01414 , 0 , 0 , 0.0039 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.00056 , 0 , 0.01299 , 0 , 0 , 0.00099 , 0.01103 , 0.00098 , 0.01171 , 0.00172 , 0 , 0 , 0.00047 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0.00951 , 0 , 0 , 0 , 0.00854 , 0 , 0.009 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0.00563 , 0 , 0 , 0 , 0.00514 , 0 , 0.00537 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0.00189 , 0 , 0 , 0 , 0.00175 , 0 , 0.00182 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0.00173 , 0 , 0 , 0.00327 , 0.00319 , 0.00954 , 0.00481 , 0 , 0.00574 , 0.00155 , 0.00453 , 0 , 0.00529 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00166 
 316 , 0 , 0 , 0.00531 , 0 , 0 , 0.00992 , 0.0096 , 0.02894 , 0.01463 , 0 , 0.01754 , 0.00474 , 0.01369 , 0 , 0.0165 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00502 
 317 , 0 , 0 , 0.00887 , 0 , 0 , 0.01635 , 0.01574 , 0.0477 , 0.02418 , 0 , 0.02912 , 0.00787 , 0.02251 , 0 , 0.02795 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00827 
 318 , 0 , 0 , 0.01341 , 0.00038 , 0.00136 , 0.02256 , 0.02197 , 0.0631 , 0.03321 , 0.00058 , 0.03903 , 0.01061 , 0.0305 , 0.00078 , 0.03892 , 0 , 0 , 0.00062 , 0 , 0 , 0 , 0.00118 , 0.00108 , 0.00213 , 0.01176 
 319 , 0 , 0 , 0.0269 , 0.00414 , 0.01475 , 0.02849 , 0.03111 , 0.05328 , 0.03965 , 0.00636 , 0.03582 , 0.01045 , 0.03358 , 0.00845 , 0.04385 , 0 , 0 , 0.00668 , 0 , 0 , 0 , 0.01284 , 0.01181 , 0.02342 , 0.0182 
 320 , 0 , 0 , 0.04001 , 0.00784 , 0.02788 , 0.0342 , 0.04013 , 0.04364 , 0.04593 , 0.012 , 0.03269 , 0.01029 , 0.0366 , 0.01595 , 0.04862 , 0 , 0 , 0.01261 , 0 , 0 , 0 , 0.02423 , 0.02238 , 0.0447 , 0.02457 
 321 , 0 , 0 , 0.05277 , 0.01148 , 0.04074 , 0.0397 , 0.04905 , 0.03418 , 0.05204 , 0.01751 , 0.02966 , 0.01014 , 0.03956 , 0.02328 , 0.05324 , 0 , 0 , 0.01839 , 0 , 0 , 0 , 0.03537 , 0.03281 , 0.06599 , 0.03085 
 322 , 0.01264 , 0.00877 , 0.06526 , 0.02789 , 0.04638 , 0.05344 , 0.04423 , 0.03966 , 0.05792 , 0.02661 , 0.03476 , 0.02036 , 0.05048 , 0.03284 , 0.07994 , 0.00804 , 0.01356 , 0.04051 , 0.01183 , 0.01656 , 0.00533 , 0.04559 , 0.0475 , 0.08033 , 0.04823 
 323 , 0.02945 , 0.02077 , 0.07739 , 0.04875 , 0.04921 , 0.06992 , 0.0345 , 0.05052 , 0.06363 , 0.03685 , 0.04288 , 0.0342 , 0.06423 , 0.04293 , 0.11404 , 0.0192 , 0.0314 , 0.06844 , 0.02827 , 0.03894 , 0.01255 , 0.05508 , 0.06342 , 0.09151 , 0.06959 
 324 , 0.04546 , 0.03254 , 0.08912 , 0.06902 , 0.05196 , 0.08583 , 0.02517 , 0.06094 , 0.06924 , 0.04675 , 0.05086 , 0.04757 , 0.07766 , 0.0526 , 0.14676 , 0.03037 , 0.04819 , 0.09573 , 0.04471 , 0.06065 , 0.01956 , 0.06403 , 0.07881 , 0.10203 , 0.09054 
 325 , 0.05107 , 0.04115 , 0.09275 , 0.0817 , 0.05451 , 0.09881 , 0.02766 , 0.07413 , 0.07543 , 0.05359 , 0.05653 , 0.05396 , 0.08399 , 0.05725 , 0.16836 , 0.03553 , 0.05279 , 0.11623 , 0.05096 , 0.07427 , 0.02517 , 0.07084 , 0.0909 , 0.11374 , 0.10226 
 326 , 0.03785 , 0.04396 , 0.08169 , 0.08064 , 0.05677 , 0.10677 , 0.05193 , 0.09298 , 0.08282 , 0.05504 , 0.058 , 0.04771 , 0.07724 , 0.05288 , 0.17044 , 0.02934 , 0.03522 , 0.12455 , 0.03853 , 0.07328 , 0.02831 , 0.07402 , 0.09722 , 0.12826 , 0.09709 
 327 , 0.02498 , 0.0467 , 0.07109 , 0.07962 , 0.05897 , 0.11459 , 0.0754 , 0.1113 , 0.08992 , 0.05642 , 0.0594 , 0.0417 , 0.07072 , 0.04865 , 0.17244 , 0.02342 , 0.01785 , 0.13242 , 0.02708 , 0.07232 , 0.03137 , 0.07718 , 0.10346 , 0.1424 , 0.09216 
 328 , 0.01244 , 0.04937 , 0.06094 , 0.07863 , 0.0611 , 0.12228 , 0.09812 , 0.12911 , 0.09673 , 0.05774 , 0.06076 , 0.03591 , 0.06442 , 0.04457 , 0.17439 , 0.01775 , 0.00068 , 0.13991 , 0.01651 , 0.0714 , 0.03434 , 0.0803 , 0.1096 , 0.15619 , 0.08747 
 329 , 0.02929 , 0.062 , 0.07638 , 0.10249 , 0.08623 , 0.13653 , 0.10312 , 0.131 , 0.11446 , 0.06458 , 0.08179 , 0.04287 , 0.07852 , 0.06244 , 0.20474 , 0.05139 , 0.01593 , 0.17382 , 0.04751 , 0.09576 , 0.04674 , 0.09042 , 0.12624 , 0.18622 , 0.09402 
 330 , 0.04671 , 0.07457 , 0.0924 , 0.12675 , 0.11186 , 0.1507 , 0.10727 , 0.1322 , 0.13213 , 0.07153 , 0.10309 , 0.05018 , 0.09308 , 0.08086 , 0.23589 , 0.08595 , 0.03165 , 0.20838 , 0.0799 , 0.12003 , 0.05913 , 0.10029 , 0.14283 , 0.2159 , 0.10079 
 331 , 0.06349 , 0.08666 , 0.10796 , 0.15038 , 0.13703 , 0.1645 , 0.11132 , 0.13338 , 0.14932 , 0.07841 , 0.12386 , 0.05735 , 0.10725 , 0.09893 , 0.26676 , 0.11982 , 0.04655 , 0.24258 , 0.11199 , 0.14319 , 0.07112 , 0.10954 , 0.15892 , 0.24453 , 0.10733 
 332 , 0.09197 , 0.10472 , 0.12487 , 0.17848 , 0.16048 , 0.18208 , 0.12306 , 0.15634 , 0.17163 , 0.09661 , 0.1422 , 0.0681 , 0.1247 , 0.12115 , 0.29688 , 0.1647 , 0.07768 , 0.28785 , 0.15088 , 0.16836 , 0.08957 , 0.13344 , 0.1804 , 0.27433 , 0.13407 
