
Wavelength,WSG23_00010_B3_NP.spu,WSG23_00011_B3_NP.spu,WSG23_00012_B3_NP.spu,WSG23_00013_B3_NP.spu,WSG23_00014_B3_NP.spu,WSG23_00015_B3_P.spu,WSG23_00016_B3_P.spu,WSG23_00017_B3_P.spu,WSG23_00018_B3_P.spu,WSG23_00019_B3_P.spu,WSG23_00020_B3_N.spu,WSG23_00021_B3_N.spu,WSG23_00022_B3_N.spu,WSG23_00023_B3_N.spu,WSG23_00024_B3_N.spu,WSG23_00025_B3_CT.spu,WSG23_00026_B3_CT.spu,WSG23_00027_B3_CT.spu,WSG23_00028_B3_CT.spu,WSG23_00029_B3_CT.spu,WSG23_00030_B2_NP.spu,WSG23_00031_B2_NP.spu,WSG23_00032_B2_NP.spu,WSG23_00033_B2_NP.spu,WSG23_00034_B2_NP.spu,WSG23_00035_B2_N.spu,WSG23_00036_B2_N.spu,WSG23_00037_B2_N.spu,WSG23_00038_B2_N.spu,WSG23_00039_B2_N.spu,WSG23_00040_B2_CT.spu,WSG23_00041_B2_CT.spu,WSG23_00042_B2_CT.spu,WSG23_00043_B2_CT.spu,WSG23_00044_B2_CT.spu,WSG23_00045_B2_P.spu,WSG23_00046_B2_P.spu,WSG23_00047_B2_P.spu,WSG23_00048_B2_P.spu,WSG23_00049_B2_P.spu
  (nm),7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1,7/6/2017 1
  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.0482 , 0.03925 , 0.00755 , 0.04417 , 0.0484 , 0.07364 , 0.06513 , 0.01749 , 0.05525 , 0.06811 , 0.02462 , 0.03017 , 0.0202 , 0.06406 , 0.02496 , 0.05379 , 0.05255 , 0.03279 , 0.03833 , 0.07904 , 0.02001 , 0.02289 , 0.01532 , 0.03869 , 0.02372 , 0.0004 , 0.01936 , 0.0121 , 0.03701 , 0.02121 , 0.03315 , 0.0333 , 0.00826 , 0 , 0.00431 , 0.00947 , 0.01905 , 0.03374 , 0.00554 , 0.00514 
 311 , 0.05064 , 0.04256 , 0.00093 , 0.04399 , 0.03876 , 0.0711 , 0.05612 , 0.02023 , 0.06104 , 0.06207 , 0.0213 , 0.03397 , 0.01335 , 0.0649 , 0.01486 , 0.05701 , 0.05995 , 0.02573 , 0.04505 , 0.08845 , 0.01265 , 0.02274 , 0.01197 , 0.03575 , 0.01361 , 0.00005 , 0.02328 , 0.01219 , 0.02733 , 0.01387 , 0.03697 , 0.03742 , 0.01212 , 0 , 0.00054 , 0.01388 , 0.01528 , 0.02998 , 0.00069 , 0.00064 
 312 , 0.05317 , 0.05609 , 0.01661 , 0.03542 , 0.03012 , 0.07985 , 0.05647 , 0.03589 , 0.06065 , 0.06998 , 0.02328 , 0.03958 , 0.01513 , 0.06932 , 0.02821 , 0.05082 , 0.05369 , 0.03942 , 0.05134 , 0.08895 , 0.01732 , 0.01679 , 0.02261 , 0.02884 , 0.0202 , 0 , 0.01741 , 0.01505 , 0.02527 , 0.02167 , 0.02767 , 0.03089 , 0.01236 , 0 , 0.00326 , 0.0179 , 0.01794 , 0.03263 , 0 , 0.00385 
 313 , 0.05567 , 0.07113 , 0.03535 , 0.02577 , 0.02221 , 0.09031 , 0.05838 , 0.05346 , 0.05941 , 0.07988 , 0.0261 , 0.04535 , 0.01824 , 0.07429 , 0.04531 , 0.0434 , 0.04565 , 0.05601 , 0.0575 , 0.08812 , 0.0238 , 0.01003 , 0.03524 , 0.02162 , 0.02953 , 0 , 0.01029 , 0.01827 , 0.02456 , 0.03144 , 0.01651 , 0.02305 , 0.01205 , 0 , 0.00694 , 0.02175 , 0.02154 , 0.03629 , 0 , 0.00818 
 314 , 0.05812 , 0.08599 , 0.0535 , 0.01637 , 0.01471 , 0.10053 , 0.06023 , 0.07082 , 0.05822 , 0.08938 , 0.02887 , 0.0509 , 0.02121 , 0.07894 , 0.06229 , 0.03622 , 0.03794 , 0.07204 , 0.06354 , 0.0873 , 0.0301 , 0.0034 , 0.04754 , 0.01464 , 0.03892 , 0 , 0.00345 , 0.02139 , 0.02386 , 0.04067 , 0.00559 , 0.01553 , 0.01176 , 0 , 0.01052 , 0.02548 , 0.02493 , 0.03983 , 0 , 0.01236 
 315 , 0.06567 , 0.10015 , 0.0772 , 0.00993 , 0.02614 , 0.11476 , 0.06921 , 0.08356 , 0.06419 , 0.10089 , 0.03697 , 0.05799 , 0.03522 , 0.08423 , 0.07563 , 0.0415 , 0.04642 , 0.08636 , 0.07701 , 0.09693 , 0.03921 , 0.00759 , 0.05199 , 0.01717 , 0.04984 , 0.00908 , 0.01535 , 0.03238 , 0.03301 , 0.05186 , 0.00834 , 0.02316 , 0.01496 , 0.01207 , 0.019 , 0.04082 , 0.03792 , 0.04892 , 0.00974 , 0.02242 
