
Wavelength,NANT_00005_B3_CT.spu,NANT_00006_B3_CT.spu,NANT_00007_B3_CT.spu,NANT_00008_B3_CT.spu,NANT_00009_B3_CT.spu,NANT_00010_B3_N.spu,NANT_00011_B3_N.spu,NANT_00012_B3_N.spu,NANT_00013_B3_N.spu,NANT_00014_B3_N.spu,NANT_00015_B3_NP.spu,NANT_00016_B3_NP.spu,NANT_00017_B3_NP.spu,NANT_00018_B3_NP.spu,NANT_00019_B3_NP.spu,NANT_00020_B3_P.spu,NANT_00021_B3_P.spu,NANT_00022_B3_P.spu,NANT_00023_B3_P.spu,NANT_00024_B3_P.spu,NANT_00025_B2_P.spu,NANT_00026_B2_P.spu,NANT_00027_B2_P.spu,NANT_00028_B2_P.spu,NANT_00029_B2_P.spu,NANT_00030_B2_NP.spu,NANT_00031_B2_NP.spu,NANT_00032_B2_NP.spu,NANT_00033_B2_NP.spu,NANT_00034_B2_NP.spu,NANT_00035_B2_CT.spu,NANT_00036_B2_CT.spu,NANT_00037_B2_CT.spu,NANT_00038_B2_CT.spu,NANT_00039_B2_CT.spu,NANT_00040_B2_N.spu,NANT_00041_B2_N.spu,NANT_00042_B2_N.spu,NANT_00043_B2_N.spu,NANT_00044_B2_N.spu,NANT_00045_XXX_XXX.spu,NANT_00046_B1_P.spu,NANT_00047_B1_P.spu,NANT_00048_B1_P.spu,NANT_00049_B1_P.spu,NANT_00050_B1_P.spu,NANT_00051_B1_CT.spu,NANT_00052_B1_CT.spu,NANT_00053_B1_CT.spu,NANT_00054_B1_CT.spu,NANT_00055_B1_CT.spu,NANT_00056_B1_NP.spu,NANT_00057_B1_NP.spu,NANT_00058_B1_NP.spu,NANT_00059_B1_NP.spu,NANT_00060_B1_NP.spu,NANT_00061_B1_N.spu,NANT_00062_B1_N.spu,NANT_00063_B1_N.spu,NANT_00064_B1_N.spu,NANT_00065_B1_N.spu
  (nm),7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 
  time  ,36:42 PM,36:53 PM,37:04 PM,37:12 PM,37:24 PM,37:50 PM,37:55 PM,38:01 PM,38:10 PM,38:19 PM,38:40 PM,38:48 PM,39:08 PM,39:18 PM,39:28 PM,40:06 PM,40:15 PM,40:24 PM,40:36 PM,40:44 PM,41:49 PM,41:56 PM,42:05 PM,42:12 PM,42:21 PM,42:49 PM,42:57 PM,43:03 PM,43:10 PM,43:19 PM,44:01 PM,44:10 PM,44:17 PM,44:24 PM,44:31 PM,44:57 PM,45:06 PM,45:13 PM,45:21 PM,45:29 PM,46:49 PM,47:14 PM,47:26 PM,47:33 PM,47:40 PM,47:47 PM,48:34 PM,48:42 PM,48:50 PM,49:00 PM,49:07 PM,49:45 PM,49:53 PM,50:00 PM,50:08 PM,50:16 PM,50:51 PM,50:59 PM,51:08 PM,51:17 PM,51:24 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.02127 , 0 , 0.05588 , 0.04316 , 0.04769 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01092 , 0 , 0 , 0 , 0.03128 , 0.00369 , 0.02401 , 0 , 0.03691 , 0 , 0 , 0 , 0 , 0 , 0.03445 , 0.03175 , 0.00634 , 0 , 0 , 0.00339 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00354 , 0 , 0.00687 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.00361 , 0 , 0.04077 , 0.03949 , 0.03956 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01572 , 0 , 0 , 0 , 0.02843 , 0.00045 , 0.02047 , 0 , 0.04309 , 0 , 0 , 0 , 0 , 0 , 0.03393 , 0.03414 , 0.00078 , 0 , 0 , 0.00041 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00043 , 0 , 0.00979 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.00946 , 0 , 0.04701 , 0.05381 , 0.03767 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01185 , 0 , 0 , 0.01268 , 0.02973 , 0.01598 , 0.03878 , 0 , 0.05069 , 0 , 0 , 0 , 0 , 0 , 0.03532 , 0.0378 , 0.01305 , 0.00722 , 0.00729 , 0.00497 , 0 , 0 , 0.00216 , 0.00441 , 0.00437 , 0 , 0 , 0 , 0.00259 , 0 , 0.0075 , 0.00759 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.01865 , 0 , 0.0564 , 0.07034 , 0.03685 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00692 , 0 , 0 , 0.02635 , 0.03166 , 0.03383 , 0.05953 , 0 , 0.05822 , 0 , 0 , 0 , 0 , 0 , 0.03696 , 0.04152 , 0.02745 , 0.01526 , 0.01541 , 0.01047 , 0 , 0 , 0.00456 , 0.00932 , 0.0094 , 0 , 0 , 0 , 0.00547 , 0 , 0.00446 , 0.01603 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.02742 , 0 , 0.06553 , 0.08605 , 0.03606 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00229 , 0 , 0 , 0.039 , 0.03351 , 0.05092 , 0.07916 , 0 , 0.06534 , 0 , 0 , 0 , 0 , 0 , 0.03853 , 0.04504 , 0.04109 , 0.02295 , 0.02317 , 0.0157 , 0 , 0 , 0.00684 , 0.01401 , 0.01437 , 0 , 0 , 0 , 0.00822 , 0 , 0.0015 , 0.02408 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.03521 , 0.00633 , 0.06988 , 0.09723 , 0.03887 , 0 , 0 , 0 , 0.0043 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03878 , 0.03803 , 0.05397 , 0.08598 , 0.00686 , 0.06761 , 0 , 0 , 0 , 0 , 0 , 0.04155 , 0.04565 , 0.04796 , 0.02948 , 0.03359 , 0.01705 , 0.00235 , 0.00226 , 0.01026 , 0.01865 , 0.01928 , 0 , 0.00139 , 0.00265 , 0.01349 , 0.00277 , 0.00274 , 0.03086 , 0.00268 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0.04218 , 0.01933 , 0.06926 , 0.10387 , 0.0454 , 0 , 0 , 0 , 0.01327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02529 , 0.04543 , 0.0424 , 0.07933 , 0.02096 , 0.06476 , 0 , 0 , 0 , 0 , 0 , 0.0461 , 0.04315 , 0.04797 , 0.03492 , 0.04696 , 0.01433 , 0.00719 , 0.00698 , 0.01495 , 0.02331 , 0.02409 , 0 , 0.00425 , 0.00825 , 0.02145 , 0.00843 , 0.00835 , 0.03644 , 0.00826 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.04921 , 0.03206 , 0.06865 , 0.11042 , 0.05179 , 0 , 0 , 0 , 0.02223 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01193 , 0.05283 , 0.03096 , 0.07257 , 0.03482 , 0.06193 , 0 , 0 , 0 , 0 , 0 , 0.05063 , 0.04067 , 0.04798 , 0.04028 , 0.06012 , 0.01162 , 0.01193 , 0.01172 , 0.01962 , 0.02791 , 0.02883 , 0 , 0.00709 , 0.01398 , 0.02923 , 0.01397 , 0.01384 , 0.04189 , 0.01384 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.05746 , 0.04393 , 0.06811 , 0.11699 , 0.05744 , 0 , 0 , 0.00164 , 0.02979 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0014 , 0.00222 , 0.00268 , 0 , 0.00091 , 0.05941 , 0.02274 , 0.0691 , 0.04849 , 0.06155 , 0 , 0 , 0 , 0 , 0 , 0.0557 , 0.03997 , 0.04956 , 0.04623 , 0.07226 , 0.01047 , 0.01586 , 0.01642 , 0.02401 , 0.03266 , 0.03325 , 0.00057 , 0.01016 , 0.02085 , 0.03716 , 0.01993 , 0.0203 , 0.04885 , 0.02078 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0.0766 , 0.05016 , 0.06766 , 0.12514 , 0.05725 , 0 , 0 , 0.01808 , 0.02498 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01517 , 0.02403 , 0.02908 , 0 , 0.01001 , 0.05907 , 0.04213 , 0.09673 , 0.06235 , 0.08317 , 0 , 0 , 0 , 0 , 0 , 0.06609 , 0.05515 , 0.06525 , 0.05833 , 0.07707 , 0.02329 , 0.01332 , 0.0207 , 0.02611 , 0.03938 , 0.03535 , 0.00626 , 0.01562 , 0.03696 , 0.04771 , 0.03055 , 0.03629 , 0.07008 , 0.0398 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0.09561 , 0.05624 , 0.06721 , 0.13302 , 0.05705 , 0 , 0 , 0.03452 , 0.0203 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02844 , 0.04507 , 0.05478 , 0 , 0.01912 , 0.05873 , 0.06108 , 0.12334 , 0.07605 , 0.10406 , 0 , 0 , 0 , 0 , 0 , 0.0762 , 0.07006 , 0.08065 , 0.07006 , 0.08178 , 0.03565 , 0.01084 , 0.0248 , 0.02817 , 0.04597 , 0.0374 , 0.01195 , 0.02092 , 0.05255 , 0.05809 , 0.04099 , 0.05202 , 0.09098 , 0.05861 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0.11449 , 0.06216 , 0.06677 , 0.14065 , 0.05686 , 0 , 0 , 0.05095 , 0.01574 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04123 , 0.06539 , 0.07982 , 0 , 0.02822 , 0.0584 , 0.0796 , 0.14899 , 0.0896 , 0.12426 , 0 , 0 , 0 , 0 , 0 , 0.08604 , 0.08471 , 0.09577 , 0.08143 , 0.0864 , 0.04756 , 0.00842 , 0.02875 , 0.0302 , 0.05245 , 0.03942 , 0.01764 , 0.02608 , 0.06763 , 0.06831 , 0.05126 , 0.0675 , 0.11153 , 0.07721 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.12954 , 0.06127 , 0.09176 , 0.16095 , 0.07001 , 0.00919 , 0.01069 , 0.05556 , 0.02375 , 0.00937 , 0.00459 , 0.00898 , 0 , 0 , 0 , 0.06896 , 0.08983 , 0.09798 , 0.01503 , 0.04924 , 0.06842 , 0.09409 , 0.16347 , 0.10014 , 0.1338 , 0.01639 , 0.00858 , 0.01096 , 0.00874 , 0.02448 , 0.0942 , 0.09818 , 0.11573 , 0.09736 , 0.10332 , 0.05946 , 0.0157 , 0.03903 , 0.03677 , 0.06345 , 0.05111 , 0.03084 , 0.03318 , 0.09024 , 0.08754 , 0.06933 , 0.08083 , 0.12514 , 0.08705 , 0.01498 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00477 
 323 , 0.14281 , 0.05777 , 0.12626 , 0.18596 , 0.0878 , 0.02214 , 0.02567 , 0.05556 , 0.03662 , 0.02228 , 0.01082 , 0.02118 , 0 , 0 , 0 , 0.1016 , 0.11615 , 0.11321 , 0.0356 , 0.07398 , 0.08228 , 0.10686 , 0.17364 , 0.10936 , 0.13921 , 0.0387 , 0.02034 , 0.02629 , 0.02046 , 0.05803 , 0.10161 , 0.11116 , 0.13738 , 0.11506 , 0.12459 , 0.07119 , 0.02654 , 0.05165 , 0.04495 , 0.076 , 0.06615 , 0.04646 , 0.04094 , 0.11542 , 0.10984 , 0.09018 , 0.09317 , 0.13588 , 0.09339 , 0.03533 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01137 
 324 , 0.15559 , 0.05432 , 0.16032 , 0.21082 , 0.10491 , 0.03532 , 0.04079 , 0.05556 , 0.04948 , 0.03508 , 0.01689 , 0.03309 , 0 , 0 , 0 , 0.13315 , 0.14269 , 0.12793 , 0.05582 , 0.09766 , 0.09593 , 0.11936 , 0.18376 , 0.11828 , 0.14459 , 0.06052 , 0.03192 , 0.04175 , 0.03173 , 0.09108 , 0.10883 , 0.12408 , 0.15873 , 0.13276 , 0.14532 , 0.08263 , 0.03714 , 0.06411 , 0.05291 , 0.08827 , 0.08072 , 0.06149 , 0.04858 , 0.14007 , 0.13156 , 0.11069 , 0.10526 , 0.14623 , 0.09947 , 0.05518 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01792 
 325 , 0.16913 , 0.06534 , 0.19644 , 0.24116 , 0.12929 , 0.05827 , 0.05705 , 0.06427 , 0.06602 , 0.05336 , 0.03512 , 0.04698 , 0 , 0.0088 , 0 , 0.16098 , 0.177 , 0.1482 , 0.0797 , 0.12702 , 0.11253 , 0.13278 , 0.20118 , 0.13452 , 0.15713 , 0.08137 , 0.04325 , 0.05539 , 0.04625 , 0.12122 , 0.12138 , 0.13921 , 0.17797 , 0.15392 , 0.16839 , 0.09802 , 0.04758 , 0.08059 , 0.06504 , 0.10408 , 0.09735 , 0.07982 , 0.06297 , 0.16406 , 0.16003 , 0.13424 , 0.12755 , 0.16242 , 0.11432 , 0.07746 , 0.01578 , 0.00987 , 0 , 0 , 0.00868 , 0.00319 , 0 , 0 , 0.00681 , 0 , 0.03312 
