
Wavelength,SHB1_00006_B1_NP.spu,SHB1_00007_B1_NP.spu,SHB1_00008_B1_NP.spu,SHB1_00009_B1_NP.spu,SHB1_00010_B1_NP.spu,SHB1_00011_B1_P.spu,SHB1_00012_B1_P.spu,SHB1_00013_B1_P.spu,SHB1_00014_B1_P.spu,SHB1_00015_B1_P.spu,SHB1_00016_B1_N.spu,SHB1_00017_B1_N.spu,SHB1_00018_B1_N.spu,SHB1_00019_B1_N.spu,SHB1_00020_B1_N.spu,SHB1_00021_B1_CT2.spu,SHB1_00022_B1_CT2.spu,SHB1_00023_B1_CT2.spu,SHB1_00024_B1_CT2.spu,SHB1_00025_B1_CT2.spu
  (nm),7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 ,7/14/2017 
  time  ,:38:25 A,:39:05 A,:39:28 A,:40:20 A,:40:41 A,:41:37 A,:41:56 A,:42:14 A,:42:39 A,:42:58 A,:44:37 A,:45:15 A,:45:35 A,:45:52 A,:46:06 A,:46:57 A,:47:15 A,:47:29 A,:47:50 A,:48:06 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.00734 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.01065 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.01646 , 0 , 0 , 0.00566 , 0 , 0 , 0.00278 , 0 , 0.00279 , 0 , 0 , 0.00286 , 0 , 0.00819 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.02249 , 0 , 0 , 0.01196 , 0 , 0 , 0.00593 , 0 , 0.00588 , 0 , 0 , 0.00613 , 0 , 0.01748 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.02828 , 0 , 0 , 0.01799 , 0 , 0 , 0.00897 , 0 , 0.00882 , 0 , 0 , 0.00934 , 0 , 0.02654 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.02686 , 0 , 0 , 0.01806 , 0 , 0 , 0.00902 , 0 , 0.00886 , 0 , 0 , 0.00936 , 0 , 0.02671 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0.01765 , 0 , 0 , 0.01183 , 0 , 0 , 0.00589 , 0 , 0.00582 , 0 , 0 , 0.00606 , 0 , 0.01744 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0.00839 , 0 , 0 , 0.00561 , 0 , 0 , 0.00278 , 0 , 0.00277 , 0 , 0 , 0.00283 , 0 , 0.00824 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.00062 , 0.0003 , 0 , 0.00031 , 0 , 0.0003 , 0.00092 , 0.00031 , 0.00061 , 0.0009 , 0 , 0.00121 , 0 , 0.00063 , 0.00063 , 0.00063 , 0 , 0.00031 , 0 , 0 
 319 , 0.00666 , 0.00323 , 0 , 0.00334 , 0 , 0.00329 , 0.00992 , 0.00338 , 0.00664 , 0.00989 , 0 , 0.01303 , 0 , 0.0068 , 0.0068 , 0.00682 , 0 , 0.00339 , 0 , 0 
 320 , 0.01241 , 0.00608 , 0 , 0.00625 , 0 , 0.00616 , 0.01855 , 0.00637 , 0.01245 , 0.01878 , 0 , 0.02436 , 0 , 0.01279 , 0.01279 , 0.01287 , 0 , 0.00635 , 0 , 0 
