
Wavelength,HST_00005.spu,HST_00006.spu,HST_00007.spu,HST_00008.spu,HST_00009.spu,HST_00010.spu,HST_00011.spu,HST_00012.spu,HST_00013.spu,HST_00014.spu,HST_00015.spu,HST_00016.spu,HST_00017.spu,HST_00018.spu,HST_00019.spu,HST_00020.spu,HST_00021.spu,HST_00022.spu,HST_00023.spu,HST_00024.spu,HST_00025.spu,HST_00026.spu,HST_00027.spu,HST_00028.spu,HST_00029.spu,HST_00030.spu,HST_00031.spu,HST_00032.spu,HST_00033.spu,HST_00034.spu,HST_00035.spu,HST_00036.spu,HST_00037.spu,HST_00038.spu,HST_00039.spu,HST_00040.spu,HST_00041.spu,HST_00042.spu,HST_00043.spu,HST_00044.spu
  (nm),7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 ,7/19/2017 
  time  ,:04:29 A,:04:39 A,:04:46 A,:04:54 A,:05:01 A,:05:27 A,:05:34 A,:05:40 A,:05:46 A,:05:52 A,:06:43 A,:06:48 A,:06:54 A,:07:05 A,:07:12 A,:07:23 A,:07:30 A,:07:35 A,:07:41 A,:07:47 A,:08:08 A,:08:14 A,:08:21 A,:08:27 A,:08:34 A,:08:48 A,:08:54 A,:09:00 A,:09:07 A,:09:14 A,:09:44 A,:09:52 A,:09:59 A,:10:06 A,:10:14 A,:10:27 A,:10:36 A,:10:43 A,:10:50 A,:10:57 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.0086 , 0.00849 , 0.0172 , 0.04158 , 0.07169 , 0.0086 , 0.01719 , 0.01743 , 0.03475 , 0.01712 , 0 , 0 , 0 , 0 , 0 , 0.00879 , 0.01759 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0.01215 , 0.012 , 0.0246 , 0.0588 , 0.09648 , 0.0123 , 0.02431 , 0.02492 , 0.04987 , 0.0243 , 0 , 0 , 0 , 0 , 0 , 0.01247 , 0.02524 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0.01897 , 0.01246 , 0.02207 , 0.0554 , 0.09323 , 0.02212 , 0.02202 , 0.03872 , 0.05493 , 0.03454 , 0.00648 , 0.00339 , 0 , 0.00669 , 0.0097 , 0.02578 , 0.02272 , 0 , 0.00656 , 0.01263 , 0 , 0.0033 , 0 , 0.00332 , 0 , 0 , 0 , 0 , 0.00337 , 0.0034 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0.02621 , 0.01241 , 0.01806 , 0.04853 , 0.08553 , 0.0328 , 0.01822 , 0.05345 , 0.0583 , 0.04519 , 0.01391 , 0.00721 , 0 , 0.01424 , 0.02065 , 0.04056 , 0.01866 , 0 , 0.01409 , 0.02712 , 0 , 0.00715 , 0 , 0.00713 , 0 , 0 , 0 , 0 , 0.00723 , 0.00727 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0.03335 , 0.01237 , 0.01417 , 0.0416 , 0.07794 , 0.04332 , 0.01445 , 0.06807 , 0.06157 , 0.05577 , 0.02123 , 0.01092 , 0 , 0.02157 , 0.03128 , 0.05522 , 0.01468 , 0 , 0.0215 , 0.04139 , 0 , 0.01099 , 0 , 0.01089 , 0 , 0 , 0 , 0 , 0.01103 , 0.01105 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.04674 , 0.01045 , 0.01374 , 0.03922 , 0.07335 , 0.04301 , 0.01228 , 0.06941 , 0.06266 , 0.06233 , 0.02115 , 0.01082 , 0 , 0.02319 , 0.03118 , 0.05303 , 0.01936 , 0 , 0.02668 , 0.04141 , 0 , 0.01098 , 0 , 0.01087 , 0 , 0 , 0 , 0.00182 , 0.01098 , 0.01098 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
