
Wavelength,SHB1_00002.spu,SHB1_00003.spu,SHB1_00004.spu,SHB1_00005.spu,SHB1_00006.spu,SHB1_00007.spu,SHB1_00008.spu,SHB1_00009.spu,SHB1_00010.spu,SHB1_00011.spu,SHB1_00012.spu,SHB1_00013.spu,SHB1_00014.spu,SHB1_00015.spu,SHB1_00016.spu,SHB1_00017.spu,SHB1_00018.spu,SHB1_00019.spu,SHB1_00020.spu,SHB1_00021.spu
  (nm),7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 ,7/28/2017 
  time  ,33:25 PM,34:00 PM,34:29 PM,34:45 PM,35:01 PM,35:56 PM,36:17 PM,36:30 PM,36:45 PM,37:04 PM,38:17 PM,38:35 PM,38:46 PM,39:02 PM,39:18 PM,40:10 PM,40:26 PM,40:45 PM,41:15 PM,41:42 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0.0292 , 0.05217 , 0.01746 , 0.00849 , 0.05097 , 0.03403 , 0.06745 , 0.05148 , 0.03478 , 0.02506 , 0 , 0.02466 , 0.02648 , 0.01744 , 0 , 0.00857 , 0.00873 , 0.02586 , 0.00876 , 0.01759 
 311 , 0.03691 , 0.07636 , 0.02586 , 0.01214 , 0.06284 , 0.0498 , 0.09833 , 0.07535 , 0.05051 , 0.03611 , 0 , 0.03607 , 0.0391 , 0.02523 , 0 , 0.01245 , 0.01277 , 0.03756 , 0.01277 , 0.02524 
 312 , 0.05837 , 0.0859 , 0.06209 , 0.02454 , 0.08455 , 0.06348 , 0.11513 , 0.09193 , 0.07729 , 0.06222 , 0.02553 , 0.04322 , 0.06278 , 0.03197 , 0.0262 , 0.0348 , 0.03229 , 0.05852 , 0.03557 , 0.0384 
 313 , 0.0808 , 0.09276 , 0.10039 , 0.03765 , 0.10639 , 0.07615 , 0.12893 , 0.10646 , 0.10423 , 0.08949 , 0.05319 , 0.04938 , 0.08612 , 0.03822 , 0.05454 , 0.05882 , 0.053 , 0.08011 , 0.05987 , 0.05184 
 314 , 0.10185 , 0.099 , 0.1362 , 0.05005 , 0.12657 , 0.088 , 0.14169 , 0.11988 , 0.12943 , 0.11541 , 0.07891 , 0.05517 , 0.10729 , 0.04407 , 0.08084 , 0.08149 , 0.07239 , 0.10074 , 0.08261 , 0.06459 
 315 , 0.10779 , 0.09902 , 0.14221 , 0.05012 , 0.12169 , 0.08779 , 0.13482 , 0.11573 , 0.1314 , 0.12017 , 0.0824 , 0.04988 , 0.10785 , 0.04688 , 0.0856 , 0.08777 , 0.07025 , 0.10192 , 0.08208 , 0.06263 
 316 , 0.09806 , 0.09225 , 0.11758 , 0.0372 , 0.09109 , 0.07464 , 0.10616 , 0.09261 , 0.10969 , 0.10295 , 0.06274 , 0.03268 , 0.08715 , 0.04656 , 0.06843 , 0.07727 , 0.04595 , 0.08309 , 0.05766 , 0.04526 
 317 , 0.0884 , 0.08554 , 0.0933 , 0.02427 , 0.06129 , 0.0614 , 0.0769 , 0.06933 , 0.08857 , 0.08598 , 0.04294 , 0.01548 , 0.0666 , 0.04624 , 0.05149 , 0.06699 , 0.02215 , 0.06479 , 0.03374 , 0.02814 
 318 , 0.08078 , 0.08254 , 0.07483 , 0.01561 , 0.03795 , 0.05159 , 0.05259 , 0.05184 , 0.07277 , 0.07285 , 0.0277 , 0.00271 , 0.05049 , 0.04725 , 0.03808 , 0.05957 , 0.00346 , 0.05147 , 0.01559 , 0.01495 
 319 , 0.09073 , 0.11246 , 0.10546 , 0.04503 , 0.06578 , 0.07363 , 0.07855 , 0.08779 , 0.09929 , 0.09215 , 0.05455 , 0.02966 , 0.07309 , 0.06009 , 0.05419 , 0.07571 , 0.02669 , 0.07808 , 0.04468 , 0.03501 
 320 , 0.10074 , 0.14238 , 0.13609 , 0.07387 , 0.09326 , 0.0945 , 0.1038 , 0.12277 , 0.12582 , 0.11118 , 0.08085 , 0.05624 , 0.09509 , 0.07276 , 0.06998 , 0.09184 , 0.05008 , 0.10413 , 0.07282 , 0.05492 
 321 , 0.11082 , 0.1723 , 0.16672 , 0.10213 , 0.12038 , 0.11427 , 0.12837 , 0.15681 , 0.15234 , 0.12997 , 0.10662 , 0.08246 , 0.1165 , 0.08526 , 0.08545 , 0.10798 , 0.07362 , 0.12966 , 0.10005 , 0.0747 
 322 , 0.11457 , 0.17428 , 0.18384 , 0.10968 , 0.13244 , 0.12704 , 0.13887 , 0.16873 , 0.16363 , 0.14898 , 0.11528 , 0.09413 , 0.13205 , 0.08833 , 0.10323 , 0.12124 , 0.08498 , 0.14045 , 0.10526 , 0.08454 
 323 , 0.11597 , 0.16575 , 0.19563 , 0.10929 , 0.13867 , 0.13712 , 0.14394 , 0.17214 , 0.169 , 0.16792 , 0.1174 , 0.10013 , 0.14534 , 0.08779 , 0.12157 , 0.13325 , 0.09154 , 0.14556 , 0.10205 , 0.09046 
 324 , 0.11732 , 0.15744 , 0.20717 , 0.10891 , 0.14485 , 0.14719 , 0.14888 , 0.17553 , 0.17427 , 0.18662 , 0.11947 , 0.10601 , 0.15864 , 0.08726 , 0.13945 , 0.14503 , 0.09801 , 0.15053 , 0.09886 , 0.09622 
 325 , 0.11518 , 0.14924 , 0.20338 , 0.10186 , 0.14227 , 0.15288 , 0.14608 , 0.17576 , 0.16898 , 0.18944 , 0.11076 , 0.10395 , 0.16245 , 0.08238 , 0.14256 , 0.14523 , 0.09454 , 0.14897 , 0.08909 , 0.09193 
 326 , 0.10596 , 0.14103 , 0.17113 , 0.08217 , 0.12298 , 0.15045 , 0.12876 , 0.17026 , 0.14409 , 0.16231 , 0.08137 , 0.08697 , 0.14899 , 0.06922 , 0.11747 , 0.12411 , 0.07296 , 0.13502 , 0.06677 , 0.06866 
 327 , 0.09668 , 0.13303 , 0.13992 , 0.06285 , 0.10392 , 0.14809 , 0.11186 , 0.1649 , 0.11999 , 0.13569 , 0.05236 , 0.07042 , 0.1362 , 0.05631 , 0.09239 , 0.10378 , 0.05248 , 0.12135 , 0.04473 , 0.04584 
 328 , 0.08732 , 0.12524 , 0.10971 , 0.04389 , 0.08509 , 0.14581 , 0.09539 , 0.15968 , 0.09663 , 0.10957 , 0.02371 , 0.05429 , 0.12406 , 0.04364 , 0.06729 , 0.08421 , 0.03301 , 0.10793 , 0.02296 , 0.02345 
 329 , 0.12328 , 0.1558 , 0.15457 , 0.06586 , 0.11711 , 0.16953 , 0.15166 , 0.20111 , 0.13169 , 0.15264 , 0.06059 , 0.08759 , 0.1607 , 0.08012 , 0.11223 , 0.11186 , 0.06346 , 0.14445 , 0.06503 , 0.0604 
 330 , 0.15942 , 0.18737 , 0.20136 , 0.0891 , 0.15009 , 0.19361 , 0.2099 , 0.2432 , 0.16807 , 0.19648 , 0.09924 , 0.12191 , 0.19902 , 0.11774 , 0.15813 , 0.14123 , 0.09518 , 0.18234 , 0.10845 , 0.09862 
 331 , 0.19383 , 0.21837 , 0.24701 , 0.11192 , 0.18192 , 0.21699 , 0.26709 , 0.28404 , 0.20336 , 0.23825 , 0.13694 , 0.15521 , 0.2371 , 0.15446 , 0.2021 , 0.17042 , 0.12615 , 0.21954 , 0.15058 , 0.13569 
 332 , 0.2057 , 0.22421 , 0.26411 , 0.12153 , 0.19422 , 0.22782 , 0.29095 , 0.29525 , 0.21976 , 0.25517 , 0.14772 , 0.17274 , 0.25359 , 0.16646 , 0.21127 , 0.18219 , 0.13402 , 0.23582 , 0.16084 , 0.14941 
 333 , 0.20215 , 0.21248 , 0.26143 , 0.12191 , 0.19284 , 0.22991 , 0.29142 , 0.28615 , 0.22294 , 0.25495 , 0.13976 , 0.1792 , 0.25483 , 0.16124 , 0.19655 , 0.18168 , 0.12589 , 0.23744 , 0.14919 , 0.14694 
 334 , 0.19874 , 0.20108 , 0.25887 , 0.12226 , 0.19148 , 0.23192 , 0.29187 , 0.27746 , 0.22603 , 0.25474 , 0.13208 , 0.18547 , 0.25602 , 0.15619 , 0.18234 , 0.18119 , 0.11809 , 0.23899 , 0.13807 , 0.14457 
 335 , 0.20177 , 0.19885 , 0.25836 , 0.12494 , 0.19498 , 0.23819 , 0.29963 , 0.27523 , 0.23394 , 0.25995 , 0.13041 , 0.19316 , 0.26034 , 0.1553 , 0.17655 , 0.18328 , 0.11645 , 0.24382 , 0.13194 , 0.1457 
 336 , 0.22939 , 0.23157 , 0.26515 , 0.1366 , 0.21762 , 0.26122 , 0.33566 , 0.29658 , 0.26098 , 0.28638 , 0.15137 , 0.20687 , 0.27668 , 0.17001 , 0.20218 , 0.19518 , 0.13797 , 0.26124 , 0.14367 , 0.16007 
 337 , 0.25641 , 0.26322 , 0.27172 , 0.14789 , 0.23976 , 0.28351 , 0.3711 , 0.31746 , 0.28727 , 0.31209 , 0.17186 , 0.22021 , 0.29265 , 0.18441 , 0.22724 , 0.20682 , 0.15936 , 0.27837 , 0.15509 , 0.17405 
 338 , 0.28286 , 0.29384 , 0.27808 , 0.15881 , 0.26142 , 0.3051 , 0.40596 , 0.3379 , 0.31286 , 0.33712 , 0.1919 , 0.23319 , 0.30828 , 0.19849 , 0.25176 , 0.2182 , 0.18064 , 0.29522 , 0.16621 , 0.18765 
 339 , 0.30969 , 0.31483 , 0.31309 , 0.17741 , 0.28773 , 0.32476 , 0.43857 , 0.36383 , 0.34817 , 0.36602 , 0.21872 , 0.25808 , 0.33927 , 0.226 , 0.28485 , 0.24525 , 0.19694 , 0.32713 , 0.19012 , 0.20304 
 340 , 0.33596 , 0.33341 , 0.35299 , 0.19698 , 0.31391 , 0.34363 , 0.46988 , 0.39033 , 0.38452 , 0.39509 , 0.24596 , 0.28458 , 0.37239 , 0.25521 , 0.31908 , 0.27458 , 0.21182 , 0.36107 , 0.21617 , 0.21841 
 341 , 0.36142 , 0.35142 , 0.39186 , 0.21587 , 0.33878 , 0.36202 , 0.50006 , 0.41614 , 0.41974 , 0.42341 , 0.27207 , 0.31014 , 0.40432 , 0.28324 , 0.35259 , 0.30287 , 0.22616 , 0.39377 , 0.24169 , 0.23331 
 342 , 0.37229 , 0.36186 , 0.40832 , 0.22381 , 0.35135 , 0.37582 , 0.52109 , 0.432 , 0.43371 , 0.43669 , 0.28622 , 0.32548 , 0.42107 , 0.29611 , 0.36419 , 0.31445 , 0.23639 , 0.41002 , 0.25829 , 0.2439 
 343 , 0.36656 , 0.3637 , 0.39905 , 0.2192 , 0.35024 , 0.3843 , 0.53172 , 0.43637 , 0.42329 , 0.43286 , 0.2868 , 0.32917 , 0.42041 , 0.29189 , 0.35092 , 0.30696 , 0.24196 , 0.40752 , 0.26443 , 0.24958 
 344 , 0.36116 , 0.36545 , 0.3903 , 0.21479 , 0.3492 , 0.39249 , 0.54189 , 0.44054 , 0.41338 , 0.42926 , 0.28737 , 0.33267 , 0.41977 , 0.28792 , 0.33859 , 0.29984 , 0.24721 , 0.40514 , 0.27027 , 0.25496 
 345 , 0.35852 , 0.37071 , 0.38669 , 0.21382 , 0.35068 , 0.40243 , 0.55365 , 0.44709 , 0.4075 , 0.42957 , 0.29021 , 0.33848 , 0.4225 , 0.28784 , 0.33131 , 0.29704 , 0.25436 , 0.40584 , 0.27776 , 0.26222 
 346 , 0.38854 , 0.42255 , 0.4426 , 0.2556 , 0.38364 , 0.44 , 0.5923 , 0.48719 , 0.44869 , 0.47691 , 0.32349 , 0.3764 , 0.4699 , 0.33469 , 0.37789 , 0.3465 , 0.28937 , 0.44564 , 0.3101 , 0.29705 
 347 , 0.41663 , 0.47147 , 0.49749 , 0.29468 , 0.41505 , 0.47494 , 0.6287 , 0.52515 , 0.48768 , 0.52238 , 0.35456 , 0.41233 , 0.51415 , 0.37949 , 0.42241 , 0.39292 , 0.32283 , 0.48295 , 0.34061 , 0.33033 
 348 , 0.44297 , 0.51769 , 0.55139 , 0.33131 , 0.44502 , 0.5075 , 0.66307 , 0.56115 , 0.52465 , 0.56609 , 0.38365 , 0.44642 , 0.55554 , 0.42239 , 0.46501 , 0.43656 , 0.35482 , 0.518 , 0.36942 , 0.36217 
 349 , 0.46109 , 0.52577 , 0.57274 , 0.34105 , 0.46093 , 0.52938 , 0.68496 , 0.58219 , 0.547 , 0.59055 , 0.40199 , 0.46071 , 0.57363 , 0.43519 , 0.48675 , 0.45141 , 0.3628 , 0.53769 , 0.37825 , 0.37203 
 350 , 0.47579 , 0.51839 , 0.58017 , 0.33982 , 0.47086 , 0.54681 , 0.70143 , 0.59688 , 0.56309 , 0.60671 , 0.41582 , 0.46676 , 0.5821 , 0.43556 , 0.49971 , 0.45447 , 0.36095 , 0.55093 , 0.37889 , 0.37282 
 351 , 0.49026 , 0.51127 , 0.58715 , 0.33861 , 0.48044 , 0.56387 , 0.7173 , 0.61114 , 0.57865 , 0.62228 , 0.42931 , 0.47258 , 0.59034 , 0.43593 , 0.51235 , 0.45743 , 0.35919 , 0.5638 , 0.37952 , 0.37358 
 352 , 0.49895 , 0.50809 , 0.5869 , 0.33687 , 0.48374 , 0.57452 , 0.72486 , 0.6205 , 0.58461 , 0.62893 , 0.43365 , 0.475 , 0.5919 , 0.43502 , 0.51794 , 0.45649 , 0.35449 , 0.56848 , 0.37793 , 0.36927 
 353 , 0.49608 , 0.51276 , 0.57232 , 0.33423 , 0.47467 , 0.57252 , 0.71629 , 0.62041 , 0.57169 , 0.61813 , 0.41983 , 0.47072 , 0.58047 , 0.43159 , 0.50956 , 0.44782 , 0.34368 , 0.55698 , 0.37188 , 0.35476 
 354 , 0.49333 , 0.51724 , 0.55835 , 0.33171 , 0.46601 , 0.57063 , 0.70814 , 0.62033 , 0.55942 , 0.60782 , 0.40675 , 0.46662 , 0.56969 , 0.42831 , 0.50158 , 0.43954 , 0.33328 , 0.54601 , 0.36608 , 0.34092 
 355 , 0.49069 , 0.52153 , 0.54496 , 0.32931 , 0.45772 , 0.56884 , 0.70038 , 0.62026 , 0.54774 , 0.59797 , 0.39435 , 0.46269 , 0.5595 , 0.42515 , 0.49396 , 0.43164 , 0.32328 , 0.53554 , 0.36052 , 0.32769 
 356 , 0.50114 , 0.53839 , 0.5695 , 0.34008 , 0.47329 , 0.57469 , 0.71577 , 0.63422 , 0.56944 , 0.61583 , 0.41041 , 0.48055 , 0.58173 , 0.43537 , 0.51222 , 0.4468 , 0.33865 , 0.55863 , 0.37381 , 0.34389 
 357 , 0.51166 , 0.5552 , 0.59492 , 0.351 , 0.48942 , 0.58062 , 0.73158 , 0.64811 , 0.59182 , 0.63421 , 0.42728 , 0.49863 , 0.60467 , 0.44577 , 0.53093 , 0.46227 , 0.35449 , 0.58225 , 0.3874 , 0.36082 
 358 , 0.5216 , 0.57131 , 0.61926 , 0.3614 , 0.5049 , 0.58624 , 0.74662 , 0.66124 , 0.6132 , 0.6517 , 0.44351 , 0.51584 , 0.62666 , 0.45566 , 0.54879 , 0.4769 , 0.3695 , 0.60471 , 0.40034 , 0.37699 
 359 , 0.52926 , 0.57549 , 0.62741 , 0.36666 , 0.5122 , 0.58758 , 0.75646 , 0.66444 , 0.62203 , 0.66004 , 0.44796 , 0.52174 , 0.63657 , 0.46077 , 0.5524 , 0.48267 , 0.37403 , 0.61196 , 0.40547 , 0.38352 
 360 , 0.53529 , 0.57119 , 0.62405 , 0.36827 , 0.51363 , 0.58588 , 0.7625 , 0.66065 , 0.62193 , 0.66187 , 0.44399 , 0.51963 , 0.63781 , 0.46246 , 0.54599 , 0.48219 , 0.37114 , 0.60841 , 0.40505 , 0.38317 
 361 , 0.54108 , 0.5671 , 0.62087 , 0.36983 , 0.515 , 0.58426 , 0.76826 , 0.657 , 0.62183 , 0.66363 , 0.44018 , 0.51762 , 0.639 , 0.46409 , 0.53991 , 0.48173 , 0.36835 , 0.60497 , 0.40465 , 0.38284 
 362 , 0.54569 , 0.56529 , 0.61766 , 0.36993 , 0.51615 , 0.58468 , 0.77499 , 0.65515 , 0.62176 , 0.6659 , 0.43754 , 0.51741 , 0.64159 , 0.4648 , 0.53513 , 0.48101 , 0.36648 , 0.60249 , 0.40382 , 0.38246 
 363 , 0.54624 , 0.572 , 0.61407 , 0.36444 , 0.5166 , 0.59273 , 0.78661 , 0.65958 , 0.62178 , 0.67023 , 0.43892 , 0.52397 , 0.64984 , 0.46203 , 0.53452 , 0.47914 , 0.36785 , 0.60306 , 0.40129 , 0.38167 
 364 , 0.54678 , 0.57851 , 0.6106 , 0.3592 , 0.51703 , 0.60041 , 0.79785 , 0.66379 , 0.62181 , 0.67437 , 0.44023 , 0.53028 , 0.65778 , 0.45941 , 0.53393 , 0.47736 , 0.36916 , 0.6036 , 0.39886 , 0.38093 
 365 , 0.54729 , 0.58483 , 0.60726 , 0.35419 , 0.51744 , 0.60776 , 0.80871 , 0.66779 , 0.62183 , 0.67834 , 0.4415 , 0.53635 , 0.66544 , 0.45692 , 0.53338 , 0.47565 , 0.37042 , 0.60412 , 0.39653 , 0.38022 
 366 , 0.55387 , 0.58672 , 0.61434 , 0.36169 , 0.5237 , 0.61093 , 0.8199 , 0.66948 , 0.62608 , 0.68586 , 0.4484 , 0.54402 , 0.67152 , 0.46562 , 0.54414 , 0.4809 , 0.37593 , 0.60937 , 0.40271 , 0.38694 
 367 , 0.56155 , 0.58765 , 0.62333 , 0.37163 , 0.531 , 0.6132 , 0.83092 , 0.67076 , 0.63103 , 0.69394 , 0.45636 , 0.5519 , 0.67719 , 0.4765 , 0.55712 , 0.4875 , 0.38212 , 0.61554 , 0.41054 , 0.3951 
