DHT_00010.spu,DHT_00009.spu,DHT_00008.spu,DHT_00007.spu,DHT_00006.spu,DHT_00005.spu,DHT_00004.spu,DHT_00003.spu,DHT_00002.spu,DHT_00001.spu,
Wavelength,DHT_00120.spu,DHT_00119.spu,DHT_00118.spu,DHT_00117.spu,DHT_00116.spu,DHT_00115.spu,DHT_00114.spu,DHT_00113.spu,DHT_00112.spu,DHT_00111.spu,DHT_00110.spu,DHT_00109.spu,DHT_00108.spu,DHT_00107.spu,DHT_00106.spu,DHT_00105.spu,DHT_00104.spu,DHT_00103.spu,DHT_00102.spu,DHT_00101.spu,DHT_00100.spu,DHT_00099.spu,DHT_00098.spu,DHT_00097.spu,DHT_00096.spu,DHT_00095.spu,DHT_00094.spu,DHT_00093.spu,DHT_00092.spu,DHT_00091.spu,DHT_00090.spu,DHT_00089.spu,DHT_00088.spu,DHT_00087.spu,DHT_00086.spu,DHT_00085.spu,DHT_00084.spu,DHT_00083.spu,DHT_00082.spu,DHT_00081.spu,DHT_00080.spu,DHT_00079.spu,DHT_00078.spu,DHT_00077.spu,DHT_00076.spu,DHT_00075.spu,DHT_00074.spu,DHT_00073.spu,DHT_00072.spu,DHT_00071.spu,DHT_00070.spu,DHT_00069.spu,DHT_00068.spu,DHT_00067.spu,DHT_00066.spu,DHT_00065.spu,DHT_00064.spu,DHT_00063.spu,DHT_00062.spu,DHT_00061.spu,DHT_00060.spu,DHT_00059.spu,DHT_00058.spu,DHT_00057.spu,DHT_00056.spu,DHT_00055.spu,DHT_00054.spu,DHT_00053.spu,DHT_00052.spu,DHT_00051.spu,DHT_00050.spu,DHT_00049.spu,DHT_00048.spu,DHT_00047.spu,DHT_00046.spu,DHT_00045.spu,DHT_00044.spu,DHT_00043.spu,DHT_00042.spu,DHT_00041.spu,DHT_00040.spu,DHT_00039.spu,DHT_00038.spu,DHT_00037.spu,DHT_00036.spu,DHT_00035.spu,DHT_00034.spu,DHT_00033.spu,DHT_00032.spu,DHT_00031.spu,DHT_00030.spu,DHT_00029.spu,DHT_00028.spu,DHT_00027.spu,DHT_00026.spu,DHT_00025.spu,DHT_00024.spu,DHT_00023.spu,DHT_00022.spu,DHT_00021.spu,DHT_00020.spu,DHT_00019.spu,DHT_00018.spu,DHT_00017.spu,DHT_00016.spu,DHT_00015.spu,DHT_00014.spu,DHT_00013.spu,DHT_00012.spu,DHT_00011.spu
  (nm),6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 
  time  ,09:03 PM,08:49 PM,08:36 PM,08:20 PM,08:09 PM,07:55 PM,07:44 PM,07:31 PM,07:19 PM,07:08 PM,06:43 PM,06:34 PM,06:23 PM,06:15 PM,06:05 PM,05:22 PM,05:02 PM,04:52 PM,04:33 PM,04:22 PM,03:34 PM,03:23 PM,03:08 PM,02:54 PM,02:43 PM,02:08 PM,01:56 PM,01:47 PM,01:33 PM,01:21 PM,00:42 PM,00:31 PM,00:20 PM,00:07 PM,59:53 PM,59:38 PM,59:24 PM,59:03 PM,58:47 PM,58:29 PM,57:58 PM,57:51 PM,57:43 PM,57:34 PM,57:26 PM,57:01 PM,56:49 PM,56:38 PM,56:22 PM,56:10 PM,55:36 PM,55:24 PM,55:11 PM,54:58 PM,54:45 PM,53:38 PM,53:26 PM,53:12 PM,52:57 PM,52:46 PM,52:34 PM,52:22 PM,52:05 PM,51:55 PM,51:42 PM,51:23 PM,51:13 PM,51:04 PM,50:55 PM,50:42 PM,49:58 PM,49:49 PM,49:39 PM,49:23 PM,49:12 PM,48:28 PM,48:10 PM,47:58 PM,47:48 PM,47:40 PM,47:29 PM,47:13 PM,46:57 PM,46:33 PM,46:19 PM,45:43 PM,45:34 PM,45:25 PM,45:16 PM,45:07 PM,44:29 PM,44:19 PM,44:08 PM,43:56 PM,43:43 PM,43:12 PM,43:02 PM,42:53 PM,42:41 PM,42:29 PM,41:59 PM,41:49 PM,41:38 PM,41:28 PM,41:17 PM,40:47 PM,40:35 PM,40:24 PM,40:06 PM,39:48 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.031747 , 0.017108 , 0.021063 , 0.009297 , 0.014432 , 0.024676 , 0.020946 , 0.021935 , 0.014281 , 0.016977 , 0.009319 , 0.028623 , 0.031698 , 0.020672 , 0.031104 , 0.022615 , 0.032021 , 0.020461 , 0.02001 , 0.015078 , 0.014044 , 0.022461 , 0.006379 , 0.003955 , 0.014048 , 0.0168 , 0.01292 , 0.010443 , 0.019161 , 0.017462 , 0.02324 , 0.025615 , 0.026194 , 0.017811 , 0.015909 , 0.021063 , 0.025533 , 0.034506 , 0.017702 , 0.019296 , 0.013244 , 0.014638 , 0.019322 , 0.025454 , 0.008169 , 0.021258 , 0.012717 , 0.011654 , 0.004522 , 0.006128 , 0.018946 , 0.015165 , 0.010018 , 0.02586 , 0.020837 , 0.016744 , 0.019461 , 0.014808 , 0.024176 , 0.005868 , 0.010597 , 0.016706 , 0.006579 , 0.010285 , 0.003395 , 0.000169 , 0.006552 , 0.008071 , 0.014153 , 0.004489 , 0.008007 , 0.003192 , 0.01162 , 0.008173 , 0.01106 , 0.03192 , 0.033619 , 0.021424 , 0.053039 , 0.027566 , 0.021164 , 0 , 0.001402 , 0.001406 , 0 , 0.024973 , 0.001387 , 0.008349 , 0.001402 , 0 , 0.01336 , 0.001534 , 0.004676 , 0.004977 , 0.004895 , 0.00347 , 0.006669 , 0.013116 , 0.011755 , 0.013225 , 0.024228 , 0 , 0 , 0.003334 , 0.033769 , 0.008116 , 0.031743 , 0.001654 , 0.014887 , 0.004752 
 311 , 0.029574 , 0.018172 , 0.02187 , 0.010896 , 0.014484 , 0.025295 , 0.018267 , 0.021572 , 0.011162 , 0.014782 , 0.004524 , 0.025749 , 0.031645 , 0.018253 , 0.029248 , 0.021079 , 0.031964 , 0.018069 , 0.020785 , 0.014055 , 0.011045 , 0.020877 , 0.003879 , 0.00045 , 0.014321 , 0.014633 , 0.010906 , 0.010726 , 0.01775 , 0.012055 , 0.021721 , 0.02471 , 0.025224 , 0.017601 , 0.011775 , 0.02187 , 0.024703 , 0.032255 , 0.017438 , 0.017927 , 0.011243 , 0.011513 , 0.020948 , 0.025844 , 0.00763 , 0.019721 , 0.011956 , 0.015789 , 0.000514 , 0.004453 , 0.017739 , 0.01419 , 0.009346 , 0.026592 , 0.014449 , 0.019054 , 0.013743 , 0.016168 , 0.023756 , 0.004294 , 0.008446 , 0.016728 , 0.000745 , 0.00568 , 0.00039 , 0.000021 , 0.004741 , 0.001308 , 0.0133 , 0.004177 , 0.008797 , 0.000362 , 0.005719 , 0.008815 , 0.012938 , 0.028404 , 0.032819 , 0.023568 , 0.049512 , 0.024369 , 0.023054 , 0 , 0.00016 , 0.00016 , 0 , 0.023632 , 0.00016 , 0.007797 , 0.000163 , 0 , 0.012385 , 0.000174 , 0.004379 , 0.004499 , 0.000557 , 0.000397 , 0.004861 , 0.009701 , 0.009534 , 0.013807 , 0.022728 , 0 , 0 , 0.000383 , 0.027585 , 0.005031 , 0.028209 , 0.000188 , 0.009974 , 0.004382 
 312 , 0.030647 , 0.024062 , 0.023177 , 0.011717 , 0.0198 , 0.025102 , 0.021938 , 0.024293 , 0.01784 , 0.020468 , 0.01147 , 0.030972 , 0.033423 , 0.01946 , 0.029999 , 0.023642 , 0.031774 , 0.02396 , 0.021919 , 0.017246 , 0.019977 , 0.024986 , 0.008761 , 0.007038 , 0.020038 , 0.018639 , 0.015205 , 0.015359 , 0.019938 , 0.016193 , 0.022833 , 0.024832 , 0.025057 , 0.019072 , 0.017336 , 0.02549 , 0.027133 , 0.03186 , 0.022015 , 0.01921 , 0.016476 , 0.017349 , 0.023292 , 0.025147 , 0.012808 , 0.023254 , 0.017147 , 0.015661 , 0.007336 , 0.010446 , 0.023603 , 0.019913 , 0.015577 , 0.026257 , 0.020019 , 0.020173 , 0.018215 , 0.018453 , 0.026636 , 0.010122 , 0.014682 , 0.021774 , 0.00897 , 0.011823 , 0.007458 , 0.007404 , 0.013141 , 0.008103 , 0.020661 , 0.009412 , 0.011989 , 0.006932 , 0.014425 , 0.017044 , 0.019791 , 0.033382 , 0.033857 , 0.027807 , 0.048176 , 0.027936 , 0.026373 , 0.006935 , 0.004336 , 0.006823 , 0.003508 , 0.025301 , 0.004252 , 0.011312 , 0.004345 , 0.003476 , 0.014711 , 0.008443 , 0.006771 , 0.007955 , 0.007034 , 0.002198 , 0.010449 , 0.017458 , 0.014573 , 0.018671 , 0.027602 , 0.007577 , 0.00413 , 0.007291 , 0.033465 , 0.01147 , 0.033237 , 0.00611 , 0.016376 , 0.004936 
 313 , 0.031927 , 0.029553 , 0.024315 , 0.012293 , 0.024933 , 0.024826 , 0.025733 , 0.026893 , 0.024548 , 0.026126 , 0.018645 , 0.0362 , 0.035118 , 0.020903 , 0.030892 , 0.026258 , 0.031566 , 0.02976 , 0.022877 , 0.020352 , 0.028766 , 0.029104 , 0.013585 , 0.013676 , 0.025286 , 0.022676 , 0.019465 , 0.019657 , 0.022195 , 0.020912 , 0.024102 , 0.02507 , 0.025 , 0.020492 , 0.023041 , 0.028742 , 0.029547 , 0.031741 , 0.026386 , 0.020579 , 0.021641 , 0.023108 , 0.025307 , 0.024429 , 0.017744 , 0.026893 , 0.022274 , 0.015032 , 0.014273 , 0.01619 , 0.029192 , 0.02528 , 0.021442 , 0.02584 , 0.02601 , 0.020932 , 0.023128 , 0.020439 , 0.029364 , 0.015746 , 0.020789 , 0.026532 , 0.017377 , 0.018173 , 0.014545 , 0.014332 , 0.021227 , 0.015399 , 0.027608 , 0.014475 , 0.014877 , 0.013576 , 0.023224 , 0.024726 , 0.02603 , 0.038501 , 0.03489 , 0.031458 , 0.047347 , 0.03165 , 0.029221 , 0.013504 , 0.008496 , 0.0132 , 0.006825 , 0.026987 , 0.008254 , 0.014685 , 0.008432 , 0.006699 , 0.017003 , 0.01637 , 0.00903 , 0.011211 , 0.013626 , 0.004305 , 0.015939 , 0.024951 , 0.01955 , 0.023108 , 0.03242 , 0.0146 , 0.007997 , 0.014276 , 0.039977 , 0.017872 , 0.038349 , 0.011879 , 0.023064 , 0.005503 
 314 , 0.032969 , 0.034083 , 0.025246 , 0.012755 , 0.029247 , 0.024552 , 0.028837 , 0.028995 , 0.030044 , 0.030759 , 0.02452 , 0.040393 , 0.036502 , 0.022082 , 0.031546 , 0.028398 , 0.031337 , 0.034431 , 0.023632 , 0.02285 , 0.035905 , 0.032509 , 0.017423 , 0.019077 , 0.029442 , 0.025952 , 0.022893 , 0.023118 , 0.024063 , 0.024908 , 0.025176 , 0.025302 , 0.024938 , 0.021651 , 0.027633 , 0.031313 , 0.031551 , 0.031596 , 0.029969 , 0.021681 , 0.025832 , 0.027668 , 0.026953 , 0.023838 , 0.021748 , 0.030001 , 0.026578 , 0.014498 , 0.019938 , 0.020755 , 0.033644 , 0.029498 , 0.026118 , 0.025502 , 0.030834 , 0.021531 , 0.027095 , 0.022053 , 0.031524 , 0.020262 , 0.02573 , 0.030408 , 0.024167 , 0.02334 , 0.020364 , 0.019917 , 0.027751 , 0.0214 , 0.033154 , 0.018678 , 0.017203 , 0.019087 , 0.030261 , 0.030983 , 0.031107 , 0.042676 , 0.035648 , 0.034324 , 0.046675 , 0.034642 , 0.031479 , 0.018873 , 0.01195 , 0.018338 , 0.009538 , 0.02827 , 0.011503 , 0.017415 , 0.011746 , 0.009279 , 0.018846 , 0.022786 , 0.010834 , 0.013812 , 0.018951 , 0.006051 , 0.020404 , 0.030812 , 0.023551 , 0.026629 , 0.036382 , 0.020209 , 0.011115 , 0.020067 , 0.045526 , 0.023032 , 0.042441 , 0.016577 , 0.028561 , 0.005973 
 315 , 0.031952 , 0.033427 , 0.024997 , 0.012236 , 0.028279 , 0.024396 , 0.029312 , 0.028599 , 0.030389 , 0.030299 , 0.024708 , 0.038881 , 0.037005 , 0.021287 , 0.031434 , 0.027722 , 0.030475 , 0.034504 , 0.022347 , 0.022022 , 0.036595 , 0.032177 , 0.016857 , 0.019428 , 0.02772 , 0.02589 , 0.023876 , 0.022059 , 0.023446 , 0.025741 , 0.024916 , 0.024669 , 0.02423 , 0.021643 , 0.02908 , 0.030343 , 0.030157 , 0.030809 , 0.028604 , 0.021006 , 0.025507 , 0.027598 , 0.026525 , 0.023541 , 0.021199 , 0.029805 , 0.026438 , 0.014583 , 0.021678 , 0.021214 , 0.032094 , 0.029063 , 0.027092 , 0.025165 , 0.031188 , 0.022418 , 0.027219 , 0.021487 , 0.030797 , 0.021397 , 0.025763 , 0.032355 , 0.024623 , 0.023739 , 0.021704 , 0.019861 , 0.02741 , 0.021575 , 0.034075 , 0.018295 , 0.017684 , 0.020014 , 0.031263 , 0.031818 , 0.030848 , 0.042718 , 0.034951 , 0.032497 , 0.044742 , 0.033672 , 0.031478 , 0.020134 , 0.012773 , 0.019519 , 0.009789 , 0.029349 , 0.011938 , 0.016578 , 0.012106 , 0.009549 , 0.019741 , 0.023458 , 0.011034 , 0.013745 , 0.01936 , 0.005974 , 0.021638 , 0.030118 , 0.024017 , 0.027146 , 0.03587 , 0.020549 , 0.010995 , 0.022706 , 0.045128 , 0.023585 , 0.039616 , 0.015127 , 0.02769 , 0.006255 
