DHT_00010.spu,DHT_00009.spu,DHT_00008.spu,DHT_00007.spu,DHT_00006.spu,DHT_00005.spu,DHT_00004.spu,DHT_00003.spu,DHT_00002.spu,DHT_00001.spu,
Wavelength,DHT_00180.spu,DHT_00179.spu,DHT_00178.spu,DHT_00177.spu,DHT_00176.spu,DHT_00175.spu,DHT_00174.spu,DHT_00173.spu,DHT_00172.spu,DHT_00171.spu,DHT_00170.spu,DHT_00169.spu,DHT_00168.spu,DHT_00167.spu,DHT_00166.spu,DHT_00165.spu,DHT_00164.spu,DHT_00163.spu,DHT_00162.spu,DHT_00161.spu,DHT_00160.spu,DHT_00159.spu,DHT_00158.spu,DHT_00157.spu,DHT_00156.spu,DHT_00155.spu,DHT_00154.spu,DHT_00153.spu,DHT_00152.spu,DHT_00151.spu,DHT_00150.spu,DHT_00149.spu,DHT_00148.spu,DHT_00147.spu,DHT_00146.spu,DHT_00145.spu,DHT_00144.spu,DHT_00143.spu,DHT_00142.spu,DHT_00141.spu,DHT_00140.spu,DHT_00139.spu,DHT_00138.spu,DHT_00137.spu,DHT_00136.spu,DHT_00135.spu,DHT_00134.spu,DHT_00133.spu,DHT_00132.spu,DHT_00131.spu,DHT_00130.spu,DHT_00129.spu,DHT_00128.spu,DHT_00127.spu,DHT_00126.spu,DHT_00125.spu,DHT_00124.spu,DHT_00123.spu,DHT_00122.spu,DHT_00121.spu
  (nm),6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 
  time  ,24:54 PM,24:45 PM,24:37 PM,24:29 PM,24:19 PM,23:47 PM,23:36 PM,23:24 PM,23:12 PM,23:03 PM,22:51 PM,22:40 PM,22:29 PM,22:18 PM,21:51 PM,21:28 PM,21:20 PM,21:11 PM,20:59 PM,20:51 PM,20:22 PM,20:12 PM,20:03 PM,19:53 PM,19:42 PM,19:09 PM,18:59 PM,18:49 PM,18:36 PM,18:27 PM,17:33 PM,17:25 PM,17:17 PM,17:08 PM,16:54 PM,15:50 PM,15:36 PM,15:26 PM,15:11 PM,15:00 PM,14:49 PM,14:35 PM,14:23 PM,14:14 PM,14:03 PM,13:30 PM,13:19 PM,13:09 PM,13:01 PM,12:52 PM,12:08 PM,11:56 PM,11:47 PM,11:38 PM,11:29 PM,11:00 PM,10:51 PM,10:42 PM,10:33 PM,10:03 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.043216 , 0.051558 , 0.037807 , 0.057685 , 0.040062 , 0.030311 , 0.050843 , 0.054197 , 0.035596 , 0.040588 , 0.048438 , 0.020014 , 0.024803 , 0.017868 , 0.002598 , 0.004496 , 0 , 0 , 0 , 0.006616 , 0.008101 , 0.01742 , 0.015315 , 0.016807 , 0.007218 , 0.032198 , 0.022198 , 0.020206 , 0.016593 , 0.020507 , 0.025409 , 0.025187 , 0.016819 , 0.030852 , 0.008947 , 0.02389 , 0.020586 , 0.015507 , 0.024924 , 0.011451 , 0.020529 , 0.021277 , 0.018405 , 0.008409 , 0.022822 , 0.028115 , 0.014913 , 0.019243 , 0.035096 , 0.031277 , 0.006793 , 0.023969 , 0.019898 , 0.009409 , 0.017232 , 0.031747 , 0.018247 , 0.028766 , 0.026439 , 0.024615 
 311 , 0.036988 , 0.052589 , 0.032209 , 0.052391 , 0.037616 , 0.031344 , 0.048916 , 0.054114 , 0.042481 , 0.041892 , 0.039024 , 0.017122 , 0.021412 , 0.012098 , 0.000298 , 0.000507 , 0 , 0 , 0 , 0.005943 , 0.005868 , 0.016136 , 0.015906 , 0.015445 , 0.009719 , 0.029989 , 0.020579 , 0.015853 , 0.015236 , 0.016083 , 0.027241 , 0.021738 , 0.015658 , 0.025756 , 0.005411 , 0.023774 , 0.019182 , 0.014392 , 0.023054 , 0.00929 , 0.017714 , 0.02238 , 0.014395 , 0.005006 , 0.018799 , 0.024933 , 0.01636 , 0.016679 , 0.032645 , 0.031563 , 0.004131 , 0.022189 , 0.018306 , 0.007705 , 0.018359 , 0.029574 , 0.018136 , 0.028965 , 0.025724 , 0.021668 
 312 , 0.045634 , 0.04849 , 0.033221 , 0.052864 , 0.040827 , 0.030923 , 0.047476 , 0.053818 , 0.036257 , 0.049017 , 0.039964 , 0.026344 , 0.02635 , 0.020856 , 0.011559 , 0.008267 , 0.007009 , 0.008292 , 0.008029 , 0.015747 , 0.012686 , 0.019332 , 0.020394 , 0.017317 , 0.018196 , 0.032255 , 0.026453 , 0.02291 , 0.023924 , 0.023151 , 0.029665 , 0.023976 , 0.022445 , 0.029688 , 0.013286 , 0.023119 , 0.022503 , 0.01706 , 0.022637 , 0.014255 , 0.021649 , 0.025433 , 0.018671 , 0.013308 , 0.023568 , 0.028667 , 0.019496 , 0.019332 , 0.033895 , 0.032127 , 0.009454 , 0.025705 , 0.018931 , 0.011781 , 0.02086 , 0.030561 , 0.021267 , 0.030166 , 0.027862 , 0.024114 
 313 , 0.0546 , 0.044503 , 0.034867 , 0.054002 , 0.044139 , 0.030393 , 0.046326 , 0.053562 , 0.029652 , 0.055595 , 0.04196 , 0.035348 , 0.031545 , 0.029609 , 0.022244 , 0.016166 , 0.013495 , 0.015974 , 0.015781 , 0.025012 , 0.019482 , 0.022548 , 0.024537 , 0.019267 , 0.026004 , 0.034613 , 0.032161 , 0.030078 , 0.032411 , 0.030262 , 0.03172 , 0.026473 , 0.029154 , 0.034083 , 0.021063 , 0.022486 , 0.025797 , 0.019678 , 0.022443 , 0.019197 , 0.025733 , 0.028162 , 0.023108 , 0.021495 , 0.02848 , 0.032578 , 0.022233 , 0.022125 , 0.035395 , 0.032624 , 0.014863 , 0.029244 , 0.019716 , 0.015802 , 0.023076 , 0.031744 , 0.024228 , 0.031245 , 0.029889 , 0.02678 
 314 , 0.061943 , 0.04122 , 0.036213 , 0.054976 , 0.04679 , 0.029953 , 0.04535 , 0.053341 , 0.024341 , 0.060974 , 0.043549 , 0.042623 , 0.035919 , 0.036529 , 0.030743 , 0.022698 , 0.018662 , 0.022101 , 0.022269 , 0.032496 , 0.025112 , 0.025216 , 0.027882 , 0.020891 , 0.03248 , 0.03647 , 0.036778 , 0.035886 , 0.039451 , 0.035956 , 0.033357 , 0.028481 , 0.034787 , 0.037738 , 0.027317 , 0.0219 , 0.028465 , 0.021769 , 0.022261 , 0.02322 , 0.029091 , 0.030373 , 0.026629 , 0.028096 , 0.032378 , 0.035763 , 0.024408 , 0.02437 , 0.036636 , 0.033017 , 0.01932 , 0.032134 , 0.020385 , 0.019034 , 0.02486 , 0.032683 , 0.026621 , 0.032083 , 0.031449 , 0.028958 
 315 , 0.058966 , 0.038905 , 0.035765 , 0.054123 , 0.045187 , 0.026611 , 0.043301 , 0.052504 , 0.021875 , 0.054294 , 0.041785 , 0.041841 , 0.03407 , 0.037523 , 0.031058 , 0.024027 , 0.016932 , 0.02135 , 0.021646 , 0.031288 , 0.0254 , 0.02593 , 0.026699 , 0.020447 , 0.030926 , 0.034856 , 0.034756 , 0.035298 , 0.040324 , 0.037792 , 0.0316 , 0.028885 , 0.033076 , 0.037608 , 0.026831 , 0.021851 , 0.027595 , 0.02187 , 0.022173 , 0.022019 , 0.028535 , 0.028426 , 0.027146 , 0.028115 , 0.030619 , 0.034797 , 0.023595 , 0.024403 , 0.036114 , 0.03173 , 0.02011 , 0.031603 , 0.020515 , 0.01905 , 0.024183 , 0.031241 , 0.025583 , 0.029749 , 0.031102 , 0.02835 
