MNAT_00099.spu,MNAT_00098.spu,MNAT_00097.spu,MNAT_00095.spu,MNAT_00096.spu,
Wavelength,MNAT_00000.spu,MNAT_00001.spu,MNAT_00002.spu,MNAT_00003.spu,MNAT_00004.spu,MNAT_00005.spu,MNAT_00006.spu,MNAT_00007.spu,MNAT_00008.spu,MNAT_00009.spu,MNAT_00010.spu,MNAT_00011.spu,MNAT_00012.spu,MNAT_00013.spu,MNAT_00014.spu,MNAT_00015.spu,MNAT_00016.spu,MNAT_00017.spu,MNAT_00018.spu,MNAT_00019.spu,MNAT_00020.spu,MNAT_00021.spu,MNAT_00022.spu,MNAT_00023.spu,MNAT_00024.spu,MNAT_00025.spu,MNAT_00026.spu,MNAT_00027.spu,MNAT_00028.spu,MNAT_00029.spu,MNAT_00030.spu,MNAT_00031.spu,MNAT_00032.spu,MNAT_00033.spu,MNAT_00034.spu,MNAT_00035.spu,MNAT_00036.spu,MNAT_00037.spu,MNAT_00038.spu,MNAT_00039.spu,MNAT_00040.spu,MNAT_00041.spu,MNAT_00042.spu,MNAT_00043.spu,MNAT_00044.spu,MNAT_00045.spu,MNAT_00046.spu,MNAT_00047.spu,MNAT_00048.spu,MNAT_00049.spu,MNAT_00050.spu,MNAT_00051.spu,MNAT_00052.spu,MNAT_00053.spu,MNAT_00054.spu,MNAT_00055.spu,MNAT_00056.spu,MNAT_00057.spu,MNAT_00058.spu,MNAT_00059.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:08:30 A,:08:40 A,:08:51 A,:09:01 A,:09:18 A,:10:10 A,:10:22 A,:10:36 A,:10:47 A,:10:58 A,:11:38 A,:11:48 A,:12:01 A,:12:13 A,:12:22 A,:13:14 A,:13:23 A,:13:33 A,:13:43 A,:13:52 A,:14:12 A,:14:26 A,:14:34 A,:14:43 A,:14:53 A,:16:49 A,:17:01 A,:17:10 A,:17:20 A,:17:29 A,:18:47 A,:18:58 A,:19:08 A,:19:18 A,:19:29 A,:20:20 A,:20:35 A,:20:43 A,:20:52 A,:21:01 A,:21:53 A,:22:02 A,:22:11 A,:22:21 A,:22:29 A,:22:48 A,:22:57 A,:23:07 A,:23:16 A,:23:26 A,:24:10 A,:24:18 A,:24:28 A,:24:38 A,:24:46 A,:25:32 A,:25:42 A,:25:54 A,:26:09 A,:26:17 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.01938 , 0.022772 , 0.021397 , 0.016394 , 0.033883 , 0.028596 , 0.031596 , 0.042149 , 0.059197 , 0.05143 , 0.018577 , 0.028402 , 0.022315 , 0.03231 , 0.01868 , 0.025149 , 0.024449 , 0.039253 , 0.035258 , 0.022481 , 0.023527 , 0.021684 , 0.019311 , 0.016086 , 0.024334 , 0.015978 , 0.026226 , 0.029652 , 0.047772 , 0.034451 , 0.028724 , 0.047824 , 0.04342 , 0.037468 , 0.075491 , 0.030571 , 0.04712 , 0.032961 , 0.018511 , 0.017839 , 0.025772 , 0.028824 , 0.025686 , 0.028256 , 0.024528 , 0.033023 , 0.027168 , 0.033314 , 0.024851 , 0.02624 , 0.040358 , 0.052785 , 0.045613 , 0.072737 , 0.049445 , 0.045052 , 0.031894 , 0.028256 , 0.031911 , 0.02764 
 311 , 0.015093 , 0.024505 , 0.024352 , 0.020394 , 0.0381 , 0.02759 , 0.028746 , 0.039751 , 0.055439 , 0.051205 , 0.02045 , 0.02758 , 0.020795 , 0.034796 , 0.01768 , 0.024621 , 0.024096 , 0.041079 , 0.032306 , 0.021011 , 0.023973 , 0.021317 , 0.01509 , 0.014144 , 0.025259 , 0.017036 , 0.024511 , 0.027723 , 0.045396 , 0.034358 , 0.028148 , 0.046313 , 0.04351 , 0.035019 , 0.070765 , 0.027839 , 0.045357 , 0.032359 , 0.014599 , 0.014602 , 0.024246 , 0.028154 , 0.024242 , 0.024535 , 0.024103 , 0.031166 , 0.027706 , 0.034238 , 0.021503 , 0.024757 , 0.035035 , 0.048634 , 0.0401 , 0.068546 , 0.047831 , 0.044291 , 0.03103 , 0.024535 , 0.031336 , 0.027264 
 312 , 0.020599 , 0.023607 , 0.021096 , 0.020279 , 0.035435 , 0.025363 , 0.027761 , 0.038591 , 0.05325 , 0.050757 , 0.019948 , 0.02617 , 0.020697 , 0.030453 , 0.019343 , 0.024031 , 0.022069 , 0.040338 , 0.032504 , 0.019923 , 0.023067 , 0.020344 , 0.016531 , 0.015091 , 0.022155 , 0.016706 , 0.024126 , 0.02851 , 0.044012 , 0.033415 , 0.028046 , 0.045385 , 0.041326 , 0.034204 , 0.069827 , 0.028593 , 0.042668 , 0.03266 , 0.016065 , 0.013759 , 0.02287 , 0.026723 , 0.024534 , 0.024464 , 0.022131 , 0.029894 , 0.027754 , 0.031797 , 0.022379 , 0.024835 , 0.034536 , 0.047398 , 0.038913 , 0.064537 , 0.045738 , 0.041713 , 0.031414 , 0.024602 , 0.02948 , 0.027269 
 313 , 0.026534 , 0.022509 , 0.017559 , 0.019656 , 0.032319 , 0.023291 , 0.027171 , 0.037775 , 0.051583 , 0.050374 , 0.01922 , 0.024892 , 0.020793 , 0.02597 , 0.021112 , 0.023516 , 0.020145 , 0.039394 , 0.033079 , 0.019041 , 0.02211 , 0.019439 , 0.018484 , 0.016268 , 0.019087 , 0.016254 , 0.023968 , 0.029538 , 0.042932 , 0.032507 , 0.028019 , 0.044685 , 0.039232 , 0.03371 , 0.069486 , 0.029711 , 0.04029 , 0.033031 , 0.018023 , 0.013347 , 0.021726 , 0.025413 , 0.025023 , 0.024881 , 0.020262 , 0.0289 , 0.027734 , 0.029282 , 0.023649 , 0.0251 , 0.034732 , 0.046733 , 0.038464 , 0.061174 , 0.043931 , 0.039274 , 0.031893 , 0.025171 , 0.027763 , 0.027339 
 314 , 0.031553 , 0.021588 , 0.014588 , 0.019148 , 0.029708 , 0.021545 , 0.026681 , 0.03709 , 0.050141 , 0.050125 , 0.018611 , 0.023824 , 0.0209 , 0.022231 , 0.022616 , 0.02307 , 0.018529 , 0.038601 , 0.033561 , 0.018303 , 0.02132 , 0.01868 , 0.020138 , 0.017254 , 0.016543 , 0.015884 , 0.023861 , 0.030433 , 0.042047 , 0.031768 , 0.027987 , 0.044081 , 0.037462 , 0.033295 , 0.069174 , 0.030704 , 0.038279 , 0.033311 , 0.019703 , 0.012993 , 0.020767 , 0.024318 , 0.025462 , 0.025239 , 0.018688 , 0.028059 , 0.027706 , 0.027167 , 0.024681 , 0.025308 , 0.034896 , 0.046187 , 0.038046 , 0.058348 , 0.042398 , 0.037238 , 0.032278 , 0.025688 , 0.026322 , 0.027395 
 315 , 0.033771 , 0.02129 , 0.015261 , 0.018177 , 0.026653 , 0.020614 , 0.025365 , 0.035452 , 0.047175 , 0.047625 , 0.01861 , 0.022607 , 0.02104 , 0.021718 , 0.022383 , 0.022913 , 0.018175 , 0.037469 , 0.03353 , 0.018612 , 0.021074 , 0.017246 , 0.021428 , 0.017436 , 0.017307 , 0.016094 , 0.024485 , 0.029105 , 0.040988 , 0.030478 , 0.027436 , 0.042393 , 0.035506 , 0.03197 , 0.066193 , 0.029654 , 0.036974 , 0.032293 , 0.02034 , 0.013475 , 0.02147 , 0.023108 , 0.024833 , 0.025358 , 0.019015 , 0.02744 , 0.027462 , 0.026349 , 0.023475 , 0.024704 , 0.034024 , 0.045496 , 0.036451 , 0.056286 , 0.040186 , 0.035149 , 0.031346 , 0.025705 , 0.025827 , 0.026177 
