NANT_00010.spu,NANT_00009.spu,NANT_00008.spu,NANT_00007.spu,NANT_00006.spu,
Wavelength,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu,NANT_00031.spu,NANT_00032.spu,NANT_00033.spu,NANT_00034.spu,NANT_00035.spu,NANT_00036.spu,NANT_00037.spu,NANT_00038.spu,NANT_00039.spu,NANT_00040.spu,NANT_00041.spu,NANT_00042.spu,NANT_00043.spu,NANT_00044.spu,NANT_00045.spu,NANT_00046.spu,NANT_00047.spu,NANT_00048.spu,NANT_00049.spu,NANT_00050.spu,NANT_00051.spu,NANT_00052.spu,NANT_00053.spu,NANT_00054.spu,NANT_00055.spu,NANT_00056.spu,NANT_00057.spu,NANT_00058.spu,NANT_00059.spu,NANT_00060.spu,NANT_00061.spu,NANT_00062.spu,NANT_00063.spu,NANT_00064.spu,NANT_00065.spu,NANT_00066.spu,NANT_00067.spu,NANT_00068.spu,NANT_00069.spu,NANT_00070.spu,NANT_00071.spu,NANT_00072.spu,NANT_00073.spu,NANT_00074.spu,NANT_00075.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:41:31 A,:41:39 A,:41:48 A,:41:57 A,:42:05 A,:42:49 A,:42:58 A,:43:09 A,:43:25 A,:43:42 A,:44:21 A,:44:31 A,:44:41 A,:44:50 A,:45:02 A,:45:38 A,:45:47 A,:45:57 A,:46:08 A,:46:19 A,:47:35 A,:47:52 A,:48:08 A,:48:16 A,:48:29 A,:49:07 A,:49:16 A,:49:25 A,:49:37 A,:49:47 A,:50:42 A,:50:53 A,:51:04 A,:51:15 A,:51:26 A,:52:00 A,:52:09 A,:52:18 A,:52:27 A,:52:38 A,:54:18 A,:54:29 A,:54:40 A,:54:51 A,:55:04 A,:55:56 A,:56:09 A,:56:24 A,:56:34 A,:56:50 A,:57:42 A,:57:55 A,:58:08 A,:58:18 A,:58:30 A,:59:24 A,:59:39 A,:59:58 A,:00:08 A,:00:18 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.024676 , 0.019249 , 0.014613 , 0.003816 , 0.011419 , 0.02869 , 0.049416 , 0.045637 , 0.036273 , 0.03574 , 0.038425 , 0.029824 , 0.038938 , 0.05091 , 0.051843 , 0.029388 , 0.003804 , 0.010963 , 0.036342 , 0.017706 , 0 , 0.014678 , 0.011121 , 0.010818 , 0.007745 , 0.015558 , 0.023501 , 0.015477 , 0.042806 , 0.044777 , 0.007599 , 0.017234 , 0.021292 , 0.005819 , 0 , 0.031286 , 0.011395 , 0.007704 , 0.003913 , 0.007704 , 0.011678 , 0.007567 , 0 , 0.003856 , 0.0094 , 0.003872 , 0.013923 , 0.013265 , 0.001922 , 0.003727 , 0.024583 , 0.05572 , 0.056818 , 0.028544 , 0.060803 , 0.035449 , 0.020876 , 0.024583 , 0.020711 , 0.033959 
 311 , 0.026186 , 0.02089 , 0.019897 , 0.005176 , 0.01079 , 0.022178 , 0.047708 , 0.042606 , 0.037329 , 0.036348 , 0.032825 , 0.031079 , 0.040872 , 0.04372 , 0.048585 , 0.035172 , 0.005242 , 0.014806 , 0.042125 , 0.016653 , 0 , 0.019904 , 0.015012 , 0.01479 , 0.010495 , 0.016195 , 0.022197 , 0.011248 , 0.043339 , 0.043568 , 0.010348 , 0.020704 , 0.021383 , 0.005475 , 0 , 0.032836 , 0.015435 , 0.010356 , 0.005319 , 0.010356 , 0.010806 , 0.010344 , 0 , 0.005246 , 0.010426 , 0.005246 , 0.016214 , 0.015535 , 0.000217 , 0.005036 , 0.02652 , 0.051848 , 0.051375 , 0.026974 , 0.057722 , 0.036798 , 0.016614 , 0.02652 , 0.021068 , 0.036588 
 312 , 0.028106 , 0.020918 , 0.019157 , 0.007465 , 0.00735 , 0.024579 , 0.050574 , 0.042802 , 0.035099 , 0.034804 , 0.035586 , 0.031226 , 0.039826 , 0.040648 , 0.043105 , 0.033593 , 0.007512 , 0.013133 , 0.037348 , 0.018652 , 0 , 0.021643 , 0.018123 , 0.010553 , 0.011309 , 0.017467 , 0.02156 , 0.012412 , 0.039005 , 0.045108 , 0.009894 , 0.019542 , 0.02344 , 0.006316 , 0 , 0.029115 , 0.013536 , 0.012365 , 0.006309 , 0.009894 , 0.011155 , 0.011155 , 0.001272 , 0.004961 , 0.011043 , 0.006269 , 0.01649 , 0.017125 , 0.005981 , 0.004831 , 0.02446 , 0.052613 , 0.049461 , 0.027966 , 0.059541 , 0.036512 , 0.018353 , 0.02695 , 0.023123 , 0.036505 
 313 , 0.029825 , 0.020734 , 0.017747 , 0.009554 , 0.00406 , 0.027834 , 0.053713 , 0.043388 , 0.032819 , 0.033181 , 0.03895 , 0.031206 , 0.038531 , 0.038568 , 0.038135 , 0.031266 , 0.009537 , 0.010959 , 0.031853 , 0.020663 , 0 , 0.022685 , 0.020697 , 0.005853 , 0.01176 , 0.018615 , 0.021106 , 0.014103 , 0.034619 , 0.046781 , 0.009095 , 0.017955 , 0.02545 , 0.007204 , 0 , 0.025276 , 0.011153 , 0.013992 , 0.00708 , 0.009095 , 0.011599 , 0.011599 , 0.002518 , 0.004505 , 0.011532 , 0.007093 , 0.016466 , 0.018401 , 0.01185 , 0.004462 , 0.022225 , 0.053881 , 0.048239 , 0.029098 , 0.061691 , 0.036074 , 0.020583 , 0.027116 , 0.025108 , 0.03608 
 314 , 0.031325 , 0.020604 , 0.016553 , 0.011334 , 0.001281 , 0.030688 , 0.056552 , 0.043931 , 0.030886 , 0.031812 , 0.041748 , 0.031187 , 0.037474 , 0.036815 , 0.033935 , 0.0293 , 0.011224 , 0.009091 , 0.027171 , 0.022269 , 0 , 0.023584 , 0.022897 , 0.001853 , 0.012144 , 0.019565 , 0.020717 , 0.015545 , 0.030889 , 0.048221 , 0.008419 , 0.016613 , 0.027171 , 0.00797 , 0 , 0.022033 , 0.009142 , 0.015366 , 0.00771 , 0.008419 , 0.011984 , 0.011984 , 0.003567 , 0.004123 , 0.011962 , 0.007785 , 0.016443 , 0.019492 , 0.016811 , 0.004148 , 0.020344 , 0.055054 , 0.047238 , 0.029991 , 0.063424 , 0.035703 , 0.022441 , 0.027227 , 0.026813 , 0.035703 
 315 , 0.031623 , 0.020876 , 0.017034 , 0.013525 , 0.003153 , 0.032093 , 0.054721 , 0.044188 , 0.030898 , 0.03183 , 0.041605 , 0.032414 , 0.037239 , 0.036875 , 0.032529 , 0.029768 , 0.012361 , 0.010378 , 0.02601 , 0.024918 , 0.003133 , 0.025098 , 0.024078 , 0.003672 , 0.01362 , 0.020904 , 0.021423 , 0.017834 , 0.031202 , 0.048537 , 0.010283 , 0.01714 , 0.028966 , 0.009985 , 0.002113 , 0.021377 , 0.012069 , 0.017178 , 0.009592 , 0.010733 , 0.012447 , 0.014067 , 0.00594 , 0.006843 , 0.01395 , 0.011831 , 0.019087 , 0.018743 , 0.019104 , 0.007454 , 0.021369 , 0.053445 , 0.044443 , 0.029571 , 0.062596 , 0.034825 , 0.024608 , 0.02765 , 0.028524 , 0.03535 
