MNAT_00012.spu,MNAT_00011.spu,MNAT_00010.spu,MNAT_00009.spu,MNAT_00008.spu,
Wavelength,MNAT_00073.spu,MNAT_00074.spu,MNAT_00075.spu,MNAT_00076.spu,MNAT_00077.spu,MNAT_00078.spu,MNAT_00079.spu,MNAT_00080.spu,MNAT_00081.spu,MNAT_00082.spu,MNAT_00083.spu,MNAT_00084.spu,MNAT_00085.spu,MNAT_00086.spu,MNAT_00087.spu,MNAT_00088.spu,MNAT_00089.spu,MNAT_00090.spu,MNAT_00091.spu,MNAT_00092.spu,MNAT_00093.spu,MNAT_00094.spu,MNAT_00095.spu,MNAT_00096.spu,MNAT_00097.spu,MNAT_00098.spu,MNAT_00099.spu,MNAT_00100.spu,MNAT_00101.spu,MNAT_00102.spu
  (nm),7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1
  time  ,01:50 AM,02:01 AM,02:11 AM,02:20 AM,02:31 AM,03:06 AM,03:15 AM,03:28 AM,03:37 AM,03:48 AM,04:18 AM,04:31 AM,04:41 AM,04:51 AM,05:03 AM,05:24 AM,05:34 AM,05:44 AM,05:57 AM,06:06 AM,06:46 AM,07:00 AM,07:13 AM,07:23 AM,07:35 AM,08:13 AM,08:23 AM,08:32 AM,08:42 AM,08:51 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.097579 , 0.099055 , 0.091028 , 0.094845 , 0.093996 , 0.113332 , 0.114498 , 0.137261 , 0.108089 , 0.098516 , 0.0987 , 0.10469 , 0.102705 , 0.107738 , 0.106195 , 0.119983 , 0.108344 , 0.109109 , 0.108829 , 0.092964 , 0.124887 , 0.100468 , 0.10926 , 0.116383 , 0.1226 , 0.114038 , 0.118081 , 0.110071 , 0.115284 , 0.122964 
 311 , 0.095383 , 0.094955 , 0.085954 , 0.092185 , 0.088731 , 0.109596 , 0.117173 , 0.139446 , 0.104313 , 0.096213 , 0.095568 , 0.098365 , 0.099778 , 0.104179 , 0.098448 , 0.12102 , 0.106182 , 0.109384 , 0.104545 , 0.094176 , 0.122625 , 0.100887 , 0.107952 , 0.113589 , 0.122389 , 0.11473 , 0.110733 , 0.102685 , 0.112063 , 0.118998 
 312 , 0.088212 , 0.090238 , 0.081697 , 0.086364 , 0.085271 , 0.100785 , 0.107039 , 0.130366 , 0.094911 , 0.091012 , 0.0884 , 0.090256 , 0.092994 , 0.096513 , 0.093001 , 0.108493 , 0.097074 , 0.099233 , 0.096441 , 0.086617 , 0.111503 , 0.095283 , 0.099487 , 0.106464 , 0.111912 , 0.102536 , 0.102503 , 0.094401 , 0.102149 , 0.108938 
 313 , 0.081635 , 0.086242 , 0.07824 , 0.081137 , 0.082607 , 0.092785 , 0.097188 , 0.12147 , 0.086329 , 0.086333 , 0.081996 , 0.083382 , 0.086857 , 0.089747 , 0.088708 , 0.096564 , 0.088728 , 0.089477 , 0.089263 , 0.079286 , 0.101268 , 0.089858 , 0.091538 , 0.099982 , 0.10214 , 0.090923 , 0.095474 , 0.087442 , 0.093012 , 0.099711 
 314 , 0.076208 , 0.08294 , 0.075423 , 0.076827 , 0.080455 , 0.086187 , 0.089089 , 0.114134 , 0.07924 , 0.082507 , 0.076712 , 0.077715 , 0.0818 , 0.084157 , 0.085169 , 0.086754 , 0.08185 , 0.081448 , 0.083338 , 0.073249 , 0.092854 , 0.085381 , 0.084985 , 0.094663 , 0.094115 , 0.081386 , 0.089678 , 0.081704 , 0.085462 , 0.092104 
 315 , 0.07132 , 0.078021 , 0.071062 , 0.071479 , 0.076342 , 0.07862 , 0.080321 , 0.105067 , 0.074146 , 0.076092 , 0.070738 , 0.072274 , 0.075004 , 0.078234 , 0.079012 , 0.080628 , 0.074447 , 0.074473 , 0.07591 , 0.06767 , 0.08482 , 0.079787 , 0.078029 , 0.086343 , 0.088763 , 0.072385 , 0.083062 , 0.075652 , 0.077827 , 0.084272 
 316 , 0.067077 , 0.072073 , 0.065752 , 0.065594 , 0.070904 , 0.070789 , 0.071388 , 0.095168 , 0.070922 , 0.068058 , 0.064498 , 0.06725 , 0.067232 , 0.072254 , 0.071105 , 0.077666 , 0.06697 , 0.068649 , 0.067607 , 0.062702 , 0.077378 , 0.073597 , 0.071126 , 0.076466 , 0.085616 , 0.064205 , 0.076186 , 0.069569 , 0.070522 , 0.076649 
 317 , 0.06372 , 0.067326 , 0.0615 , 0.060896 , 0.066571 , 0.064537 , 0.064257 , 0.087261 , 0.068381 , 0.06165 , 0.059523 , 0.063231 , 0.061032 , 0.067497 , 0.064796 , 0.075304 , 0.061005 , 0.064002 , 0.060979 , 0.058736 , 0.071448 , 0.068652 , 0.065615 , 0.068631 , 0.083296 , 0.057681 , 0.070684 , 0.064738 , 0.064699 , 0.070564 
 318 , 0.060453 , 0.063243 , 0.057435 , 0.056898 , 0.062784 , 0.059362 , 0.058702 , 0.080719 , 0.06557 , 0.056172 , 0.055184 , 0.05974 , 0.055878 , 0.063332 , 0.059812 , 0.07292 , 0.056117 , 0.0598 , 0.055544 , 0.055394 , 0.066475 , 0.064385 , 0.06102 , 0.062606 , 0.0809 , 0.052469 , 0.06561 , 0.060616 , 0.059753 , 0.065018 
 319 , 0.053878 , 0.05828 , 0.049548 , 0.052509 , 0.057839 , 0.054445 , 0.056292 , 0.074517 , 0.057809 , 0.050061 , 0.049676 , 0.055397 , 0.050985 , 0.057734 , 0.057064 , 0.067579 , 0.052053 , 0.053063 , 0.051274 , 0.051743 , 0.061632 , 0.059007 , 0.056784 , 0.058979 , 0.074693 , 0.049349 , 0.057049 , 0.056322 , 0.054572 , 0.056283 
 320 , 0.048828 , 0.054491 , 0.043489 , 0.049138 , 0.054049 , 0.050682 , 0.054491 , 0.069789 , 0.051854 , 0.045365 , 0.045448 , 0.052062 , 0.047233 , 0.05345 , 0.054991 , 0.063473 , 0.04895 , 0.047891 , 0.047987 , 0.048974 , 0.057915 , 0.054901 , 0.053515 , 0.056347 , 0.069912 , 0.046938 , 0.050477 , 0.052989 , 0.050594 , 0.049584 
 321 , 0.04483 , 0.051508 , 0.038685 , 0.046467 , 0.051051 , 0.047714 , 0.053107 , 0.06607 , 0.047142 , 0.041645 , 0.042099 , 0.049419 , 0.044267 , 0.050071 , 0.053381 , 0.060214 , 0.046508 , 0.043794 , 0.045379 , 0.046811 , 0.054975 , 0.051671 , 0.050913 , 0.054398 , 0.066112 , 0.045016 , 0.045272 , 0.050323 , 0.047441 , 0.044287 
 322 , 0.041627 , 0.048391 , 0.036258 , 0.043308 , 0.047623 , 0.043551 , 0.048334 , 0.061419 , 0.043157 , 0.037999 , 0.040215 , 0.046319 , 0.041238 , 0.045691 , 0.048755 , 0.053154 , 0.041722 , 0.039505 , 0.041319 , 0.0428 , 0.050402 , 0.047067 , 0.046016 , 0.050146 , 0.06284 , 0.041687 , 0.041309 , 0.046608 , 0.042669 , 0.041246 
 323 , 0.039159 , 0.045757 , 0.034898 , 0.04055 , 0.044658 , 0.039769 , 0.043464 , 0.057305 , 0.040019 , 0.034965 , 0.039048 , 0.043612 , 0.038714 , 0.041789 , 0.044108 , 0.046264 , 0.037115 , 0.035899 , 0.037545 , 0.038981 , 0.046156 , 0.042883 , 0.041317 , 0.046033 , 0.060292 , 0.038534 , 0.038343 , 0.043219 , 0.038263 , 0.039328 
 324 , 0.037202 , 0.043664 , 0.033857 , 0.038409 , 0.042345 , 0.036806 , 0.039634 , 0.054058 , 0.037555 , 0.032599 , 0.038152 , 0.041486 , 0.036756 , 0.038707 , 0.040447 , 0.040858 , 0.033498 , 0.033066 , 0.034581 , 0.035965 , 0.042812 , 0.039587 , 0.037626 , 0.042788 , 0.058375 , 0.036079 , 0.03601 , 0.040568 , 0.0348 , 0.037855 
 325 , 0.03557 , 0.041785 , 0.032702 , 0.03631 , 0.040179 , 0.034351 , 0.036549 , 0.051413 , 0.035153 , 0.030813 , 0.036544 , 0.039287 , 0.034827 , 0.035877 , 0.037637 , 0.03817 , 0.030742 , 0.030674 , 0.032232 , 0.033159 , 0.040253 , 0.036984 , 0.034519 , 0.039991 , 0.056151 , 0.033419 , 0.033511 , 0.037847 , 0.032094 , 0.035971 
 326 , 0.034157 , 0.039945 , 0.031219 , 0.033987 , 0.037931 , 0.032282 , 0.034074 , 0.049235 , 0.032526 , 0.029577 , 0.033718 , 0.036682 , 0.032699 , 0.032986 , 0.035603 , 0.038868 , 0.028806 , 0.028559 , 0.030424 , 0.030283 , 0.038395 , 0.034966 , 0.031822 , 0.037438 , 0.053182 , 0.030127 , 0.030495 , 0.034703 , 0.03007 , 0.033255 
 327 , 0.03302 , 0.038454 , 0.030005 , 0.032095 , 0.036094 , 0.030592 , 0.03206 , 0.047463 , 0.030389 , 0.028591 , 0.031423 , 0.034564 , 0.030954 , 0.030641 , 0.033953 , 0.039415 , 0.02723 , 0.026843 , 0.028949 , 0.027948 , 0.036914 , 0.033332 , 0.029628 , 0.035358 , 0.050744 , 0.027458 , 0.028051 , 0.032147 , 0.028421 , 0.031047 
 328 , 0.032088 , 0.037225 , 0.028989 , 0.030523 , 0.034565 , 0.029188 , 0.030391 , 0.045992 , 0.028618 , 0.027788 , 0.029523 , 0.03281 , 0.029499 , 0.028699 , 0.032587 , 0.039858 , 0.025924 , 0.025421 , 0.027723 , 0.026018 , 0.035705 , 0.031981 , 0.027813 , 0.03363 , 0.048708 , 0.025252 , 0.026034 , 0.030031 , 0.027055 , 0.029219 
 329 , 0.031566 , 0.037249 , 0.028535 , 0.031002 , 0.034635 , 0.029759 , 0.030314 , 0.045448 , 0.028579 , 0.027235 , 0.029055 , 0.032753 , 0.029791 , 0.028876 , 0.032544 , 0.039601 , 0.025422 , 0.024961 , 0.027351 , 0.026434 , 0.035195 , 0.031456 , 0.02801 , 0.03351 , 0.048668 , 0.025894 , 0.026386 , 0.03005 , 0.027335 , 0.029362 
