HST_00005.spu,HST_00004.spu,HST_00003.spu,HST_00002.spu,HST_00001.spu,
Wavelength,MNAT_00072.spu,MNAT_00071.spu,MNAT_00070.spu,MNAT_00069.spu,MNAT_00068.spu,MNAT_00067.spu,MNAT_00066.spu,MNAT_00065.spu,MNAT_00064.spu,MNAT_00063.spu,MNAT_00062.spu,MNAT_00061.spu,MNAT_00060.spu,MNAT_00059.spu,MNAT_00058.spu,MNAT_00057.spu,MNAT_00056.spu,MNAT_00055.spu,MNAT_00054.spu,MNAT_00053.spu,MNAT_00052.spu,MNAT_00051.spu,MNAT_00050.spu,MNAT_00049.spu,MNAT_00048.spu,MNAT_00047.spu,MNAT_00046.spu,MNAT_00045.spu,MNAT_00044.spu,MNAT_00043.spu,MNAT_00042.spu,MNAT_00041.spu,MNAT_00040.spu,MNAT_00039.spu,MNAT_00038.spu,MNAT_00037.spu,MNAT_00036.spu,MNAT_00035.spu,MNAT_00034.spu,MNAT_00033.spu,MNAT_00032.spu,MNAT_00031.spu,MNAT_00030.spu,MNAT_00029.spu,MNAT_00028.spu,MNAT_00027.spu,MNAT_00026.spu,MNAT_00025.spu,MNAT_00024.spu,MNAT_00023.spu,MNAT_00022.spu,MNAT_00021.spu,MNAT_00020.spu,MNAT_00019.spu,MNAT_00018.spu,MNAT_00017.spu,MNAT_00016.spu,MNAT_00015.spu,MNAT_00014.spu,MNAT_00013.spu
  (nm),7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1
  time  ,00:20 AM,00:10 AM,00:01 AM,59:48 AM,59:36 AM,58:57 AM,58:46 AM,58:27 AM,58:15 AM,58:02 AM,57:14 AM,57:04 AM,56:54 AM,56:45 AM,56:36 AM,56:17 AM,56:04 AM,55:52 AM,55:41 AM,55:17 AM,54:28 AM,54:17 AM,54:05 AM,53:51 AM,53:39 AM,52:58 AM,52:44 AM,52:31 AM,52:16 AM,52:05 AM,49:46 AM,49:35 AM,49:23 AM,49:08 AM,48:55 AM,47:49 AM,47:36 AM,47:15 AM,46:52 AM,46:40 AM,46:11 AM,46:00 AM,45:45 AM,45:28 AM,45:13 AM,44:12 AM,44:02 AM,43:51 AM,43:28 AM,43:11 AM,42:28 AM,42:12 AM,41:59 AM,41:43 AM,41:27 AM,40:39 AM,40:26 AM,40:15 AM,39:57 AM,39:40 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.099823 , 0.089564 , 0.098821 , 0.095502 , 0.099743 , 0.110479 , 0.125546 , 0.100225 , 0.113486 , 0.101482 , 0.087186 , 0.091247 , 0.095289 , 0.08954 , 0.095209 , 0.104045 , 0.089479 , 0.088103 , 0.08747 , 0.090992 , 0.083215 , 0.081182 , 0.086307 , 0.079622 , 0.074152 , 0.109264 , 0.091233 , 0.098693 , 0.123598 , 0.109321 , 0.096145 , 0.098272 , 0.10655 , 0.095639 , 0.098329 , 0.109207 , 0.087314 , 0.094088 , 0.094036 , 0.108522 , 0.096135 , 0.0997 , 0.077722 , 0.091068 , 0.090354 , 0.09579 , 0.093474 , 0.087139 , 0.095682 , 0.100627 , 0.095559 , 0.098145 , 0.092547 , 0.096339 , 0.098821 , 0.092907 , 0.086704 , 0.080237 , 0.096816 , 0.07774 
 311 , 0.098925 , 0.088916 , 0.096386 , 0.092463 , 0.100336 , 0.106766 , 0.125005 , 0.097001 , 0.109641 , 0.099018 , 0.083592 , 0.090946 , 0.094706 , 0.085232 , 0.093246 , 0.101335 , 0.087532 , 0.086099 , 0.088563 , 0.086745 , 0.080328 , 0.077767 , 0.083892 , 0.078435 , 0.070952 , 0.103586 , 0.08736 , 0.097571 , 0.122108 , 0.109137 , 0.091017 , 0.095749 , 0.101888 , 0.089314 , 0.098836 , 0.116589 , 0.077643 , 0.09023 , 0.095471 , 0.111463 , 0.089593 , 0.094852 , 0.081128 , 0.087019 , 0.093339 , 0.093657 , 0.092384 , 0.089814 , 0.094259 , 0.102662 , 0.093361 , 0.097036 , 0.092101 , 0.094949 , 0.096174 , 0.090341 , 0.089602 , 0.073137 , 0.100734 , 0.078988 
 312 , 0.091211 , 0.083511 , 0.090532 , 0.087291 , 0.09457 , 0.099505 , 0.116125 , 0.087905 , 0.101895 , 0.092291 , 0.077381 , 0.084505 , 0.089116 , 0.078687 , 0.085602 , 0.095626 , 0.082214 , 0.081616 , 0.083306 , 0.081502 , 0.07358 , 0.072893 , 0.080086 , 0.075589 , 0.070982 , 0.102324 , 0.082189 , 0.090913 , 0.112606 , 0.101457 , 0.084362 , 0.093449 , 0.096727 , 0.084681 , 0.089329 , 0.104096 , 0.073241 , 0.084092 , 0.089223 , 0.094325 , 0.083318 , 0.088834 , 0.072492 , 0.083981 , 0.090908 , 0.080638 , 0.087328 , 0.085352 , 0.088163 , 0.094456 , 0.088224 , 0.0873 , 0.088658 , 0.089546 , 0.088859 , 0.085164 , 0.084047 , 0.074349 , 0.090818 , 0.072467 
 313 , 0.083922 , 0.078351 , 0.085205 , 0.082693 , 0.088881 , 0.092934 , 0.107536 , 0.079629 , 0.094879 , 0.086122 , 0.071904 , 0.078286 , 0.083816 , 0.072874 , 0.078404 , 0.090392 , 0.077361 , 0.077533 , 0.078088 , 0.076969 , 0.067391 , 0.06865 , 0.076695 , 0.073023 , 0.071455 , 0.101847 , 0.077711 , 0.084661 , 0.103476 , 0.093992 , 0.078632 , 0.091594 , 0.092253 , 0.080931 , 0.079942 , 0.091157 , 0.070188 , 0.078674 , 0.083001 , 0.077559 , 0.078039 , 0.08358 , 0.063642 , 0.081525 , 0.088204 , 0.06838 , 0.082552 , 0.080714 , 0.082465 , 0.086293 , 0.083599 , 0.0781 , 0.085445 , 0.084485 , 0.082156 , 0.080471 , 0.078263 , 0.076379 , 0.080703 , 0.066009 
 314 , 0.07789 , 0.074093 , 0.080803 , 0.078915 , 0.084197 , 0.087498 , 0.100418 , 0.072787 , 0.089076 , 0.081024 , 0.067372 , 0.073136 , 0.079454 , 0.068058 , 0.072426 , 0.086092 , 0.073351 , 0.074189 , 0.073779 , 0.073236 , 0.062247 , 0.065138 , 0.073914 , 0.070899 , 0.071962 , 0.10156 , 0.074018 , 0.079489 , 0.095892 , 0.087809 , 0.073889 , 0.090086 , 0.088612 , 0.077876 , 0.072094 , 0.080417 , 0.067672 , 0.074196 , 0.077858 , 0.063661 , 0.07369 , 0.079247 , 0.056262 , 0.079611 , 0.085996 , 0.0582 , 0.078622 , 0.076902 , 0.077751 , 0.079518 , 0.079775 , 0.070481 , 0.082805 , 0.080321 , 0.076605 , 0.076616 , 0.073479 , 0.078044 , 0.07228 , 0.060659 
 315 , 0.073208 , 0.068336 , 0.075446 , 0.073844 , 0.077479 , 0.081085 , 0.093837 , 0.067073 , 0.082132 , 0.075717 , 0.063056 , 0.068525 , 0.074151 , 0.063392 , 0.066838 , 0.080608 , 0.068711 , 0.070581 , 0.069804 , 0.068711 , 0.057659 , 0.061043 , 0.070398 , 0.066861 , 0.066929 , 0.096301 , 0.069664 , 0.074298 , 0.088978 , 0.082977 , 0.071142 , 0.086544 , 0.083783 , 0.072535 , 0.065986 , 0.072327 , 0.06397 , 0.069028 , 0.071403 , 0.057192 , 0.071694 , 0.075048 , 0.053466 , 0.07497 , 0.079688 , 0.05374 , 0.072258 , 0.072274 , 0.071387 , 0.073178 , 0.075211 , 0.064688 , 0.077055 , 0.074901 , 0.070297 , 0.071442 , 0.067315 , 0.072682 , 0.065484 , 0.058031 
