NANT_00003.spu,NANT_00002.spu,NANT_00001.spu,
Wavelength,NANT_00011.spu,NANT_00012.spu,NANT_00013.spu,NANT_00014.spu,NANT_00015.spu,NANT_00016.spu,NANT_00017.spu,NANT_00018.spu,NANT_00019.spu,NANT_00020.spu,NANT_00021.spu,NANT_00022.spu,NANT_00023.spu,NANT_00024.spu,NANT_00025.spu,NANT_00026.spu,NANT_00027.spu,NANT_00028.spu,NANT_00029.spu,NANT_00030.spu
  (nm),7/3/2018 9,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1
  time  ,9:29 AM",00:07 AM,00:16 AM,00:27 AM,00:37 AM,01:17 AM,01:27 AM,01:41 AM,01:54 AM,02:04 AM,02:50 AM,03:09 AM,03:18 AM,03:30 AM,03:40 AM,05:21 AM,05:33 AM,05:45 AM,06:00 AM,06:09 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000482 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001296 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0.000152 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00014 , 0 , 0 , 0 , 0.000205 , 0.002273 , 0 , 0.000053 , 0 , 0 , 0 , 0 , 0 
 319 , 0.001441 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001362 , 0 , 0 , 0 , 0.001968 , 0.001365 , 0 , 0.000518 , 0 , 0 , 0 , 0 , 0 
 320 , 0.002401 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002327 , 0 , 0 , 0 , 0.003336 , 0.000675 , 0 , 0.000881 , 0 , 0 , 0 , 0 , 0 
 321 , 0.003136 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003117 , 0 , 0 , 0 , 0.004432 , 0.000132 , 0 , 0.001174 , 0 , 0 , 0 , 0 , 0 
 322 , 0.004048 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002338 , 0.001184 , 0 , 0 , 0.005136 , 0.000297 , 0.00087 , 0.001122 , 0.001899 , 0 , 0 , 0 , 0 
 323 , 0.004871 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001276 , 0.002477 , 0 , 0 , 0.005616 , 0.000623 , 0.001836 , 0.000986 , 0.003981 , 0 , 0 , 0 , 0 
 324 , 0.005534 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00045 , 0.003482 , 0 , 0 , 0.005993 , 0.00088 , 0.002601 , 0.000879 , 0.005607 , 0 , 0 , 0 , 0 
 325 , 0.00689 , 0.001428 , 0.001738 , 0.001589 , 0.001317 , 0.00196 , 0.001578 , 0.001936 , 0.005943 , 0.001907 , 0.001472 , 0.007348 , 0.003306 , 0.004436 , 0.001877 , 0.008006 , 0.001415 , 0.002083 , 0.002269 , 0.001322 
 326 , 0.009379 , 0.005007 , 0.006096 , 0.005549 , 0.004578 , 0.006814 , 0.005596 , 0.00682 , 0.010768 , 0.006667 , 0.005151 , 0.010271 , 0.009018 , 0.00798 , 0.004521 , 0.011765 , 0.004905 , 0.007319 , 0.008107 , 0.004726 
 327 , 0.011408 , 0.007879 , 0.009593 , 0.008695 , 0.007139 , 0.010631 , 0.0089 , 0.010771 , 0.01468 , 0.010458 , 0.008083 , 0.012692 , 0.013574 , 0.010832 , 0.006636 , 0.014749 , 0.007635 , 0.011537 , 0.012994 , 0.007574 
 328 , 0.013101 , 0.010237 , 0.012461 , 0.011248 , 0.009196 , 0.0137 , 0.011681 , 0.014042 , 0.017926 , 0.013546 , 0.010474 , 0.014738 , 0.017291 , 0.013178 , 0.008366 , 0.017173 , 0.009817 , 0.015012 , 0.017181 , 0.010015 
