WSG2_00005.spu,WSG2_00004.spu,WSG2_00003.spu,WSG2_00002.spu,WSG2_00001.spu,
Wavelength,WSG2_00006.spu,WSG2_00007.spu,WSG2_00008.spu,WSG2_00009.spu,WSG2_00010.spu,WSG2_00011.spu,WSG2_00012.spu,WSG2_00013.spu,WSG2_00014.spu,WSG2_00015.spu,WSG2_00016.spu,WSG2_00017.spu,WSG2_00018.spu,WSG2_00019.spu,WSG2_00020.spu,WSG2_00021.spu,WSG2_00022.spu,WSG2_00023.spu,WSG2_00024.spu,WSG2_00025.spu,WSG2_00026.spu,WSG2_00027.spu,WSG2_00028.spu,WSG2_00029.spu,WSG2_00030.spu,WSG2_00031.spu,WSG2_00032.spu,WSG2_00033.spu,WSG2_00034.spu,WSG2_00035.spu,WSG2_00036.spu,WSG2_00037.spu,WSG2_00038.spu,WSG2_00039.spu,WSG2_00040.spu,WSG2_00041.spu,WSG2_00042.spu,WSG2_00043.spu,WSG2_00044.spu,WSG2_00045.spu
  (nm),7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2,7/3/2018 2
  time  ,3:31 PM",3:44 PM",3:55 PM",4:05 PM",4:18 PM",5:02 PM",5:12 PM",5:29 PM",5:40 PM",5:49 PM",6:40 PM",6:49 PM",6:58 PM",7:09 PM",7:19 PM",7:42 PM",7:52 PM",8:08 PM",8:18 PM",8:27 PM",9:51 PM",0:04 PM",0:21 PM",0:30 PM",0:41 PM",1:06 PM",1:21 PM",1:34 PM",1:42 PM",1:51 PM",2:09 PM",2:19 PM",2:27 PM",2:43 PM",2:52 PM",3:34 PM",3:43 PM",3:52 PM",4:01 PM",4:08 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000618 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001674 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002502 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003597 , 0.000092 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007796 , 0.000874 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.011052 , 0.001464 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.013658 , 0.001924 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0.003193 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000296 , 0 , 0.00118 , 0 , 0.002016 , 0.000358 , 0 , 0.0153 , 0.003771 , 0.001637 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000397 , 0 , 0.001119 , 0 , 0 , 0 , 0 , 0.001148 , 0 , 0 , 0.000993 , 0.00033 , 0 
 323 , 0 , 0 , 0.006692 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000615 , 0 , 0.002466 , 0 , 0.004153 , 0.000751 , 0 , 0.016426 , 0.005716 , 0.00343 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000832 , 0 , 0.00237 , 0 , 0 , 0 , 0 , 0.0024 , 0 , 0 , 0.002083 , 0.000689 , 0 
 324 , 0 , 0 , 0.009426 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000858 , 0 , 0.003464 , 0 , 0.005752 , 0.001058 , 0 , 0.017333 , 0.007281 , 0.00483 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001172 , 0 , 0.003373 , 0 , 0 , 0 , 0 , 0.003372 , 0 , 0 , 0.002937 , 0.000967 , 0 
