WSG1_00031.spu,WSG1_00030.spu,
Wavelength,WSG1_00020.spu,WSG1_00021.spu
  (nm),7/13/2018 ,7/13/2018 
  time  ,:26:53 P,:27:14 P
temp C,SW,SW
,,
 310 , 0 , 0 
 311 , 0 , 0 
 312 , 0 , 0 
 313 , 0 , 0 
 314 , 0 , 0 
 315 , 0 , 0 
 316 , 0 , 0 
 317 , 0 , 0 
 318 , 0 , 0 
 319 , 0 , 0 
 320 , 0 , 0 
 321 , 0 , 0 
 322 , 0 , 0 
 323 , 0 , 0 
 324 , 0 , 0 
 325 , 0 , 0 
 326 , 0 , 0 
 327 , 0 , 0 
 328 , 0 , 0 
 329 , 0 , 0 
 330 , 0 , 0 
 331 , 0 , 0 
 332 , 0 , 0 
 333 , 0 , 0 
 334 , 0 , 0 
 335 , 0 , 0 
 336 , 0 , 0 
 337 , 0 , 0 
 338 , 0 , 0 
 339 , 0.000272 , 0 
 340 , 0.00057 , 0 
 341 , 0.000839 , 0 
 342 , 0.001206 , 0 
 343 , 0.001676 , 0 
 344 , 0.002102 , 0 
 345 , 0.002519 , 0.000011 
 346 , 0.003286 , 0.000156 
 347 , 0.003969 , 0.000283 
 348 , 0.004581 , 0.000394 
 349 , 0.005064 , 0.00077 
 350 , 0.005466 , 0.001211 
 351 , 0.005823 , 0.0016 
 352 , 0.006187 , 0.001945 
 353 , 0.006618 , 0.002259 
 354 , 0.007026 , 0.002558 
 355 , 0.007415 , 0.002842 
 356 , 0.007745 , 0.003072 
 357 , 0.008059 , 0.003291 
 358 , 0.008361 , 0.003501 
 359 , 0.008672 , 0.003757 
 360 , 0.008979 , 0.004033 
 361 , 0.009263 , 0.00429 
 362 , 0.009496 , 0.004511 
 363 , 0.009594 , 0.004656 
 364 , 0.009686 , 0.004794 
 365 , 0.009772 , 0.004925 
 366 , 0.009808 , 0.005075 
 367 , 0.009833 , 0.005225 
 368 , 0.009858 , 0.005372 
 369 , 0.00993 , 0.005452 
 370 , 0.01006 , 0.005452 
 371 , 0.010187 , 0.005446 
 372 , 0.01032 , 0.005447 
 373 , 0.010551 , 0.005613 
 374 , 0.010766 , 0.005775 
 375 , 0.010969 , 0.005935 
 376 , 0.011086 , 0.006063 
 377 , 0.011138 , 0.006166 
 378 , 0.011163 , 0.00626 
 379 , 0.011208 , 0.006343 
 380 , 0.011309 , 0.006406 
 381 , 0.011392 , 0.00646 
 382 , 0.011466 , 0.006508 
 383 , 0.011807 , 0.006751 
 384 , 0.012137 , 0.00699 
 385 , 0.012451 , 0.00722 
 386 , 0.012643 , 0.007394 
 387 , 0.012745 , 0.007523 
 388 , 0.012834 , 0.007645 
 389 , 0.012972 , 0.007813 
 390 , 0.013292 , 0.008165 
 391 , 0.013599 , 0.008502 
 392 , 0.01389 , 0.008827 
 393 , 0.014295 , 0.009213 
 394 , 0.014693 , 0.009583 
 395 , 0.015056 , 0.009922 
 396 , 0.015519 , 0.010383 
 397 , 0.016045 , 0.010927 
 398 , 0.016494 , 0.011394 
 399 , 0.016889 , 0.011805 
 400 , 0.017249 , 0.012191 
 401 , 0.017562 , 0.012533 
 402 , 0.017846 , 0.012839 
 403 , 0.018058 , 0.013062 
 404 , 0.018247 , 0.013254 
 405 , 0.018422 , 0.013438 
 406 , 0.018605 , 0.013644 
 407 , 0.018818 , 0.0139 
 408 , 0.019024 , 0.014144 
 409 , 0.019214 , 0.014376 
 410 , 0.019541 , 0.014697 
 411 , 0.019848 , 0.014999 
 412 , 0.020142 , 0.01528 
 413 , 0.020418 , 0.015567 
 414 , 0.020687 , 0.015843 
 415 , 0.020938 , 0.01611 
 416 , 0.02119 , 0.016378 
 417 , 0.02147 , 0.016667 
 418 , 0.021741 , 0.016942 
 419 , 0.021995 , 0.017209 
 420 , 0.022303 , 0.017497 
 421 , 0.022614 , 0.017784 
 422 , 0.02291 , 0.018057 
 423 , 0.023185 , 0.018331 
 424 , 0.023461 , 0.018609 
 425 , 0.023723 , 0.01888 
 426 , 0.023996 , 0.019142 
 427 , 0.024284 , 0.019402 
 428 , 0.024573 , 0.019649 
 429 , 0.024855 , 0.019896 
 430 , 0.025205 , 0.020222 
 431 , 0.025558 , 0.020554 
 432 , 0.025897 , 0.020878 
 433 , 0.026259 , 0.021198 
 434 , 0.026635 , 0.021503 
 435 , 0.026989 , 0.021794 
 436 , 0.02733 , 0.022077 
 437 , 0.02767 , 0.022369 
 438 , 0.027991 , 0.022656 
 439 , 0.028311 , 0.022929 
 440 , 0.028652 , 0.023203 
 441 , 0.028997 , 0.023477 
 442 , 0.029341 , 0.023738 
 443 , 0.029661 , 0.023997 
 444 , 0.029966 , 0.02425 
 445 , 0.030263 , 0.024497 
 446 , 0.030554 , 0.024736 
 447 , 0.030817 , 0.024974 
 448 , 0.031075 , 0.025198 
 449 , 0.031333 , 0.025428 
 450 , 0.031603 , 0.02565 
 451 , 0.031875 , 0.025881 
 452 , 0.032153 , 0.026103 
 453 , 0.032415 , 0.026313 
 454 , 0.032639 , 0.026485 
 455 , 0.032862 , 0.026662 
 456 , 0.033089 , 0.026831 
 457 , 0.033313 , 0.02702 
 458 , 0.033534 , 0.027199 
 459 , 0.033752 , 0.02739 
 460 , 0.033944 , 0.02757 
 461 , 0.034106 , 0.027751 
 462 , 0.034274 , 0.027931 
 463 , 0.03444 , 0.028115 
 464 , 0.034604 , 0.028269 
 465 , 0.03478 , 0.028427 
 466 , 0.034955 , 0.028591 
 467 , 0.035165 , 0.028757 
 468 , 0.035386 , 0.028924 
 469 , 0.035607 , 0.029098 
