WSG1_00034.spu,WSG1_00033.spu,WSG1_00032.spu,
Wavelength,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:27:36 P,:27:46 P,:27:57 P
temp C,SW,SW,SW
,,,
 310 , 0 , 0 , 0 
 311 , 0 , 0 , 0 
 312 , 0 , 0 , 0 
 313 , 0 , 0 , 0 
 314 , 0 , 0 , 0 
 315 , 0 , 0 , 0 
 316 , 0 , 0 , 0 
 317 , 0 , 0 , 0 
 318 , 0 , 0 , 0 
 319 , 0 , 0 , 0 
 320 , 0 , 0 , 0 
 321 , 0 , 0 , 0 
 322 , 0 , 0 , 0 
 323 , 0 , 0 , 0 
 324 , 0 , 0 , 0 
 325 , 0 , 0 , 0 
 326 , 0 , 0 , 0 
 327 , 0 , 0 , 0 
 328 , 0 , 0 , 0 
 329 , 0 , 0 , 0 
 330 , 0 , 0 , 0 
 331 , 0 , 0 , 0 
 332 , 0 , 0 , 0 
 333 , 0 , 0 , 0 
 334 , 0 , 0 , 0 
 335 , 0 , 0 , 0.000055 
 336 , 0 , 0 , 0.000304 
 337 , 0 , 0 , 0.000512 
 338 , 0 , 0 , 0.00069 
 339 , 0.000724 , 0.000688 , 0.00165 
 340 , 0.001536 , 0.001443 , 0.002689 
 341 , 0.002291 , 0.002126 , 0.003645 
 342 , 0.002951 , 0.002727 , 0.004516 
 343 , 0.003493 , 0.003239 , 0.005276 
 344 , 0.003971 , 0.003694 , 0.005942 
 345 , 0.004427 , 0.004127 , 0.006545 
 346 , 0.005217 , 0.004837 , 0.007257 
 347 , 0.005913 , 0.005457 , 0.007901 
 348 , 0.00653 , 0.006002 , 0.008485 
 349 , 0.007046 , 0.006585 , 0.009039 
 350 , 0.007496 , 0.007159 , 0.009548 
 351 , 0.007905 , 0.007689 , 0.010009 
 352 , 0.00828 , 0.008143 , 0.010411 
 353 , 0.008634 , 0.008488 , 0.010748 
 354 , 0.008968 , 0.008811 , 0.011063 
 355 , 0.009282 , 0.009113 , 0.011358 
 356 , 0.009601 , 0.009467 , 0.011783 
 357 , 0.009908 , 0.009808 , 0.012199 
 358 , 0.010201 , 0.010136 , 0.012599 
 359 , 0.010493 , 0.010397 , 0.012937 
 360 , 0.010775 , 0.010603 , 0.013221 
 361 , 0.011036 , 0.010794 , 0.013483 
 362 , 0.011267 , 0.010965 , 0.013717 
 363 , 0.011441 , 0.011102 , 0.013896 
 364 , 0.011604 , 0.011229 , 0.014063 
 365 , 0.011756 , 0.011347 , 0.014218 
 366 , 0.011901 , 0.011593 , 0.014425 
 367 , 0.01204 , 0.011862 , 0.014639 
 368 , 0.012173 , 0.012123 , 0.014845 
 369 , 0.012246 , 0.012247 , 0.014946 
 370 , 0.012249 , 0.012206 , 0.014918 
 371 , 0.012254 , 0.012166 , 0.014886 
 372 , 0.012278 , 0.012143 , 0.014878 
 373 , 0.012571 , 0.012341 , 0.01524 
 374 , 0.012835 , 0.012519 , 0.015579 
 375 , 0.013076 , 0.012682 , 0.0159 
 376 , 0.013236 , 0.012841 , 0.016121 
 377 , 0.01334 , 0.01298 , 0.016272 
 378 , 0.01342 , 0.013102 , 0.016396 
 379 , 0.01346 , 0.013171 , 0.016472 
 380 , 0.013442 , 0.013149 , 0.016476 
 381 , 0.013427 , 0.013121 , 0.016481 
 382 , 0.013413 , 0.013088 , 0.016485 
 383 , 0.013696 , 0.013324 , 0.016753 
 384 , 0.013969 , 0.013547 , 0.017006 
 385 , 0.014225 , 0.013754 , 0.017239 
 386 , 0.014449 , 0.013945 , 0.01752 
 387 , 0.014638 , 0.014117 , 0.017817 
 388 , 0.014811 , 0.014274 , 0.018088 
 389 , 0.015011 , 0.014449 , 0.018348 
 390 , 0.015342 , 0.014707 , 0.018621 
 391 , 0.015657 , 0.014954 , 0.018878 
 392 , 0.015961 , 0.015191 , 0.019125 
 393 , 0.016295 , 0.015567 , 0.019512 
 394 , 0.016604 , 0.015937 , 0.019894 
 395 , 0.016894 , 0.016279 , 0.02024 
 396 , 0.017289 , 0.016704 , 0.020688 
 397 , 0.017763 , 0.017184 , 0.021202 
 398 , 0.01817 , 0.017592 , 0.021637 
 399 , 0.018531 , 0.017952 , 0.022033 
 400 , 0.018935 , 0.018279 , 0.022469 
 401 , 0.019292 , 0.018564 , 0.022858 
 402 , 0.019607 , 0.018822 , 0.023196 
 403 , 0.019799 , 0.019006 , 0.023434 
 404 , 0.019948 , 0.019165 , 0.023621 
 405 , 0.020083 , 0.019312 , 0.023802 
 406 , 0.020253 , 0.019478 , 0.024014 
 407 , 0.020484 , 0.019689 , 0.024298 
 408 , 0.020708 , 0.019887 , 0.024562 
 409 , 0.020914 , 0.020073 , 0.024811 
 410 , 0.021182 , 0.020329 , 0.02512 
 411 , 0.021435 , 0.020564 , 0.025407 
 412 , 0.021669 , 0.020791 , 0.025679 
 413 , 0.021937 , 0.021036 , 0.025985 
 414 , 0.022217 , 0.021285 , 0.026295 
 415 , 0.022485 , 0.021529 , 0.026586 
 416 , 0.022742 , 0.021768 , 0.026879 
 417 , 0.02301 , 0.022049 , 0.027203 
 418 , 0.023268 , 0.022314 , 0.02751 
 419 , 0.023515 , 0.022569 , 0.027813 
 420 , 0.023821 , 0.022806 , 0.028148 
 421 , 0.024129 , 0.023037 , 0.028477 
 422 , 0.024422 , 0.023254 , 0.028803 
 423 , 0.02472 , 0.023479 , 0.029111 
 424 , 0.025015 , 0.023715 , 0.02942 
 425 , 0.025302 , 0.023944 , 0.029722 
 426 , 0.025588 , 0.024171 , 0.030022 
 427 , 0.025904 , 0.024413 , 0.030344 
 428 , 0.026213 , 0.024648 , 0.030653 
 429 , 0.026516 , 0.024884 , 0.030962 
 430 , 0.026954 , 0.025224 , 0.031396 
 431 , 0.027411 , 0.025573 , 0.031846 
 432 , 0.027853 , 0.025915 , 0.032288 
 433 , 0.028287 , 0.026243 , 0.032715 
 434 , 0.02871 , 0.026553 , 0.033138 
 435 , 0.029111 , 0.026848 , 0.03354 
 436 , 0.029492 , 0.027137 , 0.033922 
 437 , 0.029876 , 0.02746 , 0.034303 
 438 , 0.030247 , 0.027771 , 0.034669 
 439 , 0.03061 , 0.028074 , 0.03502 
 440 , 0.031009 , 0.028358 , 0.035407 
 441 , 0.031423 , 0.02863 , 0.035805 
 442 , 0.031829 , 0.028902 , 0.036189 
 443 , 0.032217 , 0.029169 , 0.036559 
 444 , 0.032606 , 0.029456 , 0.036905 
 445 , 0.032988 , 0.029735 , 0.037251 
 446 , 0.033363 , 0.030008 , 0.037583 
 447 , 0.033695 , 0.030239 , 0.03789 
 448 , 0.034018 , 0.030464 , 0.038193 
 449 , 0.03434 , 0.030689 , 0.038494 
 450 , 0.034648 , 0.030919 , 0.03879 
 451 , 0.034948 , 0.03116 , 0.039087 
 452 , 0.035247 , 0.031399 , 0.039383 
 453 , 0.035525 , 0.03163 , 0.03966 
 454 , 0.035771 , 0.031825 , 0.039902 
 455 , 0.036015 , 0.032018 , 0.040141 
 456 , 0.036263 , 0.032215 , 0.040385 
 457 , 0.036499 , 0.032391 , 0.040622 
 458 , 0.036738 , 0.032568 , 0.040854 
 459 , 0.036974 , 0.032744 , 0.041096 
 460 , 0.037193 , 0.0329 , 0.041312 
 461 , 0.037384 , 0.033046 , 0.041509 
 462 , 0.037581 , 0.033192 , 0.04171 
 463 , 0.037776 , 0.033336 , 0.041918 
 464 , 0.037949 , 0.033462 , 0.04211 
 465 , 0.038126 , 0.033587 , 0.0423 
 466 , 0.038308 , 0.033717 , 0.042495 
 467 , 0.03848 , 0.033862 , 0.042687 
 468 , 0.038651 , 0.034012 , 0.042874 
 469 , 0.038822 , 0.034162 , 0.043067 
 470 , 0.038983 , 0.034291 , 0.043239 
 471 , 0.03913 , 0.034397 , 0.043396 
 472 , 0.03927 , 0.034502 , 0.043552 
 473 , 0.039419 , 0.034611 , 0.043709 
 474 , 0.039596 , 0.034775 , 0.043906 
 475 , 0.039771 , 0.034947 , 0.044109 
 476 , 0.039945 , 0.035114 , 0.044311 
 477 , 0.04008 , 0.035238 , 0.04447 
 478 , 0.040209 , 0.035338 , 0.044617 
 479 , 0.040339 , 0.035444 , 0.044764 
 480 , 0.040459 , 0.035548 , 0.044912 
 481 , 0.040578 , 0.035642 , 0.045064 
 482 , 0.040698 , 0.035742 , 0.045209 
 483 , 0.040818 , 0.035843 , 0.045361 
 484 , 0.040941 , 0.035954 , 0.045503 
 485 , 0.041065 , 0.036065 , 0.045645 
 486 , 0.041194 , 0.036183 , 0.045787 
 487 , 0.041341 , 0.036309 , 0.045969 
 488 , 0.041498 , 0.036448 , 0.04617 
 489 , 0.041654 , 0.03658 , 0.046371 
 490 , 0.041829 , 0.036731 , 0.046571 
 491 , 0.042032 , 0.036902 , 0.046781 
 492 , 0.042229 , 0.037079 , 0.046985 
 493 , 0.04242 , 0.037244 , 0.047183 
 494 , 0.042588 , 0.037418 , 0.047385 
 495 , 0.042753 , 0.037589 , 0.047583 
 496 , 0.042912 , 0.037755 , 0.047781 
 497 , 0.043103 , 0.037934 , 0.04797 
 498 , 0.043307 , 0.038128 , 0.048167 
 499 , 0.043518 , 0.038314 , 0.048357 
 500 , 0.043725 , 0.038506 , 0.048566 
 501 , 0.043942 , 0.038713 , 0.0488 
 502 , 0.044154 , 0.038914 , 0.049036 
 503 , 0.044366 , 0.039116 , 0.049271 
 504 , 0.044628 , 0.039339 , 0.04954 
 505 , 0.044903 , 0.039566 , 0.049819 
 506 , 0.045165 , 0.039786 , 0.050085 
 507 , 0.045447 , 0.040036 , 0.050361 
 508 , 0.04574 , 0.040315 , 0.050649 
 509 , 0.046027 , 0.040581 , 0.050931 
 510 , 0.046315 , 0.040856 , 0.051218 
 511 , 0.046649 , 0.041144 , 0.051571 
 512 , 0.046985 , 0.04143 , 0.051917 
 513 , 0.047321 , 0.041723 , 0.05227 
 514 , 0.047644 , 0.042028 , 0.052608 
 515 , 0.047964 , 0.042337 , 0.052945 
 516 , 0.048292 , 0.042646 , 0.053283 
 517 , 0.048663 , 0.042999 , 0.053684 
 518 , 0.049104 , 0.043392 , 0.054149 
 519 , 0.049537 , 0.043786 , 0.054608 
 520 , 0.049964 , 0.044181 , 0.05507 
 521 , 0.050409 , 0.044558 , 0.055568 
 522 , 0.050846 , 0.044924 , 0.056054 
 523 , 0.051268 , 0.045288 , 0.056532 
 524 , 0.051714 , 0.045691 , 0.057032 
 525 , 0.052168 , 0.046112 , 0.057536 
 526 , 0.052614 , 0.046525 , 0.058032 
 527 , 0.053063 , 0.046941 , 0.058538 
 528 , 0.053509 , 0.047343 , 0.059045 
 529 , 0.053946 , 0.047751 , 0.059544 
 530 , 0.054378 , 0.048139 , 0.060038 
 531 , 0.054817 , 0.048539 , 0.06054 
 532 , 0.055248 , 0.048926 , 0.061041 
 533 , 0.055678 , 0.049319 , 0.06154 
 534 , 0.05609 , 0.049689 , 0.062007 
 535 , 0.056503 , 0.050044 , 0.062462 
 536 , 0.056916 , 0.050399 , 0.062918 
 537 , 0.057318 , 0.050747 , 0.063362 
 538 , 0.057709 , 0.05109 , 0.063829 
 539 , 0.058101 , 0.051433 , 0.06429 
 540 , 0.058493 , 0.051776 , 0.06475 
 541 , 0.058856 , 0.052115 , 0.065144 
 542 , 0.059212 , 0.052446 , 0.065536 
 543 , 0.059567 , 0.052778 , 0.065922 
 544 , 0.059944 , 0.053118 , 0.066328 
 545 , 0.060325 , 0.053463 , 0.06675 
 546 , 0.060698 , 0.0538 , 0.067165 
 547 , 0.061055 , 0.05412 , 0.067552 
 548 , 0.061381 , 0.05441 , 0.067905 
 549 , 0.061705 , 0.054699 , 0.068256 
 550 , 0.062029 , 0.05498 , 0.068608 
 551 , 0.062322 , 0.055265 , 0.06893 
 552 , 0.062617 , 0.055549 , 0.069249 
 553 , 0.062912 , 0.055834 , 0.069562 
 554 , 0.063152 , 0.056061 , 0.06982 
 555 , 0.063353 , 0.056252 , 0.07004 
 556 , 0.063555 , 0.056442 , 0.070252 
 557 , 0.063743 , 0.056626 , 0.070452 
 558 , 0.063911 , 0.056774 , 0.07061 
 559 , 0.064074 , 0.056919 , 0.070763 
 560 , 0.064238 , 0.057065 , 0.070916 
 561 , 0.064356 , 0.057183 , 0.071006 
 562 , 0.064471 , 0.057288 , 0.071089 
 563 , 0.064585 , 0.057398 , 0.071171 
 564 , 0.064678 , 0.057511 , 0.071247 
 565 , 0.064762 , 0.057624 , 0.071317 
 566 , 0.064841 , 0.057733 , 0.071384 
 567 , 0.064914 , 0.057836 , 0.071443 
 568 , 0.064946 , 0.057883 , 0.071443 
 569 , 0.064981 , 0.057928 , 0.071444 
 570 , 0.06501 , 0.057974 , 0.071444 
 571 , 0.065052 , 0.058021 , 0.071472 
 572 , 0.065101 , 0.058071 , 0.071503 
 573 , 0.065147 , 0.05812 , 0.071531 
 574 , 0.065186 , 0.058175 , 0.071551 
 575 , 0.06521 , 0.058239 , 0.071561 
 576 , 0.065238 , 0.058301 , 0.071566 
