NANT_00005.spu,NANT_00004.spu,NANT_00003.spu,NANT_00002.spu,NANT_00001.spu,
Wavelength,MNAT_00060.spu,MNAT_00061.spu,MNAT_00062.spu,MNAT_00063.spu,MNAT_00064.spu,MNAT_00065.spu,MNAT_00066.spu,MNAT_00067.spu,MNAT_00068.spu,MNAT_00069.spu,MNAT_00070.spu,MNAT_00071.spu,MNAT_00072.spu,MNAT_00073.spu,MNAT_00074.spu,MNAT_00075.spu,MNAT_00076.spu,MNAT_00077.spu,MNAT_00078.spu,MNAT_00079.spu,MNAT_00080.spu,MNAT_00081.spu,MNAT_00082.spu,MNAT_00083.spu,MNAT_00084.spu,MNAT_00085.spu,MNAT_00086.spu,MNAT_00087.spu,MNAT_00088.spu,MNAT_00089.spu
  (nm),7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 
  time  ,:02:24 P,:02:54 P,:03:12 P,:03:39 P,:03:57 P,:04:47 P,:04:59 P,:05:16 P,:05:30 P,:05:44 P,:06:27 P,:06:46 P,:07:00 P,:07:18 P,:07:38 P,:07:56 P,:08:14 P,:08:30 P,:08:43 P,:08:53 P,:09:37 P,:09:57 P,:10:14 P,:10:27 P,:10:40 P,:11:28 P,:11:46 P,:12:07 P,:12:23 P,:12:43 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.020004 , 0.014532 , 0.006615 , 0.006251 , 0.009859 , 0.018641 , 0.015958 , 0.031716 , 0.01682 , 0.007809 , 0.012071 , 0.021398 , 0.009273 , 0.026384 , 0.022149 , 0.007201 , 0.019015 , 0.015381 , 0.018626 , 0.018391 , 0.036022 , 0.024338 , 0.023207 , 0.047253 , 0.038975 , 0.01994 , 0.024252 , 0.024068 , 0.023099 , 0.020574 
 311 , 0.014749 , 0.009856 , 0.000762 , 0.000718 , 0.005489 , 0.013701 , 0.006055 , 0.026091 , 0.009653 , 0.001254 , 0.005376 , 0.013865 , 0.005117 , 0.017933 , 0.017448 , 0.00436 , 0.01329 , 0.012084 , 0.009343 , 0.009337 , 0.028242 , 0.01967 , 0.013254 , 0.041802 , 0.031288 , 0.015521 , 0.018651 , 0.018642 , 0.018517 , 0.012 
 312 , 0.021496 , 0.015097 , 0.008244 , 0.007759 , 0.014219 , 0.019169 , 0.013803 , 0.031177 , 0.018894 , 0.010504 , 0.013976 , 0.022444 , 0.013329 , 0.022071 , 0.024015 , 0.01329 , 0.019936 , 0.016543 , 0.015891 , 0.014171 , 0.034479 , 0.023629 , 0.019739 , 0.04386 , 0.037456 , 0.02041 , 0.023757 , 0.02144 , 0.023757 , 0.01816 
 313 , 0.028311 , 0.02053 , 0.015743 , 0.014836 , 0.022766 , 0.024895 , 0.022112 , 0.036718 , 0.02834 , 0.019876 , 0.022701 , 0.031168 , 0.021538 , 0.026877 , 0.030658 , 0.021796 , 0.026638 , 0.021097 , 0.023087 , 0.019818 , 0.041186 , 0.027897 , 0.02699 , 0.046346 , 0.04398 , 0.025381 , 0.029159 , 0.024701 , 0.029159 , 0.02478 
 314 , 0.033745 , 0.024915 , 0.021653 , 0.020423 , 0.029585 , 0.029585 , 0.028748 , 0.041339 , 0.035975 , 0.027442 , 0.029679 , 0.038068 , 0.02824 , 0.030673 , 0.035975 , 0.028538 , 0.031885 , 0.024792 , 0.028913 , 0.024439 , 0.046569 , 0.03137 , 0.032866 , 0.04827 , 0.049094 , 0.029288 , 0.033507 , 0.027328 , 0.033507 , 0.030003 
 315 , 0.032767 , 0.024582 , 0.021924 , 0.021225 , 0.029688 , 0.027793 , 0.029903 , 0.039984 , 0.036377 , 0.027914 , 0.030418 , 0.038018 , 0.029162 , 0.029387 , 0.035917 , 0.027564 , 0.03195 , 0.023475 , 0.029839 , 0.024866 , 0.045076 , 0.03086 , 0.031809 , 0.046663 , 0.048545 , 0.029182 , 0.032705 , 0.027378 , 0.032525 , 0.030598 
