NANT_00005.spu,NANT_00004.spu,NANT_00003.spu,NANT_00002.spu,NANT_00001.spu,
Wavelength,MNAT_00000.spu,MNAT_00001.spu,MNAT_00002.spu,MNAT_00003.spu,MNAT_00004.spu,MNAT_00005.spu,MNAT_00006.spu,MNAT_00007.spu,MNAT_00008.spu,MNAT_00009.spu,MNAT_00010.spu,MNAT_00011.spu,MNAT_00012.spu,MNAT_00013.spu,MNAT_00014.spu,MNAT_00015.spu,MNAT_00016.spu,MNAT_00017.spu,MNAT_00018.spu,MNAT_00019.spu,MNAT_00020.spu,MNAT_00021.spu,MNAT_00022.spu,MNAT_00023.spu,MNAT_00024.spu,MNAT_00025.spu,MNAT_00026.spu,MNAT_00027.spu,MNAT_00028.spu,MNAT_00029.spu,MNAT_00030.spu,MNAT_00031.spu,MNAT_00032.spu,MNAT_00033.spu,MNAT_00034.spu,MNAT_00035.spu,MNAT_00036.spu,MNAT_00037.spu,MNAT_00038.spu,MNAT_00039.spu,MNAT_00040.spu,MNAT_00041.spu,MNAT_00042.spu,MNAT_00043.spu,MNAT_00044.spu,MNAT_00045.spu,MNAT_00046.spu,MNAT_00047.spu,MNAT_00048.spu,MNAT_00049.spu,MNAT_00050.spu,MNAT_00051.spu,MNAT_00052.spu,MNAT_00053.spu,MNAT_00054.spu,MNAT_00055.spu,MNAT_00056.spu,MNAT_00057.spu,MNAT_00058.spu,MNAT_00059.spu
  (nm),7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 ,7/14/2018 
  time  ,:33:12 A,:33:29 A,:33:38 A,:33:56 A,:34:17 A,:35:10 A,:35:20 A,:35:37 A,:35:51 A,:36:04 A,:37:05 A,:37:20 A,:37:33 A,:37:49 A,:37:58 A,:39:15 A,:39:25 A,:39:37 A,:39:51 A,:40:27 A,:40:48 A,:41:24 A,:41:50 A,:42:47 A,:43:17 A,:44:26 A,:44:54 A,:45:12 A,:45:58 A,:47:10 A,:48:34 A,:48:45 A,:49:04 A,:49:17 A,:49:30 A,:50:30 A,:50:45 A,:51:00 A,:51:19 A,:51:33 A,:52:14 A,:52:33 A,:52:49 A,:53:07 A,:53:21 A,:54:00 A,:54:24 A,:54:45 A,:55:03 A,:55:16 A,:56:08 A,:56:20 A,:56:36 A,:56:54 A,:57:17 A,:59:23 A,:59:43 A,:00:08 P,:00:25 P,:00:37 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00179 , 0.001768 , 0.003482 , 0.005129 , 0.010455 , 0.006675 , 0.001761 , 0.010506 , 0.003317 , 0 , 0.004974 , 0.00883 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000206 , 0.0002 , 0.000399 , 0.000578 , 0.001635 , 0.000754 , 0.000203 , 0.001635 , 0.000375 , 0 , 0.000578 , 0.001436 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005688 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003853 , 0 , 0.002538 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001353 , 0 , 0.002729 , 0.001297 , 0.006284 , 0.003957 , 0.001307 , 0.002769 , 0.001353 , 0.005182 , 0 , 0.00401 , 0.003943 , 0.002681 , 0.001379 , 0.003943 , 0.006566 , 0.006417 , 0.007935 , 0.003943 , 0.002665 , 0.005549 , 0.004332 , 0.008728 , 0.007541 , 0.015854 , 0.009532 , 0.009679 , 0.004093 , 0.005323 , 0.009679 , 0.008073 , 0.009341 , 0.009532 , 0.009807 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.010789 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007492 , 0 , 0.004806 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002569 , 0 , 0.005126 , 0.002507 , 0.012022 , 0.007432 , 0.0025 , 0.005169 , 0.002569 , 0.010076 , 0 , 0.007799 , 0.007535 , 0.005153 , 0.002622 , 0.007535 , 0.012626 , 0.012554 , 0.014994 , 0.007535 , 0.005095 , 0.010636 , 0.008423 , 0.016811 , 0.014663 , 0.030404 , 0.018365 , 0.017891 , 0.00789 , 0.010112 , 0.017891 , 0.015846 , 0.01792 , 0.018365 , 0.01837 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.014741 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01049 , 0 , 0.006552 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003517 , 0 , 0.006938 , 0.003491 , 0.01656 , 0.01006 , 0.003443 , 0.006955 , 0.003517 , 0.014109 , 0 , 0.010919 , 0.01037 , 0.007134 , 0.003584 , 0.01037 , 0.017475 , 0.017678 , 0.020414 , 0.01037 , 0.007016 , 0.014678 , 0.011796 , 0.023312 , 0.020532 , 0.041986 , 0.025475 , 0.024215 , 0.010947 , 0.013838 , 0.024215 , 0.02239 , 0.024751 , 0.025475 , 0.025187 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.013758 , 0 , 0 , 0 , 0 , 0.000491 , 0 , 0 , 0.01165 , 0 , 0.005888 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003157 , 0 , 0.006197 , 0.003167 , 0.016926 , 0.010621 , 0.003611 , 0.006197 , 0.003157 , 0.013796 , 0 , 0.009774 , 0.009331 , 0.006456 , 0.003228 , 0.009419 , 0.017419 , 0.01662 , 0.019477 , 0.00939 , 0.007383 , 0.014498 , 0.012391 , 0.024637 , 0.020464 , 0.041524 , 0.025662 , 0.023205 , 0.012792 , 0.014566 , 0.025459 , 0.023004 , 0.025007 , 0.025167 , 0.025653 
