LMAT_00005.spu,LMAT_00004.spu,LMAT_00003.spu,LMAT_00002.spu,LMAT_00001.spu,
Wavelength,LMAT_00041.spu,LMAT_00042.spu,LMAT_00043.spu,LMAT_00044.spu,LMAT_00045.spu,LMAT_00046.spu,LMAT_00047.spu,LMAT_00048.spu,LMAT_00049.spu,LMAT_00050.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,:44:04 A,:44:20 A,:44:35 A,:44:52 A,:45:11 A,:45:45 A,:45:59 A,:46:13 A,:46:32 A,:46:45 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 310 , 0.047904 , 0.045059 , 0.047249 , 0.044473 , 0.038232 , 0.02941 , 0.043679 , 0.044091 , 0.032732 , 0.046117 
 311 , 0.049805 , 0.035353 , 0.047249 , 0.035914 , 0.027334 , 0.019143 , 0.036124 , 0.044738 , 0.0272 , 0.039892 
 312 , 0.042704 , 0.030909 , 0.041101 , 0.034424 , 0.027402 , 0.018996 , 0.031962 , 0.042438 , 0.025912 , 0.037331 
 313 , 0.035666 , 0.027857 , 0.035187 , 0.034066 , 0.028816 , 0.020138 , 0.028891 , 0.040169 , 0.025361 , 0.035642 
 314 , 0.029847 , 0.025317 , 0.03027 , 0.033746 , 0.029983 , 0.021068 , 0.026336 , 0.038238 , 0.024879 , 0.034213 
 315 , 0.025929 , 0.023758 , 0.026691 , 0.034544 , 0.03159 , 0.021051 , 0.02607 , 0.033891 , 0.023196 , 0.031576 
 316 , 0.02369 , 0.023051 , 0.024384 , 0.036213 , 0.033467 , 0.020294 , 0.02762 , 0.02785 , 0.020651 , 0.028114 
 317 , 0.02191 , 0.022467 , 0.022545 , 0.037601 , 0.034995 , 0.019693 , 0.028838 , 0.023033 , 0.01862 , 0.025354 
 318 , 0.020469 , 0.021568 , 0.021453 , 0.037938 , 0.035301 , 0.018951 , 0.02919 , 0.019603 , 0.016977 , 0.023032 
 319 , 0.019453 , 0.017488 , 0.023734 , 0.031893 , 0.028129 , 0.016451 , 0.024518 , 0.020815 , 0.015866 , 0.020707 
 320 , 0.01866 , 0.014299 , 0.025566 , 0.027217 , 0.02258 , 0.014514 , 0.020885 , 0.021748 , 0.014994 , 0.018902 
 321 , 0.018024 , 0.011731 , 0.027078 , 0.023497 , 0.018164 , 0.012968 , 0.017978 , 0.022482 , 0.014293 , 0.017459 
