WSG_00009.spu,WSG_00008.spu,WSG_00007.spu,WSG_00006.spu,WSG_00005.spu,
Wavelength,WSG_00034.spu,WSG_00033.spu,WSG_00032.spu,WSG_00031.spu,WSG_00030.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,15:59 PM,15:38 PM,15:24 PM,14:55 PM,14:36 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 310 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0.000066 , 0 , 0 , 0.000066 
 336 , 0 , 0.000364 , 0 , 0 , 0.000364 
 337 , 0 , 0.000622 , 0 , 0 , 0.000622 
 338 , 0 , 0.000847 , 0 , 0 , 0.000847 
 339 , 0.000505 , 0.001929 , 0.000698 , 0.000896 , 0.001549 
 340 , 0.001042 , 0.003017 , 0.001441 , 0.00187 , 0.002257 
 341 , 0.001515 , 0.003951 , 0.002095 , 0.002749 , 0.002881 
 342 , 0.002058 , 0.004803 , 0.00266 , 0.003459 , 0.003636 
 343 , 0.002674 , 0.005593 , 0.003136 , 0.003978 , 0.004527 
 344 , 0.003214 , 0.006285 , 0.003553 , 0.004423 , 0.005306 
 345 , 0.003751 , 0.006929 , 0.00398 , 0.004855 , 0.006017 
 346 , 0.004988 , 0.007895 , 0.005095 , 0.005808 , 0.006953 
 347 , 0.006079 , 0.008757 , 0.006072 , 0.006655 , 0.007773 
 348 , 0.00705 , 0.00953 , 0.006936 , 0.007413 , 0.008496 
 349 , 0.007559 , 0.010104 , 0.007488 , 0.008177 , 0.009188 
 350 , 0.007867 , 0.010564 , 0.007896 , 0.008888 , 0.009829 
 351 , 0.00814 , 0.010974 , 0.008266 , 0.009519 , 0.010409 
 352 , 0.008313 , 0.011266 , 0.008596 , 0.009939 , 0.010908 
 353 , 0.008326 , 0.011382 , 0.008888 , 0.010026 , 0.011313 
 354 , 0.008338 , 0.01149 , 0.009161 , 0.010106 , 0.011687 
 355 , 0.008348 , 0.011589 , 0.009415 , 0.01018 , 0.012034 
 356 , 0.008794 , 0.011968 , 0.009688 , 0.010477 , 0.012089 
 357 , 0.009241 , 0.012346 , 0.009949 , 0.010771 , 0.012127 
 358 , 0.009665 , 0.012708 , 0.010199 , 0.011051 , 0.012162 
 359 , 0.010039 , 0.013071 , 0.010494 , 0.011356 , 0.012457 
 360 , 0.010368 , 0.013426 , 0.010811 , 0.011669 , 0.01293 
 361 , 0.010676 , 0.01376 , 0.011104 , 0.011961 , 0.013379 
 362 , 0.010964 , 0.014072 , 0.011389 , 0.012245 , 0.013778 
 363 , 0.011222 , 0.014344 , 0.011706 , 0.012558 , 0.014037 
 364 , 0.011461 , 0.014595 , 0.012007 , 0.012854 , 0.014279 
 365 , 0.011683 , 0.014825 , 0.012293 , 0.013134 , 0.014504 
 366 , 0.011922 , 0.014944 , 0.012375 , 0.013285 , 0.014663 
 367 , 0.012162 , 0.015036 , 0.012413 , 0.013407 , 0.014806 
 368 , 0.012396 , 0.015124 , 0.012451 , 0.013527 , 0.014947 
 369 , 0.012442 , 0.015173 , 0.012404 , 0.01356 , 0.014984 
 370 , 0.012263 , 0.015177 , 0.012256 , 0.013489 , 0.014898 
 371 , 0.012086 , 0.015185 , 0.012115 , 0.01342 , 0.014817 
 372 , 0.01193 , 0.015185 , 0.011983 , 0.01335 , 0.014743 
 373 , 0.01204 , 0.015063 , 0.011928 , 0.013232 , 0.014725 
