NANT_00015.spu,NANT_00014.spu,NANT_00013.spu,NANT_00012.spu,NANT_00011.spu,
Wavelength,MNAT_00000.spu,MNAT_00001.spu,MNAT_00002.spu,MNAT_00003.spu,MNAT_00004.spu,MNAT_00005.spu,MNAT_00006.spu,MNAT_00007.spu,MNAT_00008.spu,MNAT_00009.spu,MNAT_00010.spu,MNAT_00011.spu,MNAT_00012.spu,MNAT_00013.spu,MNAT_00014.spu,MNAT_00015.spu,MNAT_00016.spu,MNAT_00017.spu,MNAT_00018.spu,MNAT_00019.spu,MNAT_00020.spu,MNAT_00021.spu,MNAT_00022.spu,MNAT_00023.spu,MNAT_00024.spu,MNAT_00025.spu,MNAT_00026.spu,MNAT_00027.spu,MNAT_00028.spu,MNAT_00029.spu,MNAT_00030.spu,MNAT_00031.spu,MNAT_00032.spu,MNAT_00033.spu,MNAT_00034.spu,MNAT_00035.spu,MNAT_00036.spu,MNAT_00037.spu,MNAT_00038.spu,MNAT_00039.spu,MNAT_00040.spu,MNAT_00041.spu,MNAT_00042.spu,MNAT_00043.spu,MNAT_00044.spu,MNAT_00045.spu,MNAT_00046.spu,MNAT_00047.spu,MNAT_00048.spu,MNAT_00049.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,:40:15 A,:40:32 A,:40:47 A,:41:01 A,:41:12 A,:42:01 A,:42:34 A,:42:51 A,:43:05 A,:43:29 A,:44:16 A,:44:32 A,:44:45 A,:44:56 A,:45:06 A,:45:49 A,:46:00 A,:46:10 A,:46:20 A,:46:32 A,:46:48 A,:46:59 A,:47:14 A,:47:29 A,:47:39 A,:48:34 A,:48:44 A,:48:53 A,:49:16 A,:50:01 A,:50:58 A,:51:14 A,:51:33 A,:51:53 A,:52:04 A,:53:05 A,:53:18 A,:53:36 A,:54:03 A,:54:17 A,:55:04 A,:55:18 A,:55:29 A,:55:41 A,:55:59 A,:56:26 A,:56:41 A,:56:58 A,:57:36 A,:57:47 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000767 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001622 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002301 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003926 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000479 , 0 , 0.000664 , 0.001294 , 0.001358 , 0.002493 , 0.001224 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007058 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001679 , 0 , 0.002335 , 0.00461 , 0.004695 , 0.008878 , 0.004255 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.009568 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00264 , 0 , 0.003682 , 0.007355 , 0.007281 , 0.014164 , 0.006634 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01162 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003426 , 0 , 0.004791 , 0.009679 , 0.009327 , 0.01863 , 0.008541 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001468 , 0 , 0.000843 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.013715 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000961 , 0 , 0 , 0.005359 , 0 , 0.007577 , 0.013334 , 0.01096 , 0.020376 , 0.01006 , 0.001482 , 0.000491 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002733 , 0 , 0.001602 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.015554 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001836 , 0 , 0 , 0.007109 , 0 , 0.010032 , 0.016492 , 0.012353 , 0.021718 , 0.011371 , 0.002824 , 0.000932 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00379 , 0 , 0.002262 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.017183 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002606 , 0 , 0 , 0.008667 , 0 , 0.012156 , 0.019194 , 0.013563 , 0.022806 , 0.012525 , 0.004 , 0.001314 , 0 , 0 , 0 
 332 , 0 , 0 , 0.000087 , 0.000164 , 0.00025 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00034 , 0 , 0 , 0.005589 , 0 , 0.004157 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.018615 , 0.000636 , 0 , 0 , 0 , 0 , 0 , 0.003663 , 0 , 0 , 0.010044 , 0.000801 , 0.013688 , 0.020694 , 0.015205 , 0.024519 , 0.013978 , 0.005425 , 0.00283 , 0.001281 , 0 , 0 
 333 , 0 , 0 , 0.000216 , 0.000409 , 0.00063 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000858 , 0 , 0 , 0.007788 , 0 , 0.006641 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.019846 , 0.001571 , 0 , 0 , 0 , 0 , 0 , 0.004827 , 0 , 0 , 0.011196 , 0.002029 , 0.014775 , 0.021409 , 0.016971 , 0.026502 , 0.015475 , 0.006871 , 0.004944 , 0.003231 , 0 , 0 
 334 , 0 , 0 , 0.000325 , 0.000617 , 0.000957 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001304 , 0 , 0 , 0.009759 , 0 , 0.008761 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.020902 , 0.002343 , 0 , 0 , 0 , 0 , 0 , 0.005838 , 0 , 0 , 0.012146 , 0.003098 , 0.015686 , 0.022 , 0.018441 , 0.028199 , 0.016699 , 0.008068 , 0.0068 , 0.00491 , 0 , 0 
 335 , 0.000071 , 0 , 0.000602 , 0.001038 , 0.00147 , 0 , 0.000023 , 0 , 0 , 0 , 0.000237 , 0.000023 , 0.000072 , 0.00171 , 0 , 0 , 0.01168 , 0 , 0.010659 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.021831 , 0.003289 , 0 , 0.000056 , 0 , 0 , 0.000981 , 0.006751 , 0.000209 , 0 , 0.01296 , 0.004133 , 0.016666 , 0.022899 , 0.019926 , 0.029824 , 0.017885 , 0.009251 , 0.008305 , 0.006248 , 0 , 0 
 336 , 0.000393 , 0 , 0.001523 , 0.002319 , 0.002767 , 0 , 0.000129 , 0 , 0 , 0 , 0.001319 , 0.00013 , 0.0004 , 0.002134 , 0 , 0 , 0.013868 , 0 , 0.012537 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.022656 , 0.005224 , 0 , 0.000295 , 0 , 0 , 0.005324 , 0.007638 , 0.00116 , 0 , 0.013711 , 0.005396 , 0.018258 , 0.025142 , 0.022061 , 0.03178 , 0.019484 , 0.010901 , 0.00911 , 0.006948 , 0 , 0 
 337 , 0.000669 , 0 , 0.002321 , 0.003451 , 0.003904 , 0 , 0.000222 , 0 , 0 , 0 , 0.00226 , 0.000221 , 0.000685 , 0.002499 , 0 , 0 , 0.015655 , 0 , 0.014122 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.023385 , 0.006932 , 0 , 0.00048 , 0 , 0 , 0.008896 , 0.008409 , 0.001979 , 0 , 0.014336 , 0.00651 , 0.0196 , 0.027058 , 0.023932 , 0.033493 , 0.020868 , 0.012343 , 0.009773 , 0.007543 , 0 , 0 
 338 , 0.00091 , 0 , 0.003017 , 0.004462 , 0.00491 , 0 , 0.000303 , 0 , 0 , 0 , 0.003086 , 0.0003 , 0.000935 , 0.002819 , 0 , 0 , 0.017134 , 0 , 0.015476 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.024033 , 0.008455 , 0 , 0.000627 , 0 , 0 , 0.011874 , 0.009086 , 0.002692 , 0 , 0.014862 , 0.007501 , 0.020745 , 0.028714 , 0.025587 , 0.03501 , 0.022078 , 0.013617 , 0.010327 , 0.008053 , 0 , 0 
