SHB2_00005.spu,SHB2_00004.spu,SHB2_00003.spu,SHB2_00002.spu,SHB2_00001.spu,
Wavelength,SHB2_00006.spu,SHB2_00007.spu,SHB2_00008.spu,SHB2_00009.spu,SHB2_00010.spu,SHB2_00011.spu,SHB2_00012.spu,SHB2_00013.spu,SHB2_00014.spu,SHB2_00015.spu,SHB2_00016.spu,SHB2_00017.spu,SHB2_00018.spu,SHB2_00019.spu,SHB2_00020.spu,SHB2_00021.spu,SHB2_00022.spu,SHB2_00023.spu,SHB2_00024.spu,SHB2_00025.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,08:24 PM,09:03 PM,09:43 PM,10:06 PM,10:35 PM,20:52 PM,21:28 PM,21:56 PM,22:21 PM,22:49 PM,24:17 PM,24:49 PM,25:29 PM,25:59 PM,26:26 PM,28:06 PM,28:27 PM,28:53 PM,29:12 PM,29:32 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0.001548 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001801 , 0 , 0 , 0.000982 , 0 
 316 , 0.004251 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00496 , 0 , 0 , 0.002648 , 0 
 317 , 0.00642 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007526 , 0 , 0 , 0.003931 , 0 
 318 , 0.008394 , 0 , 0 , 0 , 0.000136 , 0 , 0 , 0 , 0 , 0.000067 , 0.000051 , 0.000186 , 0.000163 , 0 , 0.000062 , 0.009729 , 0.00007 , 0.000423 , 0.004991 , 0.000495 
 319 , 0.011408 , 0 , 0 , 0 , 0.001286 , 0 , 0 , 0 , 0 , 0.000651 , 0.000491 , 0.001785 , 0.001569 , 0 , 0.000592 , 0.012042 , 0.000673 , 0.004045 , 0.006183 , 0.004708 
 320 , 0.013697 , 0 , 0 , 0 , 0.002158 , 0 , 0 , 0 , 0 , 0.001106 , 0.000832 , 0.003032 , 0.002654 , 0 , 0.000994 , 0.013779 , 0.001133 , 0.006831 , 0.007102 , 0.007919 
 321 , 0.015489 , 0 , 0 , 0 , 0.002841 , 0 , 0 , 0 , 0 , 0.001472 , 0.001105 , 0.004033 , 0.003517 , 0 , 0.001307 , 0.015129 , 0.001494 , 0.009042 , 0.007834 , 0.010442 
 322 , 0.017835 , 0.002075 , 0.001656 , 0 , 0.004154 , 0.001197 , 0.001171 , 0.000921 , 0 , 0.002296 , 0.002384 , 0.005129 , 0.004078 , 0.000236 , 0.00125 , 0.015449 , 0.003556 , 0.01228 , 0.009661 , 0.010929 
 323 , 0.019896 , 0.004357 , 0.003462 , 0 , 0.005441 , 0.002508 , 0.002462 , 0.00193 , 0 , 0.003094 , 0.003724 , 0.006069 , 0.004464 , 0.000497 , 0.001102 , 0.015439 , 0.005784 , 0.015206 , 0.011479 , 0.010789 
 324 , 0.021463 , 0.006143 , 0.004861 , 0 , 0.006478 , 0.003531 , 0.003479 , 0.002715 , 0 , 0.003709 , 0.004778 , 0.006811 , 0.004767 , 0.000702 , 0.000985 , 0.015432 , 0.007589 , 0.017448 , 0.012909 , 0.010678 
 325 , 0.022705 , 0.007547 , 0.00598 , 0.00038 , 0.007491 , 0.004845 , 0.004685 , 0.003638 , 0.000586 , 0.004667 , 0.005584 , 0.007439 , 0.005222 , 0.001411 , 0.001497 , 0.01633 , 0.009284 , 0.018692 , 0.013507 , 0.010869 
 326 , 0.023717 , 0.008619 , 0.006895 , 0.001338 , 0.008596 , 0.006764 , 0.006327 , 0.004909 , 0.002088 , 0.006262 , 0.00615 , 0.007991 , 0.005956 , 0.002946 , 0.002944 , 0.018618 , 0.010982 , 0.018764 , 0.01302 , 0.011501 
 327 , 0.024596 , 0.009493 , 0.007663 , 0.002109 , 0.009512 , 0.008331 , 0.007669 , 0.005977 , 0.003336 , 0.007579 , 0.006598 , 0.008445 , 0.006564 , 0.004227 , 0.004106 , 0.020489 , 0.012318 , 0.018838 , 0.01263 , 0.01199 
 328 , 0.02537 , 0.01022 , 0.00832 , 0.002741 , 0.010284 , 0.009635 , 0.008787 , 0.006893 , 0.004391 , 0.008686 , 0.006961 , 0.008824 , 0.007077 , 0.005318 , 0.005055 , 0.022048 , 0.013392 , 0.018913 , 0.01231 , 0.012374 
 329 , 0.025636 , 0.011392 , 0.009048 , 0.004034 , 0.011016 , 0.010561 , 0.00896 , 0.007364 , 0.005113 , 0.008769 , 0.007734 , 0.009796 , 0.007973 , 0.005086 , 0.006432 , 0.021284 , 0.013449 , 0.019876 , 0.012865 , 0.01377 
 330 , 0.025858 , 0.012432 , 0.009652 , 0.005163 , 0.011633 , 0.011355 , 0.009078 , 0.007747 , 0.005736 , 0.008803 , 0.008451 , 0.010648 , 0.008759 , 0.004846 , 0.007644 , 0.020554 , 0.013466 , 0.02077 , 0.013359 , 0.015002 
 331 , 0.026052 , 0.013348 , 0.010148 , 0.006133 , 0.012154 , 0.012051 , 0.009182 , 0.00807 , 0.006286 , 0.008825 , 0.009112 , 0.011381 , 0.009441 , 0.004639 , 0.008708 , 0.01992 , 0.013487 , 0.021583 , 0.013772 , 0.016069 
 332 , 0.026237 , 0.013594 , 0.010404 , 0.006562 , 0.012316 , 0.012275 , 0.009295 , 0.008222 , 0.006778 , 0.009056 , 0.009043 , 0.011403 , 0.009506 , 0.004876 , 0.008835 , 0.020554 , 0.013735 , 0.021814 , 0.014677 , 0.016562 
 333 , 0.026406 , 0.013434 , 0.010512 , 0.006653 , 0.012261 , 0.012212 , 0.009408 , 0.008269 , 0.007205 , 0.009395 , 0.008552 , 0.011006 , 0.009208 , 0.005358 , 0.008403 , 0.021903 , 0.014099 , 0.02169 , 0.015828 , 0.016697 
 334 , 0.026541 , 0.013292 , 0.010604 , 0.006727 , 0.012205 , 0.012156 , 0.009507 , 0.008307 , 0.007569 , 0.009685 , 0.008124 , 0.01066 , 0.008948 , 0.005775 , 0.008026 , 0.023094 , 0.014404 , 0.021563 , 0.016831 , 0.01682 
 335 , 0.026825 , 0.01328 , 0.010829 , 0.006895 , 0.012215 , 0.012144 , 0.009797 , 0.00851 , 0.007852 , 0.009938 , 0.007931 , 0.010455 , 0.008882 , 0.006171 , 0.007942 , 0.02417 , 0.014556 , 0.021567 , 0.017527 , 0.016983 
 336 , 0.027691 , 0.013692 , 0.01155 , 0.007429 , 0.012453 , 0.012276 , 0.010802 , 0.009318 , 0.007988 , 0.010166 , 0.008418 , 0.010648 , 0.00943 , 0.006627 , 0.008789 , 0.025179 , 0.014288 , 0.02202 , 0.01744 , 0.017338 
 337 , 0.028454 , 0.014042 , 0.012186 , 0.007893 , 0.012652 , 0.01239 , 0.011697 , 0.010031 , 0.008099 , 0.010366 , 0.008834 , 0.010814 , 0.009906 , 0.007028 , 0.00952 , 0.026043 , 0.014051 , 0.022394 , 0.017369 , 0.017625 
