DHT_00005.spu,DHT_00004.spu,DHT_00003.spu,DHT_00002.spu,DHT_00001.spu,
Wavelength,DHT_00011.spu,DHT_00012.spu,DHT_00013.spu,DHT_00014.spu,DHT_00015.spu,DHT_00016.spu,DHT_00017.spu,DHT_00018.spu,DHT_00019.spu,DHT_00020.spu,DHT_00021.spu,DHT_00022.spu,DHT_00023.spu,DHT_00024.spu,DHT_00025.spu,DHT_00026.spu,DHT_00027.spu,DHT_00028.spu,DHT_00029.spu,DHT_00030.spu,DHT_00031.spu,DHT_00032.spu,DHT_00033.spu,DHT_00034.spu,DHT_00035.spu,DHT_00036.spu,DHT_00037.spu,DHT_00038.spu,DHT_00039.spu,DHT_00040.spu,DHT_00041.spu,DHT_00042.spu,DHT_00043.spu,DHT_00044.spu,DHT_00045.spu,DHT_00046.spu,DHT_00047.spu,DHT_00048.spu,DHT_00049.spu,DHT_00050.spu,DHT_00051.spu,DHT_00052.spu,DHT_00053.spu,DHT_00054.spu,DHT_00055.spu,DHT_00056.spu,DHT_00057.spu,DHT_00058.spu,DHT_00059.spu,DHT_00060.spu,DHT_00061.spu,DHT_00062.spu,DHT_00063.spu,DHT_00064.spu,DHT_00065.spu,DHT_00066.spu,DHT_00067.spu,DHT_00068.spu,DHT_00069.spu,DHT_00070.spu,DHT_00071.spu,DHT_00072.spu,DHT_00073.spu,DHT_00074.spu,DHT_00075.spu,DHT_00076.spu,DHT_00077.spu,DHT_00078.spu,DHT_00079.spu,DHT_00080.spu,DHT_00081.spu,DHT_00082.spu,DHT_00083.spu,DHT_00084.spu,DHT_00085.spu,DHT_00086.spu,DHT_00087.spu,DHT_00088.spu,DHT_00089.spu,DHT_00090.spu,DHT_00091.spu,DHT_00092.spu,DHT_00093.spu,DHT_00094.spu,DHT_00095.spu,DHT_00096.spu,DHT_00097.spu,DHT_00098.spu,DHT_00099.spu,DHT_00100.spu,DHT_00101.spu,DHT_00102.spu,DHT_00103.spu,DHT_00104.spu,DHT_00105.spu,DHT_00106.spu,DHT_00107.spu,DHT_00108.spu,DHT_00109.spu,DHT_00110.spu,DHT_00111.spu,DHT_00112.spu,DHT_00113.spu,DHT_00114.spu,DHT_00115.spu,DHT_00116.spu,DHT_00117.spu,DHT_00118.spu,DHT_00119.spu,DHT_00120.spu,DHT_00121.spu,DHT_00122.spu,DHT_00123.spu,DHT_00124.spu,DHT_00125.spu,DHT_00126.spu,DHT_00127.spu,DHT_00128.spu,DHT_00129.spu,DHT_00130.spu,DHT_00131.spu,DHT_00132.spu,DHT_00133.spu,DHT_00134.spu,DHT_00135.spu,DHT_00136.spu,DHT_00137.spu,DHT_00138.spu,DHT_00139.spu,DHT_00140.spu,DHT_00141.spu,DHT_00142.spu,DHT_00143.spu,DHT_00144.spu,DHT_00145.spu,DHT_00146.spu,DHT_00147.spu,DHT_00148.spu,DHT_00149.spu,DHT_00150.spu,DHT_00151.spu,DHT_00152.spu,DHT_00153.spu,DHT_00154.spu,DHT_00155.spu,DHT_00156.spu,DHT_00157.spu,DHT_00158.spu,DHT_00159.spu,DHT_00160.spu,DHT_00161.spu,DHT_00162.spu,DHT_00163.spu,DHT_00164.spu,DHT_00165.spu,DHT_00166.spu,DHT_00167.spu,DHT_00168.spu,DHT_00169.spu,DHT_00170.spu,DHT_00171.spu
  (nm),7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 ,7/23/2018 
  time  ,:02:29 A,:02:49 A,:03:01 A,:03:14 A,:03:29 A,:06:57 A,:07:10 A,:07:24 A,:07:51 A,:08:08 A,:11:40 A,:13:03 A,:13:28 A,:13:40 A,:13:57 A,:14:20 A,:24:27 A,:24:47 A,:25:09 A,:25:27 A,:25:42 A,:34:14 A,:34:27 A,:34:43 A,:35:00 A,:35:13 A,:37:20 A,:38:05 A,:38:24 A,:39:03 A,:39:22 A,:39:46 A,:40:13 A,:40:45 A,:41:40 A,:42:01 A,:44:28 A,:44:46 A,:45:00 A,:45:30 A,:45:43 A,:48:33 A,:48:52 A,:49:10 A,:49:21 A,:49:34 A,:50:07 A,:50:52 A,:51:12 A,:52:06 A,:52:25 A,:52:44 A,:53:11 A,:53:36 A,:54:18 A,:54:49 A,:03:32 P,:03:44 P,:03:58 P,:04:09 P,:04:19 P,:06:43 P,:07:02 P,:07:15 P,:07:25 P,:07:42 P,:08:40 P,:09:01 P,:09:20 P,:09:38 P,:09:51 P,:10:25 P,:10:53 P,:11:25 P,:12:09 P,:12:31 P,:12:52 P,:13:20 P,:13:37 P,:14:04 P,:14:20 P,:16:03 P,:16:19 P,:16:33 P,:16:47 P,:16:59 P,:19:19 P,:19:48 P,:20:16 P,:20:32 P,:20:52 P,:23:21 P,:23:32 P,:23:47 P,:23:59 P,:24:14 P,:28:03 P,:28:13 P,:28:23 P,:28:32 P,:28:52 P,:29:35 P,:30:07 P,:30:23 P,:30:46 P,:31:01 P,:31:20 P,:31:51 P,:32:08 P,:32:36 P,:33:02 P,:34:15 P,:34:28 P,:34:37 P,:34:47 P,:34:58 P,:35:30 P,:35:58 P,:36:18 P,:36:58 P,:37:11 P,:39:33 P,:40:16 P,:40:33 P,:41:04 P,:41:39 P,:42:13 P,:43:02 P,:43:34 P,:44:22 P,:44:51 P,:46:55 P,:47:11 P,:47:28 P,:47:43 P,:48:05 P,:49:42 P,:49:54 P,:50:08 P,:50:21 P,:50:39 P,:54:14 P,:54:42 P,:55:03 P,:55:24 P,:55:39 P,:56:08 P,:56:54 P,:57:16 P,:57:47 P,:58:07 P,:58:32 P,:59:22 P,:59:48 P,01:37 PM,01:57 PM,03:24 PM,03:37 PM,03:48 PM,04:00 PM,04:29 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 274.515558 , 274.515558 , 274.515558 , 274.515558 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 265.534005 , 265.534005 , 265.534005 , 265.534005 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001284 , 0 , 0 , 0.001247 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 241.480384 , 241.480384 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002507 , 0 , 0 , 0.002415 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 220.117749 , 220.117749 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003517 , 0 , 0 , 0.003359 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 202.614559 , 202.614559 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003215 , 0 , 0 , 0.003589 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 184.05437 , 184.05437 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
