DHT_00005.spu,DHT_00004.spu,DHT_00003.spu,DHT_00002.spu,DHT_00001.spu,
Wavelength,DHT_00006.spu,DHT_00007.spu,DHT_00008.spu,DHT_00009.spu,DHT_00010.spu,DHT_00011.spu,DHT_00012.spu,DHT_00013.spu,DHT_00014.spu,DHT_00015.spu,DHT_00016.spu,DHT_00017.spu,DHT_00018.spu,DHT_00019.spu,DHT_00020.spu,DHT_00021.spu,DHT_00022.spu,DHT_00023.spu,DHT_00024.spu,DHT_00025.spu,DHT_00026.spu,DHT_00027.spu,DHT_00028.spu,DHT_00029.spu,DHT_00030.spu,DHT_00031.spu,DHT_00032.spu,DHT_00033.spu,DHT_00034.spu,DHT_00035.spu,DHT_00036.spu,DHT_00037.spu,DHT_00038.spu,DHT_00039.spu,DHT_00040.spu,DHT_00041.spu,DHT_00042.spu,DHT_00043.spu,DHT_00044.spu,DHT_00045.spu,DHT_00046.spu,DHT_00047.spu,DHT_00048.spu,DHT_00049.spu,DHT_00050.spu,DHT_00051.spu,DHT_00052.spu,DHT_00053.spu,DHT_00054.spu,DHT_00055.spu,DHT_00056.spu,DHT_00057.spu,DHT_00058.spu,DHT_00059.spu,DHT_00060.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,57:12 PM,57:28 PM,57:39 PM,57:50 PM,58:05 PM,58:35 PM,58:47 PM,58:58 PM,59:09 PM,59:19 PM,59:47 PM,59:57 PM,00:07 PM,00:25 PM,00:38 PM,01:05 PM,01:15 PM,01:26 PM,01:35 PM,01:44 PM,02:11 PM,02:21 PM,02:30 PM,02:41 PM,03:09 PM,03:28 PM,03:43 PM,03:58 PM,04:14 PM,04:26 PM,04:37 PM,04:56 PM,05:07 PM,05:23 PM,05:47 PM,06:30 PM,06:41 PM,06:53 PM,07:03 PM,07:11 PM,07:56 PM,08:12 PM,08:25 PM,08:38 PM,08:48 PM,09:04 PM,09:17 PM,09:30 PM,09:47 PM,09:59 PM,10:22 PM,10:38 PM,10:52 PM,11:04 PM,11:49 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.059178 , 0.050305 , 0.046529 , 0.05843 , 0.054265 , 0.065547 , 0.076239 , 0.059943 , 0.055565 , 0.073625 , 0.068904 , 0.055519 , 0.067039 , 0.055774 , 0.048456 , 0.055461 , 0.068988 , 0.049117 , 0.056824 , 0.04504 , 0.050443 , 0.037584 , 0.043932 , 0.048502 , 0.058789 , 0.057075 , 0.058944 , 0.054378 , 0.069532 , 0.07176 , 0.069415 , 0.063217 , 0.058459 , 0.052065 , 0.038036 , 0.051379 , 0.078752 , 0.052943 , 0.051902 , 0.057397 , 0.0898 , 0.102867 , 0.092242 , 0.079279 , 0.081382 , 0.105134 , 0.098477 , 0.092865 , 0.095177 , 0.093522 , 0.109194 , 0.100818 , 0.114835 , 0.103708 , 0.119815 
 311 , 0.057755 , 0.044506 , 0.033555 , 0.05021 , 0.047194 , 0.0566 , 0.066611 , 0.047793 , 0.048317 , 0.06419 , 0.063169 , 0.045054 , 0.059161 , 0.04559 , 0.041311 , 0.047559 , 0.058839 , 0.036937 , 0.044737 , 0.038211 , 0.040212 , 0.029392 , 0.038021 , 0.034718 , 0.042649 , 0.046876 , 0.049619 , 0.042641 , 0.070866 , 0.052266 , 0.056795 , 0.063511 , 0.046015 , 0.045348 , 0.033413 , 0.038255 , 0.080761 , 0.03323 , 0.03945 , 0.04376 , 0.080495 , 0.09164 , 0.077117 , 0.066194 , 0.067131 , 0.093494 , 0.078026 , 0.06725 , 0.080201 , 0.077772 , 0.087997 , 0.085222 , 0.106164 , 0.088723 , 0.104838 
 312 , 0.053093 , 0.041372 , 0.035185 , 0.044905 , 0.0444 , 0.054302 , 0.063746 , 0.043609 , 0.047374 , 0.064113 , 0.059226 , 0.046673 , 0.055166 , 0.044974 , 0.038151 , 0.045784 , 0.051325 , 0.041495 , 0.044905 , 0.040918 , 0.03753 , 0.028013 , 0.03797 , 0.033631 , 0.049821 , 0.047977 , 0.045885 , 0.04273 , 0.067566 , 0.04923 , 0.051895 , 0.06074 , 0.045697 , 0.043591 , 0.033337 , 0.044426 , 0.071626 , 0.032694 , 0.038253 , 0.042276 , 0.077032 , 0.085711 , 0.074625 , 0.065881 , 0.061325 , 0.087432 , 0.078125 , 0.067639 , 0.076437 , 0.071589 , 0.084552 , 0.083873 , 0.100376 , 0.084578 , 0.099792 
 313 , 0.048859 , 0.039065 , 0.038455 , 0.040831 , 0.042624 , 0.053228 , 0.062225 , 0.041054 , 0.047399 , 0.065301 , 0.056133 , 0.049609 , 0.052331 , 0.04572 , 0.035996 , 0.04505 , 0.045337 , 0.047479 , 0.046579 , 0.04438 , 0.036266 , 0.027732 , 0.038708 , 0.034343 , 0.058946 , 0.050315 , 0.043547 , 0.0443 , 0.064254 , 0.048802 , 0.048766 , 0.058063 , 0.046919 , 0.042754 , 0.033883 , 0.051958 , 0.062725 , 0.03472 , 0.038639 , 0.042567 , 0.074868 , 0.081346 , 0.074248 , 0.067307 , 0.057496 , 0.083139 , 0.080889 , 0.071309 , 0.074764 , 0.067697 , 0.083888 , 0.084605 , 0.095905 , 0.082562 , 0.096851 
 314 , 0.045366 , 0.037189 , 0.041287 , 0.037466 , 0.041182 , 0.052328 , 0.061003 , 0.038975 , 0.047452 , 0.066369 , 0.053597 , 0.052165 , 0.050005 , 0.046425 , 0.034242 , 0.044468 , 0.040373 , 0.052609 , 0.047918 , 0.04723 , 0.035207 , 0.02748 , 0.039423 , 0.034973 , 0.066727 , 0.052322 , 0.04158 , 0.045653 , 0.061531 , 0.048486 , 0.046206 , 0.055862 , 0.0479 , 0.042092 , 0.034421 , 0.058158 , 0.055417 , 0.036473 , 0.039056 , 0.042645 , 0.073038 , 0.077834 , 0.074007 , 0.068523 , 0.054371 , 0.079611 , 0.083345 , 0.074513 , 0.073402 , 0.06449 , 0.083354 , 0.085419 , 0.092254 , 0.080848 , 0.094417 
 315 , 0.040955 , 0.034245 , 0.038615 , 0.034747 , 0.039583 , 0.051065 , 0.058444 , 0.036288 , 0.044504 , 0.064124 , 0.051152 , 0.049742 , 0.047154 , 0.045591 , 0.033861 , 0.042188 , 0.035229 , 0.051595 , 0.046765 , 0.046353 , 0.031677 , 0.026931 , 0.036787 , 0.032331 , 0.065165 , 0.048334 , 0.040071 , 0.041573 , 0.058971 , 0.046827 , 0.044194 , 0.050182 , 0.048413 , 0.039781 , 0.032659 , 0.054369 , 0.050207 , 0.036824 , 0.038663 , 0.039874 , 0.06668 , 0.073241 , 0.0701 , 0.065241 , 0.051601 , 0.074906 , 0.07937 , 0.072047 , 0.070941 , 0.060171 , 0.077344 , 0.081114 , 0.08479 , 0.075433 , 0.089136 
