MNAT_00204.spu,MNAT_00203.spu,MNAT_00202.spu,MNAT_00201.spu,MNAT_00200.spu,
Wavelength,MNAT_00101.spu,MNAT_00102.spu,MNAT_00103.spu,MNAT_00104.spu,MNAT_00105.spu,MNAT_00106.spu,MNAT_00107.spu,MNAT_00108.spu,MNAT_00109.spu,MNAT_00110.spu
  (nm),8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1
  time  ,56:34 AM,56:47 AM,57:06 AM,57:20 AM,57:33 AM,58:13 AM,58:30 AM,58:44 AM,58:56 AM,59:09 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0.000006 , 0.000006 , 0 , 0 , 0 , 0.000012 , 0.000003 
 316 , 0 , 0 , 0 , 0.000018 , 0.000019 , 0 , 0 , 0 , 0.000037 , 0.000009 
 317 , 0 , 0 , 0 , 0.00003 , 0.000031 , 0 , 0 , 0 , 0.000061 , 0.000015 
 318 , 0.000002 , 0 , 0.000002 , 0.000031 , 0.000033 , 0.000004 , 0.000002 , 0.000001 , 0.000058 , 0.000014 
 319 , 0.000029 , 0 , 0.000037 , 0.000082 , 0.000103 , 0.000068 , 0.000029 , 0.000015 , 0.000069 , 0.000015 
 320 , 0.000057 , 0 , 0.000072 , 0.000119 , 0.00016 , 0.000132 , 0.000056 , 0.000029 , 0.00005 , 0.000009 
 321 , 0.000084 , 0 , 0.000105 , 0.000154 , 0.000216 , 0.000195 , 0.000082 , 0.000043 , 0.00003 , 0.000002 
 322 , 0.000052 , 0.000006 , 0.000065 , 0.000105 , 0.000147 , 0.000116 , 0.000055 , 0.00004 , 0.000022 , 0.000006 
 323 , 0.000088 , 0.000022 , 0.000109 , 0.000207 , 0.000286 , 0.000184 , 0.000102 , 0.0001 , 0.000056 , 0.000023 
 324 , 0.000109 , 0.000043 , 0.000134 , 0.00029 , 0.000396 , 0.000211 , 0.000136 , 0.000162 , 0.000091 , 0.000044 
 325 , 0.000156 , 0.000078 , 0.000163 , 0.000354 , 0.000476 , 0.000237 , 0.000171 , 0.000231 , 0.000136 , 0.000086 
 326 , 0.000495 , 0.000256 , 0.000409 , 0.000759 , 0.001005 , 0.000553 , 0.000412 , 0.000591 , 0.00038 , 0.000303 
 327 , 0.000877 , 0.000463 , 0.000657 , 0.001097 , 0.001441 , 0.000843 , 0.000642 , 0.000955 , 0.00065 , 0.000565 
 328 , 0.001285 , 0.000688 , 0.000914 , 0.001412 , 0.001848 , 0.001127 , 0.000873 , 0.001331 , 0.000945 , 0.000855 
 329 , 0.001369 , 0.000775 , 0.001099 , 0.001548 , 0.002066 , 0.001254 , 0.001061 , 0.001382 , 0.000908 , 0.000916 
 330 , 0.001401 , 0.000828 , 0.001237 , 0.001627 , 0.002207 , 0.001329 , 0.0012 , 0.001382 , 0.000843 , 0.000941 
 331 , 0.001395 , 0.000853 , 0.001325 , 0.001658 , 0.002276 , 0.001359 , 0.00129 , 0.001349 , 0.000767 , 0.00094 
 332 , 0.001503 , 0.001021 , 0.001451 , 0.001843 , 0.002507 , 0.001447 , 0.001407 , 0.001464 , 0.000897 , 0.001028 
 333 , 0.001678 , 0.001292 , 0.001593 , 0.002126 , 0.002838 , 0.001559 , 0.001536 , 0.001671 , 0.001169 , 0.001171 
 334 , 0.001836 , 0.001552 , 0.001718 , 0.002386 , 0.003142 , 0.001654 , 0.001649 , 0.001864 , 0.001435 , 0.001301 
 335 , 0.002026 , 0.00181 , 0.001873 , 0.002645 , 0.003458 , 0.00178 , 0.001788 , 0.002066 , 0.001675 , 0.001444 
 336 , 0.002368 , 0.002068 , 0.002173 , 0.002922 , 0.003848 , 0.002054 , 0.002054 , 0.002323 , 0.00181 , 0.001651 
 337 , 0.002694 , 0.002318 , 0.002458 , 0.003172 , 0.004201 , 0.002308 , 0.0023 , 0.002558 , 0.001927 , 0.001842 
 338 , 0.003004 , 0.002561 , 0.002727 , 0.003399 , 0.004522 , 0.002542 , 0.002527 , 0.002774 , 0.00203 , 0.002018 
 339 , 0.003086 , 0.002693 , 0.00291 , 0.00355 , 0.0047 , 0.002689 , 0.002634 , 0.002949 , 0.00221 , 0.002102 
 340 , 0.00312 , 0.002794 , 0.00306 , 0.003673 , 0.004838 , 0.002808 , 0.002708 , 0.003101 , 0.002392 , 0.002162 
 341 , 0.003145 , 0.002882 , 0.003193 , 0.003775 , 0.004956 , 0.002913 , 0.00277 , 0.003234 , 0.002559 , 0.002214 
 342 , 0.003314 , 0.003033 , 0.003357 , 0.004009 , 0.005208 , 0.003043 , 0.002896 , 0.003408 , 0.002778 , 0.002345 
 343 , 0.003643 , 0.003253 , 0.003553 , 0.004393 , 0.005607 , 0.003195 , 0.003091 , 0.003625 , 0.003052 , 0.002567 
 344 , 0.003958 , 0.003456 , 0.003734 , 0.004761 , 0.005982 , 0.003332 , 0.003272 , 0.003822 , 0.003308 , 0.002774 
 345 , 0.004249 , 0.003634 , 0.003899 , 0.005104 , 0.006326 , 0.003463 , 0.003444 , 0.004001 , 0.003532 , 0.002961 
 346 , 0.004414 , 0.003684 , 0.004061 , 0.005346 , 0.00656 , 0.003666 , 0.003641 , 0.004127 , 0.003553 , 0.003051 
 347 , 0.004562 , 0.003726 , 0.004206 , 0.005567 , 0.006772 , 0.003853 , 0.00382 , 0.004245 , 0.003572 , 0.003131 
 348 , 0.004694 , 0.003762 , 0.004336 , 0.00577 , 0.006967 , 0.004024 , 0.003984 , 0.004358 , 0.003587 , 0.003202 
 349 , 0.004793 , 0.003903 , 0.004423 , 0.005923 , 0.00713 , 0.004083 , 0.004096 , 0.004443 , 0.003706 , 0.003281 
 350 , 0.004874 , 0.004076 , 0.004488 , 0.006046 , 0.00727 , 0.004096 , 0.004182 , 0.004512 , 0.003856 , 0.00336 
 351 , 0.004947 , 0.004234 , 0.004546 , 0.006158 , 0.007397 , 0.004106 , 0.00426 , 0.004573 , 0.003991 , 0.003432 
 352 , 0.005098 , 0.00439 , 0.004683 , 0.00632 , 0.007604 , 0.004177 , 0.004376 , 0.004696 , 0.004126 , 0.003541 
 353 , 0.005414 , 0.00455 , 0.004987 , 0.006592 , 0.007983 , 0.004368 , 0.004568 , 0.004949 , 0.004274 , 0.003728 
 354 , 0.005716 , 0.004697 , 0.005282 , 0.006846 , 0.008342 , 0.004548 , 0.004749 , 0.005189 , 0.00441 , 0.003905 
 355 , 0.006007 , 0.004834 , 0.005568 , 0.007085 , 0.008683 , 0.004718 , 0.004919 , 0.005417 , 0.004536 , 0.004074 
