MNAT_00210.spu,MNAT_00209.spu,MNAT_00208.spu,MNAT_00207.spu,MNAT_00206.spu,
Wavelength,MNAT_00216.spu,MNAT_00217.spu,MNAT_00218.spu,MNAT_00219.spu,MNAT_00224.spu,MNAT_00225.spu,MNAT_00226.spu,MNAT_00227.spu,MNAT_00232.spu,MNAT_00233.spu,MNAT_00234.spu,MNAT_00235.spu,MNAT_00240.spu,MNAT_00241.spu,MNAT_00242.spu,MNAT_00243.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,40:26 PM,40:40 PM,40:54 PM,41:05 PM,43:28 PM,43:34 PM,45:29 PM,45:38 PM,06:07 PM,06:28 PM,06:46 PM,06:54 PM,08:16 PM,08:32 PM,09:01 PM,09:10 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 310 , 0.03781 , 0.021509 , 0.012237 , 0.019593 , 0.053239 , 0.046225 , 0.013446 , 0.04478 , 0.046013 , 0.056507 , 0.050312 , 0.060874 , 0.057061 , 0.065389 , 0.049806 , 0.050124 
 311 , 0.029254 , 0.016951 , 0.011299 , 0.016906 , 0.053808 , 0.043922 , 0.011081 , 0.042399 , 0.042955 , 0.055344 , 0.044387 , 0.050886 , 0.053649 , 0.068973 , 0.048088 , 0.044377 
 312 , 0.029473 , 0.022552 , 0.016664 , 0.019079 , 0.047452 , 0.044067 , 0.009966 , 0.039065 , 0.043311 , 0.050706 , 0.04392 , 0.050438 , 0.047993 , 0.060932 , 0.04056 , 0.042769 
 313 , 0.030755 , 0.028588 , 0.022013 , 0.021579 , 0.041075 , 0.044518 , 0.009169 , 0.036063 , 0.044061 , 0.046313 , 0.044216 , 0.051217 , 0.042812 , 0.052427 , 0.033326 , 0.041932 
 314 , 0.031805 , 0.033635 , 0.026482 , 0.023708 , 0.035623 , 0.044898 , 0.00849 , 0.033505 , 0.044754 , 0.042579 , 0.044441 , 0.051825 , 0.0384 , 0.045158 , 0.027187 , 0.041203 
 315 , 0.030126 , 0.030944 , 0.024848 , 0.022344 , 0.03268 , 0.040555 , 0.006628 , 0.031137 , 0.041689 , 0.037163 , 0.041676 , 0.04966 , 0.034482 , 0.039068 , 0.024217 , 0.037728 
 316 , 0.026272 , 0.02201 , 0.018345 , 0.018155 , 0.031978 , 0.032531 , 0.003895 , 0.029049 , 0.035647 , 0.030558 , 0.036582 , 0.045258 , 0.031144 , 0.034236 , 0.023965 , 0.032104 
 317 , 0.023113 , 0.01466 , 0.013054 , 0.014717 , 0.031358 , 0.025969 , 0.001672 , 0.027343 , 0.030692 , 0.02513 , 0.032415 , 0.041652 , 0.028411 , 0.030264 , 0.02379 , 0.027471 
 318 , 0.020323 , 0.009431 , 0.009436 , 0.012244 , 0.030656 , 0.021128 , 0.000253 , 0.025845 , 0.026711 , 0.021052 , 0.028941 , 0.038569 , 0.026053 , 0.027085 , 0.023488 , 0.023863 
 319 , 0.017025 , 0.012543 , 0.012589 , 0.013533 , 0.028641 , 0.022178 , 0.002456 , 0.024105 , 0.024885 , 0.021424 , 0.026155 , 0.035905 , 0.023622 , 0.025907 , 0.021989 , 0.02323 
 320 , 0.014451 , 0.014937 , 0.015034 , 0.014471 , 0.027069 , 0.022994 , 0.004191 , 0.022737 , 0.023447 , 0.02172 , 0.023975 , 0.033804 , 0.021717 , 0.024964 , 0.020803 , 0.022733 
 321 , 0.012387 , 0.016822 , 0.016977 , 0.01517 , 0.025811 , 0.023645 , 0.005596 , 0.021634 , 0.022287 , 0.021965 , 0.022218 , 0.0321 , 0.020182 , 0.02419 , 0.019843 , 0.022326 
 322 , 0.013796 , 0.016835 , 0.016277 , 0.014667 , 0.02193 , 0.023125 , 0.005374 , 0.020879 , 0.020334 , 0.021079 , 0.020516 , 0.02931 , 0.019403 , 0.022972 , 0.019216 , 0.022349 
 323 , 0.01593 , 0.016337 , 0.014969 , 0.013915 , 0.017972 , 0.022373 , 0.004745 , 0.020349 , 0.018478 , 0.020023 , 0.019106 , 0.026656 , 0.018955 , 0.02183 , 0.018772 , 0.022471 
 324 , 0.017632 , 0.015948 , 0.013937 , 0.013318 , 0.014841 , 0.021784 , 0.004247 , 0.019943 , 0.017008 , 0.019179 , 0.017991 , 0.024565 , 0.018597 , 0.020938 , 0.01842 , 0.022549 
 325 , 0.01796 , 0.015413 , 0.013869 , 0.012627 , 0.013592 , 0.021112 , 0.00444 , 0.019813 , 0.016449 , 0.018728 , 0.017355 , 0.023647 , 0.0182 , 0.020535 , 0.01845 , 0.022383 
 326 , 0.016406 , 0.014593 , 0.015144 , 0.011706 , 0.014809 , 0.020185 , 0.005626 , 0.020041 , 0.017088 , 0.01877 , 0.017299 , 0.024263 , 0.017692 , 0.020762 , 0.01902 , 0.02186 
 327 , 0.015149 , 0.013933 , 0.01619 , 0.010961 , 0.015799 , 0.019474 , 0.006587 , 0.020219 , 0.017606 , 0.018806 , 0.017267 , 0.02476 , 0.017288 , 0.020946 , 0.019515 , 0.021449 
 328 , 0.014109 , 0.013394 , 0.017064 , 0.010346 , 0.016621 , 0.018909 , 0.007383 , 0.020363 , 0.018033 , 0.018836 , 0.017252 , 0.025169 , 0.016958 , 0.021098 , 0.019949 , 0.021118 
 329 , 0.013288 , 0.014467 , 0.017408 , 0.011235 , 0.015896 , 0.018885 , 0.006331 , 0.018944 , 0.017314 , 0.017629 , 0.016584 , 0.023607 , 0.016807 , 0.019971 , 0.018865 , 0.020117 
 330 , 0.012596 , 0.015424 , 0.017677 , 0.012053 , 0.015229 , 0.018841 , 0.005379 , 0.017683 , 0.016661 , 0.016559 , 0.015995 , 0.022214 , 0.016684 , 0.018968 , 0.017896 , 0.019242 
 331 , 0.011999 , 0.01623 , 0.017896 , 0.012764 , 0.014658 , 0.018736 , 0.004566 , 0.016603 , 0.016098 , 0.015641 , 0.015484 , 0.021016 , 0.016575 , 0.018107 , 0.017064 , 0.018489 
 332 , 0.012655 , 0.016499 , 0.018352 , 0.013521 , 0.01437 , 0.018686 , 0.004652 , 0.01675 , 0.015797 , 0.015833 , 0.015689 , 0.021135 , 0.016695 , 0.018086 , 0.017587 , 0.018835 
 333 , 0.014017 , 0.016444 , 0.018919 , 0.014261 , 0.014259 , 0.018662 , 0.005258 , 0.017603 , 0.015664 , 0.016667 , 0.016297 , 0.022014 , 0.016946 , 0.018553 , 0.018879 , 0.019778 
 334 , 0.015225 , 0.016395 , 0.01941 , 0.014901 , 0.014164 , 0.01864 , 0.005789 , 0.018349 , 0.015556 , 0.017404 , 0.016828 , 0.022793 , 0.01718 , 0.018963 , 0.020018 , 0.020565 
 335 , 0.015767 , 0.016275 , 0.019702 , 0.015083 , 0.014109 , 0.018372 , 0.006144 , 0.018754 , 0.015412 , 0.017845 , 0.017111 , 0.023164 , 0.017254 , 0.019094 , 0.020623 , 0.020776 
 336 , 0.014274 , 0.015901 , 0.019454 , 0.01387 , 0.014175 , 0.017238 , 0.00602 , 0.018168 , 0.015085 , 0.017445 , 0.016661 , 0.022314 , 0.016816 , 0.018373 , 0.019669 , 0.019228 
 337 , 0.012992 , 0.015575 , 0.019242 , 0.012832 , 0.014223 , 0.016266 , 0.005916 , 0.017668 , 0.014809 , 0.017103 , 0.016278 , 0.021582 , 0.016435 , 0.01775 , 0.018849 , 0.017893 
 338 , 0.01188 , 0.01529 , 0.01906 , 0.011933 , 0.014256 , 0.015421 , 0.005826 , 0.017237 , 0.014572 , 0.016806 , 0.015949 , 0.020946 , 0.016101 , 0.017206 , 0.018135 , 0.016729 
 339 , 0.012256 , 0.015155 , 0.019209 , 0.012247 , 0.013788 , 0.014922 , 0.005788 , 0.01706 , 0.01443 , 0.016117 , 0.015609 , 0.020565 , 0.016049 , 0.017307 , 0.018122 , 0.01727 
 340 , 0.012847 , 0.01506 , 0.019402 , 0.012732 , 0.013283 , 0.014533 , 0.005764 , 0.016945 , 0.01432 , 0.015436 , 0.015304 , 0.020269 , 0.016055 , 0.017506 , 0.018227 , 0.018049 
 341 , 0.013373 , 0.014975 , 0.019579 , 0.013165 , 0.012842 , 0.014193 , 0.005743 , 0.016844 , 0.014226 , 0.01484 , 0.015039 , 0.020017 , 0.01607 , 0.017687 , 0.018322 , 0.018743 
 342 , 0.01343 , 0.014581 , 0.01923 , 0.012929 , 0.012335 , 0.013891 , 0.005647 , 0.016598 , 0.013927 , 0.01442 , 0.014601 , 0.01959 , 0.01571 , 0.017419 , 0.018159 , 0.018877 
 343 , 0.01301 , 0.013865 , 0.018348 , 0.012014 , 0.011757 , 0.013623 , 0.005476 , 0.016202 , 0.013418 , 0.014172 , 0.013989 , 0.018981 , 0.014966 , 0.016695 , 0.017735 , 0.018445 
 344 , 0.01264 , 0.013234 , 0.017569 , 0.011208 , 0.011248 , 0.013388 , 0.005325 , 0.015852 , 0.012968 , 0.01395 , 0.013446 , 0.018442 , 0.01431 , 0.016054 , 0.017356 , 0.018061 
 345 , 0.012319 , 0.012727 , 0.01695 , 0.010561 , 0.010867 , 0.013215 , 0.005196 , 0.015556 , 0.012611 , 0.013774 , 0.013005 , 0.017999 , 0.013769 , 0.015529 , 0.017048 , 0.017745 
 346 , 0.012127 , 0.01298 , 0.017319 , 0.010847 , 0.011411 , 0.013483 , 0.005155 , 0.015494 , 0.012829 , 0.013871 , 0.013087 , 0.01807 , 0.013826 , 0.015605 , 0.017103 , 0.017782 
 347 , 0.011959 , 0.0132 , 0.017632 , 0.011094 , 0.011892 , 0.013724 , 0.005119 , 0.015438 , 0.013021 , 0.013961 , 0.013166 , 0.018137 , 0.01387 , 0.01567 , 0.017168 , 0.017818 
 348 , 0.01181 , 0.013394 , 0.017901 , 0.011309 , 0.012319 , 0.013942 , 0.005086 , 0.015386 , 0.013193 , 0.014045 , 0.013243 , 0.018202 , 0.013903 , 0.015727 , 0.017239 , 0.017851 
 349 , 0.011831 , 0.01309 , 0.018055 , 0.011281 , 0.012003 , 0.013713 , 0.004775 , 0.015147 , 0.012881 , 0.01366 , 0.013098 , 0.017939 , 0.013625 , 0.015605 , 0.017017 , 0.017612 
 350 , 0.011913 , 0.012628 , 0.018164 , 0.011169 , 0.011443 , 0.01334 , 0.004385 , 0.01486 , 0.012417 , 0.013134 , 0.012883 , 0.017579 , 0.013256 , 0.015429 , 0.016704 , 0.017293 
 351 , 0.011988 , 0.012217 , 0.01827 , 0.011072 , 0.010943 , 0.013006 , 0.004037 , 0.014605 , 0.012003 , 0.012666 , 0.01269 , 0.017261 , 0.012928 , 0.015273 , 0.016424 , 0.017011 
 352 , 0.011941 , 0.011916 , 0.018182 , 0.010998 , 0.010647 , 0.012703 , 0.003807 , 0.014403 , 0.011759 , 0.012437 , 0.012538 , 0.016988 , 0.012696 , 0.015171 , 0.016241 , 0.016819 
 353 , 0.011663 , 0.01178 , 0.01772 , 0.010954 , 0.010686 , 0.012418 , 0.003768 , 0.014272 , 0.011795 , 0.012621 , 0.012444 , 0.016761 , 0.012608 , 0.015154 , 0.016215 , 0.016768 
 354 , 0.011404 , 0.011652 , 0.017291 , 0.010913 , 0.010725 , 0.012153 , 0.003732 , 0.014151 , 0.011828 , 0.012793 , 0.012357 , 0.01655 , 0.012526 , 0.015139 , 0.016192 , 0.016719 
 355 , 0.011162 , 0.011532 , 0.016891 , 0.010875 , 0.010763 , 0.011905 , 0.003697 , 0.014038 , 0.011856 , 0.012955 , 0.012276 , 0.016352 , 0.012449 , 0.015126 , 0.016169 , 0.016672 
 356 , 0.011196 , 0.011709 , 0.017076 , 0.010985 , 0.010538 , 0.011921 , 0.003569 , 0.013889 , 0.011718 , 0.012912 , 0.01213 , 0.016306 , 0.012385 , 0.015215 , 0.016154 , 0.016772 
 357 , 0.011241 , 0.011889 , 0.017281 , 0.011096 , 0.010312 , 0.011948 , 0.003441 , 0.013746 , 0.011577 , 0.012861 , 0.011989 , 0.01627 , 0.012326 , 0.015306 , 0.01614 , 0.016876 
 358 , 0.011285 , 0.01206 , 0.017476 , 0.0112 , 0.010099 , 0.011975 , 0.003319 , 0.01361 , 0.011444 , 0.012813 , 0.011855 , 0.016236 , 0.012269 , 0.015391 , 0.016125 , 0.016976 
 359 , 0.011434 , 0.012095 , 0.017524 , 0.01114 , 0.010026 , 0.011974 , 0.003381 , 0.013646 , 0.011485 , 0.01282 , 0.01183 , 0.016129 , 0.012177 , 0.015443 , 0.016137 , 0.017054 
 360 , 0.011651 , 0.012038 , 0.017467 , 0.010969 , 0.010052 , 0.011955 , 0.003569 , 0.013799 , 0.011646 , 0.012864 , 0.011878 , 0.015976 , 0.012063 , 0.015469 , 0.01617 , 0.017115 
