
Wavelength,WSG23_00006.spu,WSG23_00007.spu,WSG23_00008.spu,WSG23_00009.spu,WSG23_00010.spu,WSG23_00011.spu,WSG23_00012.spu,WSG23_00013.spu,WSG23_00014.spu,WSG23_00015.spu,WSG23_00021.spu,WSG23_00022.spu,WSG23_00023.spu,WSG23_00024.spu,WSG23_00025.spu,WSG23_00026.spu,WSG23_00027.spu,WSG23_00028.spu,WSG23_00029.spu,WSG23_00030.spu,WSG23_00031.spu,WSG23_00032.spu,WSG23_00033.spu,WSG23_00034.spu,WSG23_00035.spu,WSG23_00036.spu,WSG23_00037.spu,WSG23_00038.spu,WSG23_00039.spu,WSG23_00040.spu,WSG23_00041.spu,WSG23_00042.spu,WSG23_00043.spu,WSG23_00044.spu,WSG23_00045.spu,WSG23_00046.spu,WSG23_00047.spu,WSG23_00048.spu,WSG23_00049.spu,WSG23_00050.spu
  (nm),6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 ,6/22/2018 
  time  ,55:38 PM,56:18 PM,56:58 PM,57:16 PM,57:32 PM,59:21 PM,59:37 PM,59:47 PM,59:58 PM,00:10 PM,02:09 PM,02:19 PM,02:29 PM,02:44 PM,03:01 PM,03:30 PM,03:40 PM,03:50 PM,04:00 PM,04:13 PM,06:25 PM,06:40 PM,06:53 PM,07:04 PM,07:15 PM,07:48 PM,08:01 PM,08:11 PM,08:21 PM,08:33 PM,09:05 PM,09:17 PM,09:30 PM,09:43 PM,10:00 PM,10:46 PM,11:01 PM,11:12 PM,11:31 PM,11:41 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01597 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01513 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03714 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03538 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05722 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05479 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0.01266 , 0.01301 , 0.00557 , 0.00293 , 0.0088 , 0 , 0 , 0.08382 , 0.0085 , 0.0057 , 0 , 0.00147 , 0 , 0.00149 , 0 , 0.07531 , 0.01546 , 0.00901 , 0 , 0.01595 , 0 , 0.0041 , 0.00135 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00273 , 0.00819 , 0.00952 , 0 , 0 
 326 , 0.04869 , 0.04978 , 0.02158 , 0.01132 , 0.03407 , 0 , 0 , 0.12373 , 0.03254 , 0.02181 , 0 , 0.00566 , 0 , 0.00581 , 0 , 0.09862 , 0.05852 , 0.0344 , 0 , 0.06037 , 0 , 0.01585 , 0.00518 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01056 , 0.03176 , 0.03633 , 0 , 0 
 327 , 0.08299 , 0.08446 , 0.03707 , 0.01936 , 0.0585 , 0 , 0 , 0.16234 , 0.05524 , 0.03701 , 0 , 0.00968 , 0 , 0.01002 , 0 , 0.12102 , 0.09834 , 0.05824 , 0 , 0.10138 , 0 , 0.02714 , 0.00885 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01809 , 0.05459 , 0.06151 , 0 , 0 
 328 , 0.1157 , 0.11724 , 0.05207 , 0.02707 , 0.08209 , 0 , 0 , 0.1997 , 0.0767 , 0.05138 , 0 , 0.01353 , 0 , 0.01411 , 0 , 0.14257 , 0.13529 , 0.08067 , 0 , 0.13936 , 0 , 0.038 , 0.01235 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02533 , 0.07669 , 0.08521 , 0 , 0 
 329 , 0.11889 , 0.13158 , 0.07483 , 0.05697 , 0.10404 , 0.01851 , 0.01841 , 0.22943 , 0.09483 , 0.0701 , 0 , 0.02868 , 0 , 0.02184 , 0 , 0.1686 , 0.16599 , 0.10637 , 0.02885 , 0.16128 , 0.00695 , 0.05882 , 0.01227 , 0 , 0 , 0.00686 , 0 , 0.007 , 0.00344 , 0.00349 , 0 , 0 , 0 , 0.00718 , 0 , 0.04219 , 0.09047 , 0.10136 , 0 , 0 
 330 , 0.12079 , 0.14465 , 0.09738 , 0.08663 , 0.12481 , 0.03721 , 0.0373 , 0.25744 , 0.11228 , 0.08856 , 0 , 0.0437 , 0 , 0.02936 , 0 , 0.1941 , 0.1958 , 0.13062 , 0.05688 , 0.18133 , 0.01388 , 0.07931 , 0.01205 , 0 , 0 , 0.01372 , 0 , 0.01408 , 0.00691 , 0.00692 , 0 , 0 , 0 , 0.01429 , 0 , 0.05851 , 0.10327 , 0.11645 , 0 , 0 
 331 , 0.12262 , 0.15723 , 0.11941 , 0.11517 , 0.14446 , 0.05533 , 0.05589 , 0.28401 , 0.12921 , 0.1066 , 0 , 0.05815 , 0 , 0.03653 , 0 , 0.21889 , 0.22508 , 0.15335 , 0.08305 , 0.20022 , 0.02053 , 0.09906 , 0.01184 , 0 , 0 , 0.02029 , 0 , 0.02096 , 0.01025 , 0.01017 , 0 , 0 , 0 , 0.02105 , 0 , 0.07392 , 0.11544 , 0.13082 , 0 , 0 
 332 , 0.14491 , 0.19329 , 0.15205 , 0.1412 , 0.17998 , 0.08325 , 0.08373 , 0.32297 , 0.16118 , 0.13696 , 0.00419 , 0.08606 , 0.01478 , 0.06272 , 0.00702 , 0.26031 , 0.26624 , 0.18626 , 0.1111 , 0.23572 , 0.04238 , 0.12338 , 0.02941 , 0.01915 , 0.01774 , 0.03391 , 0.01583 , 0.03532 , 0.03289 , 0.02863 , 0.01196 , 0.0097 , 0.01975 , 0.03725 , 0.0059 , 0.09281 , 0.14225 , 0.15455 , 0.02226 , 0.01385 
 333 , 0.18101 , 0.24457 , 0.19074 , 0.16474 , 0.22539 , 0.117 , 0.11638 , 0.3701 , 0.20251 , 0.17424 , 0.01121 , 0.12193 , 0.03939 , 0.1008 , 0.01861 , 0.31154 , 0.31451 , 0.22599 , 0.14026 , 0.28227 , 0.07417 , 0.15012 , 0.05905 , 0.05147 , 0.04734 , 0.05183 , 0.04182 , 0.05447 , 0.06821 , 0.05711 , 0.03159 , 0.02565 , 0.05184 , 0.05949 , 0.01545 , 0.11384 , 0.17824 , 0.18442 , 0.05838 , 0.03672 
 334 , 0.21585 , 0.29336 , 0.22697 , 0.18666 , 0.26824 , 0.14885 , 0.14654 , 0.41559 , 0.24156 , 0.20872 , 0.01799 , 0.15533 , 0.06296 , 0.13643 , 0.02958 , 0.35935 , 0.3604 , 0.26438 , 0.16812 , 0.32713 , 0.10453 , 0.17527 , 0.08769 , 0.08295 , 0.07578 , 0.06864 , 0.06628 , 0.07273 , 0.10194 , 0.08432 , 0.05005 , 0.04067 , 0.08167 , 0.08056 , 0.02428 , 0.13391 , 0.21209 , 0.21313 , 0.09191 , 0.05839 
