
Wavelength,LMAT_00135.spu,LMAT_00136.spu,LMAT_00137.spu,LMAT_00138.spu,LMAT_00139.spu,LMAT_00140.spu,LMAT_00141.spu,LMAT_00142.spu,LMAT_00143.spu,LMAT_00144.spu,LMAT_00145.spu,LMAT_00146.spu,LMAT_00147.spu,LMAT_00148.spu,LMAT_00149.spu,LMAT_00150.spu,LMAT_00151.spu,LMAT_00152.spu,LMAT_00153.spu,LMAT_00154.spu
  (nm),6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 ,6/29/2018 
  time  ,:31:08 A,:31:21 A,:31:30 A,:31:38 A,:31:48 A,:32:14 A,:32:23 A,:32:32 A,:32:40 A,:32:48 A,:33:15 A,:33:25 A,:33:33 A,:33:43 A,:33:54 A,:34:21 A,:34:30 A,:34:39 A,:34:46 A,:34:56 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00077 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00827 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0155 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02246 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00259 , 0 , 0 , 0 , 0.00519 , 0.03424 , 0.01297 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00501 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00609 , 0 , 0 , 0 , 0.01217 , 0.04768 , 0.03077 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01197 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00946 , 0 , 0 , 0 , 0.01891 , 0.06084 , 0.0483 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01893 
 325 , 0.00355 , 0.00119 , 0 , 0.00237 , 0.00925 , 0.00451 , 0.02305 , 0 , 0.00347 , 0 , 0.03671 , 0.08154 , 0.07102 , 0.00697 , 0.00789 , 0.01289 , 0.00574 , 0 , 0.00344 , 0.03477 
 326 , 0.01363 , 0.00456 , 0 , 0.00913 , 0.03547 , 0.01724 , 0.05593 , 0 , 0.01326 , 0 , 0.07514 , 0.11622 , 0.10294 , 0.02655 , 0.0303 , 0.04927 , 0.022 , 0 , 0.01323 , 0.06649 
 327 , 0.02317 , 0.00778 , 0 , 0.01557 , 0.06033 , 0.02923 , 0.08772 , 0 , 0.02249 , 0 , 0.11181 , 0.14908 , 0.13274 , 0.04485 , 0.05156 , 0.08351 , 0.03742 , 0 , 0.02259 , 0.09616 
 328 , 0.03222 , 0.01086 , 0 , 0.02171 , 0.08392 , 0.04056 , 0.11847 , 0 , 0.0312 , 0 , 0.14685 , 0.1803 , 0.16063 , 0.06201 , 0.07176 , 0.11579 , 0.05206 , 0 , 0.03153 , 0.12401 
 329 , 0.04094 , 0.00769 , 0 , 0.04268 , 0.10399 , 0.05808 , 0.15066 , 0 , 0.04313 , 0.00591 , 0.16634 , 0.21024 , 0.18554 , 0.06782 , 0.08332 , 0.12648 , 0.0759 , 0.00597 , 0.04599 , 0.15029 
 330 , 0.04929 , 0.00442 , 0 , 0.06347 , 0.1231 , 0.07533 , 0.18159 , 0 , 0.05497 , 0.01191 , 0.18443 , 0.23949 , 0.20924 , 0.07296 , 0.09413 , 0.13584 , 0.0994 , 0.01203 , 0.06024 , 0.17581 
 331 , 0.05729 , 0.00128 , 0 , 0.08349 , 0.14141 , 0.09206 , 0.21121 , 0 , 0.06659 , 0.01777 , 0.20176 , 0.2682 , 0.23196 , 0.07791 , 0.10456 , 0.14476 , 0.12219 , 0.01795 , 0.07407 , 0.20072 
 332 , 0.07691 , 0.0223 , 0.0122 , 0.10278 , 0.16575 , 0.11259 , 0.2426 , 0.01862 , 0.08573 , 0.03859 , 0.23118 , 0.30228 , 0.25809 , 0.09728 , 0.11912 , 0.17179 , 0.14323 , 0.04041 , 0.09913 , 0.22682 
 333 , 0.10432 , 0.0595 , 0.03217 , 0.12129 , 0.19391 , 0.13524 , 0.27473 , 0.04955 , 0.10959 , 0.06932 , 0.26836 , 0.33901 , 0.28642 , 0.12612 , 0.13632 , 0.21101 , 0.16263 , 0.07323 , 0.13137 , 0.25324 
 334 , 0.13079 , 0.09521 , 0.05087 , 0.13906 , 0.22097 , 0.15676 , 0.3054 , 0.07909 , 0.13237 , 0.09883 , 0.30389 , 0.37346 , 0.31394 , 0.15367 , 0.15285 , 0.24891 , 0.18106 , 0.10404 , 0.16216 , 0.27848 
 335 , 0.15704 , 0.12652 , 0.0692 , 0.15628 , 0.24613 , 0.179 , 0.33618 , 0.10401 , 0.15557 , 0.12525 , 0.33745 , 0.40679 , 0.34331 , 0.18119 , 0.17132 , 0.28444 , 0.20286 , 0.13236 , 0.19112 , 0.30513 
 336 , 0.18501 , 0.14492 , 0.08949 , 0.17354 , 0.26709 , 0.20702 , 0.37142 , 0.1149 , 0.18333 , 0.14312 , 0.36797 , 0.44176 , 0.38274 , 0.2121 , 0.19922 , 0.31464 , 0.24033 , 0.1565 , 0.21699 , 0.34069 
 337 , 0.21136 , 0.16235 , 0.10892 , 0.1898 , 0.28707 , 0.23389 , 0.405 , 0.12523 , 0.2095 , 0.15997 , 0.39721 , 0.47491 , 0.41947 , 0.24171 , 0.22581 , 0.34327 , 0.27586 , 0.17976 , 0.24126 , 0.37405 
 338 , 0.23623 , 0.17887 , 0.12753 , 0.20513 , 0.30612 , 0.25966 , 0.43701 , 0.13503 , 0.2342 , 0.17587 , 0.42526 , 0.50639 , 0.45377 , 0.27012 , 0.25118 , 0.37045 , 0.30958 , 0.20219 , 0.26408 , 0.40541 
 339 , 0.27001 , 0.21034 , 0.15843 , 0.23888 , 0.34806 , 0.29895 , 0.48093 , 0.15967 , 0.26606 , 0.20932 , 0.46534 , 0.55052 , 0.5003 , 0.30047 , 0.28673 , 0.41254 , 0.34756 , 0.23589 , 0.301 , 0.45064 
