
Wavelength,MNAT_00072.spu,MNAT_00071.spu,MNAT_00070.spu,MNAT_00069.spu,MNAT_00068.spu,MNAT_00067.spu,MNAT_00066.spu,MNAT_00065.spu,MNAT_00064.spu,MNAT_00063.spu,MNAT_00062.spu,MNAT_00061.spu,MNAT_00060.spu,MNAT_00059.spu,MNAT_00058.spu,MNAT_00057.spu,MNAT_00056.spu,MNAT_00055.spu,MNAT_00054.spu,MNAT_00053.spu,MNAT_00052.spu,MNAT_00051.spu,MNAT_00050.spu,MNAT_00049.spu,MNAT_00048.spu,MNAT_00047.spu,MNAT_00046.spu,MNAT_00045.spu,MNAT_00044.spu,MNAT_00043.spu,MNAT_00042.spu,MNAT_00041.spu,MNAT_00040.spu,MNAT_00039.spu,MNAT_00038.spu,MNAT_00037.spu,MNAT_00036.spu,MNAT_00035.spu,MNAT_00034.spu,MNAT_00033.spu,MNAT_00032.spu,MNAT_00031.spu,MNAT_00030.spu,MNAT_00029.spu,MNAT_00028.spu,MNAT_00027.spu,MNAT_00026.spu,MNAT_00025.spu,MNAT_00024.spu,MNAT_00023.spu,MNAT_00022.spu,MNAT_00021.spu,MNAT_00020.spu,MNAT_00019.spu,MNAT_00018.spu,MNAT_00017.spu,MNAT_00016.spu,MNAT_00015.spu,MNAT_00014.spu,MNAT_00013.spu
  (nm),7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1
  time  ,00:20 AM,00:10 AM,00:01 AM,59:48 AM,59:36 AM,58:57 AM,58:46 AM,58:27 AM,58:15 AM,58:02 AM,57:14 AM,57:04 AM,56:54 AM,56:45 AM,56:36 AM,56:17 AM,56:04 AM,55:52 AM,55:41 AM,55:17 AM,54:28 AM,54:17 AM,54:05 AM,53:51 AM,53:39 AM,52:58 AM,52:44 AM,52:31 AM,52:16 AM,52:05 AM,49:46 AM,49:35 AM,49:23 AM,49:08 AM,48:55 AM,47:49 AM,47:36 AM,47:15 AM,46:52 AM,46:40 AM,46:11 AM,46:00 AM,45:45 AM,45:28 AM,45:13 AM,44:12 AM,44:02 AM,43:51 AM,43:28 AM,43:11 AM,42:28 AM,42:12 AM,41:59 AM,41:43 AM,41:27 AM,40:39 AM,40:26 AM,40:15 AM,39:57 AM,39:40 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.21115 , 0.18945 , 0.20903 , 0.20201 , 0.21098 , 0.23369 , 0.26556 , 0.212 , 0.24005 , 0.21466 , 0.18442 , 0.19301 , 0.20156 , 0.1894 , 0.20139 , 0.22008 , 0.18927 , 0.18636 , 0.18502 , 0.19247 , 0.17602 , 0.17172 , 0.18256 , 0.16842 , 0.15685 , 0.23112 , 0.19298 , 0.20876 , 0.26144 , 0.23124 , 0.20337 , 0.20787 , 0.22538 , 0.2023 , 0.20799 , 0.231 , 0.18469 , 0.19902 , 0.19891 , 0.22955 , 0.20335 , 0.21089 , 0.1644 , 0.19263 , 0.19112 , 0.20262 , 0.19772 , 0.18432 , 0.20239 , 0.21285 , 0.20213 , 0.2076 , 0.19576 , 0.20378 , 0.20903 , 0.19652 , 0.1834 , 0.16972 , 0.20479 , 0.16444 
 311 , 0.22368 , 0.20105 , 0.21794 , 0.20907 , 0.22687 , 0.24141 , 0.28265 , 0.21933 , 0.24791 , 0.22389 , 0.18901 , 0.20564 , 0.21414 , 0.19272 , 0.21084 , 0.22913 , 0.19792 , 0.19468 , 0.20025 , 0.19614 , 0.18163 , 0.17584 , 0.18969 , 0.17735 , 0.16043 , 0.23422 , 0.19753 , 0.22062 , 0.2761 , 0.24677 , 0.2058 , 0.2165 , 0.23038 , 0.20195 , 0.22348 , 0.26362 , 0.17556 , 0.20402 , 0.21587 , 0.25203 , 0.20258 , 0.21447 , 0.18344 , 0.19676 , 0.21105 , 0.21177 , 0.20889 , 0.20308 , 0.21313 , 0.23213 , 0.2111 , 0.21941 , 0.20825 , 0.21469 , 0.21746 , 0.20427 , 0.2026 , 0.16537 , 0.22777 , 0.1786 
 312 , 0.22292 , 0.2041 , 0.22126 , 0.21334 , 0.23113 , 0.24319 , 0.28381 , 0.21484 , 0.24903 , 0.22556 , 0.18912 , 0.20653 , 0.2178 , 0.19231 , 0.20921 , 0.23371 , 0.20093 , 0.19947 , 0.2036 , 0.19919 , 0.17983 , 0.17815 , 0.19573 , 0.18474 , 0.17348 , 0.25008 , 0.20087 , 0.22219 , 0.27521 , 0.24796 , 0.20618 , 0.22839 , 0.2364 , 0.20696 , 0.21832 , 0.25441 , 0.179 , 0.20552 , 0.21806 , 0.23053 , 0.20363 , 0.21711 , 0.17717 , 0.20525 , 0.22218 , 0.19708 , 0.21343 , 0.2086 , 0.21547 , 0.23085 , 0.21562 , 0.21336 , 0.21668 , 0.21885 , 0.21717 , 0.20814 , 0.20541 , 0.18171 , 0.22196 , 0.17711 
 313 , 0.22052 , 0.20588 , 0.22389 , 0.21729 , 0.23355 , 0.2442 , 0.28257 , 0.20924 , 0.24931 , 0.2263 , 0.18894 , 0.20571 , 0.22024 , 0.19149 , 0.20602 , 0.23752 , 0.20328 , 0.20373 , 0.20519 , 0.20225 , 0.17708 , 0.18039 , 0.20153 , 0.19188 , 0.18776 , 0.26762 , 0.2042 , 0.22246 , 0.2719 , 0.24698 , 0.20662 , 0.24068 , 0.24241 , 0.21266 , 0.21006 , 0.23953 , 0.18443 , 0.20673 , 0.2181 , 0.2038 , 0.20506 , 0.21962 , 0.16723 , 0.21422 , 0.23177 , 0.17968 , 0.21692 , 0.21209 , 0.21669 , 0.22675 , 0.21967 , 0.20522 , 0.22452 , 0.222 , 0.21588 , 0.21145 , 0.20565 , 0.2007 , 0.21206 , 0.17345 
 314 , 0.21824 , 0.2076 , 0.2264 , 0.22111 , 0.23591 , 0.24516 , 0.28136 , 0.20394 , 0.24958 , 0.22702 , 0.18877 , 0.20492 , 0.22262 , 0.19069 , 0.20293 , 0.24122 , 0.20552 , 0.20787 , 0.20672 , 0.2052 , 0.17441 , 0.18251 , 0.2071 , 0.19865 , 0.20163 , 0.28456 , 0.20739 , 0.22272 , 0.26868 , 0.24603 , 0.20703 , 0.25241 , 0.24828 , 0.2182 , 0.202 , 0.22532 , 0.18961 , 0.20789 , 0.21815 , 0.17837 , 0.20647 , 0.22204 , 0.15764 , 0.22306 , 0.24095 , 0.16307 , 0.22029 , 0.21547 , 0.21785 , 0.2228 , 0.22352 , 0.19748 , 0.23201 , 0.22505 , 0.21464 , 0.21467 , 0.20588 , 0.21867 , 0.20252 , 0.16996 
 315 , 0.22435 , 0.20942 , 0.23121 , 0.2263 , 0.23744 , 0.24849 , 0.28757 , 0.20555 , 0.2517 , 0.23204 , 0.19324 , 0.21 , 0.22724 , 0.19427 , 0.20483 , 0.24703 , 0.21057 , 0.2163 , 0.21392 , 0.21057 , 0.1767 , 0.18707 , 0.21574 , 0.2049 , 0.20511 , 0.29512 , 0.21349 , 0.22769 , 0.27268 , 0.25429 , 0.21802 , 0.26522 , 0.25676 , 0.22229 , 0.20222 , 0.22165 , 0.19604 , 0.21154 , 0.21882 , 0.17527 , 0.21971 , 0.22999 , 0.16385 , 0.22975 , 0.24421 , 0.16469 , 0.22144 , 0.22149 , 0.21877 , 0.22426 , 0.23049 , 0.19824 , 0.23614 , 0.22954 , 0.21543 , 0.21894 , 0.20629 , 0.22274 , 0.20068 , 0.17784 
