
Wavelength,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu,WSG1_00025.spu,WSG1_00026.spu,WSG1_00027.spu,WSG1_00028.spu,WSG1_00029.spu,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu,WSG1_00035.spu
  (nm),7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1,7/3/2018 1
  time  ,4:04 PM",4:17 PM",4:28 PM",4:38 PM",4:47 PM",5:55 PM",6:06 PM",6:15 PM",6:23 PM",6:32 PM",7:11 PM",7:22 PM",7:33 PM",7:43 PM",7:56 PM",8:47 PM",9:06 PM",9:19 PM",9:29 PM",9:41 PM",1:27 PM",1:50 PM",2:15 PM",2:24 PM",2:46 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0053 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01239 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01918 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0.00539 , 0.00622 , 0.00252 , 0 , 0 , 0.03266 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01304 
 326 , 0 , 0 , 0 , 0 , 0 , 0.01993 , 0.02434 , 0.00968 , 0 , 0 , 0.05895 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04993 
 327 , 0 , 0 , 0 , 0 , 0 , 0.0328 , 0.04219 , 0.01649 , 0 , 0 , 0.08436 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.08477 
 328 , 0 , 0 , 0 , 0 , 0 , 0.04429 , 0.05976 , 0.02298 , 0 , 0 , 0.10894 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.11775 
 329 , 0 , 0 , 0 , 0 , 0 , 0.08899 , 0.08601 , 0.06149 , 0.02103 , 0.0304 , 0.13527 , 0.00865 , 0.01803 , 0.00725 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00866 , 0 , 0.01397 , 0.02259 , 0.15236 
 330 , 0 , 0 , 0 , 0 , 0 , 0.13383 , 0.11125 , 0.10005 , 0.0424 , 0.0611 , 0.16058 , 0.0174 , 0.03626 , 0.01436 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01752 , 0 , 0.02721 , 0.04539 , 0.18535 
 331 , 0 , 0 , 0 , 0 , 0 , 0.1775 , 0.13514 , 0.13734 , 0.06324 , 0.09084 , 0.18481 , 0.0259 , 0.05394 , 0.02108 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02623 , 0 , 0.03928 , 0.0675 , 0.2167 
 332 , 0 , 0 , 0.02584 , 0.01385 , 0.00676 , 0.20463 , 0.17053 , 0.17797 , 0.08035 , 0.11963 , 0.20997 , 0.04549 , 0.0524 , 0.04154 , 0 , 0.00452 , 0 , 0 , 0 , 0.00597 , 0.02678 , 0 , 0.05588 , 0.08633 , 0.25075 
 333 , 0 , 0 , 0.06834 , 0.03683 , 0.01801 , 0.21999 , 0.21387 , 0.22002 , 0.0948 , 0.1474 , 0.23589 , 0.0724 , 0.03756 , 0.0713 , 0 , 0.0123 , 0 , 0 , 0 , 0.01562 , 0.02178 , 0 , 0.07567 , 0.10251 , 0.28684 
 334 , 0 , 0 , 0.10843 , 0.05875 , 0.02875 , 0.23477 , 0.25609 , 0.26001 , 0.10899 , 0.1742 , 0.26149 , 0.09827 , 0.02314 , 0.10007 , 0 , 0.02009 , 0 , 0 , 0 , 0.02454 , 0.01708 , 0 , 0.0948 , 0.11788 , 0.32234 
 335 , 0.00079 , 0.0032 , 0.14399 , 0.07847 , 0.04552 , 0.25305 , 0.29723 , 0.29432 , 0.12589 , 0.20022 , 0.28755 , 0.12058 , 0.02023 , 0.12663 , 0.00363 , 0.03984 , 0 , 0 , 0 , 0.05273 , 0.02454 , 0.00519 , 0.11668 , 0.13871 , 0.35695 
 336 , 0.00459 , 0.01887 , 0.16858 , 0.09262 , 0.08699 , 0.28653 , 0.33736 , 0.31182 , 0.15406 , 0.22594 , 0.31684 , 0.1319 , 0.06102 , 0.14744 , 0.0212 , 0.10466 , 0 , 0 , 0 , 0.1548 , 0.07845 , 0.0302 , 0.15115 , 0.18327 , 0.39017 
