
Wavelength,LMAT_00185.spu,LMAT_00184.spu,LMAT_00183.spu,LMAT_00182.spu,LMAT_00181.spu,LMAT_00180.spu,LMAT_00179.spu,LMAT_00178.spu,LMAT_00177.spu,LMAT_00176.spu,LMAT_00175.spu,LMAT_00174.spu,LMAT_00173.spu,LMAT_00172.spu,LMAT_00171.spu,LMAT_00170.spu,LMAT_00169.spu,LMAT_00168.spu,LMAT_00167.spu,LMAT_00166.spu,LMAT_00165.spu,LMAT_00164.spu,LMAT_00163.spu,LMAT_00162.spu,LMAT_00161.spu
  (nm),7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 ,7/13/2018 
  time  ,:19:13 A,:19:03 A,:18:54 A,:18:42 A,:18:34 A,:17:42 A,:17:25 A,:17:15 A,:17:08 A,:16:59 A,:15:52 A,:15:45 A,:15:38 A,:15:31 A,:15:24 A,:14:50 A,:14:23 A,:14:07 A,:13:50 A,:13:41 A,:13:08 A,:12:54 A,:12:44 A,:12:35 A,:12:28 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00743 , 0 , 0 , 0.02173 , 0.00735 , 0 , 0 , 0.00712 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02142 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01965 , 0 , 0 , 0.0575 , 0.01914 , 0 , 0 , 0.01886 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05672 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03119 , 0 , 0 , 0.09128 , 0.02992 , 0 , 0 , 0.02996 , 0 , 0 , 0 , 0 , 0 , 0 , 0.09007 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0062 , 0.04756 , 0 , 0 , 0.12721 , 0.04604 , 0.00233 , 0.0023 , 0.0481 , 0 , 0.00523 , 0.01078 , 0.00151 , 0 , 0.00075 , 0.12239 , 0.00592 , 0.0015 , 0 
 336 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03609 , 0.08452 , 0 , 0 , 0.17673 , 0.08591 , 0.0136 , 0.01355 , 0.09555 , 0 , 0.03092 , 0.06466 , 0.00892 , 0 , 0.00445 , 0.15589 , 0.03512 , 0.00889 , 0 
 337 , 0 , 0 , 0 , 0 , 0 , 0 , 0.06422 , 0.11982 , 0 , 0 , 0.22371 , 0.1249 , 0.02429 , 0.02439 , 0.14161 , 0 , 0.05585 , 0.11854 , 0.01606 , 0 , 0.00806 , 0.18746 , 0.06368 , 0.01612 , 0 
 338 , 0 , 0 , 0 , 0 , 0 , 0 , 0.09074 , 0.15356 , 0 , 0 , 0.26833 , 0.16305 , 0.03444 , 0.03483 , 0.18634 , 0 , 0.08006 , 0.17242 , 0.02294 , 0 , 0.0116 , 0.21727 , 0.09162 , 0.0232 , 0 
 339 , 0.04237 , 0.0235 , 0.01769 , 0.02955 , 0 , 0.02039 , 0.13334 , 0.20423 , 0.02329 , 0 , 0.32323 , 0.21478 , 0.06636 , 0.0783 , 0.22671 , 0.02021 , 0.12733 , 0.25785 , 0.07169 , 0.02834 , 0.0575 , 0.26999 , 0.14732 , 0.05771 , 0.00287 
 340 , 0.08887 , 0.04934 , 0.03728 , 0.06311 , 0 , 0.04359 , 0.17714 , 0.25379 , 0.04909 , 0 , 0.37739 , 0.26528 , 0.1006 , 0.12493 , 0.26343 , 0.04278 , 0.17568 , 0.33692 , 0.12523 , 0.0602 , 0.1078 , 0.32452 , 0.20404 , 0.09472 , 0.00604 
 341 , 0.13104 , 0.07284 , 0.05522 , 0.09463 , 0 , 0.06542 , 0.21863 , 0.29866 , 0.07271 , 0 , 0.42838 , 0.31162 , 0.13262 , 0.16799 , 0.29711 , 0.06362 , 0.22032 , 0.40436 , 0.17501 , 0.08982 , 0.15395 , 0.37593 , 0.25609 , 0.12869 , 0.00893 
 342 , 0.15804 , 0.09285 , 0.07083 , 0.11943 , 0.00432 , 0.08416 , 0.25251 , 0.33512 , 0.09357 , 0.00139 , 0.46792 , 0.35065 , 0.16042 , 0.19992 , 0.33368 , 0.08467 , 0.25439 , 0.46876 , 0.21474 , 0.11058 , 0.18679 , 0.42182 , 0.29798 , 0.16216 , 0.0226 
