
Wavelength,EDC_00000.spu,EDC_00001.spu,EDC_00002.spu,EDC_00003.spu,EDC_00004.spu,EDC_00005.spu,EDC_00006.spu,EDC_00007.spu,EDC_00008.spu,EDC_00009.spu,EDC_00010.spu,EDC_00011.spu,EDC_00012.spu,EDC_00013.spu,EDC_00051.spu,EDC_00052.spu,EDC_00053.spu,EDC_00054.spu,EDC_00055.spu,EDC_00056.spu,EDC_00102.spu,EDC_00103.spu,EDC_00104.spu,EDC_00195.spu,EDC_00196.spu,EDC_00197.spu,EDC_00198.spu,EDC_00199.spu,EDC_00200.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,06:42 PM,07:26 PM,08:09 PM,08:44 PM,09:31 PM,10:14 PM,10:53 PM,12:37 PM,13:13 PM,13:50 PM,14:38 PM,15:17 PM,15:50 PM,16:31 PM,:52:28 A,:52:43 A,:52:56 A,:54:13 A,:54:27 A,:54:38 A,:11:18 P,:11:31 P,:11:44 P,:56:06 P,:56:16 P,:56:27 P,:58:25 P,:58:35 P,:58:49 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.06933 , 0.06572 , 0.09617 , 0.06655 , 0.05653 , 0.05689 , 0.05713 , 0.07319 , 0.07398 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.06212 , 0.05317 , 0.08192 , 0.05968 , 0.04986 , 0.04988 , 0.05083 , 0.06909 , 0.06143 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05557 , 0.05593 , 0.07722 , 0.05618 , 0.04889 , 0.05386 , 0.04973 , 0.0633 , 0.05675 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04914 , 0.06102 , 0.07379 , 0.05313 , 0.04875 , 0.05948 , 0.04944 , 0.0572 , 0.05327 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04282 , 0.06603 , 0.07038 , 0.0501 , 0.04861 , 0.06506 , 0.04915 , 0.05117 , 0.04983 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04341 , 0.0721 , 0.07337 , 0.05075 , 0.05091 , 0.07007 , 0.05116 , 0.05596 , 0.05027 , 0 , 0 , 0 , 0 , 0 , 0 
