
Wavelength,LMAT_00040.spu,LMAT_00039.spu,LMAT_00038.spu,LMAT_00037.spu,LMAT_00036.spu,LMAT_00035.spu,LMAT_00034.spu,LMAT_00033.spu,LMAT_00032.spu,LMAT_00031.spu,LMAT_00030.spu,LMAT_00029.spu,LMAT_00028.spu,LMAT_00027.spu,LMAT_00026.spu,LMAT_00025.spu,LMAT_00024.spu,LMAT_00023.spu,LMAT_00022.spu,LMAT_00021.spu,LMAT_00020.spu,LMAT_00019.spu,LMAT_00018.spu,LMAT_00017.spu,LMAT_00016.spu,LMAT_00015.spu,LMAT_00014.spu,LMAT_00013.spu,LMAT_00012.spu,LMAT_00011.spu,LMAT_00010.spu,LMAT_00009.spu,LMAT_00008.spu,LMAT_00007.spu,LMAT_00006.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,:43:31 A,:43:16 A,:43:02 A,:42:45 A,:42:31 A,:41:06 A,:40:54 A,:40:39 A,:40:24 A,:40:08 A,:39:34 A,:39:21 A,:39:07 A,:38:54 A,:38:42 A,:38:13 A,:37:54 A,:37:34 A,:37:23 A,:37:12 A,:36:37 A,:36:24 A,:36:09 A,:35:51 A,:35:32 A,:35:01 A,:34:50 A,:34:31 A,:34:16 A,:33:59 A,:33:23 A,:33:13 A,:32:57 A,:32:42 A,:32:25 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.10498 , 0.10378 , 0.08382 , 0.12369 , 0.14565 , 0.08865 , 0.11135 , 0.12364 , 0.10652 , 0.11682 , 0.10698 , 0.09353 , 0.12246 , 0.10777 , 0.08549 , 0.10188 , 0.10366 , 0.1118 , 0.11365 , 0.12319 , 0.09692 , 0.11666 , 0.10009 , 0.10465 , 0.10469 , 0.12187 , 0.12495 , 0.09822 , 0.13499 , 0.10017 , 0.13762 , 0.10556 , 0.10716 , 0.11366 , 0.11926 
 311 , 0.09958 , 0.09323 , 0.07897 , 0.1182 , 0.13567 , 0.08092 , 0.10907 , 0.12135 , 0.10757 , 0.11634 , 0.09897 , 0.08874 , 0.11706 , 0.10087 , 0.07784 , 0.09671 , 0.09004 , 0.10129 , 0.09977 , 0.11712 , 0.08915 , 0.10877 , 0.0811 , 0.09956 , 0.10048 , 0.11901 , 0.11938 , 0.09005 , 0.13406 , 0.10076 , 0.12613 , 0.10426 , 0.10158 , 0.11127 , 0.11396 
 312 , 0.10321 , 0.09912 , 0.08342 , 0.11484 , 0.12972 , 0.07703 , 0.1061 , 0.11344 , 0.10285 , 0.1162 , 0.10053 , 0.0828 , 0.10659 , 0.10116 , 0.07672 , 0.08638 , 0.0874 , 0.09618 , 0.09312 , 0.11373 , 0.08528 , 0.10061 , 0.08044 , 0.09346 , 0.09666 , 0.10589 , 0.11629 , 0.08911 , 0.12275 , 0.09049 , 0.12083 , 0.1027 , 0.09382 , 0.10656 , 0.11047 
 313 , 0.10808 , 0.10748 , 0.08922 , 0.11163 , 0.12403 , 0.07366 , 0.10288 , 0.10449 , 0.09705 , 0.11586 , 0.10343 , 0.07659 , 0.09514 , 0.10258 , 0.0765 , 0.07511 , 0.08638 , 0.09193 , 0.08732 , 0.11055 , 0.08193 , 0.0922 , 0.08254 , 0.08713 , 0.09291 , 0.09109 , 0.11336 , 0.08911 , 0.10996 , 0.07843 , 0.11645 , 0.10117 , 0.08538 , 0.10116 , 0.1071 
 314 , 0.11287 , 0.11585 , 0.09502 , 0.10843 , 0.11834 , 0.07032 , 0.09968 , 0.09559 , 0.09125 , 0.11554 , 0.10633 , 0.07045 , 0.08376 , 0.10397 , 0.07629 , 0.06389 , 0.08538 , 0.08778 , 0.08149 , 0.10739 , 0.07861 , 0.08379 , 0.08461 , 0.08087 , 0.08922 , 0.07645 , 0.11043 , 0.08911 , 0.0974 , 0.06652 , 0.11215 , 0.09968 , 0.0769 , 0.09569 , 0.10375 
 315 , 0.11468 , 0.1174 , 0.10097 , 0.11097 , 0.11807 , 0.07314 , 0.1002 , 0.09814 , 0.09265 , 0.11825 , 0.10822 , 0.07366 , 0.08651 , 0.10682 , 0.08061 , 0.06276 , 0.0856 , 0.09285 , 0.0817 , 0.11059 , 0.08175 , 0.08352 , 0.09017 , 0.07844 , 0.0919 , 0.07371 , 0.11193 , 0.08938 , 0.09533 , 0.06522 , 0.11444 , 0.10244 , 0.07838 , 0.09882 , 0.10538 
