
Wavelength,LMAT_00041.spu,LMAT_00042.spu,LMAT_00043.spu,LMAT_00044.spu,LMAT_00045.spu,LMAT_00046.spu,LMAT_00047.spu,LMAT_00048.spu,LMAT_00049.spu,LMAT_00050.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,:44:04 A,:44:20 A,:44:35 A,:44:52 A,:45:11 A,:45:45 A,:45:59 A,:46:13 A,:46:32 A,:46:45 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 310 , 0.11045 , 0.10389 , 0.10894 , 0.10254 , 0.08815 , 0.06781 , 0.10071 , 0.10166 , 0.07547 , 0.10633 
 311 , 0.11882 , 0.08434 , 0.11272 , 0.08568 , 0.06521 , 0.04567 , 0.08618 , 0.10673 , 0.06489 , 0.09517 
 312 , 0.11238 , 0.08134 , 0.10816 , 0.09059 , 0.07211 , 0.04999 , 0.08411 , 0.11168 , 0.06819 , 0.09824 
 313 , 0.10345 , 0.0808 , 0.10206 , 0.09881 , 0.08358 , 0.05841 , 0.0838 , 0.11651 , 0.07356 , 0.10338 
 314 , 0.09462 , 0.08026 , 0.09596 , 0.10698 , 0.09505 , 0.06679 , 0.08349 , 0.12122 , 0.07887 , 0.10846 
 315 , 0.09051 , 0.08293 , 0.09317 , 0.12058 , 0.11027 , 0.07348 , 0.091 , 0.1183 , 0.08097 , 0.11022 
 316 , 0.09152 , 0.08905 , 0.0942 , 0.1399 , 0.12929 , 0.0784 , 0.1067 , 0.10759 , 0.07978 , 0.10861 
 317 , 0.09251 , 0.09486 , 0.09519 , 0.15876 , 0.14776 , 0.08315 , 0.12176 , 0.09725 , 0.07862 , 0.10705 
 318 , 0.09408 , 0.09913 , 0.0986 , 0.17437 , 0.16225 , 0.0871 , 0.13416 , 0.0901 , 0.07803 , 0.10586 
 319 , 0.10097 , 0.09077 , 0.12319 , 0.16554 , 0.146 , 0.08539 , 0.12726 , 0.10804 , 0.08235 , 0.10748 
 320 , 0.10767 , 0.08251 , 0.14752 , 0.15705 , 0.13029 , 0.08375 , 0.12051 , 0.12549 , 0.08652 , 0.10907 
 321 , 0.1142 , 0.07433 , 0.17157 , 0.14888 , 0.11509 , 0.08217 , 0.11391 , 0.14245 , 0.09056 , 0.11062 
 322 , 0.12104 , 0.09223 , 0.1802 , 0.16844 , 0.1311 , 0.09926 , 0.12932 , 0.15414 , 0.10891 , 0.13036 
