
Wavelength,WSG_00034.spu,WSG_00033.spu,WSG_00032.spu,WSG_00031.spu,WSG_00030.spu
  (nm),7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 ,7/21/2018 
  time  ,15:59 PM,15:38 PM,15:24 PM,14:55 PM,14:36 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 310 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0.00171 , 0 , 0 , 0.00171 
 336 , 0 , 0.00995 , 0 , 0 , 0.00995 
 337 , 0 , 0.01773 , 0 , 0 , 0.01773 
 338 , 0 , 0.02508 , 0 , 0 , 0.02508 
 339 , 0.01574 , 0.06013 , 0.02175 , 0.02793 , 0.04829 
 340 , 0.03418 , 0.09897 , 0.04726 , 0.06135 , 0.07405 
 341 , 0.05209 , 0.13584 , 0.07202 , 0.09451 , 0.09904 
 342 , 0.07361 , 0.17179 , 0.09512 , 0.1237 , 0.13004 
 343 , 0.09879 , 0.20662 , 0.11584 , 0.14694 , 0.16722 
 344 , 0.12229 , 0.23916 , 0.1352 , 0.1683 , 0.20188 
 345 , 0.14678 , 0.27114 , 0.15576 , 0.19 , 0.23545 
 346 , 0.20235 , 0.32031 , 0.2067 , 0.23561 , 0.28209 
 347 , 0.25485 , 0.3671 , 0.25457 , 0.27897 , 0.32586 
 348 , 0.30453 , 0.41169 , 0.29964 , 0.32025 , 0.36702 
 349 , 0.33768 , 0.45137 , 0.33452 , 0.3653 , 0.41045 
 350 , 0.36332 , 0.48791 , 0.36468 , 0.41048 , 0.45396 
 351 , 0.38768 , 0.52266 , 0.39368 , 0.45339 , 0.49576 
 352 , 0.40383 , 0.54729 , 0.41756 , 0.48284 , 0.52991 
 353 , 0.40477 , 0.55335 , 0.43209 , 0.48741 , 0.54996 
 354 , 0.40565 , 0.559 , 0.44568 , 0.49168 , 0.56859 
 355 , 0.40646 , 0.56426 , 0.4584 , 0.49567 , 0.58594 
 356 , 0.42774 , 0.58211 , 0.4712 , 0.50958 , 0.58801 
 357 , 0.449 , 0.59988 , 0.48344 , 0.52336 , 0.58925 
 358 , 0.46922 , 0.61694 , 0.49513 , 0.53651 , 0.59042 
 359 , 0.48855 , 0.63613 , 0.51071 , 0.55268 , 0.60623 
 360 , 0.50692 , 0.65645 , 0.52857 , 0.57056 , 0.63219 
 361 , 0.5243 , 0.67575 , 0.54532 , 0.5874 , 0.65705 
 362 , 0.54095 , 0.6943 , 0.5619 , 0.60413 , 0.67979 
 363 , 0.55712 , 0.71212 , 0.58116 , 0.62346 , 0.69687 
 364 , 0.57233 , 0.7288 , 0.5996 , 0.64189 , 0.71302 
 365 , 0.58664 , 0.74443 , 0.61728 , 0.65949 , 0.7283 
