
Wavelength,DHT_00006.spu,DHT_00007.spu,DHT_00008.spu,DHT_00009.spu,DHT_00010.spu,DHT_00011.spu,DHT_00012.spu,DHT_00013.spu,DHT_00014.spu,DHT_00015.spu,DHT_00016.spu,DHT_00017.spu,DHT_00018.spu,DHT_00019.spu,DHT_00020.spu,DHT_00021.spu,DHT_00022.spu,DHT_00023.spu,DHT_00024.spu,DHT_00025.spu,DHT_00026.spu,DHT_00027.spu,DHT_00028.spu,DHT_00029.spu,DHT_00030.spu,DHT_00031.spu,DHT_00032.spu,DHT_00033.spu,DHT_00034.spu,DHT_00035.spu,DHT_00036.spu,DHT_00037.spu,DHT_00038.spu,DHT_00039.spu,DHT_00040.spu,DHT_00041.spu,DHT_00042.spu,DHT_00043.spu,DHT_00044.spu,DHT_00045.spu,DHT_00046.spu,DHT_00047.spu,DHT_00048.spu,DHT_00049.spu,DHT_00050.spu,DHT_00051.spu,DHT_00052.spu,DHT_00053.spu,DHT_00054.spu,DHT_00055.spu,DHT_00056.spu,DHT_00057.spu,DHT_00058.spu,DHT_00059.spu,DHT_00060.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,57:12 PM,57:28 PM,57:39 PM,57:50 PM,58:05 PM,58:35 PM,58:47 PM,58:58 PM,59:09 PM,59:19 PM,59:47 PM,59:57 PM,00:07 PM,00:25 PM,00:38 PM,01:05 PM,01:15 PM,01:26 PM,01:35 PM,01:44 PM,02:11 PM,02:21 PM,02:30 PM,02:41 PM,03:09 PM,03:28 PM,03:43 PM,03:58 PM,04:14 PM,04:26 PM,04:37 PM,04:56 PM,05:07 PM,05:23 PM,05:47 PM,06:30 PM,06:41 PM,06:53 PM,07:03 PM,07:11 PM,07:56 PM,08:12 PM,08:25 PM,08:38 PM,08:48 PM,09:04 PM,09:17 PM,09:30 PM,09:47 PM,09:59 PM,10:22 PM,10:38 PM,10:52 PM,11:04 PM,11:49 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.14152 , 0.1203 , 0.11127 , 0.13973 , 0.12977 , 0.15675 , 0.18232 , 0.14335 , 0.13288 , 0.17607 , 0.16478 , 0.13277 , 0.16032 , 0.13338 , 0.11588 , 0.13263 , 0.16498 , 0.11746 , 0.13589 , 0.10771 , 0.12063 , 0.08988 , 0.10506 , 0.11599 , 0.14059 , 0.13649 , 0.14096 , 0.13004 , 0.16628 , 0.17161 , 0.166 , 0.15118 , 0.1398 , 0.12451 , 0.09096 , 0.12287 , 0.18833 , 0.12661 , 0.12412 , 0.13726 , 0.21475 , 0.246 , 0.22059 , 0.18959 , 0.19462 , 0.25142 , 0.2355 , 0.22208 , 0.22761 , 0.22365 , 0.26113 , 0.2411 , 0.27462 , 0.24801 , 0.28653 
 311 , 0.14551 , 0.11213 , 0.08454 , 0.1265 , 0.1189 , 0.1426 , 0.16782 , 0.12041 , 0.12173 , 0.16172 , 0.15915 , 0.11351 , 0.14905 , 0.11486 , 0.10408 , 0.11982 , 0.14824 , 0.09306 , 0.11271 , 0.09627 , 0.10131 , 0.07405 , 0.09579 , 0.08747 , 0.10745 , 0.1181 , 0.12501 , 0.10743 , 0.17854 , 0.13168 , 0.14309 , 0.16001 , 0.11593 , 0.11425 , 0.08418 , 0.09638 , 0.20347 , 0.08372 , 0.09939 , 0.11025 , 0.2028 , 0.23088 , 0.19429 , 0.16677 , 0.16913 , 0.23555 , 0.19658 , 0.16943 , 0.20206 , 0.19594 , 0.2217 , 0.21471 , 0.26747 , 0.22353 , 0.26413 
 312 , 0.14622 , 0.11394 , 0.0969 , 0.12367 , 0.12228 , 0.14955 , 0.17556 , 0.1201 , 0.13047 , 0.17657 , 0.16311 , 0.12854 , 0.15193 , 0.12386 , 0.10507 , 0.12609 , 0.14135 , 0.11428 , 0.12367 , 0.11269 , 0.10336 , 0.07715 , 0.10457 , 0.09262 , 0.13721 , 0.13213 , 0.12637 , 0.11768 , 0.18608 , 0.13558 , 0.14292 , 0.16728 , 0.12585 , 0.12005 , 0.09181 , 0.12235 , 0.19726 , 0.09004 , 0.10535 , 0.11643 , 0.21215 , 0.23605 , 0.20552 , 0.18144 , 0.16889 , 0.24079 , 0.21516 , 0.18628 , 0.21051 , 0.19716 , 0.23286 , 0.23099 , 0.27644 , 0.23293 , 0.27483 
 313 , 0.14662 , 0.11723 , 0.1154 , 0.12253 , 0.12791 , 0.15973 , 0.18673 , 0.1232 , 0.14224 , 0.19596 , 0.16845 , 0.14887 , 0.15704 , 0.1372 , 0.10802 , 0.13519 , 0.13605 , 0.14248 , 0.13978 , 0.13318 , 0.10883 , 0.08322 , 0.11616 , 0.10306 , 0.17689 , 0.15099 , 0.13068 , 0.13294 , 0.19282 , 0.14645 , 0.14634 , 0.17424 , 0.1408 , 0.1283 , 0.10168 , 0.15592 , 0.18823 , 0.10419 , 0.11595 , 0.12774 , 0.22467 , 0.24411 , 0.22281 , 0.20198 , 0.17254 , 0.24949 , 0.24274 , 0.21399 , 0.22436 , 0.20315 , 0.25174 , 0.25389 , 0.2878 , 0.24776 , 0.29064 
 314 , 0.14701 , 0.12051 , 0.13379 , 0.12141 , 0.13345 , 0.16957 , 0.19768 , 0.1263 , 0.15377 , 0.21507 , 0.17368 , 0.16904 , 0.16204 , 0.15044 , 0.11096 , 0.1441 , 0.13083 , 0.17048 , 0.15528 , 0.15305 , 0.11409 , 0.08905 , 0.12775 , 0.11333 , 0.21623 , 0.16955 , 0.13474 , 0.14794 , 0.19939 , 0.15712 , 0.14973 , 0.18102 , 0.15522 , 0.1364 , 0.11154 , 0.18846 , 0.17958 , 0.11819 , 0.12656 , 0.13819 , 0.23668 , 0.25222 , 0.23982 , 0.22205 , 0.17619 , 0.25798 , 0.27008 , 0.24146 , 0.23786 , 0.20898 , 0.27011 , 0.2768 , 0.29895 , 0.26199 , 0.30596 
 315 , 0.14514 , 0.12136 , 0.13685 , 0.12314 , 0.14028 , 0.18097 , 0.20712 , 0.1286 , 0.15772 , 0.22725 , 0.18128 , 0.17628 , 0.16711 , 0.16157 , 0.12 , 0.14951 , 0.12485 , 0.18285 , 0.16573 , 0.16427 , 0.11226 , 0.09544 , 0.13037 , 0.11458 , 0.23094 , 0.17129 , 0.14201 , 0.14733 , 0.20899 , 0.16595 , 0.15662 , 0.17784 , 0.17157 , 0.14098 , 0.11574 , 0.19268 , 0.17793 , 0.1305 , 0.13702 , 0.14131 , 0.23631 , 0.25956 , 0.24843 , 0.23121 , 0.18287 , 0.26546 , 0.28128 , 0.25533 , 0.25141 , 0.21324 , 0.2741 , 0.28746 , 0.30049 , 0.26733 , 0.31589 
