
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 310 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 
 339 , 0 , 0 , 0 , 0 , 0 
 340 , 0 , 0 , 0 , 0 , 0 
 341 , 0 , 0 , 0 , 0 , 0 
 342 , 0.01565 , 0 , 0 , 0.03438 , 0 
 343 , 0.04944 , 0 , 0 , 0.10802 , 0 
 344 , 0.08194 , 0 , 0 , 0.17806 , 0 
 345 , 0.11605 , 0.00417 , 0.00463 , 0.24455 , 0.00423 
 346 , 0.18404 , 0.06064 , 0.067 , 0.30516 , 0.06096 
 347 , 0.24467 , 0.11191 , 0.12299 , 0.35867 , 0.11154 
 348 , 0.29907 , 0.15869 , 0.17353 , 0.40625 , 0.15693 
 349 , 0.3381 , 0.20146 , 0.20857 , 0.45214 , 0.19247 
 350 , 0.36992 , 0.24173 , 0.23674 , 0.49653 , 0.2232 
 351 , 0.39951 , 0.27993 , 0.26325 , 0.53867 , 0.25197 
 352 , 0.42468 , 0.31086 , 0.29046 , 0.57438 , 0.27777 
 353 , 0.44337 , 0.32893 , 0.32072 , 0.59921 , 0.29958 
 354 , 0.46108 , 0.34558 , 0.34934 , 0.6224 , 0.32012 
 355 , 0.4779 , 0.36096 , 0.37646 , 0.64411 , 0.33949 
 356 , 0.49101 , 0.37624 , 0.38542 , 0.65758 , 0.34595 
 357 , 0.50305 , 0.39057 , 0.39268 , 0.66975 , 0.35137 
 358 , 0.51427 , 0.404 , 0.39924 , 0.68108 , 0.35642 
 359 , 0.53337 , 0.42233 , 0.41872 , 0.705 , 0.38175 
 360 , 0.55743 , 0.44365 , 0.44729 , 0.73739 , 0.421 
