
Wavelength,MNAT_00101.spu,MNAT_00102.spu,MNAT_00103.spu,MNAT_00104.spu,MNAT_00105.spu,MNAT_00106.spu,MNAT_00107.spu,MNAT_00108.spu,MNAT_00109.spu,MNAT_00110.spu
  (nm),8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1
  time  ,56:34 AM,56:47 AM,57:06 AM,57:20 AM,57:33 AM,58:13 AM,58:30 AM,58:44 AM,58:56 AM,59:09 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0.0059 , 0.00634 , 0 , 0 , 0 , 0.012 , 0.00306 
 316 , 0 , 0 , 0 , 0.01807 , 0.01892 , 0 , 0 , 0 , 0.03676 , 0.00924 
 317 , 0 , 0 , 0 , 0.0301 , 0.03073 , 0 , 0 , 0 , 0.06121 , 0.01521 
 318 , 0.00245 , 0 , 0.00314 , 0.04373 , 0.0455 , 0.00559 , 0.00244 , 0.00123 , 0.08091 , 0.0198 
 319 , 0.02624 , 0 , 0.03342 , 0.07285 , 0.092 , 0.06031 , 0.02606 , 0.01328 , 0.06155 , 0.01377 
 320 , 0.0489 , 0 , 0.0619 , 0.10163 , 0.13741 , 0.11305 , 0.04828 , 0.0249 , 0.0429 , 0.00773 
 321 , 0.07051 , 0 , 0.08871 , 0.13006 , 0.18177 , 0.16392 , 0.06924 , 0.03611 , 0.02491 , 0.00169 
 322 , 0.07554 , 0.00805 , 0.09439 , 0.15364 , 0.21439 , 0.16837 , 0.07951 , 0.05863 , 0.03177 , 0.00846 
 323 , 0.07441 , 0.01881 , 0.09234 , 0.17504 , 0.24158 , 0.15541 , 0.08576 , 0.08463 , 0.04708 , 0.01952 
 324 , 0.07333 , 0.02912 , 0.09039 , 0.19596 , 0.26731 , 0.14274 , 0.09202 , 0.1095 , 0.06126 , 0.02985 
 325 , 0.09856 , 0.0495 , 0.10284 , 0.22355 , 0.30059 , 0.14951 , 0.1083 , 0.14599 , 0.08588 , 0.05413 
 326 , 0.17171 , 0.08903 , 0.14208 , 0.26364 , 0.34899 , 0.19185 , 0.1431 , 0.2051 , 0.13208 , 0.10536 
 327 , 0.24047 , 0.12697 , 0.18013 , 0.30081 , 0.39498 , 0.23111 , 0.17605 , 0.26178 , 0.17827 , 0.155 
 328 , 0.3053 , 0.1634 , 0.21703 , 0.33545 , 0.43879 , 0.26764 , 0.2073 , 0.31619 , 0.22441 , 0.20313 
 329 , 0.33334 , 0.18872 , 0.26754 , 0.37681 , 0.50299 , 0.30511 , 0.25819 , 0.3364 , 0.22104 , 0.22296 
 330 , 0.3592 , 0.21249 , 0.31719 , 0.41736 , 0.56612 , 0.34082 , 0.30787 , 0.35452 , 0.21609 , 0.24123 
 331 , 0.38458 , 0.23517 , 0.36542 , 0.45712 , 0.62749 , 0.37487 , 0.35562 , 0.37195 , 0.21139 , 0.25914 
 332 , 0.4087 , 0.27768 , 0.39436 , 0.5011 , 0.68162 , 0.39329 , 0.38257 , 0.39808 , 0.24382 , 0.27956 
 333 , 0.43161 , 0.33218 , 0.40975 , 0.54669 , 0.72989 , 0.40099 , 0.3951 , 0.4298 , 0.30054 , 0.30118 
 334 , 0.45314 , 0.38305 , 0.42396 , 0.58907 , 0.77566 , 0.40829 , 0.40695 , 0.4601 , 0.35423 , 0.32125 
 335 , 0.48294 , 0.43136 , 0.44641 , 0.63054 , 0.82422 , 0.42434 , 0.42611 , 0.4926 , 0.3992 , 0.34421 
 336 , 0.54786 , 0.47847 , 0.50265 , 0.67602 , 0.89026 , 0.47514 , 0.47521 , 0.5374 , 0.41869 , 0.382 
 337 , 0.61118 , 0.52596 , 0.55752 , 0.71964 , 0.95313 , 0.52351 , 0.52186 , 0.58035 , 0.43722 , 0.41793 
 338 , 0.67296 , 0.57384 , 0.61107 , 0.76151 , 1.01306 , 0.5696 , 0.56623 , 0.62155 , 0.45486 , 0.45213 
 339 , 0.70914 , 0.61879 , 0.66854 , 0.81571 , 1.07997 , 0.61785 , 0.60509 , 0.67754 , 0.50772 , 0.48301 
 340 , 0.73923 , 0.662 , 0.72509 , 0.87009 , 1.14616 , 0.66528 , 0.64146 , 0.73466 , 0.56677 , 0.51228 
 341 , 0.76795 , 0.70353 , 0.7795 , 0.92166 , 1.20992 , 0.7113 , 0.67619 , 0.78959 , 0.62489 , 0.54045 
 342 , 0.81321 , 0.74423 , 0.82375 , 0.98372 , 1.27802 , 0.74677 , 0.71059 , 0.83632 , 0.68164 , 0.57557 
 343 , 0.87824 , 0.78411 , 0.85659 , 1.05904 , 1.35168 , 0.77012 , 0.74502 , 0.87375 , 0.73579 , 0.61874 
 344 , 0.94139 , 0.82199 , 0.88803 , 1.13224 , 1.42278 , 0.79248 , 0.77822 , 0.90908 , 0.78681 , 0.65978 
 345 , 1.00248 , 0.85746 , 0.92003 , 1.20414 , 1.49265 , 0.81707 , 0.81247 , 0.94393 , 0.8333 , 0.69865 
 346 , 1.06144 , 0.88582 , 0.97648 , 1.28536 , 1.57725 , 0.88156 , 0.87552 , 0.9923 , 0.85442 , 0.73358 
 347 , 1.11722 , 0.9125 , 1.02996 , 1.36334 , 1.6585 , 0.9435 , 0.93562 , 1.03969 , 0.87468 , 0.76669 
 348 , 1.17008 , 0.93763 , 1.0807 , 1.43825 , 1.7366 , 1.00304 , 0.99297 , 1.08614 , 0.89414 , 0.79812 
 349 , 1.21012 , 0.98526 , 1.11665 , 1.4953 , 1.80011 , 1.0309 , 1.03404 , 1.12175 , 0.93569 , 0.82846 
 350 , 1.24369 , 1.04001 , 1.14532 , 1.54295 , 1.8553 , 1.04517 , 1.06718 , 1.15143 , 0.98396 , 0.85741 
 351 , 1.27525 , 1.09156 , 1.17201 , 1.58749 , 1.90692 , 1.05844 , 1.09834 , 1.17898 , 1.02878 , 0.88484 
 352 , 1.30732 , 1.12573 , 1.201 , 1.6208 , 1.95005 , 1.07104 , 1.12207 , 1.20429 , 1.05813 , 0.90807 
 353 , 1.34243 , 1.12816 , 1.2367 , 1.63463 , 1.97953 , 1.08315 , 1.13285 , 1.22717 , 1.05983 , 0.92437 
 354 , 1.3758 , 1.13046 , 1.27123 , 1.64772 , 2.00773 , 1.09468 , 1.14304 , 1.2488 , 1.06145 , 0.93987 
 355 , 1.40754 , 1.13264 , 1.30466 , 1.66011 , 2.03472 , 1.10566 , 1.15268 , 1.26928 , 1.06299 , 0.95464 
