
Wavelength,MNAT_00111.spu,MNAT_00112.spu,MNAT_00113.spu,MNAT_00114.spu,MNAT_00115.spu,MNAT_00116.spu,MNAT_00117.spu,MNAT_00118.spu,MNAT_00119.spu,MNAT_00120.spu,MNAT_00121.spu,MNAT_00122.spu,MNAT_00123.spu,MNAT_00124.spu,MNAT_00125.spu,MNAT_00126.spu,MNAT_00127.spu,MNAT_00128.spu,MNAT_00129.spu,MNAT_00130.spu,MNAT_00131.spu,MNAT_00132.spu,MNAT_00133.spu,MNAT_00134.spu,MNAT_00135.spu,MNAT_00136.spu,MNAT_00137.spu,MNAT_00138.spu,MNAT_00139.spu,MNAT_00140.spu,MNAT_00141.spu,MNAT_00142.spu,MNAT_00143.spu,MNAT_00144.spu,MNAT_00145.spu,MNAT_00146.spu,MNAT_00147.spu,MNAT_00148.spu,MNAT_00149.spu,MNAT_00150.spu,MNAT_00151.spu,MNAT_00152.spu,MNAT_00153.spu,MNAT_00154.spu,MNAT_00155.spu,MNAT_00156.spu,MNAT_00157.spu,MNAT_00158.spu,MNAT_00159.spu,MNAT_00160.spu,MNAT_00161.spu,MNAT_00162.spu,MNAT_00163.spu,MNAT_00164.spu,MNAT_00165.spu,MNAT_00166.spu,MNAT_00167.spu,MNAT_00168.spu,MNAT_00169.spu,MNAT_00170.spu,MNAT_00171.spu,MNAT_00172.spu,MNAT_00173.spu,MNAT_00174.spu,MNAT_00175.spu,MNAT_00176.spu,MNAT_00177.spu,MNAT_00178.spu,MNAT_00179.spu,MNAT_00180.spu,MNAT_00181.spu,MNAT_00182.spu,MNAT_00183.spu,MNAT_00184.spu,MNAT_00185.spu,MNAT_00186.spu,MNAT_00187.spu,MNAT_00188.spu,MNAT_00189.spu,MNAT_00190.spu
  (nm),8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1,8/1/2018 1
  time  ,00:11 PM,00:24 PM,00:41 PM,00:56 PM,01:52 PM,02:10 PM,02:21 PM,02:37 PM,02:51 PM,03:38 PM,03:57 PM,04:10 PM,04:19 PM,04:32 PM,04:45 PM,05:25 PM,05:38 PM,05:51 PM,06:05 PM,06:19 PM,07:05 PM,07:17 PM,07:45 PM,07:58 PM,08:13 PM,09:03 PM,09:15 PM,09:27 PM,09:38 PM,09:52 PM,10:31 PM,10:42 PM,10:56 PM,11:11 PM,11:23 PM,11:39 PM,11:49 PM,12:01 PM,12:13 PM,12:24 PM,13:02 PM,13:13 PM,13:28 PM,13:39 PM,13:50 PM,14:36 PM,14:54 PM,15:05 PM,15:18 PM,15:31 PM,17:09 PM,17:20 PM,17:30 PM,17:39 PM,17:50 PM,18:24 PM,18:36 PM,18:46 PM,18:56 PM,19:05 PM,19:43 PM,19:52 PM,20:02 PM,20:12 PM,20:22 PM,20:45 PM,21:01 PM,21:15 PM,21:29 PM,21:59 PM,22:39 PM,22:49 PM,23:00 PM,23:10 PM,23:22 PM,24:00 PM,24:09 PM,24:19 PM,24:30 PM,24:41 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01255 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01867 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0.01263 , 0.01226 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01154 , 0 , 0.01502 , 0.00617 , 0 , 0.01618 , 0 , 0 , 0.02851 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01934 , 0 , 0.00314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01546 , 0 , 0 , 0 , 0.00308 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0115 , 0 , 0 , 0.03323 , 0.04857 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0.03922 , 0.03757 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03558 , 0 , 0.04574 , 0.01904 , 0 , 0.0499 , 0 , 0 , 0.08849 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05883 , 0 , 0.00963 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04768 , 0 , 0 , 0 , 0.00943 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03524 , 0 , 0 , 0.1018 , 0.10346 , 0 , 0 , 0 , 0 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0.06617 , 0.06255 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.05962 , 0 , 0.07569 , 0.0319 , 0 , 0.08361 , 0 , 0 , 0.1493 , 0 , 0 , 0 , 0 , 0 , 0 , 0.09727 , 0 , 0.01604 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.07989 , 0 , 0 , 0 , 0.01569 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0587 , 0 , 0 , 0.1695 , 0.15698 , 0 , 0 , 0 , 0 , 0 
 318 , 0 , 0 , 0.00128 , 0 , 0 , 0.09626 , 0.0891 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00249 , 0.00188 , 0.00123 , 0.08593 , 0 , 0.1068 , 0.04953 , 0 , 0.11997 , 0.00201 , 0 , 0.20794 , 0 , 0.00506 , 0 , 0 , 0 , 0 , 0.13799 , 0.00201 , 0.02985 , 0.00131 , 0 , 0 , 0.00067 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0025 , 0 , 0.11623 , 0 , 0.00134 , 0.00181 , 0.02484 , 0.0025 , 0.00181 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00059 , 0.00133 , 0 , 0 , 0 , 0.00245 , 0.00123 , 0.00123 , 0 , 0.00188 , 0.08245 , 0.00307 , 0.00369 , 0.23475 , 0.21115 , 0 , 0.00063 , 0.00307 , 0.0024 , 0.00128 
 319 , 0 , 0 , 0.01384 , 0 , 0 , 0.15158 , 0.13234 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02641 , 0.02033 , 0.01318 , 0.13265 , 0 , 0.15413 , 0.10877 , 0 , 0.18027 , 0.02152 , 0 , 0.24475 , 0 , 0.05389 , 0 , 0 , 0 , 0 , 0.2068 , 0.02136 , 0.10905 , 0.01404 , 0 , 0 , 0.00717 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.02679 , 0 , 0.1892 , 0 , 0.01446 , 0.01952 , 0.05953 , 0.0266 , 0.01952 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00646 , 0.01393 , 0 , 0 , 0 , 0.02624 , 0.01309 , 0.01318 , 0 , 0.0199 , 0.11125 , 0.03274 , 0.03914 , 0.28586 , 0.28151 , 0 , 0.00678 , 0.03274 , 0.02626 , 0.01355 
 320 , 0 , 0 , 0.02594 , 0 , 0 , 0.20271 , 0.17449 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04863 , 0.03811 , 0.02458 , 0.17772 , 0 , 0.20032 , 0.16445 , 0 , 0.23601 , 0.04004 , 0 , 0.27836 , 0 , 0.09979 , 0 , 0 , 0 , 0 , 0.27385 , 0.0395 , 0.18441 , 0.02613 , 0 , 0 , 0.01335 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.04991 , 0 , 0.25855 , 0 , 0.02707 , 0.03661 , 0.0918 , 0.04926 , 0.03661 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01227 , 0.02531 , 0 , 0 , 0 , 0.0489 , 0.02428 , 0.02458 , 0 , 0.03667 , 0.13937 , 0.06066 , 0.07213 , 0.33513 , 0.35019 , 0 , 0.0127 , 0.06066 , 0.04982 , 0.02494 
 321 , 0 , 0 , 0.03759 , 0 , 0 , 0.25013 , 0.21561 , 0 , 0 , 0 , 0 , 0 , 0 , 0.06933 , 0.05525 , 0.03546 , 0.22122 , 0 , 0.24541 , 0.2169 , 0 , 0.28769 , 0.05765 , 0 , 0.30917 , 0 , 0.14302 , 0 , 0 , 0 , 0 , 0.33921 , 0.05654 , 0.25618 , 0.03764 , 0 , 0 , 0.01922 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.07193 , 0 , 0.32454 , 0 , 0.0392 , 0.05312 , 0.1219 , 0.07061 , 0.05312 , 0 , 0 , 0 , 0 , 0 , 0 , 0.01801 , 0.03565 , 0 , 0 , 0 , 0.07051 , 0.03483 , 0.03546 , 0 , 0.05232 , 0.16683 , 0.08699 , 0.10289 , 0.38265 , 0.41725 , 0 , 0.01842 , 0.08699 , 0.0731 , 0.03555 
 322 , 0.01981 , 0.02844 , 0.08539 , 0.02972 , 0 , 0.32782 , 0.28339 , 0.016 , 0.02887 , 0.01999 , 0.00824 , 0 , 0 , 0.08252 , 0.07872 , 0.05803 , 0.27397 , 0 , 0.29899 , 0.28189 , 0.0257 , 0.35466 , 0.08623 , 0.00844 , 0.36373 , 0.00861 , 0.18332 , 0.01328 , 0.0042 , 0 , 0.03425 , 0.41536 , 0.08997 , 0.3214 , 0.0827 , 0.03798 , 0.0128 , 0.04179 , 0.01706 , 0.00871 , 0 , 0 , 0 , 0.008 , 0 , 0.09376 , 0.02541 , 0.40245 , 0.02134 , 0.07174 , 0.0808 , 0.16565 , 0.10385 , 0.08558 , 0.03532 , 0 , 0.00404 , 0 , 0.0041 , 0 , 0.04779 , 0.05803 , 0.00401 , 0.02436 , 0.03707 , 0.09931 , 0.05743 , 0.06586 , 0.02882 , 0.0763 , 0.21023 , 0.11421 , 0.14749 , 0.46799 , 0.49668 , 0.01255 , 0.04873 , 0.12482 , 0.09478 , 0.06615 
 323 , 0.04655 , 0.06679 , 0.14376 , 0.07016 , 0 , 0.41508 , 0.35879 , 0.03738 , 0.0674 , 0.04747 , 0.01936 , 0 , 0 , 0.09275 , 0.10337 , 0.08471 , 0.3286 , 0 , 0.3541 , 0.3503 , 0.05993 , 0.42474 , 0.11737 , 0.01994 , 0.42574 , 0.02034 , 0.22246 , 0.03077 , 0.00987 , 0 , 0.07942 , 0.49242 , 0.12875 , 0.38393 , 0.13917 , 0.08864 , 0.02988 , 0.06974 , 0.04004 , 0.02032 , 0 , 0 , 0 , 0.01901 , 0 , 0.11509 , 0.05999 , 0.48315 , 0.04978 , 0.10991 , 0.11205 , 0.21448 , 0.14054 , 0.12397 , 0.08299 , 0 , 0.0095 , 0 , 0.00979 , 0 , 0.08581 , 0.08471 , 0.00932 , 0.05595 , 0.08607 , 0.12968 , 0.08478 , 0.10288 , 0.06885 , 0.10365 , 0.25743 , 0.14173 , 0.19773 , 0.5647 , 0.57775 , 0.0293 , 0.08748 , 0.16584 , 0.11499 , 0.10389 
 324 , 0.07241 , 0.10387 , 0.19829 , 0.10965 , 0 , 0.49934 , 0.43071 , 0.05782 , 0.10422 , 0.07465 , 0.03011 , 0 , 0 , 0.10265 , 0.12643 , 0.1108 , 0.38085 , 0 , 0.40676 , 0.41643 , 0.09259 , 0.49091 , 0.14642 , 0.03117 , 0.48565 , 0.03178 , 0.26116 , 0.04725 , 0.01534 , 0 , 0.12203 , 0.56502 , 0.1662 , 0.44574 , 0.19369 , 0.137 , 0.04618 , 0.0964 , 0.0622 , 0.03139 , 0 , 0 , 0 , 0.0299 , 0 , 0.13571 , 0.09376 , 0.56105 , 0.0769 , 0.14548 , 0.14227 , 0.26278 , 0.17564 , 0.16192 , 0.12914 , 0 , 0.01478 , 0 , 0.01548 , 0 , 0.12257 , 0.1108 , 0.01435 , 0.08518 , 0.13239 , 0.15842 , 0.11214 , 0.13869 , 0.10888 , 0.131 , 0.30164 , 0.16895 , 0.24797 , 0.65711 , 0.65437 , 0.04531 , 0.12491 , 0.20511 , 0.13407 , 0.14081 
 325 , 0.10446 , 0.14393 , 0.23823 , 0.14385 , 0.00181 , 0.57776 , 0.49547 , 0.08864 , 0.14117 , 0.11023 , 0.04936 , 0.0148 , 0.02175 , 0.12905 , 0.16112 , 0.14867 , 0.43033 , 0.0164 , 0.46643 , 0.47635 , 0.13469 , 0.56862 , 0.18227 , 0.05711 , 0.55249 , 0.06179 , 0.31259 , 0.07392 , 0.03947 , 0.0171 , 0.17241 , 0.64574 , 0.21442 , 0.51399 , 0.25102 , 0.18341 , 0.08003 , 0.13001 , 0.09838 , 0.06088 , 0.00187 , 0 , 0.01453 , 0.04587 , 0 , 0.1773 , 0.1339 , 0.64524 , 0.11184 , 0.19451 , 0.17787 , 0.32064 , 0.21676 , 0.21088 , 0.17723 , 0.01764 , 0.03216 , 0.00545 , 0.03597 , 0.00905 , 0.16668 , 0.13933 , 0.03648 , 0.12351 , 0.1813 , 0.19276 , 0.14848 , 0.1808 , 0.15133 , 0.16847 , 0.35064 , 0.20766 , 0.30103 , 0.75174 , 0.74286 , 0.06938 , 0.16774 , 0.25376 , 0.17001 , 0.18189 
 326 , 0.14842 , 0.19094 , 0.25466 , 0.16872 , 0.00695 , 0.6476 , 0.54994 , 0.13985 , 0.17967 , 0.16101 , 0.08448 , 0.05646 , 0.08345 , 0.18581 , 0.21889 , 0.20878 , 0.47673 , 0.06294 , 0.54084 , 0.52663 , 0.19494 , 0.67143 , 0.23291 , 0.11045 , 0.63437 , 0.12587 , 0.38787 , 0.11986 , 0.09963 , 0.06628 , 0.23997 , 0.74557 , 0.28293 , 0.59446 , 0.31475 , 0.22816 , 0.14666 , 0.17786 , 0.15995 , 0.12545 , 0.00709 , 0 , 0.05546 , 0.07138 , 0 , 0.25798 , 0.18593 , 0.74387 , 0.16153 , 0.27097 , 0.22386 , 0.39609 , 0.26984 , 0.27991 , 0.23005 , 0.06809 , 0.07139 , 0.02115 , 0.08314 , 0.03491 , 0.22509 , 0.1726 , 0.09074 , 0.18105 , 0.23696 , 0.23881 , 0.20005 , 0.23582 , 0.1973 , 0.22437 , 0.41134 , 0.26673 , 0.35817 , 0.85385 , 0.8574 , 0.10859 , 0.22105 , 0.32167 , 0.23749 , 0.23119 
 327 , 0.19015 , 0.23696 , 0.27043 , 0.19249 , 0.01183 , 0.71237 , 0.60097 , 0.18948 , 0.21619 , 0.20913 , 0.11779 , 0.09554 , 0.14199 , 0.23917 , 0.27433 , 0.26639 , 0.52079 , 0.10709 , 0.61071 , 0.57337 , 0.25138 , 0.77099 , 0.28194 , 0.16148 , 0.71446 , 0.18647 , 0.4599 , 0.16289 , 0.15913 , 0.11385 , 0.30534 , 0.84213 , 0.34712 , 0.67056 , 0.37509 , 0.27102 , 0.20981 , 0.22414 , 0.21695 , 0.1879 , 0.01195 , 0 , 0.0939 , 0.09608 , 0 , 0.33444 , 0.23513 , 0.84031 , 0.20761 , 0.34419 , 0.26709 , 0.46767 , 0.31924 , 0.34532 , 0.28074 , 0.11651 , 0.10791 , 0.03636 , 0.12733 , 0.05969 , 0.2805 , 0.20415 , 0.14284 , 0.23632 , 0.28929 , 0.28257 , 0.24746 , 0.28913 , 0.24077 , 0.27791 , 0.47022 , 0.32103 , 0.41123 , 0.94974 , 0.96838 , 0.14541 , 0.27105 , 0.38752 , 0.30086 , 0.27844 
 328 , 0.22988 , 0.28192 , 0.28559 , 0.21523 , 0.01647 , 0.77282 , 0.64904 , 0.23758 , 0.2509 , 0.2548 , 0.14943 , 0.13229 , 0.19757 , 0.28949 , 0.3276 , 0.32164 , 0.56264 , 0.14903 , 0.67655 , 0.61712 , 0.30442 , 0.86746 , 0.32943 , 0.21035 , 0.79284 , 0.24387 , 0.52888 , 0.20333 , 0.21787 , 0.15986 , 0.36866 , 0.93562 , 0.40745 , 0.74256 , 0.4323 , 0.3121 , 0.26979 , 0.26889 , 0.26997 , 0.24829 , 0.01647 , 0 , 0.13012 , 0.12001 , 0 , 0.40706 , 0.28173 , 0.93444 , 0.25051 , 0.41439 , 0.30788 , 0.53566 , 0.36545 , 0.40741 , 0.32946 , 0.16303 , 0.14203 , 0.0511 , 0.16884 , 0.08346 , 0.33312 , 0.23414 , 0.19295 , 0.28945 , 0.33867 , 0.32426 , 0.29131 , 0.34077 , 0.28194 , 0.32921 , 0.52736 , 0.37127 , 0.46072 , 1.04022 , 1.07603 , 0.18007 , 0.31807 , 0.45136 , 0.36056 , 0.32374 
 329 , 0.24983 , 0.31774 , 0.31694 , 0.28055 , 0.03041 , 0.87727 , 0.74096 , 0.27942 , 0.29145 , 0.29011 , 0.19409 , 0.15484 , 0.21795 , 0.32633 , 0.35827 , 0.36128 , 0.62174 , 0.18089 , 0.74465 , 0.71396 , 0.3413 , 0.93745 , 0.37848 , 0.23664 , 0.89 , 0.28006 , 0.59555 , 0.23582 , 0.24001 , 0.19275 , 0.4182 , 1.05764 , 0.46247 , 0.81742 , 0.47305 , 0.35641 , 0.31536 , 0.3124 , 0.31048 , 0.28852 , 0.04933 , 0.00976 , 0.15259 , 0.14786 , 0 , 0.42653 , 0.31447 , 1.01114 , 0.28338 , 0.45574 , 0.33613 , 0.58675 , 0.42525 , 0.44352 , 0.37528 , 0.17791 , 0.17478 , 0.0786 , 0.20564 , 0.09239 , 0.37475 , 0.26868 , 0.23469 , 0.32935 , 0.40151 , 0.39178 , 0.33535 , 0.38703 , 0.31938 , 0.36198 , 0.59685 , 0.4208 , 0.52183 , 1.1576 , 1.18153 , 0.20134 , 0.36118 , 0.50234 , 0.38835 , 0.37929 
 330 , 0.26864 , 0.3511 , 0.34824 , 0.34435 , 0.04435 , 0.98165 , 0.83317 , 0.31983 , 0.33102 , 0.32365 , 0.23721 , 0.17597 , 0.2359 , 0.36177 , 0.38714 , 0.39881 , 0.67844 , 0.21116 , 0.8106 , 0.81142 , 0.37634 , 1.00438 , 0.42577 , 0.26082 , 0.98597 , 0.3137 , 0.65954 , 0.26697 , 0.25919 , 0.22357 , 0.46614 , 1.17818 , 0.51551 , 0.88773 , 0.51125 , 0.39916 , 0.35972 , 0.35348 , 0.34982 , 0.32578 , 0.08335 , 0.01953 , 0.17475 , 0.17482 , 0 , 0.44327 , 0.34486 , 1.08336 , 0.31501 , 0.49468 , 0.36334 , 0.63485 , 0.48469 , 0.47695 , 0.42001 , 0.19118 , 0.20704 , 0.10533 , 0.24083 , 0.10035 , 0.41406 , 0.30208 , 0.27529 , 0.36759 , 0.46456 , 0.45895 , 0.379 , 0.43105 , 0.3546 , 0.39255 , 0.66492 , 0.46978 , 0.5814 , 1.27403 , 1.28472 , 0.22124 , 0.40245 , 0.55101 , 0.4141 , 0.43272 
 331 , 0.28726 , 0.38225 , 0.37894 , 0.405 , 0.05788 , 1.08501 , 0.92445 , 0.35906 , 0.36945 , 0.3559 , 0.27833 , 0.1963 , 0.25287 , 0.39655 , 0.4152 , 0.43491 , 0.73207 , 0.24028 , 0.8747 , 0.90794 , 0.41035 , 1.06932 , 0.47122 , 0.28383 , 1.07995 , 0.34569 , 0.72099 , 0.29722 , 0.27672 , 0.25287 , 0.5131 , 1.29621 , 0.567 , 0.95338 , 0.54761 , 0.44024 , 0.40364 , 0.39215 , 0.38876 , 0.36085 , 0.11738 , 0.02893 , 0.19735 , 0.20073 , 0 , 0.45969 , 0.3735 , 1.15128 , 0.34603 , 0.53247 , 0.39029 , 0.68072 , 0.54358 , 0.5088 , 0.46389 , 0.2042 , 0.239 , 0.1308 , 0.27466 , 0.10793 , 0.45153 , 0.33422 , 0.31512 , 0.40477 , 0.52762 , 0.52486 , 0.42265 , 0.47299 , 0.38778 , 0.42165 , 0.73107 , 0.51877 , 0.63929 , 1.38933 , 1.38588 , 0.24041 , 0.44215 , 0.59785 , 0.43936 , 0.48362 
 332 , 0.32084 , 0.42569 , 0.42328 , 0.45905 , 0.0948 , 1.17677 , 0.97895 , 0.41114 , 0.40987 , 0.39555 , 0.32112 , 0.22599 , 0.27876 , 0.44027 , 0.45049 , 0.46935 , 0.80431 , 0.26832 , 0.94771 , 0.98623 , 0.45824 , 1.15942 , 0.52575 , 0.32053 , 1.15941 , 0.38763 , 0.77302 , 0.34027 , 0.3219 , 0.29585 , 0.56174 , 1.37825 , 0.63032 , 1.02057 , 0.61435 , 0.4796 , 0.43582 , 0.44359 , 0.43215 , 0.39319 , 0.15222 , 0.05992 , 0.2239 , 0.22916 , 0.01667 , 0.49449 , 0.41928 , 1.23148 , 0.39895 , 0.58205 , 0.43785 , 0.72533 , 0.60037 , 0.55073 , 0.51139 , 0.23362 , 0.25977 , 0.15849 , 0.3145 , 0.13878 , 0.48954 , 0.37593 , 0.35115 , 0.4422 , 0.56883 , 0.58139 , 0.4688 , 0.51834 , 0.426 , 0.46303 , 0.78362 , 0.57015 , 0.69698 , 1.49678 , 1.48241 , 0.27901 , 0.49215 , 0.6425 , 0.48162 , 0.53384 
 333 , 0.36343 , 0.47718 , 0.47645 , 0.50773 , 0.14731 , 1.25828 , 1.00787 , 0.47108 , 0.45099 , 0.43945 , 0.36473 , 0.26159 , 0.31066 , 0.48895 , 0.48993 , 0.50211 , 0.88974 , 0.29533 , 1.02581 , 1.05046 , 0.51452 , 1.2658 , 0.58593 , 0.36623 , 1.22747 , 0.43645 , 0.8178 , 0.39102 , 0.38588 , 0.34689 , 0.61029 , 1.43468 , 0.70034 , 1.08797 , 0.70209 , 0.51685 , 0.4593 , 0.50241 , 0.47708 , 0.42341 , 0.18654 , 0.10534 , 0.25184 , 0.25856 , 0.04454 , 0.54123 , 0.47576 , 1.31859 , 0.46621 , 0.6389 , 0.49838 , 0.76846 , 0.65465 , 0.59877 , 0.55997 , 0.27374 , 0.27244 , 0.1875 , 0.35781 , 0.18495 , 0.5272 , 0.42376 , 0.38392 , 0.47913 , 0.59415 , 0.63012 , 0.51472 , 0.56543 , 0.46683 , 0.51173 , 0.82604 , 0.62219 , 0.75292 , 1.59719 , 1.57405 , 0.33113 , 0.54843 , 0.68487 , 0.53488 , 0.58278 
