
Wavelength,MNAT_00216.spu,MNAT_00217.spu,MNAT_00218.spu,MNAT_00219.spu,MNAT_00224.spu,MNAT_00225.spu,MNAT_00226.spu,MNAT_00227.spu,MNAT_00232.spu,MNAT_00233.spu,MNAT_00234.spu,MNAT_00235.spu,MNAT_00240.spu,MNAT_00241.spu,MNAT_00242.spu,MNAT_00243.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,40:26 PM,40:40 PM,40:54 PM,41:05 PM,43:28 PM,43:34 PM,45:29 PM,45:38 PM,06:07 PM,06:28 PM,06:46 PM,06:54 PM,08:16 PM,08:32 PM,09:01 PM,09:10 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 310 , 0.07854 , 0.04468 , 0.02542 , 0.0407 , 0.11059 , 0.09602 , 0.02793 , 0.09302 , 0.09558 , 0.11738 , 0.10451 , 0.12645 , 0.11853 , 0.13583 , 0.10346 , 0.10412 
 311 , 0.06418 , 0.03719 , 0.02479 , 0.03709 , 0.11805 , 0.09636 , 0.02431 , 0.09302 , 0.09424 , 0.12142 , 0.09738 , 0.11164 , 0.1177 , 0.15132 , 0.1055 , 0.09736 
 312 , 0.07018 , 0.0537 , 0.03968 , 0.04543 , 0.11299 , 0.10493 , 0.02373 , 0.09302 , 0.10313 , 0.12074 , 0.10458 , 0.1201 , 0.11428 , 0.14509 , 0.09658 , 0.10184 
 313 , 0.07933 , 0.07374 , 0.05678 , 0.05566 , 0.10595 , 0.11483 , 0.02365 , 0.09302 , 0.11365 , 0.11946 , 0.11405 , 0.13211 , 0.11043 , 0.13523 , 0.08596 , 0.10816 
 314 , 0.0883 , 0.09338 , 0.07352 , 0.06582 , 0.0989 , 0.12465 , 0.02357 , 0.09302 , 0.12425 , 0.11821 , 0.12338 , 0.14388 , 0.10661 , 0.12537 , 0.07548 , 0.11439 
 315 , 0.09059 , 0.09305 , 0.07472 , 0.06719 , 0.09827 , 0.12195 , 0.01993 , 0.09363 , 0.12536 , 0.11175 , 0.12532 , 0.14933 , 0.10369 , 0.11748 , 0.07282 , 0.11345 
 316 , 0.086 , 0.07205 , 0.06005 , 0.05943 , 0.10468 , 0.10649 , 0.01275 , 0.09509 , 0.11669 , 0.10003 , 0.11975 , 0.14815 , 0.10195 , 0.11207 , 0.07845 , 0.10509 
 317 , 0.08157 , 0.05174 , 0.04607 , 0.05194 , 0.11067 , 0.09165 , 0.0059 , 0.0965 , 0.10832 , 0.08869 , 0.1144 , 0.147 , 0.10027 , 0.10681 , 0.08396 , 0.09695 
 318 , 0.077 , 0.03573 , 0.03575 , 0.04639 , 0.11615 , 0.08005 , 0.00096 , 0.09792 , 0.1012 , 0.07976 , 0.10965 , 0.14613 , 0.09871 , 0.10262 , 0.08899 , 0.09041 
 319 , 0.07118 , 0.05244 , 0.05263 , 0.05658 , 0.11974 , 0.09272 , 0.01027 , 0.10078 , 0.10404 , 0.08957 , 0.10935 , 0.15011 , 0.09876 , 0.10831 , 0.09193 , 0.09712 
 320 , 0.06575 , 0.06796 , 0.0684 , 0.06584 , 0.12316 , 0.10462 , 0.01907 , 0.10345 , 0.10668 , 0.09882 , 0.10908 , 0.1538 , 0.09881 , 0.11358 , 0.09465 , 0.10343 
 321 , 0.06067 , 0.08239 , 0.08315 , 0.0743 , 0.12642 , 0.11581 , 0.02741 , 0.10596 , 0.10916 , 0.10758 , 0.10882 , 0.15722 , 0.09885 , 0.11848 , 0.09719 , 0.10935 
 322 , 0.07573 , 0.09241 , 0.08935 , 0.08051 , 0.12038 , 0.12694 , 0.0295 , 0.11461 , 0.11162 , 0.11571 , 0.11262 , 0.16089 , 0.10651 , 0.1261 , 0.10548 , 0.12268 
 323 , 0.09819 , 0.1007 , 0.09227 , 0.08577 , 0.11078 , 0.13791 , 0.02925 , 0.12543 , 0.1139 , 0.12342 , 0.11777 , 0.16431 , 0.11684 , 0.13456 , 0.11571 , 0.13851 
 324 , 0.1204 , 0.1089 , 0.09517 , 0.09094 , 0.10134 , 0.14875 , 0.029 , 0.13618 , 0.11614 , 0.13096 , 0.12285 , 0.16774 , 0.12699 , 0.14297 , 0.12578 , 0.15397 
 325 , 0.13437 , 0.11531 , 0.10376 , 0.09447 , 0.10169 , 0.15795 , 0.03322 , 0.14823 , 0.12306 , 0.14011 , 0.12984 , 0.17691 , 0.13616 , 0.15363 , 0.13803 , 0.16746 
 326 , 0.13333 , 0.11859 , 0.12307 , 0.09513 , 0.12035 , 0.16404 , 0.04572 , 0.16287 , 0.13887 , 0.15254 , 0.14058 , 0.19718 , 0.14378 , 0.16873 , 0.15457 , 0.17765 
 327 , 0.13235 , 0.12173 , 0.14145 , 0.09576 , 0.13803 , 0.17014 , 0.05755 , 0.17665 , 0.15382 , 0.1643 , 0.15086 , 0.21632 , 0.15104 , 0.183 , 0.1705 , 0.18739 
 328 , 0.13143 , 0.12477 , 0.15896 , 0.09638 , 0.15483 , 0.17615 , 0.06878 , 0.18969 , 0.16799 , 0.17547 , 0.16071 , 0.23446 , 0.15797 , 0.19654 , 0.18584 , 0.19673 
 329 , 0.13342 , 0.14525 , 0.17478 , 0.1128 , 0.1596 , 0.18961 , 0.06357 , 0.1902 , 0.17384 , 0.177 , 0.16651 , 0.23702 , 0.16875 , 0.20052 , 0.18941 , 0.20198 
 330 , 0.13541 , 0.16581 , 0.19003 , 0.12957 , 0.16371 , 0.20254 , 0.05783 , 0.1901 , 0.17911 , 0.17801 , 0.17195 , 0.2388 , 0.17936 , 0.20391 , 0.19239 , 0.20686 
 331 , 0.13732 , 0.18575 , 0.20481 , 0.14608 , 0.16776 , 0.21443 , 0.05226 , 0.19001 , 0.18423 , 0.179 , 0.17721 , 0.24052 , 0.1897 , 0.20723 , 0.19529 , 0.2116 
 332 , 0.15458 , 0.20154 , 0.22417 , 0.16516 , 0.17553 , 0.22825 , 0.05683 , 0.20461 , 0.19297 , 0.1934 , 0.19164 , 0.25817 , 0.20393 , 0.22092 , 0.21483 , 0.23007 
 333 , 0.18272 , 0.21435 , 0.24662 , 0.1859 , 0.18588 , 0.24327 , 0.06854 , 0.22947 , 0.20419 , 0.21726 , 0.21244 , 0.28696 , 0.2209 , 0.24185 , 0.2461 , 0.25782 
 334 , 0.21073 , 0.22692 , 0.26865 , 0.20624 , 0.19604 , 0.25799 , 0.08013 , 0.25396 , 0.21531 , 0.24088 , 0.23292 , 0.31547 , 0.23779 , 0.26246 , 0.27707 , 0.28464 
 335 , 0.2311 , 0.23855 , 0.28878 , 0.22107 , 0.20679 , 0.26928 , 0.09005 , 0.27488 , 0.22589 , 0.26156 , 0.2508 , 0.33952 , 0.25289 , 0.27986 , 0.30228 , 0.30452 
 336 , 0.22235 , 0.24769 , 0.30304 , 0.21606 , 0.22081 , 0.26853 , 0.09378 , 0.28301 , 0.23499 , 0.27175 , 0.25954 , 0.3476 , 0.26195 , 0.2862 , 0.30639 , 0.29952 
 337 , 0.21392 , 0.25645 , 0.31683 , 0.21128 , 0.23418 , 0.26782 , 0.09741 , 0.29091 , 0.24383 , 0.2816 , 0.26803 , 0.35536 , 0.27061 , 0.29226 , 0.31035 , 0.29461 
 338 , 0.20579 , 0.26486 , 0.33017 , 0.20672 , 0.24696 , 0.26713 , 0.10093 , 0.29859 , 0.25242 , 0.29112 , 0.27628 , 0.36284 , 0.27892 , 0.29806 , 0.31415 , 0.28979 
 339 , 0.22325 , 0.27606 , 0.3499 , 0.22308 , 0.25115 , 0.27181 , 0.10544 , 0.31075 , 0.26285 , 0.29358 , 0.28432 , 0.3746 , 0.29234 , 0.31525 , 0.3301 , 0.31458 
 340 , 0.2452 , 0.28744 , 0.37032 , 0.24301 , 0.25353 , 0.27738 , 0.11001 , 0.32342 , 0.27333 , 0.29463 , 0.29211 , 0.38687 , 0.30643 , 0.33413 , 0.3479 , 0.3445 
 341 , 0.26641 , 0.29833 , 0.39004 , 0.26226 , 0.25583 , 0.28274 , 0.1144 , 0.33555 , 0.28341 , 0.29564 , 0.29959 , 0.39876 , 0.32014 , 0.35235 , 0.365 , 0.37338 
 342 , 0.28036 , 0.30439 , 0.40145 , 0.26991 , 0.25751 , 0.28998 , 0.11789 , 0.34649 , 0.29074 , 0.30103 , 0.30482 , 0.40895 , 0.32797 , 0.36364 , 0.37909 , 0.39408 
 343 , 0.28598 , 0.30478 , 0.40333 , 0.2641 , 0.25845 , 0.29945 , 0.12038 , 0.35615 , 0.29495 , 0.31152 , 0.3075 , 0.41725 , 0.32899 , 0.36698 , 0.38984 , 0.40545 
 344 , 0.29148 , 0.30517 , 0.40513 , 0.25846 , 0.25937 , 0.30872 , 0.12279 , 0.36555 , 0.29904 , 0.32169 , 0.31007 , 0.42527 , 0.32998 , 0.37021 , 0.40023 , 0.41648 
 345 , 0.29715 , 0.30699 , 0.40885 , 0.25475 , 0.26211 , 0.31876 , 0.12532 , 0.37522 , 0.30419 , 0.33224 , 0.31368 , 0.43416 , 0.33213 , 0.37457 , 0.4112 , 0.42802 
 346 , 0.30724 , 0.32884 , 0.43876 , 0.2748 , 0.2891 , 0.3416 , 0.1306 , 0.39254 , 0.32502 , 0.35143 , 0.33156 , 0.4578 , 0.35028 , 0.39534 , 0.43331 , 0.45051 
 347 , 0.31693 , 0.34983 , 0.46728 , 0.294 , 0.31515 , 0.36372 , 0.13565 , 0.40912 , 0.34509 , 0.37 , 0.34893 , 0.48067 , 0.36758 , 0.41528 , 0.45498 , 0.4722 
 348 , 0.32624 , 0.37 , 0.49451 , 0.3124 , 0.34031 , 0.38514 , 0.14049 , 0.42502 , 0.36446 , 0.38799 , 0.36583 , 0.50281 , 0.38407 , 0.43444 , 0.47621 , 0.49312 
 349 , 0.34045 , 0.37667 , 0.51954 , 0.32461 , 0.3454 , 0.39461 , 0.1374 , 0.43588 , 0.37067 , 0.39308 , 0.37691 , 0.51622 , 0.39208 , 0.44905 , 0.48969 , 0.5068 
 350 , 0.35634 , 0.37774 , 0.54332 , 0.33409 , 0.34227 , 0.39901 , 0.13116 , 0.44448 , 0.37141 , 0.39287 , 0.38535 , 0.52583 , 0.3965 , 0.4615 , 0.49966 , 0.51727 
 351 , 0.37165 , 0.37876 , 0.56641 , 0.34327 , 0.33926 , 0.40322 , 0.12515 , 0.45278 , 0.37213 , 0.39267 , 0.39341 , 0.53515 , 0.40081 , 0.47349 , 0.50918 , 0.52738 
 352 , 0.38084 , 0.38004 , 0.57989 , 0.35077 , 0.33956 , 0.40515 , 0.12143 , 0.45935 , 0.37502 , 0.39667 , 0.39987 , 0.54179 , 0.40491 , 0.48384 , 0.51797 , 0.53642 
 353 , 0.37812 , 0.38191 , 0.57451 , 0.35514 , 0.34647 , 0.40262 , 0.12217 , 0.46273 , 0.38242 , 0.40919 , 0.40345 , 0.54343 , 0.40877 , 0.49131 , 0.52572 , 0.54365 
 354 , 0.37551 , 0.38369 , 0.56938 , 0.35936 , 0.35318 , 0.40019 , 0.12288 , 0.46599 , 0.38948 , 0.42128 , 0.40691 , 0.54497 , 0.41247 , 0.49851 , 0.53318 , 0.55055 
 355 , 0.373 , 0.38539 , 0.56448 , 0.36344 , 0.35968 , 0.39784 , 0.12356 , 0.46912 , 0.39622 , 0.43295 , 0.41024 , 0.54644 , 0.41601 , 0.50547 , 0.54035 , 0.55715 
 356 , 0.37682 , 0.39408 , 0.57473 , 0.36974 , 0.35467 , 0.40122 , 0.12012 , 0.46748 , 0.39439 , 0.43459 , 0.40828 , 0.54882 , 0.41686 , 0.51211 , 0.54371 , 0.56451 
 357 , 0.3808 , 0.40275 , 0.58539 , 0.37589 , 0.34932 , 0.40475 , 0.11658 , 0.46566 , 0.39219 , 0.43567 , 0.40614 , 0.55116 , 0.41754 , 0.51849 , 0.54673 , 0.57167 
 358 , 0.38464 , 0.41105 , 0.59568 , 0.38176 , 0.34422 , 0.40815 , 0.11314 , 0.4639 , 0.39008 , 0.43672 , 0.40408 , 0.55341 , 0.4182 , 0.52461 , 0.54961 , 0.57861 
 359 , 0.39266 , 0.41535 , 0.60178 , 0.38255 , 0.34431 , 0.41119 , 0.11612 , 0.46861 , 0.39441 , 0.44025 , 0.40623 , 0.55389 , 0.41817 , 0.53032 , 0.55416 , 0.58565 
 360 , 0.40339 , 0.41677 , 0.60476 , 0.37976 , 0.34801 , 0.4139 , 0.12355 , 0.47775 , 0.40321 , 0.44538 , 0.41126 , 0.55314 , 0.41765 , 0.53558 , 0.55984 , 0.59257 
 361 , 0.4135 , 0.41812 , 0.60756 , 0.37711 , 0.3515 , 0.41645 , 0.13059 , 0.48638 , 0.41159 , 0.45018 , 0.41601 , 0.55242 , 0.41716 , 0.54053 , 0.56526 , 0.59913 
